,FIPS,ba,county_name,state
0,53007,p1,chelan,WA
1,53029,p1,island,WA
2,53033,p1,king,WA
3,53035,p1,kitsap,WA
4,53037,p1,kittitas,WA
5,53053,p1,pierce,WA
6,53055,p1,san juan,WA
7,53057,p1,skagit,WA
8,53061,p1,snohomish,WA
9,53067,p1,thurston,WA
10,53073,p1,whatcom,WA
11,53003,p2,asotin,WA
12,53005,p2,benton,WA
13,53009,p2,clallam,WA
14,53011,p2,clark,WA
15,53013,p2,columbia,WA
16,53015,p2,cowlitz,WA
17,53023,p2,garfield,WA
18,53027,p2,grays harbor,WA
19,53031,p2,jefferson,WA
20,53039,p2,klickitat,WA
21,53041,p2,lewis,WA
22,53045,p2,mason,WA
23,53049,p2,pacific,WA
24,53059,p2,skamania,WA
25,53069,p2,wahkiakum,WA
26,53071,p2,walla walla,WA
27,53077,p2,yakima,WA
28,53001,p3,adams,WA
29,53019,p3,ferry,WA
30,53021,p3,franklin,WA
31,53043,p3,lincoln,WA
32,53047,p3,okanogan,WA
33,53051,p3,pend oreille,WA
34,53063,p3,spokane,WA
35,53065,p3,stevens,WA
36,53075,p3,whitman,WA
37,53017,p4,douglas,WA
38,53025,p4,grant,WA
39,41003,p5,benton,OR
40,41005,p5,clackamas,OR
41,41007,p5,clatsop,OR
42,41009,p5,columbia,OR
43,41013,p5,crook,OR
44,41017,p5,deschutes,OR
45,41021,p5,gilliam,OR
46,41023,p5,grant,OR
47,41027,p5,hood river,OR
48,41031,p5,jefferson,OR
49,41039,p5,lane,OR
50,41041,p5,lincoln,OR
51,41043,p5,linn,OR
52,41047,p5,marion,OR
53,41049,p5,morrow,OR
54,41051,p5,multnomah,OR
55,41053,p5,polk,OR
56,41055,p5,sherman,OR
57,41057,p5,tillamook,OR
58,41059,p5,umatilla,OR
59,41061,p5,union,OR
60,41063,p5,wallowa,OR
61,41065,p5,wasco,OR
62,41067,p5,washington,OR
63,41069,p5,wheeler,OR
64,41071,p5,yamhill,OR
65,41011,p6,coos,OR
66,41015,p6,curry,OR
67,41019,p6,douglas,OR
68,41029,p6,jackson,OR
69,41033,p6,josephine,OR
70,41035,p6,klamath,OR
71,41001,p7,baker,OR
72,41025,p7,harney,OR
73,41037,p7,lake,OR
74,41045,p7,malheur,OR
75,6035,p8,lassen,CA
76,6049,p8,modoc,CA
77,6093,p8,siskiyou,CA
78,6001,p9,alameda,CA
79,6003,p9,alpine,CA
80,6005,p9,amador,CA
81,6007,p9,butte,CA
