eall,dr,t,Value
CO2,2.5,2020,120.0
CO2,2.5,2021,122.0
CO2,2.5,2022,124.0
CO2,2.5,2023,126.0
CO2,2.5,2024,128.0
CO2,2.5,2025,130.0
CO2,2.5,2026,132.0
CO2,2.5,2027,134.0
CO2,2.5,2028,136.0
CO2,2.5,2029,138.0
CO2,2.5,2030,140.0
CO2,2.5,2031,143.0
CO2,2.5,2032,146.0
CO2,2.5,2033,149.0
CO2,2.5,2034,152.0
CO2,2.5,2035,155.0
CO2,2.5,2036,158.0
CO2,2.5,2037,161.0
CO2,2.5,2038,164.0
CO2,2.5,2039,167.0
CO2,2.5,2040,170.0
CO2,2.5,2041,173.0
CO2,2.5,2042,176.0
CO2,2.5,2043,179.0
CO2,2.5,2044,182.0
CO2,2.5,2045,185.0
CO2,2.5,2046,188.0
CO2,2.5,2047,191.0
CO2,2.5,2048,194.0
CO2,2.5,2049,197.0
CO2,2.5,2050,200.0
CO2,2.5,2051,203.0
CO2,2.5,2052,206.0
CO2,2.5,2053,209.0
CO2,2.5,2054,212.0
CO2,2.5,2055,215.0
CO2,2.5,2056,218.0
CO2,2.5,2057,221.0
CO2,2.5,2058,224.0
CO2,2.5,2059,227.0
CO2,2.5,2060,230.0
CO2,2.5,2061,233.0
CO2,2.5,2062,236.0
CO2,2.5,2063,239.0
CO2,2.5,2064,242.0
CO2,2.5,2065,245.0
CO2,2.5,2066,248.0
CO2,2.5,2067,251.0
CO2,2.5,2068,254.0
CO2,2.5,2069,257.0
CO2,2.5,2070,260.0
CO2,2.5,2071,262.0
CO2,2.5,2072,264.0
CO2,2.5,2073,266.0
CO2,2.5,2074,268.0
CO2,2.5,2075,270.0
CO2,2.5,2076,272.0
CO2,2.5,2077,274.0
CO2,2.5,2078,276.0
CO2,2.5,2079,278.0
CO2,2.5,2080,280.0
CO2,2.0,2020,190.0
CO2,2.0,2021,194.0
CO2,2.0,2022,198.0
CO2,2.0,2023,202.0
CO2,2.0,2024,206.0
CO2,2.0,2025,210.0
CO2,2.0,2026,214.0
CO2,2.0,2027,218.0
CO2,2.0,2028,222.0
CO2,2.0,2029,226.0
CO2,2.0,2030,230.0
CO2,2.0,2031,234.0
CO2,2.0,2032,238.0
CO2,2.0,2033,242.0
CO2,2.0,2034,246.0
CO2,2.0,2035,250.0
CO2,2.0,2036,254.0
CO2,2.0,2037,258.0
CO2,2.0,2038,262.0
CO2,2.0,2039,266.0
CO2,2.0,2040,270.0
CO2,2.0,2041,274.0
CO2,2.0,2042,278.0
CO2,2.0,2043,282.0
CO2,2.0,2044,286.0
CO2,2.0,2045,290.0
CO2,2.0,2046,294.0
CO2,2.0,2047,298.0
CO2,2.0,2048,302.0
CO2,2.0,2049,306.0
CO2,2.0,2050,310.0
CO2,2.0,2051,314.0
CO2,2.0,2052,318.0
CO2,2.0,2053,322.0
CO2,2.0,2054,326.0
CO2,2.0,2055,330.0
CO2,2.0,2056,334.0
CO2,2.0,2057,338.0
CO2,2.0,2058,342.0
CO2,2.0,2059,346.0
CO2,2.0,2060,350.0
CO2,2.0,2061,353.0
CO2,2.0,2062,356.0
CO2,2.0,2063,359.0
CO2,2.0,2064,362.0
CO2,2.0,2065,365.0
CO2,2.0,2066,368.0
CO2,2.0,2067,371.0
CO2,2.0,2068,374.0
CO2,2.0,2069,377.0
CO2,2.0,2070,380.0
CO2,2.0,2071,383.0
CO2,2.0,2072,386.0
CO2,2.0,2073,389.0
CO2,2.0,2074,392.0
CO2,2.0,2075,395.0
CO2,2.0,2076,398.0
CO2,2.0,2077,401.0
CO2,2.0,2078,404.0
CO2,2.0,2079,407.0
CO2,2.0,2080,410.0
CO2,1.5,2020,340.0
CO2,1.5,2021,344.0
CO2,1.5,2022,348.0
CO2,1.5,2023,352.0
CO2,1.5,2024,356.0
CO2,1.5,2025,360.0
CO2,1.5,2026,364.0
