i,r,t,Value
battery_4,p6,2026,-186.85895
battery_4,p6,2029,-204.2636
battery_4,p6,2032,-324.054976
battery_4,p6,2035,-436.764709
battery_4,p6,2038,-434.850936
battery_4,p6,2041,-562.119424
battery_4,p6,2044,-576.668231
battery_4,p6,2047,-589.856268
battery_4,p6,2050,-549.207636
battery_4,p7,2026,-19.797104
battery_4,p7,2029,-19.33271
battery_4,p7,2032,-27.154053
battery_4,p7,2035,-40.134011
battery_4,p7,2038,-40.94604
battery_4,p8,2029,-47467.608735
battery_4,p8,2032,-45698.63842
battery_4,p8,2035,-48516.603926
battery_4,p8,2038,-76248.0084
battery_4,p8,2041,-69450.301915
battery_4,p8,2044,-73822.367045
battery_4,p8,2047,-80711.175982
battery_4,p8,2050,-69867.737888
battery_4,p9,2020,-166.642771
battery_4,p9,2023,-169210.489001
battery_4,p9,2026,-394663.652558
battery_4,p9,2029,-426983.472766
battery_4,p9,2032,-423720.287906
battery_4,p9,2035,-434797.460621
battery_4,p9,2038,-46994.971896
battery_4,p9,2041,-385440.358412
battery_4,p9,2044,-508727.343589
battery_4,p9,2047,-527434.791053
battery_4,p9,2050,-508158.381441
battery_4,p10,2020,-4278.73608
battery_4,p10,2023,-741619.852658
battery_4,p10,2026,-1251212.129509
battery_4,p10,2029,-1277159.205689
battery_4,p10,2032,-1398638.536103
battery_4,p10,2035,-1491032.03031
battery_4,p10,2038,-511461.784728
battery_4,p10,2041,-230021.918115
battery_4,p10,2044,-229237.405815
battery_4,p10,2047,-228085.032479
battery_4,p10,2050,-227795.200872
battery_4,p11,2020,-11481.008975
battery_4,p11,2023,-50321.765735
battery_4,p11,2026,-140425.353189
battery_4,p11,2029,-148047.972162
battery_4,p11,2032,-151931.602116
battery_4,p11,2035,-110133.184035
battery_4,p11,2038,-74675.938995
battery_4,p11,2041,-348078.926183
battery_4,p11,2044,-344487.703519
battery_4,p11,2047,-342383.901689
battery_4,p11,2050,-350029.561691
battery_4,p12,2044,-196638.512714
battery_4,p12,2047,-223415.822796
battery_4,p12,2050,-220071.483992
battery_4,p13,2023,-12287.302866
battery_4,p13,2026,-150784.560305
battery_4,p13,2029,-452100.581757
battery_4,p13,2032,-471139.343831
battery_4,p13,2035,-521377.559603
battery_4,p13,2038,-512265.94217
battery_4,p13,2041,-376421.604435
battery_4,p13,2044,-580834.381527
battery_4,p13,2047,-641882.494324
battery_4,p13,2050,-636284.055817
battery_4,p15,2023,-1769.590065
battery_4,p15,2026,-12300.975004
battery_4,p15,2029,-13660.353681
battery_4,p15,2032,-15145.101297
battery_4,p15,2035,-24466.437703
battery_4,p16,2023,-71.119967
battery_4,p16,2026,-236.003448
battery_4,p16,2029,-253.496298
battery_4,p16,2032,-234.807772
battery_4,p16,2035,-380.974187
battery_4,p18,2026,-1844.391595
battery_4,p18,2029,-11948.950288
battery_4,p18,2032,-15174.816714
battery_4,p18,2035,-19377.827015
battery_4,p18,2038,-24752.878583
battery_4,p21,2044,-57002.026995
battery_4,p21,2047,-133059.132178
battery_4,p21,2050,-138320.936505
battery_4,p22,2047,-13834.685446
battery_4,p22,2050,-14401.07744
battery_4,p23,2041,-8294.365309
battery_4,p23,2044,-8298.774877
battery_4,p23,2047,-8796.135479
battery_4,p23,2050,-8506.096804
battery_4,p24,2041,-5549.799304
battery_4,p24,2044,-5655.829965
battery_4,p24,2047,-5639.88467
battery_4,p24,2050,-31125.50597
battery_4,p25,2047,-54430.64256
battery_4,p25,2050,-108495.434497
battery_4,p26,2038,-1128.61442
battery_4,p26,2041,-1133.139428
battery_4,p26,2044,-71132.539967
battery_4,p26,2047,-117227.091714
battery_4,p26,2050,-198887.986059
battery_4,p27,2044,-75718.482558
battery_4,p27,2047,-75331.555205
battery_4,p27,2050,-70213.670573
battery_4,p28,2023,-110100.197689
battery_4,p28,2026,-176833.887687
battery_4,p28,2029,-264902.084458
battery_4,p28,2032,-295917.392433
battery_4,p28,2035,-331283.415445
battery_4,p28,2038,-69730.991105
battery_4,p28,2044,-420622.53385
battery_4,p28,2047,-406159.4612
battery_4,p28,2050,-395730.142035
battery_4,p29,2041,-0.0
battery_4,p30,2029,-161390.783853
battery_4,p30,2032,-185456.242788
battery_4,p30,2035,-198116.953774
battery_4,p30,2038,-741242.680197
battery_4,p30,2041,-744828.722559
battery_4,p30,2044,-627648.882208
battery_4,p30,2047,-608925.036113
battery_4,p30,2050,-583429.233223
battery_4,p31,2023,-14985.517234
battery_4,p31,2026,-49253.200466
battery_4,p31,2029,-57244.974364
battery_4,p31,2032,-60819.108599
battery_4,p31,2035,-61705.256731
battery_4,p31,2038,-47165.914096
battery_4,p32,2050,-13305.16971
battery_4,p33,2023,-891.87783
battery_4,p33,2026,-866.83091
battery_4,p33,2029,-1258.54385
battery_4,p33,2032,-1435.125063
battery_4,p33,2035,-1454.825182
battery_4,p34,2023,-42969.644154
battery_4,p34,2026,-40497.060061
battery_4,p34,2029,-56372.730676
battery_4,p34,2032,-63796.061504
battery_4,p34,2035,-65352.100249
battery_4,p34,2041,-45802.626405
battery_4,p34,2044,-48744.839223
battery_4,p34,2047,-184196.506666
battery_4,p34,2050,-220593.670341
battery_4,p37,2029,-22993.94744
battery_4,p37,2032,-23815.128978
battery_4,p37,2035,-28218.367458
battery_4,p37,2038,-33818.805648
battery_4,p37,2041,-26986.661523
battery_4,p37,2044,-0.0
battery_4,p39,2035,-82565.331434
battery_4,p39,2038,-81603.871167
battery_4,p39,2041,-69089.135988
battery_4,p39,2044,-68796.319278
battery_4,p39,2047,-62945.54679
battery_4,p39,2050,-40085.523014
battery_4,p40,2023,-261.319188
battery_4,p40,2026,-263.754292
battery_4,p40,2029,-293.664007
battery_4,p40,2032,-283.81184
battery_4,p40,2035,-325.966594
battery_4,p43,2023,-160.008577
battery_4,p43,2026,-175.369572
battery_4,p43,2029,-137.30009
battery_4,p43,2032,-154.82003
battery_4,p43,2035,-195358.534773
battery_4,p43,2038,-199481.906015
battery_4,p43,2041,-172809.659535
battery_4,p43,2044,-181238.124617
battery_4,p43,2047,-176148.857869
battery_4,p44,2038,-249616.15106
