r,t,Value
p1,2010,41793490.988284
p1,2015,36591221.325237
p1,2020,31276431.968419
p1,2023,36920719.964412
p1,2026,40096558.294462
p1,2029,41818934.033435
p1,2032,43025630.683795
p1,2035,31906468.947001
p1,2038,20439176.364709
p1,2041,23791832.375974
p1,2044,26437087.199965
p1,2047,26838430.182041
p1,2050,27374998.788841
p2,2010,-8870079.102926
p2,2015,518088.501084
p2,2020,-11654718.511233
p2,2023,-5669803.431462
p2,2026,-6575765.202396
p2,2029,-11487001.096708
p2,2032,-18374593.074603
p2,2035,-16679963.661011
p2,2038,-13507247.507279
p2,2041,-15811405.864882
p2,2044,-16370220.684312
p2,2047,-18805637.158917
p2,2050,-21255255.787695
p3,2010,7945884.952675
p3,2015,4569480.672375
p3,2020,3944894.779885
p3,2023,3894683.864686
p3,2026,5315156.956414
p3,2029,6959050.040441
p3,2032,5211810.26611
p3,2035,6820425.202451
p3,2038,6046660.986512
p3,2041,5793404.859636
p3,2044,6248552.566753
p3,2047,3386853.591238
p3,2050,-2518422.005139
p4,2010,-49236018.243194
p4,2015,-57038137.407624
p4,2020,-64854934.344728
p4,2023,-64997076.788514
p4,2026,-64891351.656614
p4,2029,-63132358.778612
p4,2032,-58871403.683363
p4,2035,-58053953.884694
p4,2038,-57992188.19467
p4,2041,-57338629.111951
p4,2044,-58853848.277324
p4,2047,-58664244.178312
p4,2050,-58855967.60607
p5,2010,-8331070.883394
p5,2015,-4687717.862808
p5,2020,-15542595.043937
p5,2023,-11267925.841144
p5,2026,-5020808.744282
p5,2029,279284.825154
p5,2032,7830157.195745
p5,2035,17942816.363097
p5,2038,26121786.952594
p5,2041,28200954.985578
p5,2044,31804126.072434
p5,2047,36336570.00884
p5,2050,42449300.874599
p6,2010,5520200.96634
p6,2015,7391362.644663
p6,2020,6176663.016278
p6,2023,7750919.740894
p6,2026,10470428.387845
p6,2029,11648253.179159
p6,2032,12280112.86028
p6,2035,13403224.946053
p6,2038,14314536.116653
p6,2041,16770237.490359
p6,2044,19239426.049996
p6,2047,20162697.745102
p6,2050,20694765.308219
p7,2010,100468.0053
p7,2015,236395.405308
p7,2020,-610056.183083
p7,2023,-1476547.93435
p7,2026,-1000672.41763
p7,2029,-4079637.775635
p7,2032,-10011983.110166
p7,2035,-17056468.539326
p7,2038,-22284614.5987
p7,2041,-23919072.915993
p7,2044,-25836927.79117
p7,2047,-27325665.895584
p7,2050,-28852549.605698
p8,2010,918360.262247
p8,2015,958965.674317
p8,2020,810415.450717
p8,2023,929432.883843
p8,2026,-42124.392955
p8,2029,-1393840.987848
p8,2032,-1215566.99292
p8,2035,-1296013.848388
p8,2038,-1613829.561029
p8,2041,-1389116.269338
p8,2044,-1773108.347748
p8,2047,-1649674.282123
p8,2050,-1698481.741987
p9,2010,6552330.829234
p9,2015,3047730.795399
p9,2020,31108930.840561
p9,2023,19295210.886663
p9,2026,17485204.185703
p9,2029,12266005.817444
p9,2032,22513735.578977
p9,2035,27118949.610145
p9,2038,22360328.919554
p9,2041,33725470.418805
