eall,r,t,dr,Value
CH4,p1,2023,2.5,245992842.87894166
CH4,p1,2023,2.0,314853708.2921736
CH4,p1,2023,1.5,428670026.2006666
CH4,p1,2024,2.5,251029072.46598062
CH4,p1,2024,2.0,321198616.34426653
CH4,p1,2024,1.5,436500683.7499007
CH4,p1,2025,2.5,495123948.29925007
CH4,p1,2025,2.0,633673477.1171727
CH4,p1,2025,1.5,860695295.5091385
CH4,p1,2026,2.5,503402596.9209125
CH4,p1,2026,2.0,644564500.3259162
CH4,p1,2026,1.5,874620127.8312699
CH4,p1,2027,2.5,510982867.71076345
CH4,p1,2027,2.0,654484023.8118138
CH4,p1,2027,1.5,888250654.6293713
CH4,p1,2028,2.5,428263364.8897886
CH4,p1,2028,2.0,549134209.4228977
CH4,p1,2028,1.5,745055183.7835977
CH4,p1,2029,2.5,433214892.13021076
CH4,p1,2029,2.0,556296496.9382697
CH4,p1,2029,1.5,755360227.9574182
CH4,p1,2030,2.5,437897711.997334
CH4,p1,2030,2.0,563201160.3523269
CH4,p1,2030,1.5,764956582.9447869
CH4,p1,2031,2.5,333669091.4287781
CH4,p1,2031,2.0,429454450.8732339
CH4,p1,2031,1.5,583719793.6742532
CH4,p1,2032,2.5,338213839.9024676
CH4,p1,2032,2.0,435913683.8929037
CH4,p1,2032,1.5,592856216.2293149
CH4,p1,2033,2.5,342179762.0401607
CH4,p1,2033,2.0,441954502.3724431
CH4,p1,2033,1.5,601421842.499544
CH4,p1,2034,2.5,1243658880.2272227
CH4,p1,2034,2.0,1609254084.1372652
CH4,p1,2034,1.5,2192367873.689547
CH4,p1,2035,2.5,1255669990.7090375
CH4,p1,2035,2.0,1628113157.0187066
CH4,p1,2035,1.5,2221042481.4958453
CH4,p1,2036,2.5,1266355360.5961254
CH4,p1,2036,2.0,1645052309.5126987
CH4,p1,2036,1.5,2248390753.2306232
CH4,p1,2037,2.5,2651899956.7140117
CH4,p1,2037,2.0,3454580428.297655
CH4,p1,2037,1.5,4729719535.462613
CH4,p1,2038,2.5,2668987346.2441688
CH4,p1,2038,2.0,3485631171.6821084
CH4,p1,2038,1.5,4780075678.617866
CH4,p1,2039,2.5,2683663631.730194
CH4,p1,2039,2.0,3514136064.9114246
CH4,p1,2039,1.5,4829095260.661504
CH4,p1,2040,2.5,2676584781.699423
CH4,p1,2040,2.0,3513569928.464903
CH4,p1,2040,1.5,4840445172.089985
CH4,p1,2041,2.5,2692482606.1326184
CH4,p1,2041,2.0,3544445991.3226466
CH4,p1,2041,1.5,4892215890.77545
CH4,p1,2042,2.5,2706955531.0373287
CH4,p1,2042,2.0,3573789988.6364284
CH4,p1,2042,1.5,4942524127.37004
CH4,p1,2043,2.5,2921706227.4501276
CH4,p1,2043,2.0,3869105561.504649
CH4,p1,2043,1.5,5362696160.118695
CH4,p1,2044,2.5,2932437598.5963073
CH4,p1,2044,2.0,3894294552.2166104
CH4,p1,2044,1.5,5410190828.848303
CH4,p1,2045,2.5,2939966321.5708804
CH4,p1,2045,2.0,3917008193.980426
CH4,p1,2045,1.5,5455110507.35845
CH4,p1,2046,2.5,3451671776.3995066
CH4,p1,2046,2.0,4612693020.354676
CH4,p1,2046,1.5,6441828853.230361
CH4,p1,2047,2.5,3455633214.414817
CH4,p1,2047,2.0,4633807021.9396925
CH4,p1,2047,1.5,6488629821.517475
CH4,p1,2048,2.5,3458371859.9818544
CH4,p1,2048,2.0,4652319592.851112
CH4,p1,2048,1.5,6532640621.66043
CH4,p1,2049,2.5,4015272008.0421376
CH4,p1,2049,2.0,5420767474.381441
CH4,p1,2049,1.5,7633523309.612783
CH4,p1,2050,2.5,4013518144.7423506
CH4,p1,2050,2.0,5436546436.859492
CH4,p1,2050,1.5,7679857965.991251
CH4,p10,2023,2.5,4153881051.355653
CH4,p10,2023,2.0,5316678475.34714
CH4,p10,2023,1.5,7238602059.635423
CH4,p10,2024,2.5,4238923764.009585
CH4,p10,2024,2.0,5423819776.783917
CH4,p10,2024,1.5,7370832004.347375
CH4,p10,2025,2.5,3467114458.017776
CH4,p10,2025,2.0,4437310054.829908
CH4,p10,2025,1.5,6027034469.364884
CH4,p10,2026,2.5,3525085845.642248
CH4,p10,2026,2.0,4513574643.039282
CH4,p10,2026,1.5,6124543361.098707
CH4,p10,2027,2.5,3578166829.790681
CH4,p10,2027,2.0,4583036286.760494
CH4,p10,2027,1.5,6219991373.044866
CH4,p10,2028,2.5,3949367434.9970436
CH4,p10,2028,2.0,5064016542.007395
CH4,p10,2028,1.5,6870764397.201976
CH4,p10,2029,2.5,3995029525.2901425
CH4,p10,2029,2.0,5130065864.439109
CH4,p10,2029,1.5,6965795654.164069
CH4,p10,2030,2.5,4038213644.6974454
CH4,p10,2030,2.0,5193739423.918356
CH4,p10,2030,1.5,7054291507.391065
CH4,p10,2031,2.5,6357648918.566752
CH4,p10,2031,2.0,8182719632.425658
CH4,p10,2031,1.5,11122053586.408552
CH4,p10,2032,2.5,6444243439.788918
CH4,p10,2032,2.0,8305792271.987299
CH4,p10,2032,1.5,11296136737.856684
CH4,p10,2033,2.5,6519809146.165429
CH4,p10,2033,2.0,8420892543.664392
CH4,p10,2033,1.5,11459344077.081848
CH4,p10,2034,2.5,5999002655.981221
CH4,p10,2034,2.0,7762514044.947971
CH4,p10,2034,1.5,10575263769.071913
CH4,p10,2035,2.5,6056940314.632866
CH4,p10,2035,2.0,7853484028.842942
CH4,p10,2035,1.5,10713580675.037136
CH4,p10,2036,2.5,6108483035.351484
CH4,p10,2036,2.0,7935192946.309896
CH4,p10,2036,1.5,10845499770.684534
CH4,p10,2037,2.5,6804121084.116742
CH4,p10,2037,2.0,8863601158.651102
CH4,p10,2037,1.5,12135293539.910324
CH4,p10,2038,2.5,6847963110.313961
CH4,p10,2038,2.0,8943269706.178606
CH4,p10,2038,1.5,12264494980.745222
CH4,p10,2039,2.5,6885618838.336113
CH4,p10,2039,2.0,9016406230.251108
CH4,p10,2039,1.5,12390267135.487812
CH4,p10,2040,2.5,5834886550.2381315
CH4,p10,2040,2.0,7659492820.512975
CH4,p10,2040,1.5,10552047005.908987
CH4,p10,2041,2.5,5869543401.983513
CH4,p10,2041,2.0,7726801849.961529
CH4,p10,2041,1.5,10664905852.084665
CH4,p10,2042,2.5,5901094009.102889
CH4,p10,2042,2.0,7790771015.603911
CH4,p10,2042,1.5,10774576524.606983
CH4,p10,2043,2.5,4388517174.947053
CH4,p10,2043,2.0,5811548077.222336
CH4,p10,2043,1.5,8054979649.080831
CH4,p10,2044,2.5,4404636114.675925
CH4,p10,2044,2.0,5849382927.735523
CH4,p10,2044,1.5,8126318501.5226145
CH4,p10,2045,2.5,4415944551.4273405
CH4,p10,2045,2.0,5883499707.187745
CH4,p10,2045,1.5,8193789617.811716
CH4,p10,2046,2.5,4352045970.669183
CH4,p10,2046,2.0,5815921493.586687
CH4,p10,2046,1.5,8122190382.101037
CH4,p10,2047,2.5,4357040756.230911
CH4,p10,2047,2.0,5842543116.810267
CH4,p10,2047,1.5,8181199459.050357
CH4,p10,2048,2.5,4360493781.946338
CH4,p10,2048,2.0,5865884721.939886
CH4,p10,2048,1.5,8236690547.959125
CH4,p10,2049,2.5,3722223741.8515635
CH4,p10,2049,2.0,5025141348.278885
CH4,p10,2049,1.5,7076402704.501368
CH4,p10,2050,2.5,3720597881.4860992
CH4,p10,2050,2.0,5039768708.178775
CH4,p10,2050,1.5,7119355699.391135
CH4,p100,2023,2.5,742084763.8829118
CH4,p100,2023,2.0,949816820.0391104
CH4,p100,2023,1.5,1293165652.520028
CH4,p100,2024,2.5,757277519.9006028
CH4,p100,2024,2.0,968957456.565732
CH4,p100,2024,1.5,1316788338.4098408
CH4,p100,2025,2.5,857354807.9537196
CH4,p100,2025,2.0,1097266662.5101361
CH4,p100,2025,1.5,1490376808.3177269
CH4,p100,2026,2.5,871690085.4605386
CH4,p100,2026,2.0,1116125518.244394
CH4,p100,2026,1.5,1514488996.7552633
CH4,p100,2027,2.5,884816054.4822229
CH4,p100,2027,2.0,1133302128.6314645
CH4,p100,2027,1.5,1538091566.8297596
CH4,p100,2028,2.5,590434214.3689167
CH4,p100,2028,2.0,757075323.5153399
CH4,p100,2028,1.5,1027185858.4307463
CH4,p100,2029,2.5,597260740.6044197
CH4,p100,2029,2.0,766949760.4831418
CH4,p100,2029,1.5,1041393122.3707111
CH4,p100,2030,2.5,603716807.8190124
CH4,p100,2030,2.0,776469018.6139646
CH4,p100,2030,1.5,1054623337.1924491
CH4,p100,2031,2.5,495551080.5740511
CH4,p100,2031,2.0,637807404.5644491
CH4,p100,2031,1.5,866915701.6285452
CH4,p100,2032,2.5,502300746.8599823
CH4,p100,2032,2.0,647400381.51317
CH4,p100,2032,1.5,880484726.1083219
CH4,p100,2033,2.5,508190764.99858433
CH4,p100,2033,2.0,656371947.0611476
CH4,p100,2033,1.5,893206028.3297222
CH4,p100,2034,2.5,379412223.0235733
CH4,p100,2034,2.0,490947058.8596851
CH4,p100,2034,1.5,668841900.1921487
CH4,p100,2035,2.5,383076541.4322148
CH4,p100,2035,2.0,496700535.8619993
CH4,p100,2035,1.5,677589875.111227
CH4,p100,2036,2.5,386336406.3414321
