i,r,t,Value
battery_4,p6,2026,2.3
battery_4,p6,2029,2.3
battery_4,p6,2032,2.3
battery_4,p6,2035,2.3
battery_4,p6,2038,2.3
battery_4,p6,2041,2.5
battery_4,p6,2044,2.5
battery_4,p6,2047,2.5
battery_4,p6,2050,2.5
battery_4,p7,2026,0.2
battery_4,p7,2029,0.2
battery_4,p7,2032,0.2
battery_4,p7,2035,0.2
battery_4,p7,2038,0.2
battery_4,p8,2029,150.0
battery_4,p8,2032,150.0
battery_4,p8,2035,150.0
battery_4,p8,2038,150.0
battery_4,p8,2041,171.597163
battery_4,p8,2044,192.364994
battery_4,p8,2047,373.250948
battery_4,p8,2050,373.250948
battery_4,p9,2015,6.0
battery_4,p9,2020,7.0
battery_4,p9,2023,2121.187467
battery_4,p9,2026,2323.187467
battery_4,p9,2029,2323.187467
battery_4,p9,2032,2317.187467
battery_4,p9,2035,2316.187467
battery_4,p9,2038,202.0
battery_4,p9,2044,181.453133
battery_4,p9,2047,707.012564
battery_4,p9,2050,707.012564
battery_4,p10,2015,3.0
battery_4,p10,2020,145.2
battery_4,p10,2023,4998.554083
battery_4,p10,2026,7076.054083
battery_4,p10,2029,7076.054083
battery_4,p10,2032,7073.054083
battery_4,p10,2035,6930.854083
battery_4,p10,2038,2077.5
battery_4,p10,2041,3274.085491
battery_4,p10,2044,3274.085491
battery_4,p10,2047,3274.085491
battery_4,p10,2050,3274.085491
battery_4,p11,2015,4.0
battery_4,p11,2020,335.5
battery_4,p11,2023,542.5
battery_4,p11,2026,849.6
battery_4,p11,2029,849.6
battery_4,p11,2032,845.6
battery_4,p11,2035,514.1
battery_4,p11,2038,307.1
battery_4,p11,2041,301.348916
battery_4,p11,2044,301.348916
battery_4,p11,2047,301.348916
battery_4,p11,2050,301.348916
battery_4,p12,2038,218.364801
battery_4,p12,2041,218.364801
battery_4,p12,2044,218.364801
battery_4,p12,2047,218.364801
battery_4,p12,2050,218.364801
battery_4,p13,2023,48.8
battery_4,p13,2026,600.0
battery_4,p13,2029,1452.341666
battery_4,p13,2032,1452.341666
battery_4,p13,2035,1452.341666
battery_4,p13,2038,2357.106881
battery_4,p13,2041,1805.906881
battery_4,p13,2044,953.565215
battery_4,p13,2047,953.565215
battery_4,p13,2050,953.565215
battery_4,p15,2023,129.0
battery_4,p15,2026,129.0
battery_4,p15,2029,129.0
battery_4,p15,2032,129.0
battery_4,p15,2035,129.0
battery_4,p16,2023,2.0
battery_4,p16,2026,2.0
battery_4,p16,2029,2.0
battery_4,p16,2032,2.0
battery_4,p16,2035,2.0
battery_4,p18,2026,100.0
battery_4,p18,2029,100.0
battery_4,p18,2032,100.0
battery_4,p18,2035,100.0
battery_4,p18,2038,100.0
battery_4,p21,2038,240.653736
battery_4,p21,2041,240.653736
battery_4,p21,2044,240.653736
battery_4,p21,2047,240.653736
battery_4,p21,2050,240.653736
battery_4,p25,2041,710.967313
battery_4,p25,2044,1208.497077
battery_4,p25,2047,1394.301289
battery_4,p25,2050,1735.133851
battery_4,p26,2038,667.563007
battery_4,p26,2041,834.149626
battery_4,p26,2044,894.534027
battery_4,p26,2047,894.534027
battery_4,p26,2050,894.534027
battery_4,p27,2044,108.767747
battery_4,p27,2047,108.767747
battery_4,p27,2050,108.767747
battery_4,p28,2023,936.855138
battery_4,p28,2026,1186.855138
battery_4,p28,2029,1186.855138
battery_4,p28,2032,1186.855138
battery_4,p28,2035,1186.855138
battery_4,p28,2038,1426.776246
battery_4,p28,2041,1176.776246
battery_4,p28,2044,1312.433199
battery_4,p28,2047,1312.433199
battery_4,p28,2050,1312.433199
battery_4,p29,2038,120.982723
battery_4,p29,2041,120.982723
battery_4,p29,2044,120.982723
battery_4,p29,2047,120.982723
battery_4,p29,2050,120.982723
battery_4,p30,2029,650.598179
battery_4,p30,2032,650.598179
battery_4,p30,2035,650.598179
battery_4,p30,2038,1249.528708
battery_4,p30,2041,1249.528708
battery_4,p30,2044,598.930528
battery_4,p30,2047,598.930528
battery_4,p30,2050,598.930528
battery_4,p31,2023,74.0
battery_4,p31,2026,224.0
battery_4,p31,2029,224.0
battery_4,p31,2032,224.0
battery_4,p31,2035,224.0
battery_4,p31,2038,1255.458413
battery_4,p31,2041,1105.458413
battery_4,p31,2044,1105.458413
battery_4,p31,2047,1105.458413
battery_4,p31,2050,1105.458413
battery_4,p33,2023,5.0
battery_4,p33,2026,5.0
battery_4,p33,2029,5.0
battery_4,p33,2032,5.0
battery_4,p33,2035,5.0
battery_4,p34,2023,225.0
battery_4,p34,2026,225.0
battery_4,p34,2029,225.0
battery_4,p34,2032,225.0
battery_4,p34,2035,225.0
battery_4,p34,2038,32.543513
battery_4,p34,2041,794.643755
battery_4,p34,2044,794.643755
battery_4,p34,2047,903.37
battery_4,p34,2050,1319.56
battery_4,p37,2029,135.0
battery_4,p37,2032,135.0
battery_4,p37,2035,135.0
battery_4,p37,2038,135.0
battery_4,p37,2041,135.0
battery_4,p39,2041,49.943768
battery_4,p39,2044,49.943768
battery_4,p39,2047,49.943768
battery_4,p39,2050,49.943768
battery_4,p40,2023,1.0
battery_4,p40,2026,1.0
battery_4,p40,2029,1.0
battery_4,p40,2032,1.0
battery_4,p40,2035,1.0
battery_4,p43,2023,0.768718
battery_4,p43,2026,0.768718
battery_4,p43,2029,0.768718
battery_4,p43,2032,0.768718
battery_4,p43,2035,0.768718
battery_4,p43,2038,778.234676
battery_4,p43,2041,778.234676
battery_4,p43,2044,778.234676
battery_4,p43,2047,778.234676
battery_4,p43,2050,778.234676
battery_4,p45,2038,1235.415908
battery_4,p45,2041,1235.415908
battery_4,p45,2044,1235.415908
battery_4,p45,2047,1235.415908
battery_4,p45,2050,1235.415908
battery_4,p46,2038,41.169617
battery_4,p46,2041,41.169617
battery_4,p46,2044,41.169617
battery_4,p46,2047,41.169617
battery_4,p46,2050,41.169617
battery_4,p47,2035,438.165251
battery_4,p47,2038,762.680791
battery_4,p47,2041,1013.562152
battery_4,p47,2044,1013.562152
battery_4,p47,2047,1013.562152
battery_4,p47,2050,628.873715
battery_4,p48,2026,200.0
battery_4,p48,2029,200.0
battery_4,p48,2032,200.0
battery_4,p48,2035,200.0
battery_4,p48,2038,2190.846661
battery_4,p48,2041,2201.021071
battery_4,p48,2044,2201.021071
battery_4,p48,2047,2201.021071
battery_4,p48,2050,2201.021071
battery_4,p52,2038,20.642807
battery_4,p52,2041,118.701074
battery_4,p52,2044,118.701074
battery_4,p52,2047,118.701074
battery_4,p52,2050,118.701074
battery_4,p53,2038,367.684865
battery_4,p53,2041,515.75945
battery_4,p53,2044,515.75945
battery_4,p53,2047,515.75945
battery_4,p53,2050,515.75945
battery_4,p54,2041,387.904088
battery_4,p54,2044,387.904088
battery_4,p54,2047,387.904088
battery_4,p54,2050,387.904088
battery_4,p57,2038,136.257768
battery_4,p57,2041,859.438801
battery_4,p57,2044,859.438801
battery_4,p57,2047,859.438801
battery_4,p57,2050,859.438801
battery_4,p58,2029,135.0
battery_4,p58,2032,135.0
battery_4,p58,2035,135.0
battery_4,p58,2038,2714.710554
battery_4,p58,2041,2714.710554
battery_4,p58,2044,2579.710554
battery_4,p58,2047,2910.89289
battery_4,p58,2050,3775.540342
battery_4,p59,2035,117.356683
battery_4,p59,2038,372.217233
battery_4,p59,2041,372.217233
battery_4,p59,2044,372.217233
battery_4,p59,2047,372.217233
battery_4,p59,2050,254.86055
battery_4,p60,2023,50.0
battery_4,p60,2026,250.0
battery_4,p60,2029,250.0
battery_4,p60,2032,250.0
battery_4,p60,2035,250.0
battery_4,p60,2038,200.0
battery_4,p60,2041,411.506536
battery_4,p60,2044,1984.420458
battery_4,p60,2047,1984.420458
battery_4,p60,2050,1984.420458
battery_4,p61,2023,306.3
battery_4,p61,2026,821.7
battery_4,p61,2029,821.7
battery_4,p61,2032,821.7
battery_4,p61,2035,821.7
battery_4,p61,2038,515.4
battery_4,p62,2023,608.5
battery_4,p62,2026,608.5
battery_4,p62,2029,608.5
battery_4,p62,2032,608.5
battery_4,p62,2035,608.5
battery_4,p62,2041,647.254373
battery_4,p62,2044,647.254373
battery_4,p62,2047,647.254373
battery_4,p62,2050,647.254373
battery_4,p63,2023,791.17181
battery_4,p63,2026,982.97181
battery_4,p63,2029,1414.903682
battery_4,p63,2032,1414.903682
battery_4,p63,2035,1414.903682
battery_4,p63,2038,623.731872
battery_4,p63,2041,431.931872
battery_4,p63,2044,3011.019447
battery_4,p63,2047,3011.019447
battery_4,p63,2050,3011.019447
battery_4,p64,2023,419.9
battery_4,p64,2026,599.9
battery_4,p64,2029,2604.877544
battery_4,p64,2032,2604.877544
battery_4,p64,2035,2604.877544
battery_4,p64,2038,2184.977544
battery_4,p64,2041,2004.977544
battery_4,p64,2044,603.839241
battery_4,p64,2047,603.839241
battery_4,p64,2050,603.839241
battery_4,p65,2023,413.6
battery_4,p65,2026,573.5
battery_4,p65,2029,3244.070618
battery_4,p65,2032,3244.070618
battery_4,p65,2035,3244.070618
battery_4,p65,2038,2830.470618
battery_4,p65,2041,2670.570618
battery_4,p65,2044,2630.133143
battery_4,p65,2047,2630.133143
battery_4,p65,2050,2630.133143
battery_4,p66,2038,203.75257
battery_4,p66,2041,203.75257
battery_4,p66,2044,1284.531473
battery_4,p66,2047,2511.006515
battery_4,p66,2050,2642.881448
battery_4,p67,2023,250.0
battery_4,p67,2026,400.0
battery_4,p67,2029,400.0
battery_4,p67,2032,400.0
battery_4,p67,2035,400.0
battery_4,p67,2038,150.0
battery_4,p67,2041,4791.362262
battery_4,p67,2044,5684.316741
battery_4,p67,2047,5684.316741
battery_4,p67,2050,5684.316741
battery_4,p68,2029,135.0
battery_4,p68,2032,135.0
battery_4,p68,2035,135.0
battery_4,p68,2038,135.0
battery_4,p68,2041,135.0
battery_4,p69,2038,347.593375
battery_4,p69,2041,347.593375
battery_4,p69,2044,347.593375
battery_4,p69,2047,347.593375
battery_4,p69,2050,347.593375
battery_4,p70,2023,5.0
battery_4,p70,2026,5.0
battery_4,p70,2029,5.0
battery_4,p70,2032,5.0
battery_4,p70,2035,5.0
battery_4,p71,2038,461.824571
battery_4,p71,2041,461.824571
battery_4,p71,2044,773.211202
battery_4,p71,2047,773.211202
battery_4,p71,2050,773.211202
battery_4,p72,2029,135.0
battery_4,p72,2032,135.0
battery_4,p72,2035,135.0
battery_4,p72,2038,352.045291
battery_4,p72,2041,352.045291
battery_4,p72,2044,917.87781
battery_4,p72,2047,917.87781
battery_4,p72,2050,917.87781
battery_4,p74,2026,797.214728
battery_4,p74,2029,797.214728
battery_4,p74,2032,797.214728
battery_4,p74,2035,797.214728
battery_4,p74,2038,797.214728
battery_4,p74,2044,341.033144
battery_4,p74,2047,341.033144
battery_4,p74,2050,341.033144
battery_4,p75,2038,185.189746
battery_4,p75,2041,185.189746
battery_4,p75,2044,462.925207
battery_4,p75,2047,462.925207
battery_4,p75,2050,462.925207
battery_4,p76,2023,5.0
battery_4,p76,2026,5.0
battery_4,p76,2029,5.0
battery_4,p76,2032,5.0
battery_4,p76,2035,5.0
battery_4,p77,2023,0.3
battery_4,p77,2026,0.3
battery_4,p77,2029,0.3
battery_4,p77,2032,0.3
battery_4,p77,2035,0.3
battery_4,p77,2038,6.66942
