eall,i,r,t,Value
CO2,biopower,p1,2010,841.765219
CO2,biopower,p3,2010,3503.640307
CO2,biopower,p3,2015,942.97896
CO2,biopower,p3,2020,942.97896
CO2,biopower,p3,2023,942.97896
CO2,biopower,p3,2026,942.97896
CO2,biopower,p5,2010,192.412962
CO2,biopower,p5,2015,148.368996
CO2,biopower,p5,2020,148.368996
CO2,biopower,p5,2023,148.368996
CO2,biopower,p5,2026,148.528711
CO2,biopower,p5,2029,148.368996
CO2,biopower,p5,2032,129.615696
CO2,biopower,p5,2035,136.080833
CO2,biopower,p5,2038,129.224172
CO2,biopower,p5,2041,129.703392
CO2,biopower,p5,2044,111.686882
CO2,biopower,p5,2047,114.274237
CO2,biopower,p5,2050,113.186278
CO2,biopower,p6,2010,1053.249637
CO2,biopower,p6,2015,1052.906098
CO2,biopower,p6,2020,1053.0461
CO2,biopower,p6,2023,1053.249637
CO2,biopower,p6,2026,1053.109635
CO2,biopower,p6,2029,1053.007866
CO2,biopower,p6,2032,333.019109
CO2,biopower,p6,2035,2402.497001
CO2,biopower,p6,2038,1935.29151
CO2,biopower,p6,2041,2018.236458
CO2,biopower,p6,2044,1932.341478
CO2,biopower,p6,2047,1932.341478
CO2,biopower,p6,2050,1905.156322
CO2,biopower,p8,2010,5713.775739
CO2,biopower,p8,2015,7860.602917
CO2,biopower,p8,2020,7860.602917
CO2,biopower,p8,2023,5890.893921
CO2,biopower,p8,2026,5669.26107
CO2,biopower,p8,2029,3842.186782
CO2,biopower,p8,2032,2545.440246
CO2,biopower,p9,2010,16994.441695
CO2,biopower,p9,2015,111665.601165
CO2,biopower,p9,2020,96623.36754
CO2,biopower,p9,2023,37160.691636
CO2,biopower,p9,2026,44424.481136
CO2,biopower,p9,2029,40239.116003
CO2,biopower,p9,2032,21291.187812
CO2,biopower,p9,2035,11519.540756
CO2,biopower,p9,2038,10360.692091
CO2,biopower,p9,2041,10854.183264
CO2,biopower,p9,2044,10309.28075
CO2,biopower,p9,2047,11181.116513
CO2,biopower,p9,2050,11116.302315
CO2,biopower,p10,2010,15360.307873
CO2,biopower,p10,2015,40557.564107
CO2,biopower,p10,2020,46684.030334
CO2,biopower,p10,2023,30412.029256
CO2,biopower,p10,2026,35085.306669
CO2,biopower,p10,2029,34826.554902
CO2,biopower,p10,2032,23988.429555
CO2,biopower,p10,2035,17968.524112
CO2,biopower,p10,2038,8297.929844
CO2,biopower,p10,2041,8289.414301
CO2,biopower,p10,2044,8225.005339
CO2,biopower,p10,2047,8687.56193
CO2,biopower,p10,2050,8918.258268
CO2,biopower,p14,2010,157.05769
CO2,biopower,p14,2015,157.05769
CO2,biopower,p14,2020,157.05769
CO2,biopower,p14,2023,157.05769
CO2,biopower,p14,2026,157.05769
CO2,biopower,p15,2010,164.078654
CO2,biopower,p15,2015,448.598023
CO2,biopower,p15,2020,448.598023
CO2,biopower,p15,2023,448.598023
CO2,biopower,p15,2026,448.598023
CO2,biopower,p15,2029,3007.091029
CO2,biopower,p15,2032,3120.963834
CO2,biopower,p15,2035,2675.83713
CO2,biopower,p15,2038,2554.747349
CO2,biopower,p15,2041,2293.278879
CO2,biopower,p15,2044,2194.966904
CO2,biopower,p15,2047,2194.413771
CO2,biopower,p15,2050,2172.763375
CO2,biopower,p16,2015,87.27588
CO2,biopower,p16,2020,87.27588
CO2,biopower,p16,2023,87.27588
CO2,biopower,p16,2026,87.27588
CO2,biopower,p16,2029,790.480316
CO2,biopower,p16,2032,826.532499
CO2,biopower,p16,2035,682.881341
CO2,biopower,p16,2038,646.692113
CO2,biopower,p16,2041,581.25494
CO2,biopower,p16,2044,542.545452
CO2,biopower,p16,2047,543.095409
CO2,biopower,p16,2050,557.322573
CO2,biopower,p25,2015,52.365528
CO2,biopower,p25,2020,52.365528
CO2,biopower,p25,2023,52.365528
CO2,biopower,p25,2026,52.365528
CO2,biopower,p25,2029,633.860907
CO2,biopower,p25,2032,570.831076
CO2,biopower,p25,2035,484.118344
CO2,biopower,p25,2038,465.612501
CO2,biopower,p25,2041,448.835503
CO2,biopower,p25,2044,428.347889
CO2,biopower,p25,2047,437.110253
CO2,biopower,p25,2050,433.904359
CO2,biopower,p28,2010,482.403354
CO2,biopower,p28,2015,482.403354
CO2,biopower,p28,2020,482.403354
CO2,biopower,p28,2023,482.403354
CO2,biopower,p28,2026,482.403354
CO2,biopower,p28,2029,482.403354
CO2,biopower,p28,2032,1885.417889
CO2,biopower,p28,2035,4202.435339
CO2,biopower,p28,2038,3982.454454
CO2,biopower,p28,2041,4021.360072
CO2,biopower,p28,2044,3745.746397
CO2,biopower,p28,2047,3818.866851
CO2,biopower,p28,2050,3632.059456
CO2,biopower,p29,2010,64.137654
CO2,biopower,p29,2015,64.137654
CO2,biopower,p29,2020,64.137654
CO2,biopower,p29,2023,64.137654
CO2,biopower,p29,2026,64.137654
CO2,biopower,p29,2029,64.137654
CO2,biopower,p29,2032,228.685148
CO2,biopower,p29,2035,502.102649
CO2,biopower,p29,2038,476.238921
CO2,biopower,p29,2041,460.482966
CO2,biopower,p29,2044,449.335152
CO2,biopower,p29,2047,444.906652
CO2,biopower,p31,2010,47.217171
CO2,biopower,p31,2015,47.217171
CO2,biopower,p31,2020,47.217171
CO2,biopower,p31,2023,47.217171
CO2,biopower,p31,2026,47.217171
CO2,biopower,p31,2029,47.217171
CO2,biopower,p33,2010,214.539303
CO2,biopower,p33,2015,390.995942
CO2,biopower,p33,2020,390.995942
CO2,biopower,p33,2023,390.995942
CO2,biopower,p33,2026,390.995942
CO2,biopower,p33,2029,1851.560962
CO2,biopower,p33,2032,2273.027594
CO2,biopower,p33,2035,2259.635645
CO2,biopower,p33,2038,2182.97345
CO2,biopower,p33,2041,2131.595405
CO2,biopower,p33,2044,2048.795652
CO2,biopower,p33,2047,1377.641012
CO2,biopower,p33,2050,1391.016003
CO2,biopower,p43,2010,1945.013435
CO2,biopower,p43,2015,2065.631345
CO2,biopower,p43,2020,1083.357901
CO2,biopower,p43,2023,1116.260333
CO2,biopower,p43,2026,1115.113229
CO2,biopower,p43,2029,1063.020218
