i,r,t,Value
battery_4,p6,2026,-169.000127
battery_4,p6,2029,-238.083302
battery_4,p6,2032,-410.6299
battery_4,p6,2035,-658.350151
battery_4,p6,2038,-631.302245
battery_4,p6,2041,-732.378057
battery_4,p6,2044,-672.642964
battery_4,p6,2047,-760.384932
battery_4,p6,2050,-746.774064
battery_4,p7,2026,-16.61791
battery_4,p7,2029,-31.545616
battery_4,p7,2032,-50.081816
battery_4,p7,2035,-64.656823
battery_4,p7,2038,-56.214723
battery_4,p8,2029,-45588.189359
battery_4,p8,2032,-44339.036078
battery_4,p8,2035,-50585.219562
battery_4,p8,2038,-52148.692395
battery_4,p8,2041,-59554.369694
battery_4,p8,2044,-65805.271955
battery_4,p8,2047,-120295.534297
battery_4,p8,2050,-122714.102414
battery_4,p9,2020,-166.642771
battery_4,p9,2023,-169202.3742
battery_4,p9,2026,-353533.236008
battery_4,p9,2029,-464297.229818
battery_4,p9,2032,-525534.594773
battery_4,p9,2035,-584804.566641
battery_4,p9,2038,-49990.151339
battery_4,p9,2044,-41534.542393
battery_4,p9,2047,-157742.700183
battery_4,p9,2050,-156015.680304
battery_4,p10,2020,-4279.393099
battery_4,p10,2023,-738504.245013
battery_4,p10,2026,-1244191.795155
battery_4,p10,2029,-1476503.267942
battery_4,p10,2032,-1620343.969003
battery_4,p10,2035,-1954760.214729
battery_4,p10,2038,-561297.318599
battery_4,p10,2041,-867131.018339
battery_4,p10,2044,-788991.417548
battery_4,p10,2047,-779769.982777
battery_4,p10,2050,-734911.419873
battery_4,p11,2020,-11482.527086
battery_4,p11,2023,-49974.876551
battery_4,p11,2026,-122420.533126
battery_4,p11,2029,-175467.976324
battery_4,p11,2032,-185873.789415
battery_4,p11,2035,-139987.79924
battery_4,p11,2038,-75590.13186
battery_4,p11,2041,-74930.057687
battery_4,p11,2044,-70172.334808
battery_4,p11,2047,-71153.409976
battery_4,p11,2050,-70360.200181
battery_4,p12,2038,-57308.088772
battery_4,p12,2041,-57805.003106
battery_4,p12,2044,-56920.309342
battery_4,p12,2047,-60379.549223
battery_4,p12,2050,-59913.349776
battery_4,p13,2023,-12392.118377
battery_4,p13,2026,-135659.19039
battery_4,p13,2029,-366331.555913
battery_4,p13,2032,-349860.022709
battery_4,p13,2035,-449673.519672
battery_4,p13,2038,-614377.133374
battery_4,p13,2041,-501838.278763
battery_4,p13,2044,-256910.305862
battery_4,p13,2047,-272021.793284
battery_4,p13,2050,-260856.340831
battery_4,p15,2023,-1548.314116
battery_4,p15,2026,-10087.194233
battery_4,p15,2029,-19559.523271
battery_4,p15,2032,-27913.806587
battery_4,p15,2035,-42518.934858
battery_4,p16,2023,-71.119967
battery_4,p16,2026,-188.809438
battery_4,p16,2029,-343.774258
battery_4,p16,2032,-448.777153
battery_4,p16,2035,-682.561038
battery_4,p18,2026,-1485.191428
battery_4,p18,2029,-15530.703791
battery_4,p18,2032,-29940.518075
battery_4,p18,2035,-38186.849601
battery_4,p18,2038,-37080.373757
battery_4,p21,2038,-81772.725941
battery_4,p21,2041,-81400.997866
battery_4,p21,2044,-80225.479246
battery_4,p21,2047,-85575.422347
battery_4,p21,2050,-89114.275482
battery_4,p25,2041,-168777.411704
battery_4,p25,2044,-277663.956624
battery_4,p25,2047,-325518.313311
battery_4,p25,2050,-397334.226979
battery_4,p26,2038,-181301.287699
battery_4,p26,2041,-234877.91398
battery_4,p26,2044,-249905.864433
battery_4,p26,2047,-262745.875828
battery_4,p26,2050,-264990.604945
battery_4,p27,2044,-36299.358294
battery_4,p27,2047,-37033.055019
battery_4,p27,2050,-39385.537508
battery_4,p28,2023,-107433.679845
battery_4,p28,2026,-166593.075542
battery_4,p28,2029,-209811.088829
battery_4,p28,2032,-297045.033946
battery_4,p28,2035,-382578.195251
battery_4,p28,2038,-409522.554955
battery_4,p28,2041,-375917.55457
battery_4,p28,2044,-419167.288855
battery_4,p28,2047,-428990.107398
battery_4,p28,2050,-447818.870387
battery_4,p29,2038,-45931.346319
battery_4,p29,2041,-48214.087773
battery_4,p29,2044,-49396.546084
battery_4,p29,2047,-49363.417173
battery_4,p29,2050,-49288.078054
battery_4,p30,2029,-119444.574037
battery_4,p30,2032,-175757.143973
battery_4,p30,2035,-206552.52831
battery_4,p30,2038,-369811.463034
battery_4,p30,2041,-377204.763327
battery_4,p30,2044,-188685.407602
battery_4,p30,2047,-182730.748069
battery_4,p30,2050,-196534.36144
battery_4,p31,2023,-14988.75067
battery_4,p31,2026,-47924.801906
battery_4,p31,2029,-52159.609392
battery_4,p31,2032,-76600.147856
battery_4,p31,2035,-99173.59544
battery_4,p31,2038,-494381.135907
battery_4,p31,2041,-448858.137894
battery_4,p31,2044,-447085.65806
battery_4,p31,2047,-461919.094839
battery_4,p31,2050,-478967.749046
battery_4,p33,2023,-937.760183
battery_4,p33,2026,-833.018969
battery_4,p33,2029,-1475.651512
battery_4,p33,2032,-1772.085307
battery_4,p33,2035,-2192.45853
battery_4,p34,2023,-43842.223592
battery_4,p34,2026,-38792.062377
battery_4,p34,2029,-65393.319405
battery_4,p34,2032,-79958.269259
battery_4,p34,2035,-97714.429676
battery_4,p34,2038,-13896.018214
battery_4,p34,2041,-335661.577712
battery_4,p34,2044,-344645.731191
battery_4,p34,2047,-395167.570966
battery_4,p34,2050,-572795.321768
battery_4,p37,2029,-25844.021632
battery_4,p37,2032,-42230.084561
battery_4,p37,2035,-57328.231318
battery_4,p37,2038,-52959.34542
battery_4,p37,2041,-53360.964217
battery_4,p39,2041,-23621.512548
battery_4,p39,2044,-23627.148451
battery_4,p39,2047,-24291.231879
battery_4,p39,2050,-24456.991936
battery_4,p40,2023,-256.964164
battery_4,p40,2026,-259.832462
battery_4,p40,2029,-332.74426
battery_4,p40,2032,-386.211929
battery_4,p40,2035,-474.219495
battery_4,p43,2023,-162.203363
battery_4,p43,2026,-175.325537
battery_4,p43,2029,-142.221071
battery_4,p43,2032,-228.633023
battery_4,p43,2035,-327.926944
battery_4,p43,2038,-299602.722958
battery_4,p43,2041,-294721.207417
battery_4,p43,2044,-298271.135593
battery_4,p43,2047,-294759.488474
battery_4,p43,2050,-281054.663002
battery_4,p45,2038,-515423.845387
battery_4,p45,2041,-511739.179878
battery_4,p45,2044,-510365.859876
battery_4,p45,2047,-496837.864022
battery_4,p45,2050,-482985.999707
battery_4,p46,2038,-15682.017586
battery_4,p46,2041,-15675.96339
battery_4,p46,2044,-15370.019931
battery_4,p46,2047,-15229.031434
