,,damage_$,damage_$,damage_$,damage_$,damage_$,damage_$,mortality,mortality,mortality,mortality,mortality,mortality
,,count,mean,std,min,50%,max,count,mean,std,min,50%,max
state_abbr,year,,,,,,,,,,,,
AL,2010,6.0,2528959652.56,1320489536.8254106,1204045881.6399999,2422029681.965,4497794809.44,6.0,364.78475000000003,190.47144437158818,173.67510000000001,349.3609,648.7756
AL,2015,6.0,606593361.7183334,341714251.6546543,270995700.28,576441996.12,1173257110.09,6.0,87.49686666666666,49.289878197076796,39.0893,83.14775,169.23409999999998
AL,2020,6.0,683934000.9,357449866.41187763,326394925.29999995,656399748.075,1218402338.58,6.0,98.6527,51.55964813875284,47.080200000000005,94.68105,175.74599999999998
AL,2023,6.0,1016153596.09,539660237.9917561,476001651.61,970677589.755,1845795195.0,6.0,146.57305,77.84222549765005,68.6599,140.0135,266.243
AL,2026,6.0,910074635.6199999,484836350.29602665,425481365.61999995,869505444.125,1659401261.5,6.0,131.2718833333333,69.9342371141465,61.3726,125.42009999999999,239.357
AL,2029,6.0,1528547816.2366667,817548134.193639,713631488.1,1461747571.01,2800588899.48,6.0,220.4823333333333,117.92563446207387,102.9363,210.8468,403.96529999999996
AL,2032,6.0,666125343.0666667,370830526.47500837,299769794.04,632879398.725,1273326006.9,6.0,96.08388333333335,53.48969450338697,43.2397,91.28835000000001,183.6683
AL,2035,6.0,150459423.10166666,81321739.79819284,69216975.4,143167567.85,278777324.94,6.0,21.70273333333333,11.730113584218469,9.9841,20.650949999999998,40.2118
AL,2038,6.0,173617530.28333333,92491722.85174423,80957169.1,165582934.425,316460461.76,6.0,25.043116666666666,13.341288726568612,11.6775,23.884149999999998,45.647200000000005
AL,2041,6.0,150194016.005,80141185.81702591,69873435.77,143129915.74,274248397.75,6.0,21.664433333333335,11.559803904161468,10.0788,20.64545,39.5585
AL,2044,6.0,144906832.87166667,77413219.87075862,67343443.94,138073617.305,264966889.3,6.0,20.901783333333334,11.166328900836955,9.713799999999999,19.9162,38.2196
AL,2047,6.0,244827672.32499996,128123584.36493932,116792133.82000001,235062558.23,436932673.94,6.0,35.314733333333336,18.480969539898783,16.8465,33.90615,63.0246
