eall,r,t,dr,Value
CH4,p1,2020,2.5,636426255.4871
CH4,p1,2020,2.0,783293852.9072
CH4,p1,2020,1.5,1125984913.5541
CH4,p1,2023,2.5,350381835.7354
CH4,p1,2023,2.0,435609849.83320004
CH4,p1,2023,1.5,608433322.86485
CH4,p1,2026,2.5,744077076.3076999
CH4,p1,2026,2.0,932337541.3975999
CH4,p1,2026,1.5,1272999335.3697999
CH4,p1,2029,2.5,527033927.3124
CH4,p1,2029,2.0,664521038.7852
CH4,p1,2029,1.5,890801909.75085
CH4,p1,2032,2.5,304404387.50076
CH4,p1,2032,2.0,381244329.97668
CH4,p1,2032,1.5,502415008.4964
CH4,p1,2035,2.5,267807738.9878
CH4,p1,2035,2.0,331848720.05009997
CH4,p1,2035,1.5,430821145.3282
CH4,p1,2038,2.5,1692887159.14398
CH4,p1,2038,2.0,2079451943.51544
CH4,p1,2038,1.5,2665964030.148
CH4,p1,2041,2.5,2152642220.04184
CH4,p1,2041,2.0,2624984577.67692
CH4,p1,2041,1.5,3337369772.7986803
CH4,p1,2044,2.5,3979034805.8437595
CH4,p1,2044,2.0,4822273969.996079
CH4,p1,2044,1.5,6113483940.10432
CH4,p1,2047,2.5,4168913120.3212004
CH4,p1,2047,2.0,5025714283.0866
CH4,p1,2047,1.5,6355674296.9314
CH4,p1,2050,2.5,5012717378.4905
CH4,p1,2050,2.0,6015260854.188601
CH4,p1,2050,1.5,7590686315.999901
CH4,p10,2020,2.5,2624026953.8444
CH4,p10,2020,2.0,3229571635.5007997
CH4,p10,2020,1.5,4642509226.0324
CH4,p10,2023,2.5,5604120620.575001
CH4,p10,2023,2.0,6967285095.85
CH4,p10,2023,1.5,9731479726.268751
CH4,p10,2026,2.5,4837730321.64842
CH4,p10,2026,2.0,6061734378.9329605
CH4,p10,2026,1.5,8276598863.54308
CH4,p10,2029,2.5,6802532270.92976
CH4,p10,2029,2.0,8577105906.82448
CH4,p10,2029,1.5,11497758349.23454
CH4,p10,2032,2.5,14323909302.996862
CH4,p10,2032,2.0,17939653398.898983
CH4,p10,2032,1.5,23641403703.975403
CH4,p10,2035,2.5,15839085457.255701
CH4,p10,2035,2.0,19626692849.208153
CH4,p10,2035,1.5,25480267909.498302
CH4,p10,2038,2.5,17761282770.15996
CH4,p10,2038,2.0,21817008757.046883
CH4,p10,2038,1.5,27970524047.496002
CH4,p10,2041,2.5,19455168046.52164
CH4,p10,2041,2.0,23724107797.73682
CH4,p10,2041,1.5,30162508733.99578
CH4,p10,2044,2.5,21309453844.429256
CH4,p10,2044,2.0,25825364592.917576
CH4,p10,2044,1.5,32740352926.540318
CH4,p10,2047,2.5,21159828995.77654
CH4,p10,2047,2.0,25508628206.564972
CH4,p10,2047,1.5,32259003100.92313
CH4,p10,2050,2.5,22230552771.2205
CH4,p10,2050,2.0,26676663325.4646
CH4,p10,2050,1.5,33663408482.1339
CH4,p100,2020,2.5,823678625.1238999
CH4,p100,2020,2.0,1013758307.8448
CH4,p100,2020,1.5,1457277567.5268998
CH4,p100,2023,2.5,1020144203.23584
CH4,p100,2023,2.0,1268287387.80672
CH4,p100,2023,1.5,1771466623.18656
CH4,p100,2026,2.5,1248573037.62796
CH4,p100,2026,2.0,1564477059.19648
CH4,p100,2026,1.5,2136112907.7490401
CH4,p100,2029,2.5,929128774.888
