sys_costs,r,t,Value
inv_h2_production,p10,2035,-0.0
inv_h2_production,p46,2050,1e-06
inv_h2_production,p127,2041,6693141773.697481
inv_h2_storage,p3,2032,-0.0
inv_h2_storage,p3,2035,0.0
inv_h2_storage,p5,2029,0.0
inv_h2_storage,p5,2032,-0.0
inv_h2_storage,p9,2041,0.0
inv_h2_storage,p9,2044,-0.0
inv_h2_storage,p9,2047,0.0
inv_h2_storage,p10,2032,-0.0
inv_h2_storage,p10,2035,0.0
inv_h2_storage,p10,2038,-0.0
inv_h2_storage,p10,2044,0.0
inv_h2_storage,p10,2047,-0.0
inv_h2_storage,p13,2041,-0.0
inv_h2_storage,p13,2044,0.0
inv_h2_storage,p17,2038,0.0
inv_h2_storage,p17,2041,-0.0
inv_h2_storage,p20,2050,0.0
inv_h2_storage,p21,2038,-0.0
inv_h2_storage,p21,2041,0.0
inv_h2_storage,p21,2044,0.0
inv_h2_storage,p21,2047,-0.0
inv_h2_storage,p22,2029,0.0
inv_h2_storage,p22,2032,-0.0
inv_h2_storage,p22,2050,-0.0
inv_h2_storage,p25,2047,-0.0
inv_h2_storage,p25,2050,0.0
inv_h2_storage,p29,2038,0.0
inv_h2_storage,p29,2041,-0.0
inv_h2_storage,p29,2047,0.0
inv_h2_storage,p29,2050,-0.0
inv_h2_storage,p45,2050,0.0
inv_h2_storage,p46,2032,-0.0
inv_h2_storage,p46,2035,0.0
inv_h2_storage,p46,2050,-1e-06
inv_h2_storage,p47,2047,-0.0
inv_h2_storage,p47,2050,0.0
inv_h2_storage,p49,2050,-0.0
inv_h2_storage,p58,2038,-0.0
inv_h2_storage,p58,2041,0.0
inv_h2_storage,p58,2044,0.0
inv_h2_storage,p58,2047,-0.0
inv_h2_storage,p61,2047,0.0
inv_h2_storage,p61,2050,-0.0
inv_h2_storage,p65,2029,0.0
inv_h2_storage,p65,2032,-0.0
inv_h2_storage,p67,2047,0.0
inv_h2_storage,p67,2050,-0.0
inv_h2_storage,p71,2050,-0.0
inv_h2_storage,p73,2032,-0.0
inv_h2_storage,p73,2035,0.0
inv_h2_storage,p74,2041,0.0
inv_h2_storage,p74,2044,-0.0
inv_h2_storage,p85,2035,-0.0
inv_h2_storage,p85,2038,-0.0
inv_h2_storage,p85,2041,0.0
inv_h2_storage,p90,2032,-0.0
inv_h2_storage,p90,2035,0.0
inv_h2_storage,p90,2038,-0.0
inv_h2_storage,p91,2047,-0.0
inv_h2_storage,p91,2050,0.0
inv_h2_storage,p94,2044,-0.0
inv_h2_storage,p94,2047,0.0
