ba,state_abbr,year,pollutant,tons,model,cr,md,damage_$,mortality
p1,WA,2010,SO2,62.67,AP2,ACS,3649.64,228705.91,0.033
p1,WA,2010,SO2,62.67,AP2,H6C,9375.9,587544.45,0.0847
p1,WA,2010,SO2,62.67,EASIUR,ACS,18204.36,1140782.95,0.1645
p1,WA,2010,SO2,62.67,EASIUR,H6C,46771.73,2930967.89,0.4228
p1,WA,2010,SO2,62.67,InMAP,ACS,4154.93,260370.23,0.0376
p1,WA,2010,SO2,62.67,InMAP,H6C,10674.16,668900.43,0.0965
p1,WA,2015,SO2,28.21,AP2,ACS,3649.64,102938.48,0.0148
p1,WA,2015,SO2,28.21,AP2,H6C,9375.9,264448.5,0.0381
p1,WA,2015,SO2,28.21,EASIUR,ACS,18204.36,513456.2,0.0741
p1,WA,2015,SO2,28.21,EASIUR,H6C,46771.73,1319202.42,0.1903
p1,WA,2015,SO2,28.21,InMAP,ACS,4154.93,117190.31,0.0169
p1,WA,2015,SO2,28.21,InMAP,H6C,10674.16,301066.1,0.0434
p1,WA,2020,SO2,61.26,AP2,ACS,3649.64,223583.34,0.0323
p1,WA,2020,SO2,61.26,AP2,H6C,9375.9,574384.6,0.0829
p1,WA,2020,SO2,61.26,EASIUR,ACS,18204.36,1115231.65,0.1609
p1,WA,2020,SO2,61.26,EASIUR,H6C,46771.73,2865319.95,0.4133
p1,WA,2020,SO2,61.26,InMAP,ACS,4154.93,254538.45,0.0367
p1,WA,2020,SO2,61.26,InMAP,H6C,10674.16,653918.37,0.0943
p1,WA,2023,SO2,37.8,AP2,ACS,3649.64,137969.6,0.0199
p1,WA,2023,SO2,37.8,AP2,H6C,9375.9,354443.27,0.0511
p1,WA,2023,SO2,37.8,EASIUR,ACS,18204.36,688191.07,0.0993
p1,WA,2023,SO2,37.8,EASIUR,H6C,46771.73,1768141.7,0.255
p1,WA,2023,SO2,37.8,InMAP,ACS,4154.93,157071.48,0.0227
p1,WA,2023,SO2,37.8,InMAP,H6C,10674.16,403522.24,0.0582
p1,WA,2026,SO2,66.16,AP2,ACS,3649.64,241462.83,0.0348
p1,WA,2026,SO2,66.16,AP2,H6C,9375.9,620316.93,0.0895
p1,WA,2026,SO2,66.16,EASIUR,ACS,18204.36,1204414.38,0.1737
p1,WA,2026,SO2,66.16,EASIUR,H6C,46771.73,3094453.56,0.4464
p1,WA,2026,SO2,66.16,InMAP,ACS,4154.93,274893.36,0.0397
p1,WA,2026,SO2,66.16,InMAP,H6C,10674.16,706210.84,0.1019
p1,WA,2029,SO2,72.84,AP2,ACS,3649.64,265853.58,0.0383
p1,WA,2029,SO2,72.84,AP2,H6C,9375.9,682976.64,0.0985
p1,WA,2029,SO2,72.84,EASIUR,ACS,18204.36,1326075.18,0.1913
p1,WA,2029,SO2,72.84,EASIUR,H6C,46771.73,3407031.77,0.4914
p1,WA,2029,SO2,72.84,InMAP,ACS,4154.93,302661.0,0.0437
p1,WA,2029,SO2,72.84,InMAP,H6C,10674.16,777546.9,0.1122
p1,WA,2032,SO2,186.52,AP2,ACS,3649.64,680721.88,0.0982
p1,WA,2032,SO2,186.52,AP2,H6C,9375.9,1748771.43,0.2522
p1,WA,2032,SO2,186.52,EASIUR,ACS,18204.36,3395434.42,0.4898
p1,WA,2032,SO2,186.52,EASIUR,H6C,46771.73,8723753.48,1.2583
p1,WA,2032,SO2,186.52,InMAP,ACS,4154.93,774967.8,0.1118
p1,WA,2032,SO2,186.52,InMAP,H6C,10674.16,1990919.94,0.2872
p1,WA,2035,SO2,252.19,AP2,ACS,3649.64,920398.19,0.1328
p1,WA,2035,SO2,252.19,AP2,H6C,9375.9,2364498.78,0.3411
p1,WA,2035,SO2,252.19,EASIUR,ACS,18204.36,4590937.62,0.6622
p1,WA,2035,SO2,252.19,EASIUR,H6C,46771.73,11795311.9,1.7014
p1,WA,2035,SO2,252.19,InMAP,ACS,4154.93,1047827.29,0.1511
p1,WA,2035,SO2,252.19,InMAP,H6C,10674.16,2691905.7,0.3883
p1,WA,2038,SO2,325.58,AP2,ACS,3649.64,1188255.7,0.1714
p1,WA,2038,SO2,325.58,AP2,H6C,9375.9,3052623.51,0.4403
p1,WA,2038,SO2,325.58,EASIUR,ACS,18204.36,5927008.4,0.8549
p1,WA,2038,SO2,325.58,EASIUR,H6C,46771.73,15228024.98,2.1965
p1,WA,2038,SO2,325.58,InMAP,ACS,4154.93,1352769.66,0.1951
p1,WA,2038,SO2,325.58,InMAP,H6C,10674.16,3475313.54,0.5013
