sys_costs,r,t,Value
inv_h2_production,p31,2029,58248237.095418
inv_h2_production,p99,2047,139106073.911681
inv_h2_production,p127,2041,3650110013.288247
inv_h2_production,p127,2044,343630745.688505
inv_h2_production,p127,2047,396277928.538436
inv_h2_production,p127,2050,163153191.596049
inv_h2_storage,p1,2044,-0.0
inv_h2_storage,p1,2047,0.0
inv_h2_storage,p3,2029,-0.0
inv_h2_storage,p3,2032,0.0
inv_h2_storage,p10,2047,-0.0
inv_h2_storage,p10,2050,0.0
inv_h2_storage,p27,2035,0.0
inv_h2_storage,p27,2038,-0.0
inv_h2_storage,p31,2029,12161980.568437
inv_h2_storage,p39,2050,0.0
inv_h2_storage,p42,2050,-0.0
inv_h2_storage,p47,2050,-0.0
inv_h2_storage,p57,2038,0.0
inv_h2_storage,p57,2041,-0.0
inv_h2_storage,p60,2029,-0.0
inv_h2_storage,p60,2032,0.0
inv_h2_storage,p61,2044,-0.0
inv_h2_storage,p61,2047,0.0
inv_h2_storage,p74,2038,0.0
inv_h2_storage,p74,2041,-0.0
inv_h2_storage,p99,2041,-0.0
inv_h2_storage,p99,2044,0.0
inv_h2_storage,p99,2047,53482780.801433
inv_h2_storage,p127,2041,2025822835.049088
inv_h2_storage,p127,2044,305618170.981586
inv_h2_storage,p127,2047,138584262.019275
inv_h2_storage,p127,2050,451016160.660523
inv_h2_storage,p129,2050,-0.0
inv_h2_storage,p133,2044,-0.0
inv_h2_storage,p133,2047,0.0
inv_investment_capacity_costs,p1,2010,381394271.0115
inv_investment_capacity_costs,p1,2015,107220104.123593
inv_investment_capacity_costs,p1,2020,215022761.477033
inv_investment_capacity_costs,p1,2023,13169559.195
inv_investment_capacity_costs,p1,2029,940384242.22616
inv_investment_capacity_costs,p1,2032,3726007235.52003
inv_investment_capacity_costs,p1,2035,2027763258.550929
inv_investment_capacity_costs,p1,2038,3089096844.046836
inv_investment_capacity_costs,p1,2041,464702624.10024
inv_investment_capacity_costs,p1,2044,1459654257.123122
inv_investment_capacity_costs,p1,2047,615645690.222204
inv_investment_capacity_costs,p1,2050,1856193118.944375
inv_investment_capacity_costs,p2,2010,117393137.96
inv_investment_capacity_costs,p2,2015,1206584203.69311
inv_investment_capacity_costs,p2,2023,134133754.11
inv_investment_capacity_costs,p2,2026,271849851.913302
inv_investment_capacity_costs,p2,2029,2923907281.662279
inv_investment_capacity_costs,p2,2032,2355549491.977284
inv_investment_capacity_costs,p2,2035,1201584441.42487
inv_investment_capacity_costs,p2,2038,41170335.094242
inv_investment_capacity_costs,p2,2041,221625389.853363
inv_investment_capacity_costs,p2,2044,631389250.319113
inv_investment_capacity_costs,p2,2047,991139383.117298
inv_investment_capacity_costs,p2,2050,116951660.65717
inv_investment_capacity_costs,p3,2015,150165713.8215
inv_investment_capacity_costs,p3,2020,177681543.112704
inv_investment_capacity_costs,p3,2029,253187532.436096
inv_investment_capacity_costs,p3,2032,718488798.043644
inv_investment_capacity_costs,p3,2035,212539846.416418
inv_investment_capacity_costs,p3,2038,848342615.448358
inv_investment_capacity_costs,p3,2041,205664385.67977
inv_investment_capacity_costs,p3,2044,762478370.798797
inv_investment_capacity_costs,p3,2047,662397677.796789
inv_investment_capacity_costs,p3,2050,1150259976.753752
inv_investment_capacity_costs,p4,2015,641501060.295261
inv_investment_capacity_costs,p4,2020,391444958.078072
inv_investment_capacity_costs,p4,2026,126551415.816
inv_investment_capacity_costs,p4,2029,1035662655.890009
inv_investment_capacity_costs,p4,2038,999991.319378
inv_investment_capacity_costs,p4,2041,409202.616027
inv_investment_capacity_costs,p4,2044,436947.188197
inv_investment_capacity_costs,p4,2047,330207.081775
inv_investment_capacity_costs,p4,2050,456417608.917155
inv_investment_capacity_costs,p5,2010,687232622.158629
inv_investment_capacity_costs,p5,2015,1809668158.06598
inv_investment_capacity_costs,p5,2020,1273950358.630691
inv_investment_capacity_costs,p5,2023,1120624919.806353
inv_investment_capacity_costs,p5,2026,6008491.592401
inv_investment_capacity_costs,p5,2029,2343636896.45834
inv_investment_capacity_costs,p5,2032,930517217.065605
inv_investment_capacity_costs,p5,2035,88798111.795765
inv_investment_capacity_costs,p5,2038,46830374.233447
inv_investment_capacity_costs,p5,2041,818896209.75747
inv_investment_capacity_costs,p5,2044,262202749.057818
inv_investment_capacity_costs,p5,2050,841047949.430345
inv_investment_capacity_costs,p6,2015,18876889.427035
inv_investment_capacity_costs,p6,2020,83404552.671776
inv_investment_capacity_costs,p6,2023,5125610.50176
inv_investment_capacity_costs,p6,2026,3412569.2986
inv_investment_capacity_costs,p6,2032,1295372832.42754
inv_investment_capacity_costs,p6,2035,640505379.943223
inv_investment_capacity_costs,p6,2038,29533293.89865
inv_investment_capacity_costs,p6,2041,108643587.501803
inv_investment_capacity_costs,p6,2044,133783385.916802
inv_investment_capacity_costs,p6,2047,28213601.40038
inv_investment_capacity_costs,p6,2050,167775561.600552
inv_investment_capacity_costs,p7,2015,123359040.2518
inv_investment_capacity_costs,p7,2020,289299197.402448
inv_investment_capacity_costs,p7,2023,404804320.6172
inv_investment_capacity_costs,p7,2026,291899.5464
inv_investment_capacity_costs,p7,2029,2155892190.0962
inv_investment_capacity_costs,p7,2032,1376722151.344795
inv_investment_capacity_costs,p7,2035,1857372575.974454
inv_investment_capacity_costs,p7,2038,1889926049.291067
inv_investment_capacity_costs,p7,2041,545377361.939209
inv_investment_capacity_costs,p7,2044,665112077.725793
inv_investment_capacity_costs,p7,2047,429680538.094951
inv_investment_capacity_costs,p7,2050,664229601.990734
inv_investment_capacity_costs,p8,2010,4551412.95
inv_investment_capacity_costs,p8,2020,10319800.7992
inv_investment_capacity_costs,p8,2026,350148846.06
inv_investment_capacity_costs,p8,2029,705501068.737268
inv_investment_capacity_costs,p8,2032,322568032.288702
inv_investment_capacity_costs,p8,2035,25466746.050978
inv_investment_capacity_costs,p8,2038,2233742235.169018
inv_investment_capacity_costs,p8,2041,10612135.238871
inv_investment_capacity_costs,p8,2044,331032082.219626
inv_investment_capacity_costs,p8,2047,9444514.817342
inv_investment_capacity_costs,p8,2050,38630862.09252
inv_investment_capacity_costs,p9,2010,1293396715.401504
inv_investment_capacity_costs,p9,2015,7188425870.453658
inv_investment_capacity_costs,p9,2020,2101559512.194385
inv_investment_capacity_costs,p9,2023,6168816800.097364
inv_investment_capacity_costs,p9,2026,4864054365.808934
inv_investment_capacity_costs,p9,2029,15963680991.171806
inv_investment_capacity_costs,p9,2032,7457902594.412993
inv_investment_capacity_costs,p9,2035,16741707344.821405
inv_investment_capacity_costs,p9,2038,16181931910.616379
inv_investment_capacity_costs,p9,2041,6765073126.752961
inv_investment_capacity_costs,p9,2044,7670131672.44268
inv_investment_capacity_costs,p9,2047,5063353279.940567
inv_investment_capacity_costs,p9,2050,3311860910.659808
inv_investment_capacity_costs,p10,2010,399069353.6868
inv_investment_capacity_costs,p10,2015,19587504060.770714
inv_investment_capacity_costs,p10,2020,6513353149.433236
inv_investment_capacity_costs,p10,2023,12849463859.965715
inv_investment_capacity_costs,p10,2026,10564082007.320587
inv_investment_capacity_costs,p10,2029,5949020090.459085
inv_investment_capacity_costs,p10,2032,4425587770.305434
inv_investment_capacity_costs,p10,2035,22458421491.68125
inv_investment_capacity_costs,p10,2038,21263680751.148335
inv_investment_capacity_costs,p10,2041,18026258988.244995
inv_investment_capacity_costs,p10,2044,11409435650.050032
inv_investment_capacity_costs,p10,2047,4708148227.023392
inv_investment_capacity_costs,p10,2050,12608288433.14128
inv_investment_capacity_costs,p11,2010,152825427.6507
inv_investment_capacity_costs,p11,2015,272464875.320572
inv_investment_capacity_costs,p11,2020,1561349845.426356
inv_investment_capacity_costs,p11,2023,562055773.370845
inv_investment_capacity_costs,p11,2026,1135310592.906516
inv_investment_capacity_costs,p11,2029,1652467613.802986
inv_investment_capacity_costs,p11,2032,2983348844.094112
inv_investment_capacity_costs,p11,2035,298407721.274374
inv_investment_capacity_costs,p11,2038,267558192.557437
inv_investment_capacity_costs,p11,2041,1916038369.651222
inv_investment_capacity_costs,p11,2044,1937578159.486734
inv_investment_capacity_costs,p11,2047,950194454.693371
inv_investment_capacity_costs,p11,2050,202153792.186419
inv_investment_capacity_costs,p12,2010,54151506.4272
inv_investment_capacity_costs,p12,2015,1224295425.586614
inv_investment_capacity_costs,p12,2020,635194118.4251
inv_investment_capacity_costs,p12,2023,670515144.912097
inv_investment_capacity_costs,p12,2026,597788045.9202
inv_investment_capacity_costs,p12,2029,1618416458.783745
inv_investment_capacity_costs,p12,2035,70887921.756197
inv_investment_capacity_costs,p12,2038,1425930733.148167
inv_investment_capacity_costs,p12,2041,460620909.865258
inv_investment_capacity_costs,p12,2044,1450688155.153183
inv_investment_capacity_costs,p12,2047,1630896042.835658
inv_investment_capacity_costs,p12,2050,804441036.151415
inv_investment_capacity_costs,p13,2010,242137336.43578
inv_investment_capacity_costs,p13,2015,1992302510.77908
inv_investment_capacity_costs,p13,2020,1251699431.735074
inv_investment_capacity_costs,p13,2023,1035309514.9574
inv_investment_capacity_costs,p13,2026,917309523.6452
inv_investment_capacity_costs,p13,2029,1963086588.50255
inv_investment_capacity_costs,p13,2032,4613043621.915644
inv_investment_capacity_costs,p13,2035,5354581100.821241
inv_investment_capacity_costs,p13,2038,1714287860.492037
inv_investment_capacity_costs,p13,2041,1595263128.518866
inv_investment_capacity_costs,p13,2044,3422876487.914346
inv_investment_capacity_costs,p13,2047,1234032838.319927
inv_investment_capacity_costs,p13,2050,2725273533.019118
inv_investment_capacity_costs,p14,2015,4178421.632
inv_investment_capacity_costs,p14,2029,2187401.880811
inv_investment_capacity_costs,p14,2032,12529446.134317
inv_investment_capacity_costs,p14,2035,23791031.266909
inv_investment_capacity_costs,p14,2038,562463369.012921
inv_investment_capacity_costs,p14,2041,347025414.128684
inv_investment_capacity_costs,p14,2044,1653477886.54278
inv_investment_capacity_costs,p14,2050,103170692.938637
inv_investment_capacity_costs,p15,2010,150422595.576866
inv_investment_capacity_costs,p15,2015,675088979.929245
inv_investment_capacity_costs,p15,2020,209270536.661561
inv_investment_capacity_costs,p15,2023,287000701.155098
inv_investment_capacity_costs,p15,2029,1556381819.33706
inv_investment_capacity_costs,p15,2032,882102508.155
inv_investment_capacity_costs,p15,2035,291700069.012455
inv_investment_capacity_costs,p15,2038,115820156.188148
inv_investment_capacity_costs,p15,2041,431821504.141595
inv_investment_capacity_costs,p15,2044,717215107.37845
inv_investment_capacity_costs,p15,2047,669324912.937309
inv_investment_capacity_costs,p15,2050,1347233745.143242
inv_investment_capacity_costs,p16,2010,289509754.8075
inv_investment_capacity_costs,p16,2015,506435993.632182
inv_investment_capacity_costs,p16,2020,41020975.5488
inv_investment_capacity_costs,p16,2023,300041955.288
inv_investment_capacity_costs,p16,2026,4136074.304
inv_investment_capacity_costs,p16,2029,753029226.481081
inv_investment_capacity_costs,p16,2032,320548974.340612
inv_investment_capacity_costs,p16,2035,1164637124.685549
inv_investment_capacity_costs,p16,2038,339031405.017955
inv_investment_capacity_costs,p16,2041,590280950.783238
inv_investment_capacity_costs,p16,2044,903604587.857519
inv_investment_capacity_costs,p16,2047,382930958.28509
inv_investment_capacity_costs,p16,2050,453795388.052625
inv_investment_capacity_costs,p17,2015,116182780.801508
inv_investment_capacity_costs,p17,2023,170802855.936147
inv_investment_capacity_costs,p17,2026,4163958.09049
inv_investment_capacity_costs,p17,2029,145365503.631357
