ba,state_abbr,year,pollutant,tons,model,cr,md,damage_$,mortality
p1,WA,2010,SO2,62.67,AP2,ACS,3649.64,228705.2,0.033
p1,WA,2010,SO2,62.67,AP2,H6C,9375.9,587542.63,0.0847
p1,WA,2010,SO2,62.67,EASIUR,ACS,18204.36,1140779.43,0.1645
p1,WA,2010,SO2,62.67,EASIUR,H6C,46771.73,2930958.84,0.4228
p1,WA,2010,SO2,62.67,InMAP,ACS,4154.93,260369.43,0.0376
p1,WA,2010,SO2,62.67,InMAP,H6C,10674.16,668898.36,0.0965
p1,WA,2015,SO2,27.96,AP2,ACS,3649.64,102044.83,0.0147
p1,WA,2015,SO2,27.96,AP2,H6C,9375.9,262152.7,0.0378
p1,WA,2015,SO2,27.96,EASIUR,ACS,18204.36,508998.66,0.0734
p1,WA,2015,SO2,27.96,EASIUR,H6C,46771.73,1307749.85,0.1886
p1,WA,2015,SO2,27.96,InMAP,ACS,4154.93,116172.93,0.0168
p1,WA,2015,SO2,27.96,InMAP,H6C,10674.16,298452.41,0.043
p1,WA,2020,SO2,59.32,AP2,ACS,3649.64,216507.57,0.0312
p1,WA,2020,SO2,59.32,AP2,H6C,9375.9,556206.98,0.0802
p1,WA,2020,SO2,59.32,EASIUR,ACS,18204.36,1079937.77,0.1558
p1,WA,2020,SO2,59.32,EASIUR,H6C,46771.73,2774640.8,0.4002
p1,WA,2020,SO2,59.32,InMAP,ACS,4154.93,246483.04,0.0356
p1,WA,2020,SO2,59.32,InMAP,H6C,10674.16,633223.73,0.0913
p1,WA,2023,SO2,36.66,AP2,ACS,3649.64,133788.26,0.0193
p1,WA,2023,SO2,36.66,AP2,H6C,9375.9,343701.42,0.0496
p1,WA,2023,SO2,36.66,EASIUR,ACS,18204.36,667334.58,0.0963
p1,WA,2023,SO2,36.66,EASIUR,H6C,46771.73,1714555.97,0.2473
p1,WA,2023,SO2,36.66,InMAP,ACS,4154.93,152311.24,0.022
p1,WA,2023,SO2,36.66,InMAP,H6C,10674.16,391293.0,0.0564
p1,WA,2026,SO2,64.82,AP2,ACS,3649.64,236574.3,0.0341
p1,WA,2026,SO2,64.82,AP2,H6C,9375.9,607758.31,0.0877
p1,WA,2026,SO2,64.82,EASIUR,ACS,18204.36,1180030.41,0.1702
p1,WA,2026,SO2,64.82,EASIUR,H6C,46771.73,3031804.82,0.4373
p1,WA,2026,SO2,64.82,InMAP,ACS,4154.93,269328.0,0.0388
p1,WA,2026,SO2,64.82,InMAP,H6C,10674.16,691913.26,0.0998
p1,WA,2029,SO2,61.12,AP2,ACS,3649.64,223073.86,0.0322
p1,WA,2029,SO2,61.12,AP2,H6C,9375.9,573075.74,0.0827
p1,WA,2029,SO2,61.12,EASIUR,ACS,18204.36,1112690.36,0.1605
p1,WA,2029,SO2,61.12,EASIUR,H6C,46771.73,2858790.71,0.4124
p1,WA,2029,SO2,61.12,InMAP,ACS,4154.93,253958.43,0.0366
p1,WA,2029,SO2,61.12,InMAP,H6C,10674.16,652428.28,0.0941
p1,WA,2032,SO2,82.94,AP2,ACS,3649.64,302683.79,0.0437
p1,WA,2032,SO2,82.94,AP2,H6C,9375.9,777593.29,0.1122
p1,WA,2032,SO2,82.94,EASIUR,ACS,18204.36,1509783.95,0.2178
p1,WA,2032,SO2,82.94,EASIUR,H6C,46771.73,3879027.34,0.5595
p1,WA,2032,SO2,82.94,InMAP,ACS,4154.93,344590.35,0.0497
p1,WA,2032,SO2,82.94,InMAP,H6C,10674.16,885264.91,0.1277
p1,WA,2035,SO2,144.34,AP2,ACS,3649.64,526801.3,0.076
p1,WA,2035,SO2,144.34,AP2,H6C,9375.9,1353350.14,0.1952
p1,WA,2035,SO2,144.34,EASIUR,ACS,18204.36,2627679.98,0.379
p1,WA,2035,SO2,144.34,EASIUR,H6C,46771.73,6751192.78,0.9738
p1,WA,2035,SO2,144.34,InMAP,ACS,4154.93,599736.92,0.0865
p1,WA,2035,SO2,144.34,InMAP,H6C,10674.16,1540745.55,0.2222
p1,WA,2038,SO2,313.7,AP2,ACS,3649.64,1144881.29,0.1651
p1,WA,2038,SO2,313.7,AP2,H6C,9375.9,2941194.85,0.4242
p1,WA,2038,SO2,313.7,EASIUR,ACS,18204.36,5710657.26,0.8237
p1,WA,2038,SO2,313.7,EASIUR,H6C,46771.73,14672162.65,2.1164
p1,WA,2038,SO2,313.7,InMAP,ACS,4154.93,1303390.07,0.188
p1,WA,2038,SO2,313.7,InMAP,H6C,10674.16,3348455.6,0.483
p1,WA,2041,SO2,369.34,AP2,ACS,3649.64,1347964.86,0.1944
p1,WA,2041,SO2,369.34,AP2,H6C,9375.9,3462915.61,0.4995
p1,WA,2041,SO2,369.34,EASIUR,ACS,18204.36,6723636.19,0.9698
p1,WA,2041,SO2,369.34,EASIUR,H6C,46771.73,17274768.81,2.4918
p1,WA,2041,SO2,369.34,InMAP,ACS,4154.93,1534590.54,0.2214
p1,WA,2041,SO2,369.34,InMAP,H6C,10674.16,3942417.88,0.5687
p1,WA,2044,SO2,390.99,AP2,ACS,3649.64,1426960.84,0.2058
p1,WA,2044,SO2,390.99,AP2,H6C,9375.9,3665855.94,0.5288
p1,WA,2044,SO2,390.99,EASIUR,ACS,18204.36,7117667.44,1.0267
p1,WA,2044,SO2,390.99,EASIUR,H6C,46771.73,18287137.5,2.6378
p1,WA,2044,SO2,390.99,InMAP,ACS,4154.93,1624523.52,0.2343
p1,WA,2044,SO2,390.99,InMAP,H6C,10674.16,4173458.91,0.602
p1,WA,2047,SO2,420.51,AP2,ACS,3649.64,1534723.17,0.2214
p1,WA,2047,SO2,420.51,AP2,H6C,9375.9,3942696.87,0.5687
p1,WA,2047,SO2,420.51,EASIUR,ACS,18204.36,7655184.92,1.1042
p1,WA,2047,SO2,420.51,EASIUR,H6C,46771.73,19668159.6,2.837
p1,WA,2047,SO2,420.51,InMAP,ACS,4154.93,1747205.54,0.252
p1,WA,2047,SO2,420.51,InMAP,H6C,10674.16,4488633.39,0.6475
p1,WA,2050,SO2,494.62,AP2,ACS,3649.64,1805170.12,0.2604
p1,WA,2050,SO2,494.62,AP2,H6C,9375.9,4637473.85,0.6689
p1,WA,2050,SO2,494.62,EASIUR,ACS,18204.36,9004171.79,1.2988
p1,WA,2050,SO2,494.62,EASIUR,H6C,46771.73,23134057.46,3.3369
p1,WA,2050,SO2,494.62,InMAP,ACS,4154.93,2055095.86,0.2964
p1,WA,2050,SO2,494.62,InMAP,H6C,10674.16,5279614.61,0.7615
p10,CA,2010,SO2,10372.93,AP2,ACS,22816.59,236674814.39,34.1387
p10,CA,2010,SO2,10372.93,AP2,H6C,58622.06,608082280.63,87.7116
p10,CA,2010,SO2,10372.93,EASIUR,ACS,11194.08,116115334.29,16.7488
p10,CA,2010,SO2,10372.93,EASIUR,H6C,28760.03,298325649.96,43.0314
p10,CA,2010,SO2,10372.93,InMAP,ACS,18448.86,191368697.42,27.6036
p10,CA,2010,SO2,10372.93,InMAP,H6C,47399.94,491676087.36,70.9208
p10,CA,2015,SO2,7312.51,AP2,ACS,22816.59,166846543.23,24.0664
p10,CA,2015,SO2,7312.51,AP2,H6C,58622.06,428674368.17,61.8333
p10,CA,2015,SO2,7312.51,EASIUR,ACS,11194.08,81856796.6,11.8073
p10,CA,2015,SO2,7312.51,EASIUR,H6C,28760.03,210307985.57,30.3355
p10,CA,2015,SO2,7312.51,InMAP,ACS,18448.86,134907492.07,19.4595
p10,CA,2015,SO2,7312.51,InMAP,H6C,47399.94,346612527.29,49.9964
p10,CA,2020,SO2,4915.59,AP2,ACS,22816.59,112156934.14,16.1779
p10,CA,2020,SO2,4915.59,AP2,H6C,58622.06,288161815.94,41.5653
p10,CA,2020,SO2,4915.59,EASIUR,ACS,11194.08,55025457.33,7.937
p10,CA,2020,SO2,4915.59,EASIUR,H6C,28760.03,141372415.82,20.392
p10,CA,2020,SO2,4915.59,InMAP,ACS,18448.86,90686989.44,13.081
p10,CA,2020,SO2,4915.59,InMAP,H6C,47399.94,232998524.54,33.6084
p10,CA,2023,SO2,2960.14,AP2,ACS,22816.59,67540371.35,9.7422
p10,CA,2023,SO2,2960.14,AP2,H6C,58622.06,173529672.56,25.0304
p10,CA,2023,SO2,2960.14,EASIUR,ACS,11194.08,33136068.23,4.7796
p10,CA,2023,SO2,2960.14,EASIUR,H6C,28760.03,85133795.21,12.28
p10,CA,2023,SO2,2960.14,InMAP,ACS,18448.86,54611272.95,7.8773
p10,CA,2023,SO2,2960.14,InMAP,H6C,47399.94,140310601.31,20.2388
p10,CA,2026,SO2,1448.07,AP2,ACS,22816.59,33040008.03,4.7658
p10,CA,2026,SO2,1448.07,AP2,H6C,58622.06,84888810.35,12.2446
p10,CA,2026,SO2,1448.07,EASIUR,ACS,11194.08,16209800.72,2.3382
p10,CA,2026,SO2,1448.07,EASIUR,H6C,28760.03,41646517.8,6.0072
p10,CA,2026,SO2,1448.07,InMAP,ACS,18448.86,26715235.06,3.8535
p10,CA,2026,SO2,1448.07,InMAP,H6C,47399.94,68638405.47,9.9006
p10,CA,2029,SO2,1404.85,AP2,ACS,22816.59,32053886.22,4.6235
p10,CA,2029,SO2,1404.85,AP2,H6C,58622.06,82355193.93,11.8792
p10,CA,2029,SO2,1404.85,EASIUR,ACS,11194.08,15725998.24,2.2684
p10,CA,2029,SO2,1404.85,EASIUR,H6C,28760.03,40403523.57,5.8279
p10,CA,2029,SO2,1404.85,InMAP,ACS,18448.86,25917884.29,3.7385
p10,CA,2029,SO2,1404.85,InMAP,H6C,47399.94,66589803.41,9.6051
p10,CA,2032,SO2,1426.39,AP2,ACS,22816.59,32545358.4,4.6944
p10,CA,2032,SO2,1426.39,AP2,H6C,58622.06,83617920.26,12.0613
p10,CA,2032,SO2,1426.39,EASIUR,ACS,11194.08,15967120.03,2.3031
p10,CA,2032,SO2,1426.39,EASIUR,H6C,28760.03,41023018.11,5.9173
p10,CA,2032,SO2,1426.39,InMAP,ACS,18448.86,26315275.07,3.7958
p10,CA,2032,SO2,1426.39,InMAP,H6C,47399.94,67610803.96,9.7524
p10,CA,2035,SO2,1334.98,AP2,ACS,22816.59,30459655.91,4.3936
p10,CA,2035,SO2,1334.98,AP2,H6C,58622.06,78259180.57,11.2883
p10,CA,2035,SO2,1334.98,EASIUR,ACS,11194.08,14943850.86,2.1555
p10,CA,2035,SO2,1334.98,EASIUR,H6C,28760.03,38394016.16,5.5381
p10,CA,2035,SO2,1334.98,InMAP,ACS,18448.86,24628833.83,3.5525
p10,CA,2035,SO2,1334.98,InMAP,H6C,47399.94,63277896.64,9.1274
p10,CA,2038,SO2,1279.16,AP2,ACS,22816.59,29186094.32,4.2099
p10,CA,2038,SO2,1279.16,AP2,H6C,58622.06,74987052.78,10.8164
p10,CA,2038,SO2,1279.16,EASIUR,ACS,11194.08,14319027.17,2.0654
p10,CA,2038,SO2,1279.16,EASIUR,H6C,28760.03,36788707.66,5.3065
p10,CA,2038,SO2,1279.16,InMAP,ACS,18448.86,23599067.22,3.404
p10,CA,2038,SO2,1279.16,InMAP,H6C,47399.94,60632157.66,8.7458
p10,CA,2041,SO2,1176.18,AP2,ACS,22816.59,26836434.64,3.871
p10,CA,2041,SO2,1176.18,AP2,H6C,58622.06,68950134.89,9.9456
p10,CA,2041,SO2,1176.18,EASIUR,ACS,11194.08,13166257.62,1.8991
p10,CA,2041,SO2,1176.18,EASIUR,H6C,28760.03,33826990.95,4.8793
p10,CA,2041,SO2,1176.18,InMAP,ACS,18448.86,21699197.5,3.13
p10,CA,2041,SO2,1176.18,InMAP,H6C,47399.94,55750896.92,8.0417
p10,CA,2044,SO2,1079.9,AP2,ACS,22816.59,24639650.81,3.5541
p10,CA,2044,SO2,1079.9,AP2,H6C,58622.06,63305996.88,9.1314
p10,CA,2044,SO2,1079.9,EASIUR,ACS,11194.08,12088490.69,1.7437
p10,CA,2044,SO2,1079.9,EASIUR,H6C,28760.03,31057972.36,4.4799
p10,CA,2044,SO2,1079.9,InMAP,ACS,18448.86,19922938.96,2.8737
p10,CA,2044,SO2,1079.9,InMAP,H6C,47399.94,51187225.55,7.3834
p10,CA,2047,SO2,1032.98,AP2,ACS,22816.59,23569004.86,3.3997
p10,CA,2047,SO2,1032.98,AP2,H6C,58622.06,60555214.82,8.7347
p10,CA,2047,SO2,1032.98,EASIUR,ACS,11194.08,11563219.71,1.6679
p10,CA,2047,SO2,1032.98,EASIUR,H6C,28760.03,29708436.5,4.2852
p10,CA,2047,SO2,1032.98,InMAP,ACS,18448.86,19057244.31,2.7489
p10,CA,2047,SO2,1032.98,InMAP,H6C,47399.94,48963030.24,7.0626
p10,CA,2050,SO2,963.53,AP2,ACS,22816.59,21984546.62,3.1711
p10,CA,2050,SO2,963.53,AP2,H6C,58622.06,56484308.58,8.1475
p10,CA,2050,SO2,963.53,EASIUR,ACS,11194.08,10785866.62,1.5558
p10,CA,2050,SO2,963.53,EASIUR,H6C,28760.03,27711246.66,3.9972
p10,CA,2050,SO2,963.53,InMAP,ACS,18448.86,17776095.28,2.5641
p10,CA,2050,SO2,963.53,InMAP,H6C,47399.94,45671424.29,6.5878
p100,VA,2015,SO2,44.14,AP2,ACS,21006.2,927162.49,0.1337
p100,VA,2015,SO2,44.14,AP2,H6C,53970.57,2382129.6,0.3436
p100,VA,2015,SO2,44.14,EASIUR,ACS,18837.5,831441.3,0.1199
p100,VA,2015,SO2,44.14,EASIUR,H6C,48398.47,2136190.65,0.3081
p100,VA,2015,SO2,44.14,InMAP,ACS,19486.65,860093.25,0.1241
p100,VA,2015,SO2,44.14,InMAP,H6C,50066.35,2209806.86,0.3187
p100,VA,2020,SO2,60.26,AP2,ACS,21006.2,1265846.7,0.1826
p100,VA,2020,SO2,60.26,AP2,H6C,53970.57,3252300.36,0.4691
p100,VA,2020,SO2,60.26,EASIUR,ACS,18837.5,1135159.42,0.1637
p100,VA,2020,SO2,60.26,EASIUR,H6C,48398.47,2916522.09,0.4207
p100,VA,2020,SO2,60.26,InMAP,ACS,19486.65,1174277.67,0.1694
p100,VA,2020,SO2,60.26,InMAP,H6C,50066.35,3017029.65,0.4352
p100,VA,2023,SO2,69.06,AP2,ACS,21006.2,1450675.11,0.2092
p100,VA,2023,SO2,69.06,AP2,H6C,53970.57,3727174.2,0.5376
p100,VA,2023,SO2,69.06,EASIUR,ACS,18837.5,1300905.95,0.1876
p100,VA,2023,SO2,69.06,EASIUR,H6C,48398.47,3342368.38,0.4821
p100,VA,2023,SO2,69.06,InMAP,ACS,19486.65,1345735.93,0.1941
p100,VA,2023,SO2,69.06,InMAP,H6C,50066.35,3457551.21,0.4987
p100,VA,2026,SO2,86.23,AP2,ACS,21006.2,1811293.56,0.2613
p100,VA,2026,SO2,86.23,AP2,H6C,53970.57,4653699.91,0.6713
p100,VA,2026,SO2,86.23,EASIUR,ACS,18837.5,1624293.79,0.2343
p100,VA,2026,SO2,86.23,EASIUR,H6C,48398.47,4173236.51,0.602
p100,VA,2026,SO2,86.23,InMAP,ACS,19486.65,1680267.9,0.2424
p100,VA,2026,SO2,86.23,InMAP,H6C,50066.35,4317052.25,0.6227
p100,VA,2029,SO2,65.6,AP2,ACS,21006.2,1377903.66,0.1988
p100,VA,2029,SO2,65.6,AP2,H6C,53970.57,3540204.81,0.5106
p100,VA,2029,SO2,65.6,EASIUR,ACS,18837.5,1235647.51,0.1782
p100,VA,2029,SO2,65.6,EASIUR,H6C,48398.47,3174702.33,0.4579
p100,VA,2029,SO2,65.6,InMAP,ACS,19486.65,1278228.64,0.1844
p100,VA,2029,SO2,65.6,InMAP,H6C,50066.35,3284107.15,0.4737
p100,VA,2032,SO2,57.6,AP2,ACS,21006.2,1210018.34,0.1745
p100,VA,2032,SO2,57.6,AP2,H6C,53970.57,3108862.29,0.4484
p100,VA,2032,SO2,57.6,EASIUR,ACS,18837.5,1085094.83,0.1565
p100,VA,2032,SO2,57.6,EASIUR,H6C,48398.47,2787893.04,0.4021
p100,VA,2032,SO2,57.6,InMAP,ACS,19486.65,1122487.83,0.1619
p100,VA,2032,SO2,57.6,InMAP,H6C,50066.35,2883967.85,0.416
p100,VA,2035,SO2,43.88,AP2,ACS,21006.2,921786.49,0.133
p100,VA,2035,SO2,43.88,AP2,H6C,53970.57,2368317.2,0.3416
p100,VA,2035,SO2,43.88,EASIUR,ACS,18837.5,826620.32,0.1192
p100,VA,2035,SO2,43.88,EASIUR,H6C,48398.47,2123804.29,0.3063
p100,VA,2035,SO2,43.88,InMAP,ACS,19486.65,855106.14,0.1233
p100,VA,2035,SO2,43.88,InMAP,H6C,50066.35,2196993.64,0.3169
p100,VA,2038,SO2,41.57,AP2,ACS,21006.2,873210.32,0.126
p100,VA,2038,SO2,41.57,AP2,H6C,53970.57,2243511.97,0.3236
p100,VA,2038,SO2,41.57,EASIUR,ACS,18837.5,783059.21,0.113
p100,VA,2038,SO2,41.57,EASIUR,H6C,48398.47,2011884.36,0.2902
p100,VA,2038,SO2,41.57,InMAP,ACS,19486.65,810043.88,0.1168
