,,damage_$,damage_$,damage_$,damage_$,damage_$,damage_$,mortality,mortality,mortality,mortality,mortality,mortality
,,count,mean,std,min,50%,max,count,mean,std,min,50%,max
state_abbr,year,,,,,,,,,,,,
AL,2010,6.0,2556913984.425,1344540620.9601688,1208937405.3799999,2445994697.75,4588672910.84,6.0,368.81703333333326,193.9406331618794,174.3807,352.8177,661.8841
AL,2015,6.0,869036228.1233335,452280668.9275166,416406966.92,834537055.855,1539594924.76,6.0,125.35243333333334,65.23831844150082,60.0639,120.3761,222.0758
AL,2020,6.0,388056917.3233333,209754776.18679792,179384523.31,370444110.65,719434827.04,6.0,55.97448333333333,30.25565580888418,25.875,53.434,103.77340000000001
AL,2023,6.0,1171733623.4283335,652231688.7797532,527422533.36,1113364627.545,2239604768.46,6.0,169.01433333333333,94.07991071421499,76.0769,160.59505000000001,323.0474
AL,2026,6.0,873964111.4016666,465406928.78766686,408675871.85,834946975.77,1592753771.83,6.0,126.06323333333334,67.13173632778067,58.948699999999995,120.43530000000001,229.7437
AL,2029,6.0,868667594.8716668,462356837.50997645,406550705.88,830173694.925,1582253140.93,6.0,125.2992,66.69172709438556,58.6421,119.74674999999999,228.2289
AL,2032,6.0,798919171.2883334,424906857.7738992,374036175.63,763414079.505,1453833694.2,6.0,115.23853333333334,61.28984716739524,53.9521,110.1172,209.7054
AL,2035,6.0,1041940954.0933332,540295942.7422656,500398544.72,1000224043.755,1836553796.44,6.0,150.29274999999998,77.93389410611407,72.179,144.2754,264.9101
AL,2038,6.0,1090683998.9066668,565838562.7694875,523654605.69000006,1047068831.855,1923753991.08,6.0,157.32354999999998,81.61826727834278,75.5335,151.03235,277.4881
AL,2041,6.0,644805376.295,343077839.1719382,301699170.65,616013259.665,1173903284.71,6.0,93.00868333333334,49.48661845373623,43.518,88.85560000000001,169.3274
AL,2044,6.0,659274014.5833334,367835403.5485169,296292690.1,626417032.9350001,1263070952.22,6.0,95.09566666666666,53.05771488892701,42.738099999999996,90.35624999999999,182.1892
AL,2047,6.0,873473630.2816666,470285027.73051906,406380312.17,835900319.325,1612802722.3799999,6.0,125.99245,67.83519620323213,58.617599999999996,120.57275000000001,232.63529999999997
