r,t,Value
p1,2010,41550609.460819
p1,2015,36243707.654876
p1,2020,31926041.652317
p1,2023,37785589.135788
p1,2026,39848737.738327
p1,2029,43350659.081345
p1,2032,41963449.304839
p1,2035,33728730.806936
p1,2038,26917776.852532
p1,2041,29116940.414326
p1,2044,29220725.919665
p1,2047,29643227.19399
p1,2050,29121647.423848
p2,2010,-8455827.935622
p2,2015,830116.345043
p2,2020,-7787603.887303
p2,2023,-4661046.215585
p2,2026,-4366490.480883
p2,2029,-10530839.918401
p2,2032,-14213180.678031
p2,2035,-11310692.835098
p2,2038,-10246383.651833
p2,2041,-10998982.391114
p2,2044,-12946653.435343
p2,2047,-15594105.780498
p2,2050,-18804943.753055
p3,2010,7958131.463475
p3,2015,4601346.366927
p3,2020,4005171.938891
p3,2023,3890340.8859
p3,2026,5086590.892415
p3,2029,6457295.264035
p3,2032,6148361.307621
p3,2035,7325483.118325
p3,2038,6975657.938071
p3,2041,6534284.38888
p3,2044,6325946.937808
p3,2047,6981786.225311
p3,2050,5873361.766778
p4,2010,-49256252.330695
p4,2015,-56691405.01254
p4,2020,-65760592.170534
p4,2023,-65579806.498721
p4,2026,-65511841.557524
p4,2029,-65361549.475926
p4,2032,-61507974.722571
p4,2035,-60557456.750662
p4,2038,-60492296.331654
p4,2041,-62751626.093404
p4,2044,-62534304.680892
p4,2047,-62568632.841944
p4,2050,-62443354.78881
p5,2010,-7769007.964389
p5,2015,-4518980.520833
p5,2020,-14151051.686214
p5,2023,-7197472.771332
p5,2026,-5470853.366191
p5,2029,1268520.092685
p5,2032,7573410.709544
p5,2035,13568498.294278
p5,2038,20067194.17117
p5,2041,21003781.039216
p5,2044,25682324.317426
p5,2047,28883395.396474
p5,2050,32976230.82396
p6,2010,5579324.171983
p6,2015,7299552.263692
p6,2020,6281152.31276
p6,2023,7734569.731263
p6,2026,9982870.44094
p6,2029,12165462.039383
p6,2032,11215761.607308
p6,2035,11446746.994322
p6,2038,11152060.959748
p6,2041,12627236.547001
p6,2044,14369824.974786
p6,2047,16008913.209621
p6,2050,17584258.702689
p7,2010,121018.8315
p7,2015,258743.164428
p7,2020,-564575.454843
p7,2023,-1452187.204982
p7,2026,-1046912.69529
p7,2029,-6842967.031747
p7,2032,-15236884.267079
p7,2035,-19675715.062171
p7,2038,-23408461.339323
p7,2041,-24764794.220407
p7,2044,-27026554.372702
p7,2047,-29477040.902592
p7,2050,-31360404.039527
p8,2010,905661.020323
p8,2015,944671.872712
p8,2020,796575.469912
p8,2023,972946.202205
p8,2026,71570.213616
p8,2029,-1023105.674045
p8,2032,-893240.169221
p8,2035,-1006467.288048
p8,2038,-1108275.666912
p8,2041,-1127385.325239
p8,2044,-1616463.448151
p8,2047,-1658150.297495
p8,2050,-1689958.18544
p9,2010,5273520.115073
p9,2015,2909456.791147
p9,2020,23584966.449592
p9,2023,12930074.475237
p9,2026,12954991.743224
p9,2029,11328940.395337
p9,2032,23986941.956917
p9,2035,26452233.340045
p9,2038,15354565.888402
p9,2041,30486226.891833
p9,2044,40996258.770545
p9,2047,42654585.65098
p9,2050,35386891.670698
p10,2010,40701009.382048
p10,2015,9730043.909023
p10,2020,48266995.040175
p10,2023,30755072.91643
p10,2026,21979065.863874
p10,2029,31427929.975435
p10,2032,35300220.380421
p10,2035,52610343.423732
p10,2038,70878682.704647
p10,2041,57642520.251558
p10,2044,51309013.30196
p10,2047,48594981.754695
p10,2050,63981267.779837
p11,2010,8463951.177248
p11,2015,711909.140051
p11,2020,13096827.149088
p11,2023,10427720.347597
p11,2026,10784204.907658
p11,2029,8693114.694798
p11,2032,10322553.379619
p11,2035,10948119.426688
p11,2038,6235972.422041
p11,2041,4332071.918442
p11,2044,331396.18916
p11,2047,1588920.452935
p11,2050,1657585.372379
p12,2010,1244207.08325
p12,2015,-667387.074093
p12,2020,-5708806.645553
p12,2023,-1469155.905988
p12,2026,-2613237.332061
p12,2029,-2347043.248532
