eall,r,t,dr,Value
CH4,p1,2020,2.5,482913246.70939994
CH4,p1,2020,2.0,594354765.1808
CH4,p1,2020,1.5,854384974.9473999
CH4,p1,2023,2.5,190221632.12472
CH4,p1,2023,2.0,236491758.85776
CH4,p1,2023,1.5,330317293.62198
CH4,p1,2026,2.5,604011019.49708
CH4,p1,2026,2.0,756833084.6710399
CH4,p1,2026,1.5,1033368250.22392
CH4,p1,2029,2.5,543411702.86824
CH4,p1,2029,2.0,685171277.52952
CH4,p1,2029,1.5,918483910.82621
CH4,p1,2032,2.5,487318085.79626
CH4,p1,2032,2.0,610330418.13318
CH4,p1,2032,1.5,804311403.7414
CH4,p1,2035,2.5,1201256772.3094
CH4,p1,2035,2.0,1488513826.5573
CH4,p1,2035,1.5,1932456546.7586
CH4,p1,2038,2.5,3174098816.4988403
CH4,p1,2038,2.0,3898893034.4395204
CH4,p1,2038,1.5,4998580813.384
CH4,p1,2041,2.5,3626808570.8852196
CH4,p1,2041,2.0,4422619084.64061
CH4,p1,2041,1.5,5622857892.271689
CH4,p1,2044,2.5,4598660575.4829
CH4,p1,2044,2.0,5573211161.015699
CH4,p1,2044,1.5,7065491745.1128
CH4,p1,2047,2.5,5798437366.26518
CH4,p1,2047,2.0,6990140751.356489
CH4,p1,2047,1.5,8839948990.901209
CH4,p1,2050,2.5,7715740769.653002
CH4,p1,2050,2.0,9258888923.583601
CH4,p1,2050,1.5,11683836022.617401
CH4,p10,2020,2.5,4623306113.5989
CH4,p10,2020,2.0,5690222909.0448
CH4,p10,2020,1.5,8179695431.7519
CH4,p10,2023,2.5,7061159372.6604805
CH4,p10,2023,2.0,8778738679.52384
CH4,p10,2023,1.5,12261607829.55232
CH4,p10,2026,2.5,6094590156.942799
CH4,p10,2026,2.0,7636594895.446399
CH4,p10,2026,1.5,10426889184.167198
CH4,p10,2029,2.5,6754829191.872799
CH4,p10,2029,2.0,8516958546.274399
CH4,p10,2029,1.5,11417129775.393698
CH4,p10,2032,2.5,8715081985.04628
CH4,p10,2032,2.0,10915005592.92204
CH4,p10,2032,1.5,14384115897.6492
CH4,p10,2035,2.5,8617171392.48
CH4,p10,2035,2.0,10677799334.16
CH4,p10,2035,1.5,13862406153.12
CH4,p10,2038,2.5,9529521668.348059
CH4,p10,2038,2.0,11705554175.29368
CH4,p10,2038,1.5,15007120737.556
CH4,p10,2041,2.5,8545523375.76524
CH4,p10,2041,2.0,10420620231.59862
CH4,p10,2041,1.5,13248635161.70798
CH4,p10,2044,2.5,6408498823.28216
CH4,p10,2044,2.0,7766591289.14328
CH4,p10,2044,1.5,9846170377.49312
CH4,p10,2047,2.5,6688357491.9544
CH4,p10,2047,2.0,8062958571.5892
CH4,p10,2047,1.5,10196667710.1268
CH4,p10,2050,2.5,6512640530.462501
CH4,p10,2050,2.0,7815168636.555
CH4,p10,2050,1.5,9861998517.5575
CH4,p100,2020,2.5,843438247.2880001
CH4,p100,2020,2.0,1038077842.8160001
CH4,p100,2020,1.5,1492236899.048
CH4,p100,2023,2.5,896127121.09624
CH4,p100,2023,2.0,1114103988.38992
CH4,p100,2023,1.5,1556112635.95766
CH4,p100,2026,2.5,1148589430.13198
CH4,p100,2026,2.0,1439196394.3822398
CH4,p100,2026,1.5,1965056615.40652
CH4,p100,2029,2.5,961280340.61216
CH4,p100,2029,2.0,1212049125.11968
CH4,p100,2029,1.5,1624772749.62164
CH4,p100,2032,2.5,874369334.4929401
CH4,p100,2032,2.0,1095083923.78242
CH4,p100,2032,1.5,1443133853.0466
CH4,p100,2035,2.5,760226588.1163
CH4,p100,2035,2.0,942019902.6658499
CH4,p100,2035,1.5,1222973206.9696999
CH4,p100,2038,2.5,638480935.75338
CH4,p100,2038,2.0,784275795.09864
CH4,p100,2038,1.5,1005481788.5879999
CH4,p100,2041,2.5,612839583.96058
CH4,p100,2041,2.0,747311579.00229
CH4,p100,2041,1.5,950121801.03241
CH4,p100,2044,2.5,563609764.1211799
CH4,p100,2044,2.0,683050243.93494
CH4,p100,2044,1.5,865943478.64976
CH4,p101,2020,2.5,20303034557.5993
CH4,p101,2020,2.0,24988350224.7376
CH4,p101,2020,1.5,35920753448.0603
CH4,p101,2023,2.5,21208239235.41884
CH4,p101,2023,2.0,26367000130.520718
CH4,p101,2023,1.5,36827820834.47731
CH4,p101,2026,2.5,20026051781.110817
CH4,p101,2026,2.0,25092884159.464157
CH4,p101,2026,1.5,34261437986.96068
CH4,p101,2029,2.5,17312435948.160477
CH4,p101,2029,2.0,21828723586.81104
CH4,p101,2029,1.5,29261780325.423416
CH4,p101,2032,2.5,17588699411.241398
CH4,p101,2032,2.0,22028565282.0402
CH4,p101,2032,1.5,29029892232.145996
CH4,p101,2035,2.5,19601230595.981804
CH4,p101,2035,2.0,24288481390.673103
CH4,p101,2035,1.5,31532414437.014202
CH4,p101,2038,2.5,21155536179.80822
CH4,p101,2038,2.0,25986327905.90616
CH4,p101,2038,1.5,33315805007.572
CH4,p101,2041,2.5,23341339818.48018
CH4,p101,2041,2.0,28463000713.902092
CH4,p101,2041,1.5,36187472884.04661
CH4,p101,2044,2.5,24876274160.23198
CH4,p101,2044,2.0,30148067359.75134
CH4,p101,2044,1.5,38220500696.51536
CH4,p101,2047,2.5,27535186395.044743
