sys_costs,r,t,Value
inv_h2_production,p13,2032,-0.0
inv_h2_production,p19,2032,101250118.857485
inv_h2_production,p19,2035,86335.241021
inv_h2_production,p43,2035,1e-06
inv_h2_production,p46,2035,-0.0
inv_h2_production,p54,2035,-1e-06
inv_h2_production,p68,2035,-0.0
inv_h2_production,p69,2035,-0.0
inv_h2_production,p99,2047,273628487.165631
inv_h2_production,p127,2041,4917793113.124719
inv_h2_production,p127,2044,139310431.221346
inv_h2_storage,p5,2029,0.0
inv_h2_storage,p5,2032,-0.0
inv_h2_storage,p9,2038,0.0
inv_h2_storage,p9,2041,-0.0
inv_h2_storage,p13,2032,0.0
inv_h2_storage,p13,2035,-0.0
inv_h2_storage,p19,2032,1701871.950565
inv_h2_storage,p22,2038,-0.0
inv_h2_storage,p22,2041,0.0
inv_h2_storage,p24,2044,3e-06
inv_h2_storage,p24,2047,-3e-06
inv_h2_storage,p27,2047,0.0
inv_h2_storage,p27,2050,-0.0
inv_h2_storage,p29,2032,0.0
inv_h2_storage,p29,2038,-0.0
inv_h2_storage,p31,2041,-0.0
inv_h2_storage,p31,2044,0.0
inv_h2_storage,p32,2044,0.0
inv_h2_storage,p32,2047,-0.0
inv_h2_storage,p34,2035,0.0
inv_h2_storage,p34,2038,-0.0
inv_h2_storage,p36,2041,0.0
inv_h2_storage,p36,2044,-0.0
inv_h2_storage,p43,2038,-0.0
inv_h2_storage,p43,2041,0.0
inv_h2_storage,p43,2047,-0.0
inv_h2_storage,p44,2035,-0.0
inv_h2_storage,p44,2038,0.0
inv_h2_storage,p48,2044,0.0
inv_h2_storage,p48,2047,-0.0
inv_h2_storage,p53,2038,0.0
inv_h2_storage,p53,2041,-0.0
inv_h2_storage,p57,2032,-0.0
inv_h2_storage,p57,2035,0.0
inv_h2_storage,p57,2041,0.0
inv_h2_storage,p57,2044,-0.0
inv_h2_storage,p60,2041,0.0
inv_h2_storage,p60,2044,-0.0
inv_h2_storage,p61,2047,4e-06
inv_h2_storage,p61,2050,-4e-06
inv_h2_storage,p62,2041,-7e-06
inv_h2_storage,p62,2044,7e-06
inv_h2_storage,p64,2041,-0.0
inv_h2_storage,p64,2044,0.0
inv_h2_storage,p65,2047,-0.0
inv_h2_storage,p65,2050,0.0
inv_h2_storage,p66,2044,-0.0
inv_h2_storage,p66,2047,0.0
inv_h2_storage,p67,2041,0.0
inv_h2_storage,p67,2044,-0.0
inv_h2_storage,p68,2035,0.0
inv_h2_storage,p68,2038,-0.0
inv_h2_storage,p68,2041,-0.0
inv_h2_storage,p72,2038,0.0
inv_h2_storage,p72,2041,-0.0
inv_h2_storage,p73,2038,0.0
inv_h2_storage,p73,2041,-0.0
inv_h2_storage,p85,2038,0.0
inv_h2_storage,p85,2041,-0.0
inv_h2_storage,p89,2047,-0.0
inv_h2_storage,p89,2050,0.0
inv_h2_storage,p91,2038,-0.0
inv_h2_storage,p91,2041,0.0
inv_h2_storage,p99,2047,104914140.330734
inv_h2_storage,p101,2038,-0.0
inv_h2_storage,p101,2041,0.0
inv_h2_storage,p118,2038,-0.0
inv_h2_storage,p118,2041,0.0
inv_h2_storage,p123,2032,-0.0
inv_h2_storage,p123,2035,0.0
inv_h2_storage,p123,2038,-0.0
inv_h2_storage,p123,2041,0.0
inv_h2_storage,p123,2044,-0.0
inv_h2_storage,p123,2047,0.0
inv_h2_storage,p127,2041,771769192.481372
inv_h2_storage,p127,2044,32351938.878268
inv_h2_storage,p127,2047,1398061697.637479
inv_h2_storage,p127,2050,416633689.277065
inv_investment_capacity_costs,p1,2010,381394271.0115
inv_investment_capacity_costs,p1,2015,107220104.123593
inv_investment_capacity_costs,p1,2020,215022761.477033
inv_investment_capacity_costs,p1,2023,13169559.195
inv_investment_capacity_costs,p1,2029,729219368.408359
inv_investment_capacity_costs,p1,2032,1780903421.995312
inv_investment_capacity_costs,p1,2035,2994284488.914391
inv_investment_capacity_costs,p1,2038,2961624393.326958
inv_investment_capacity_costs,p1,2041,115800197.972726
inv_investment_capacity_costs,p1,2044,1441474303.333837
inv_investment_capacity_costs,p1,2047,937137322.580712
inv_investment_capacity_costs,p1,2050,1854201824.729084
inv_investment_capacity_costs,p2,2010,117393137.96
inv_investment_capacity_costs,p2,2015,1208287032.61911
inv_investment_capacity_costs,p2,2023,134133754.11
inv_investment_capacity_costs,p2,2026,146080107.504
inv_investment_capacity_costs,p2,2029,2607074217.691017
inv_investment_capacity_costs,p2,2032,2042733193.83
inv_investment_capacity_costs,p2,2035,116545004.121557
inv_investment_capacity_costs,p2,2038,769386658.826123
inv_investment_capacity_costs,p2,2041,352065258.109747
inv_investment_capacity_costs,p2,2044,1255435317.951676
inv_investment_capacity_costs,p2,2047,770790499.210862
inv_investment_capacity_costs,p2,2050,1095408496.500399
inv_investment_capacity_costs,p3,2015,150165713.8215
inv_investment_capacity_costs,p3,2020,177681543.112704
inv_investment_capacity_costs,p3,2029,67637897.23573
inv_investment_capacity_costs,p3,2032,403051845.978883
inv_investment_capacity_costs,p3,2035,41716641.926526
inv_investment_capacity_costs,p3,2038,326788100.664997
inv_investment_capacity_costs,p3,2041,324618949.766649
inv_investment_capacity_costs,p3,2044,359068513.178446
inv_investment_capacity_costs,p3,2047,254669456.413171
inv_investment_capacity_costs,p3,2050,831250899.328387
inv_investment_capacity_costs,p4,2015,641501060.295261
inv_investment_capacity_costs,p4,2020,391444958.078072
inv_investment_capacity_costs,p4,2026,126551415.816
inv_investment_capacity_costs,p4,2029,207441509.217789
inv_investment_capacity_costs,p4,2035,572684.675767
inv_investment_capacity_costs,p4,2038,464588.85242
inv_investment_capacity_costs,p4,2041,538625023.071624
inv_investment_capacity_costs,p4,2044,11153105.886636
inv_investment_capacity_costs,p4,2047,17211222.036767
inv_investment_capacity_costs,p4,2050,16833154.974699
inv_investment_capacity_costs,p5,2010,687232622.158629
inv_investment_capacity_costs,p5,2015,1790401256.49598
inv_investment_capacity_costs,p5,2020,1266259675.130691
inv_investment_capacity_costs,p5,2023,1131091993.517353
inv_investment_capacity_costs,p5,2026,5522896.681436
inv_investment_capacity_costs,p5,2029,894836426.67974
inv_investment_capacity_costs,p5,2032,267616105.202394
inv_investment_capacity_costs,p5,2035,121465331.608733
inv_investment_capacity_costs,p5,2038,23496983.122214
inv_investment_capacity_costs,p5,2041,279980698.126634
inv_investment_capacity_costs,p5,2044,189808796.092195
inv_investment_capacity_costs,p5,2050,764873828.18905
inv_investment_capacity_costs,p6,2015,18876889.427035
inv_investment_capacity_costs,p6,2020,83404552.671776
inv_investment_capacity_costs,p6,2023,5125610.50176
inv_investment_capacity_costs,p6,2026,3412569.2986
inv_investment_capacity_costs,p6,2029,133603665.000416
inv_investment_capacity_costs,p6,2032,982065690.702347
inv_investment_capacity_costs,p6,2035,472563674.872819
inv_investment_capacity_costs,p6,2038,509075114.486918
inv_investment_capacity_costs,p6,2041,36864369.790319
inv_investment_capacity_costs,p6,2044,32611453.652695
inv_investment_capacity_costs,p6,2047,30085873.612707
inv_investment_capacity_costs,p6,2050,58097216.954039
inv_investment_capacity_costs,p7,2015,123359040.2518
inv_investment_capacity_costs,p7,2020,289299197.402448
inv_investment_capacity_costs,p7,2023,404804320.6172
inv_investment_capacity_costs,p7,2026,291899.5464
inv_investment_capacity_costs,p7,2029,1798339147.550027
inv_investment_capacity_costs,p7,2032,2682695905.666778
inv_investment_capacity_costs,p7,2035,1267764851.409687
inv_investment_capacity_costs,p7,2038,986725639.221932
inv_investment_capacity_costs,p7,2041,590125554.553816
inv_investment_capacity_costs,p7,2044,1225110379.05125
inv_investment_capacity_costs,p7,2047,1336440703.779611
inv_investment_capacity_costs,p7,2050,469263412.397542
inv_investment_capacity_costs,p8,2010,4551412.95
inv_investment_capacity_costs,p8,2020,10319800.7992
inv_investment_capacity_costs,p8,2026,350148846.06
inv_investment_capacity_costs,p8,2029,643920989.980541
inv_investment_capacity_costs,p8,2032,22755256.587034
inv_investment_capacity_costs,p8,2035,288081658.880569
inv_investment_capacity_costs,p8,2038,136387006.28422
inv_investment_capacity_costs,p8,2041,122080871.792382
inv_investment_capacity_costs,p8,2044,582402727.503483
inv_investment_capacity_costs,p8,2047,76010786.768156
inv_investment_capacity_costs,p8,2050,93408229.405722
inv_investment_capacity_costs,p9,2010,1293396715.401504
inv_investment_capacity_costs,p9,2015,7188425870.453658
inv_investment_capacity_costs,p9,2020,2101559512.194385
inv_investment_capacity_costs,p9,2023,5965400198.323864
inv_investment_capacity_costs,p9,2026,5007553390.479654
inv_investment_capacity_costs,p9,2029,11600061743.082294
inv_investment_capacity_costs,p9,2032,5066409514.668427
inv_investment_capacity_costs,p9,2035,18806093682.695255
inv_investment_capacity_costs,p9,2038,23465152889.421192
inv_investment_capacity_costs,p9,2041,2782770502.181448
inv_investment_capacity_costs,p9,2044,6851244298.547372
inv_investment_capacity_costs,p9,2047,6543353512.569882
inv_investment_capacity_costs,p9,2050,9172701252.14465
inv_investment_capacity_costs,p10,2010,399069353.6868
inv_investment_capacity_costs,p10,2015,19587504060.770714
inv_investment_capacity_costs,p10,2020,6457740260.304235
inv_investment_capacity_costs,p10,2023,12898266319.577217
inv_investment_capacity_costs,p10,2026,10423533183.050863
inv_investment_capacity_costs,p10,2029,4995031721.592516
inv_investment_capacity_costs,p10,2032,7548448405.396858
inv_investment_capacity_costs,p10,2035,4941069228.85735
inv_investment_capacity_costs,p10,2038,11825031782.658308
inv_investment_capacity_costs,p10,2041,22694334797.067303
inv_investment_capacity_costs,p10,2044,21936674178.243416
inv_investment_capacity_costs,p10,2047,6711481253.469254
inv_investment_capacity_costs,p10,2050,4369841736.10884
inv_investment_capacity_costs,p11,2010,152825427.6507
inv_investment_capacity_costs,p11,2015,272464875.320572
inv_investment_capacity_costs,p11,2020,1561349845.426356
inv_investment_capacity_costs,p11,2023,562055773.370845
inv_investment_capacity_costs,p11,2026,991481576.811755
inv_investment_capacity_costs,p11,2029,1655997411.351338
inv_investment_capacity_costs,p11,2032,498884652.790041
inv_investment_capacity_costs,p11,2035,2923233860.989062
inv_investment_capacity_costs,p11,2038,4119062157.282562
inv_investment_capacity_costs,p11,2041,2529889673.2083
inv_investment_capacity_costs,p11,2044,4192135365.889598
inv_investment_capacity_costs,p11,2047,213534331.452
inv_investment_capacity_costs,p11,2050,2134062862.260324
inv_investment_capacity_costs,p12,2010,54151506.4272
inv_investment_capacity_costs,p12,2015,1224295425.586614
inv_investment_capacity_costs,p12,2020,635194118.4251
inv_investment_capacity_costs,p12,2023,670515144.912097
inv_investment_capacity_costs,p12,2026,597788045.9202
inv_investment_capacity_costs,p12,2029,1413185342.509664
inv_investment_capacity_costs,p12,2032,1580475.923002
inv_investment_capacity_costs,p12,2035,810561385.74354
inv_investment_capacity_costs,p12,2038,885742246.709806
inv_investment_capacity_costs,p12,2041,273064036.290321
inv_investment_capacity_costs,p12,2044,1041753487.171417
inv_investment_capacity_costs,p12,2047,406392961.790127
inv_investment_capacity_costs,p12,2050,1583540697.945436
inv_investment_capacity_costs,p13,2010,242137336.43578
inv_investment_capacity_costs,p13,2015,1992302510.77908
inv_investment_capacity_costs,p13,2020,1251699431.735074
inv_investment_capacity_costs,p13,2023,1035309514.9574
inv_investment_capacity_costs,p13,2026,917309523.6452
inv_investment_capacity_costs,p13,2029,2187195441.657301
inv_investment_capacity_costs,p13,2032,4759722168.367541
inv_investment_capacity_costs,p13,2035,4767602817.29064
inv_investment_capacity_costs,p13,2038,1413610748.651353
inv_investment_capacity_costs,p13,2041,1172068979.076428
inv_investment_capacity_costs,p13,2044,4254448140.881298
inv_investment_capacity_costs,p13,2047,1548422973.429384
inv_investment_capacity_costs,p13,2050,1273980821.717426
inv_investment_capacity_costs,p14,2015,4178421.632
inv_investment_capacity_costs,p14,2029,2187401.880811
inv_investment_capacity_costs,p14,2032,15937184.010721
inv_investment_capacity_costs,p14,2035,22810946.392495
inv_investment_capacity_costs,p14,2038,26513627.492828
inv_investment_capacity_costs,p14,2041,1e-06
inv_investment_capacity_costs,p14,2044,13677183.369995
inv_investment_capacity_costs,p14,2050,89198559.123521
inv_investment_capacity_costs,p15,2010,150422595.576866
inv_investment_capacity_costs,p15,2015,675088979.929245
inv_investment_capacity_costs,p15,2020,209270536.661561
inv_investment_capacity_costs,p15,2023,287000701.155098
