sys_costs,i,r,t,Value
inv_h2_production,electrolyzer,p13,2032,-0.0
inv_h2_production,electrolyzer,p19,2032,101250118.857485
inv_h2_production,electrolyzer,p19,2035,86335.241021
inv_h2_production,electrolyzer,p43,2035,1e-06
inv_h2_production,electrolyzer,p46,2035,-0.0
inv_h2_production,electrolyzer,p54,2035,-1e-06
inv_h2_production,electrolyzer,p68,2035,-0.0
inv_h2_production,electrolyzer,p69,2035,-0.0
inv_h2_production,electrolyzer,p99,2047,273628487.165631
inv_h2_production,electrolyzer,p127,2041,4917793113.124719
inv_h2_production,electrolyzer,p127,2044,139310431.221346
inv_investment_capacity_costs,battery_4,p6,2026,3412569.2986
inv_investment_capacity_costs,battery_4,p6,2041,2668138.7675
inv_investment_capacity_costs,battery_4,p7,2026,291899.5464
inv_investment_capacity_costs,battery_4,p7,2044,421278671.684004
inv_investment_capacity_costs,battery_4,p7,2047,523920375.156546
inv_investment_capacity_costs,battery_4,p8,2029,201542458.8
inv_investment_capacity_costs,battery_4,p8,2038,38328256.413386
inv_investment_capacity_costs,battery_4,p8,2044,5363993.740118
inv_investment_capacity_costs,battery_4,p9,2015,18130771.2
inv_investment_capacity_costs,battery_4,p9,2020,2015193.056
inv_investment_capacity_costs,battery_4,p9,2023,4246538041.15187
inv_investment_capacity_costs,battery_4,p9,2026,306368537.86
inv_investment_capacity_costs,battery_4,p9,2038,1441906977.57575
inv_investment_capacity_costs,battery_4,p9,2041,1284164731.301448
inv_investment_capacity_costs,battery_4,p9,2044,856522040.426385
inv_investment_capacity_costs,battery_4,p10,2015,8986063.476
inv_investment_capacity_costs,battery_4,p10,2020,284049910.4256
inv_investment_capacity_costs,battery_4,p10,2023,9661312454.478575
inv_investment_capacity_costs,battery_4,p10,2026,3122707331.205
inv_investment_capacity_costs,battery_4,p11,2015,12094735.288
inv_investment_capacity_costs,battery_4,p11,2020,668454543.432
inv_investment_capacity_costs,battery_4,p11,2023,416025983.52
inv_investment_capacity_costs,battery_4,p11,2026,466068795.4692
inv_investment_capacity_costs,battery_4,p11,2041,1295447240.783562
inv_investment_capacity_costs,battery_4,p12,2029,37103167.984827
inv_investment_capacity_costs,battery_4,p12,2038,31280191.15044
inv_investment_capacity_costs,battery_4,p12,2044,69101101.736992
inv_investment_capacity_costs,battery_4,p13,2023,94983507.6752
inv_investment_capacity_costs,battery_4,p13,2026,810351130.3888
inv_investment_capacity_costs,battery_4,p13,2029,519800913.429072
inv_investment_capacity_costs,battery_4,p13,2041,582891877.3288
inv_investment_capacity_costs,battery_4,p13,2044,363838433.924021
inv_investment_capacity_costs,battery_4,p15,2023,245527826.178
inv_investment_capacity_costs,battery_4,p16,2023,3799455.152
inv_investment_capacity_costs,battery_4,p18,2026,144593002.4
inv_investment_capacity_costs,battery_4,p21,2038,211184371.639158
inv_investment_capacity_costs,battery_4,p21,2047,396929594.515122
inv_investment_capacity_costs,battery_4,p22,2047,52656351.320454
inv_investment_capacity_costs,battery_4,p25,2044,445974229.666477
inv_investment_capacity_costs,battery_4,p25,2047,565719143.011498
inv_investment_capacity_costs,battery_4,p26,2038,10496874.68524
inv_investment_capacity_costs,battery_4,p26,2044,159243122.07416
inv_investment_capacity_costs,battery_4,p26,2047,82684277.101481
inv_investment_capacity_costs,battery_4,p27,2050,47125088.61062
inv_investment_capacity_costs,battery_4,p28,2023,1779769540.375886
inv_investment_capacity_costs,battery_4,p28,2026,358817420.5
inv_investment_capacity_costs,battery_4,p28,2044,159855808.69893
inv_investment_capacity_costs,battery_4,p29,2035,15611281.072953
inv_investment_capacity_costs,battery_4,p30,2029,623575149.221608
inv_investment_capacity_costs,battery_4,p30,2035,83541159.12113
inv_investment_capacity_costs,battery_4,p30,2038,1654788738.137508
inv_investment_capacity_costs,battery_4,p30,2044,641777406.394784
inv_investment_capacity_costs,battery_4,p31,2023,139163419.056
inv_investment_capacity_costs,battery_4,p31,2026,213109927.8
inv_investment_capacity_costs,battery_4,p31,2038,214138836.912838
inv_investment_capacity_costs,battery_4,p32,2038,73069090.944476
inv_investment_capacity_costs,battery_4,p33,2023,9349100.13
inv_investment_capacity_costs,battery_4,p34,2023,421247841.75
inv_investment_capacity_costs,battery_4,p34,2038,432123462.180325
inv_investment_capacity_costs,battery_4,p34,2041,694668129.363433
inv_investment_capacity_costs,battery_4,p34,2044,114434116.85522
inv_investment_capacity_costs,battery_4,p37,2029,352285595.179403
inv_investment_capacity_costs,battery_4,p39,2032,61523139.465222
inv_investment_capacity_costs,battery_4,p39,2035,265255084.626215
inv_investment_capacity_costs,battery_4,p39,2044,17840172.952168
inv_investment_capacity_costs,battery_4,p39,2050,120563201.66422
inv_investment_capacity_costs,battery_4,p40,2023,1887764.556
inv_investment_capacity_costs,battery_4,p41,2044,65566527.038209
inv_investment_capacity_costs,battery_4,p43,2023,1491621.824716
inv_investment_capacity_costs,battery_4,p43,2029,421865902.08
inv_investment_capacity_costs,battery_4,p43,2038,1765143728.247724
inv_investment_capacity_costs,battery_4,p45,2038,185706758.565921
inv_investment_capacity_costs,battery_4,p47,2032,392532350.76
