ba,state_abbr,year,pollutant,tons,model,cr,md,damage_$,mortality
p1,WA,2010,SO2,62.72,AP2,ACS,3649.64,228902.6,0.033
p1,WA,2010,SO2,62.72,AP2,H6C,9375.9,588049.74,0.0848
p1,WA,2010,SO2,62.72,EASIUR,ACS,18204.36,1141764.03,0.1647
p1,WA,2010,SO2,62.72,EASIUR,H6C,46771.73,2933488.54,0.4231
p1,WA,2010,SO2,62.72,InMAP,ACS,4154.93,260594.15,0.0376
p1,WA,2010,SO2,62.72,InMAP,H6C,10674.16,669475.68,0.0966
p1,WA,2015,SO2,29.81,AP2,ACS,3649.64,108807.81,0.0157
p1,WA,2015,SO2,29.81,AP2,H6C,9375.9,279526.77,0.0403
p1,WA,2015,SO2,29.81,EASIUR,ACS,18204.36,542732.35,0.0783
p1,WA,2015,SO2,29.81,EASIUR,H6C,46771.73,1394420.46,0.2011
p1,WA,2015,SO2,29.81,InMAP,ACS,4154.93,123872.25,0.0179
p1,WA,2015,SO2,29.81,InMAP,H6C,10674.16,318232.23,0.0459
p1,WA,2020,SO2,52.54,AP2,ACS,3649.64,191752.99,0.0277
p1,WA,2020,SO2,52.54,AP2,H6C,9375.9,492612.56,0.0711
p1,WA,2020,SO2,52.54,EASIUR,ACS,18204.36,956462.13,0.138
p1,WA,2020,SO2,52.54,EASIUR,H6C,46771.73,2457399.78,0.3545
p1,WA,2020,SO2,52.54,InMAP,ACS,4154.93,218301.18,0.0315
p1,WA,2020,SO2,52.54,InMAP,H6C,10674.16,560823.53,0.0809
p1,WA,2023,SO2,26.34,AP2,ACS,3649.64,96138.62,0.0139
p1,WA,2023,SO2,26.34,AP2,H6C,9375.9,246979.69,0.0356
p1,WA,2023,SO2,26.34,EASIUR,ACS,18204.36,479538.57,0.0692
p1,WA,2023,SO2,26.34,EASIUR,H6C,46771.73,1232059.21,0.1777
p1,WA,2023,SO2,26.34,InMAP,ACS,4154.93,109449.01,0.0158
p1,WA,2023,SO2,26.34,InMAP,H6C,10674.16,281178.42,0.0406
p1,WA,2026,SO2,61.69,AP2,ACS,3649.64,225149.04,0.0325
p1,WA,2026,SO2,61.69,AP2,H6C,9375.9,578406.86,0.0834
p1,WA,2026,SO2,61.69,EASIUR,ACS,18204.36,1123041.31,0.162
p1,WA,2026,SO2,61.69,EASIUR,H6C,46771.73,2885385.0,0.4162
p1,WA,2026,SO2,61.69,InMAP,ACS,4154.93,256320.91,0.037
p1,WA,2026,SO2,61.69,InMAP,H6C,10674.16,658497.58,0.095
p1,WA,2029,SO2,42.35,AP2,ACS,3649.64,154570.8,0.0223
p1,WA,2029,SO2,42.35,AP2,H6C,9375.9,397091.7,0.0573
p1,WA,2029,SO2,42.35,EASIUR,ACS,18204.36,770997.74,0.1112
p1,WA,2029,SO2,42.35,EASIUR,H6C,46771.73,1980893.56,0.2857
p1,WA,2029,SO2,42.35,InMAP,ACS,4154.93,175971.13,0.0254
p1,WA,2029,SO2,42.35,InMAP,H6C,10674.16,452076.1,0.0652
p1,WA,2032,SO2,28.63,AP2,ACS,3649.64,104475.93,0.0151
p1,WA,2032,SO2,28.63,AP2,H6C,9375.9,268398.18,0.0387
p1,WA,2032,SO2,28.63,EASIUR,ACS,18204.36,521124.96,0.0752
p1,WA,2032,SO2,28.63,EASIUR,H6C,46771.73,1338905.45,0.1931
p1,WA,2032,SO2,28.63,InMAP,ACS,4154.93,118940.62,0.0172
p1,WA,2032,SO2,28.63,InMAP,H6C,10674.16,305562.69,0.0441
p1,WA,2035,SO2,22.34,AP2,ACS,3649.64,81534.88,0.0118
p1,WA,2035,SO2,22.34,AP2,H6C,9375.9,209462.75,0.0302
p1,WA,2035,SO2,22.34,EASIUR,ACS,18204.36,406695.25,0.0587
p1,WA,2035,SO2,22.34,EASIUR,H6C,46771.73,1044905.79,0.1507
p1,WA,2035,SO2,22.34,InMAP,ACS,4154.93,92823.39,0.0134
p1,WA,2035,SO2,22.34,InMAP,H6C,10674.16,238466.59,0.0344
p1,WA,2038,SO2,26.23,AP2,ACS,3649.64,95716.25,0.0138
p1,WA,2038,SO2,26.23,AP2,H6C,9375.9,245894.61,0.0355
p1,WA,2038,SO2,26.23,EASIUR,ACS,18204.36,477431.76,0.0689
p1,WA,2038,SO2,26.23,EASIUR,H6C,46771.73,1226646.27,0.1769
p1,WA,2038,SO2,26.23,InMAP,ACS,4154.93,108968.16,0.0157
p1,WA,2038,SO2,26.23,InMAP,H6C,10674.16,279943.09,0.0404
p1,WA,2041,SO2,40.56,AP2,ACS,3649.64,148045.96,0.0214
p1,WA,2041,SO2,40.56,AP2,H6C,9375.9,380329.41,0.0549
p1,WA,2041,SO2,40.56,EASIUR,ACS,18204.36,738451.88,0.1065
p1,WA,2041,SO2,40.56,EASIUR,H6C,46771.73,1897274.81,0.2737
p1,WA,2041,SO2,40.56,InMAP,ACS,4154.93,168542.92,0.0243
p1,WA,2041,SO2,40.56,InMAP,H6C,10674.16,432992.78,0.0625
p1,WA,2044,SO2,100.09,AP2,ACS,3649.64,365291.4,0.0527
p1,WA,2044,SO2,100.09,AP2,H6C,9375.9,938431.96,0.1354
p1,WA,2044,SO2,100.09,EASIUR,ACS,18204.36,1822070.13,0.2628
p1,WA,2044,SO2,100.09,EASIUR,H6C,46771.73,4681371.71,0.6753
p1,WA,2044,SO2,100.09,InMAP,ACS,4154.93,415865.99,0.06
p1,WA,2044,SO2,100.09,InMAP,H6C,10674.16,1068374.56,0.1541
p1,WA,2047,SO2,106.94,AP2,ACS,3649.64,390282.69,0.0563
p1,WA,2047,SO2,106.94,AP2,H6C,9375.9,1002634.46,0.1446
p1,WA,2047,SO2,106.94,EASIUR,ACS,18204.36,1946726.42,0.2808
p1,WA,2047,SO2,106.94,EASIUR,H6C,46771.73,5001646.12,0.7215
p1,WA,2047,SO2,106.94,InMAP,ACS,4154.93,444317.31,0.0641
p1,WA,2047,SO2,106.94,InMAP,H6C,10674.16,1141467.03,0.1646
p1,WA,2050,SO2,167.89,AP2,ACS,3649.64,612747.63,0.0884
p1,WA,2050,SO2,167.89,AP2,H6C,9375.9,1574145.88,0.2271
p1,WA,2050,SO2,167.89,EASIUR,ACS,18204.36,3056379.48,0.4409
p1,WA,2050,SO2,167.89,EASIUR,H6C,46771.73,7852633.21,1.1327
p1,WA,2050,SO2,167.89,InMAP,ACS,4154.93,697582.51,0.1006
p1,WA,2050,SO2,167.89,InMAP,H6C,10674.16,1792114.38,0.2585
p10,CA,2010,SO2,10351.97,AP2,ACS,22816.59,236196580.76,34.0697
p10,CA,2010,SO2,10351.97,AP2,H6C,58622.06,606853567.72,87.5344
p10,CA,2010,SO2,10351.97,EASIUR,ACS,11194.08,115880707.47,16.715
p10,CA,2010,SO2,10351.97,EASIUR,H6C,28760.03,297722842.43,42.9444
p10,CA,2010,SO2,10351.97,InMAP,ACS,18448.86,190982010.96,27.5478
p10,CA,2010,SO2,10351.97,InMAP,H6C,47399.94,490682588.99,70.7775
p10,CA,2015,SO2,7310.82,AP2,ACS,22816.59,166807934.33,24.0609
p10,CA,2015,SO2,7310.82,AP2,H6C,58622.06,428575171.35,61.819
p10,CA,2015,SO2,7310.82,EASIUR,ACS,11194.08,81837854.64,11.8045
p10,CA,2015,SO2,7310.82,EASIUR,H6C,28760.03,210259319.54,30.3284
p10,CA,2015,SO2,7310.82,InMAP,ACS,18448.86,134876273.99,19.455
p10,CA,2015,SO2,7310.82,InMAP,H6C,47399.94,346532319.89,49.9849
p10,CA,2020,SO2,5047.02,AP2,ACS,22816.59,115155720.37,16.6104
p10,CA,2020,SO2,5047.02,AP2,H6C,58622.06,295866517.3,42.6767
p10,CA,2020,SO2,5047.02,EASIUR,ACS,11194.08,56496695.69,8.1493
p10,CA,2020,SO2,5047.02,EASIUR,H6C,28760.03,145152348.43,20.9372
p10,CA,2020,SO2,5047.02,InMAP,ACS,18448.86,93111724.89,13.4307
p10,CA,2020,SO2,5047.02,InMAP,H6C,47399.94,239228302.22,34.507
p10,CA,2023,SO2,2910.36,AP2,ACS,22816.59,66404418.93,9.5784
p10,CA,2023,SO2,2910.36,AP2,H6C,58622.06,170611100.34,24.6095
p10,CA,2023,SO2,2910.36,EASIUR,ACS,11194.08,32578757.15,4.6993
p10,CA,2023,SO2,2910.36,EASIUR,H6C,28760.03,83701941.37,12.0734
p10,CA,2023,SO2,2910.36,InMAP,ACS,18448.86,53692773.29,7.7448
p10,CA,2023,SO2,2910.36,InMAP,H6C,47399.94,137950736.19,19.8984
p10,CA,2026,SO2,1404.71,AP2,ACS,22816.59,32050611.87,4.6231
p10,CA,2026,SO2,1404.71,AP2,H6C,58622.06,82346781.23,11.8779
p10,CA,2026,SO2,1404.71,EASIUR,ACS,11194.08,15724391.81,2.2681
p10,CA,2026,SO2,1404.71,EASIUR,H6C,28760.03,40399396.29,5.8273
p10,CA,2026,SO2,1404.71,InMAP,ACS,18448.86,25915236.74,3.7381
p10,CA,2026,SO2,1404.71,InMAP,H6C,47399.94,66583001.17,9.6041
p10,CA,2029,SO2,1630.82,AP2,ACS,22816.59,37209818.86,5.3673
p10,CA,2029,SO2,1630.82,AP2,H6C,58622.06,95602193.98,13.7899
p10,CA,2029,SO2,1630.82,EASIUR,ACS,11194.08,18255556.96,2.6332
p10,CA,2029,SO2,1630.82,EASIUR,H6C,28760.03,46902512.32,6.7654
p10,CA,2029,SO2,1630.82,InMAP,ACS,18448.86,30086828.57,4.3398
p10,CA,2029,SO2,1630.82,InMAP,H6C,47399.94,77300908.41,11.1501
