r,t,Value
p1,2010,41550572.049103
p1,2015,36206319.841729
p1,2020,31651333.145698
p1,2023,37785589.135788
p1,2026,39374758.066658
p1,2029,42935109.072664
p1,2032,44774573.661971
p1,2035,39569181.725192
p1,2038,42402307.462441
p1,2041,42059637.034357
p1,2044,44291043.287697
p1,2047,47512426.903177
p1,2050,46409830.293003
p2,2010,-8456452.982295
p2,2015,868940.454995
p2,2020,-7909469.543384
p2,2023,-4641326.045438
p2,2026,-5379720.325774
p2,2029,-5993999.071546
p2,2032,-10206008.120137
p2,2035,-17693194.069128
p2,2038,-16179741.951999
p2,2041,-19056743.241769
p2,2044,-18246777.849978
p2,2047,-22618677.8521
p2,2050,-20993524.350881
p3,2010,7958131.463475
p3,2015,4601346.366927
p3,2020,4005171.938891
p3,2023,3890340.8859
p3,2026,5086590.892415
p3,2029,5946295.315036
p3,2032,6962767.775985
p3,2035,7493047.317303
p3,2038,8382142.736576
p3,2041,6489059.18256
p3,2044,7116485.713223
p3,2047,6253752.246217
p3,2050,4917547.557345
p4,2010,-49256252.282367
p4,2015,-56707927.412528
p4,2020,-65791099.16611
p4,2023,-65580186.061476
p4,2026,-65537590.854042
p4,2029,-65878747.067898
p4,2032,-62839984.556477
p4,2035,-58310787.051039
p4,2038,-57925227.130235
p4,2041,-56551584.159747
p4,2044,-57862724.300473
p4,2047,-57962339.221535
p4,2050,-60802900.058589
p5,2010,-7769566.862933
p5,2015,-4344819.916473
p5,2020,-13684126.0545
p5,2023,-6760049.392643
p5,2026,-5281331.526192
p5,2029,1093551.324723
p5,2032,9405789.903968
p5,2035,16248500.60832
p5,2038,19810498.914553
p5,2041,21819855.436928
p5,2044,17895126.467351
p5,2047,20847005.51609
p5,2050,25027043.954137
p6,2010,5579303.843424
p6,2015,7299361.890205
p6,2020,6246729.744115
p6,2023,7727334.174776
p6,2026,9835446.488817
p6,2029,13142529.996636
p6,2032,11179090.739566
p6,2035,13264713.830098
p6,2038,14603952.007758
p6,2041,14965090.908553
p6,2044,15455329.077556
p6,2047,16542780.070247
p6,2050,18034357.552847
p7,2010,121018.8315
p7,2015,258743.164428
p7,2020,-564575.454843
p7,2023,-1452187.204982
p7,2026,-1046916.520634
p7,2029,-9130053.066883
p7,2032,-13378262.624565
p7,2035,-15429873.688334
p7,2038,-21258446.361681
p7,2041,-22425566.463573
p7,2044,-23976552.891191
p7,2047,-25816803.953799
p7,2050,-28965522.145731
p8,2010,905661.020323
p8,2015,944671.872712
p8,2020,796575.469912
p8,2023,969338.822205
p8,2026,42521.195791
p8,2029,-871052.934146
p8,2032,-640891.427847
p8,2035,-360085.796927
p8,2038,-987495.804338
p8,2041,-980582.719835
p8,2044,-978651.870493
p8,2047,-1276783.837767
p8,2050,-1591916.075811
p9,2010,5273364.300261
p9,2015,2909456.791147
p9,2020,23810852.096961
p9,2023,12798062.682539
p9,2026,14161204.271423
p9,2029,-278143.277036
p9,2032,14451164.547749
p9,2035,13451797.283226
p9,2038,9674666.603181
p9,2041,14065072.291851
p9,2044,12737669.9349
p9,2047,16270117.624705
p9,2050,19657168.705999
p10,2010,40699823.258776
p10,2015,9728529.659136
p10,2020,48434521.035466
p10,2023,31323239.331298
p10,2026,33156516.977214
p10,2029,33220721.816167
p10,2032,8957001.895598
p10,2035,16578895.187042
p10,2038,10808247.938477
p10,2041,20199093.4473
p10,2044,33689043.082573
p10,2047,44234961.780876
p10,2050,44849476.656252
p11,2010,8463874.796275
p11,2015,711909.140051
p11,2020,13166147.188904
p11,2023,10417593.431036
p11,2026,10377920.769622
p11,2029,7950022.363595
p11,2032,4956363.701582
p11,2035,5274850.928486
p11,2038,8015762.480535
p11,2041,10283088.172133
p11,2044,6484157.176328
p11,2047,8088331.502806
p11,2050,8158702.932092
p12,2010,1245797.598216
p12,2015,-685227.411967
p12,2020,-5762052.136648
p12,2023,-1514346.581184
p12,2026,-3633150.890125
p12,2029,-73511.025092
p12,2032,-992275.274679
p12,2035,-1402759.510244
p12,2038,-189297.954911
p12,2041,-1642468.264501
p12,2044,-1778155.186534
p12,2047,-1251284.912655
p12,2050,-1612291.233259
p13,2010,-9403384.761012
p13,2015,-10228660.111148
p13,2020,-14927728.297974
p13,2023,-5140771.782595
p13,2026,-7298155.774182
p13,2029,-6170693.875156
p13,2032,-1034176.379581
p13,2035,1136772.623098
p13,2038,1519129.395966
p13,2041,-862544.080645
p13,2044,-6162650.244219
p13,2047,-14804695.576376
p13,2050,-15609024.009482
p14,2010,2218172.719349
p14,2015,1703249.05548
p14,2020,1327695.259999
p14,2023,2758978.271863
p14,2026,2107555.4669
p14,2029,2807287.582355
p14,2032,3421137.072707
p14,2035,3723576.446127
p14,2038,4053417.778474
p14,2041,4405668.572399
p14,2044,4700998.815449
p14,2047,5151284.05662
p14,2050,5452619.675735
p15,2010,7790123.2017
p15,2015,6135591.285692
p15,2020,5113012.877527
p15,2023,6600715.732778
p15,2026,6660129.642843
p15,2029,7689157.343924
p15,2032,7246350.622227
p15,2035,4738719.969162
p15,2038,4707287.042208
p15,2041,1546599.223938
p15,2044,-305907.851796
p15,2047,-4591267.083521
p15,2050,-6019021.949758
p16,2010,2853773.166727
p16,2015,2006114.275135
p16,2020,1920304.865535
p16,2023,1226063.473795
p16,2026,1302931.557095
p16,2029,-3933789.970177
p16,2032,-3492051.105935
p16,2035,-5113129.586924
p16,2038,-4908909.245149
p16,2041,-5808264.133181
p16,2044,-6444993.40183
p16,2047,-6135204.885769
p16,2050,-5467466.157359
p17,2010,1568578.807435
p17,2015,1275284.0637
p17,2020,843003.969957
p17,2023,1172385.523953
p17,2026,1565576.545122
p17,2029,1247756.79537
p17,2032,2001344.4548
p17,2035,2667039.64471
p17,2038,3412903.654053
p17,2041,4504589.640616
p17,2044,5312743.374861
p17,2047,6004948.216493
p17,2050,6413589.444313
p18,2010,-92482.029389
p18,2015,-396640.33464
p18,2020,-952330.975572
p18,2023,-2258868.550864
p18,2026,-2969181.203274
p18,2029,-7353913.453769
p18,2032,-6851384.638602
p18,2035,-10535597.798758
p18,2038,-10645766.176339
p18,2041,-10697523.357943
p18,2044,-10843018.704201
p18,2047,-11077463.669912
p18,2050,-11230496.99599
p20,2010,-13651419.769374
p20,2015,-536447.041336
p20,2020,232236.937979
p20,2023,-4748398.183085
p20,2026,-5887686.492304
p20,2029,-6365343.748956
p20,2032,-11543340.967831
p20,2035,-11715139.037649
p20,2038,-11932429.300588
p20,2041,-12243369.386519
p20,2044,-12109135.610112
p20,2047,-12050960.345549
p20,2050,-12796441.682475
p21,2010,-9893257.759531
p21,2015,-177443.737573
p21,2020,-364802.441823
p21,2023,-7880709.285598
p21,2026,-6659268.534144
p21,2029,-3832034.991354
p21,2032,-10489594.501531
p21,2035,-13747186.63751
p21,2038,-15553373.477864
p21,2041,-14883496.3744
p21,2044,-14164707.083184
p21,2047,-14869707.068067
p21,2050,-15713887.129585
p22,2010,1508273.499
p22,2015,1492247.472
p22,2020,1352162.886
p22,2023,1464885.966
p22,2026,1600357.581
p22,2029,1759725.3198
p22,2032,451062.517696
p22,2035,595105.569259
p22,2038,629917.927151
p22,2041,758266.495906
p22,2044,704816.045348
p22,2047,822017.296835
p22,2050,933788.340513
p23,2010,-1928335.547116
p23,2015,492006.765
p23,2020,386671.5066
p23,2023,481100.8308
p23,2026,565686.9066
p23,2029,-1039692.939406
p23,2032,-919279.843198
p23,2035,-2912875.042175
p23,2038,-3121624.017319
p23,2041,-3289462.644828
p23,2044,-3358079.062168
p23,2047,-3677967.624361
