eall,r,t,dr,Value
CH4,p1,2020,2.5,521510389.3012
CH4,p1,2020,2.0,641858940.6784
CH4,p1,2020,1.5,922672227.2251999
CH4,p1,2023,2.5,190221632.12472
CH4,p1,2023,2.0,236491758.85776
CH4,p1,2023,1.5,330317293.62198
CH4,p1,2026,2.5,682353639.61396
CH4,p1,2026,2.0,854997331.56448
CH4,p1,2026,1.5,1167400202.7130399
CH4,p1,2029,2.5,386688973.49224
CH4,p1,2029,2.0,487564357.88152
CH4,p1,2029,1.5,653588428.02221
CH4,p1,2032,2.5,245496372.19672
CH4,p1,2032,2.0,307466330.22696
CH4,p1,2032,1.5,405188187.1208
CH4,p1,2035,2.5,172828842.03540003
CH4,p1,2035,2.0,214157478.17430001
CH4,p1,2035,1.5,278029006.7526
CH4,p1,2038,2.5,214240831.00948003
CH4,p1,2038,2.0,263161965.64944002
CH4,p1,2038,1.5,337387135.4480001
CH4,p1,2041,2.5,563208587.72982
CH4,p1,2041,2.0,686790328.20291
CH4,p1,2041,1.5,873175903.99839
CH4,p1,2044,2.5,1013823034.0883999
CH4,p1,2044,2.0,1228672948.5972
CH4,p1,2044,1.5,1557661880.1887999
CH4,p1,2047,2.5,1247336745.62728
CH4,p1,2047,2.0,1503691230.1580398
CH4,p1,2047,1.5,1901614609.13116
CH4,p1,2050,2.5,2800233119.5475
CH4,p1,2050,2.0,3360279743.4570003
CH4,p1,2050,1.5,4240353009.6005
CH4,p10,2020,2.5,4600378174.9925995
CH4,p10,2020,2.0,5662003907.6832
CH4,p10,2020,1.5,8139130617.2946
CH4,p10,2023,2.5,6977372820.85308
CH4,p10,2023,2.0,8674571615.11464
CH4,p10,2023,1.5,12116113614.58947
CH4,p10,2026,2.5,5381534783.8416605
CH4,p10,2026,2.0,6743127921.922081
CH4,p10,2026,1.5,9206963124.162842
CH4,p10,2029,2.5,7214682052.5008
CH4,p10,2029,2.0,9096773022.7184
CH4,p10,2029,1.5,12194381077.8682
CH4,p10,2032,2.5,13793245894.46024
CH4,p10,2032,2.0,17275036120.24632
CH4,p10,2032,1.5,22765551476.293602
CH4,p10,2035,2.5,15996651622.8103
CH4,p10,2035,2.0,19821937880.43885
CH4,p10,2035,1.5,25733743914.9557
CH4,p10,2038,2.5,17030558333.023998
CH4,p10,2038,2.0,20919425983.871998
CH4,p10,2038,1.5,26819776902.399998
CH4,p10,2041,2.5,17465071093.79506
CH4,p10,2041,2.0,21297334894.95153
CH4,p10,2041,1.5,27077142595.05637
CH4,p10,2044,2.5,19299464200.14602
CH4,p10,2044,2.0,23389416878.32266
CH4,p10,2044,1.5,29652156916.780636
CH4,p10,2047,2.5,19221773033.489758
CH4,p10,2047,2.0,23172260129.329678
CH4,p10,2047,1.5,29304359501.976715
CH4,p10,2050,2.5,26434920220.908504
CH4,p10,2050,2.0,31721904265.090202
CH4,p10,2050,1.5,40030022048.804306
CH4,p100,2020,2.5,842997537.0804
CH4,p100,2020,2.0,1037535430.2528
CH4,p100,2020,1.5,1491457180.9884
CH4,p100,2023,2.5,889928075.81492
CH4,p100,2023,2.0,1106397067.22936
CH4,p100,2023,1.5,1545348077.59753
CH4,p100,2026,2.5,1169205665.4860601
CH4,p100,2026,2.0,1465028785.66928
CH4,p100,2026,1.5,2000327765.04844
CH4,p100,2029,2.5,950646953.49608
CH4,p100,2029,2.0,1198641810.92984
CH4,p100,2029,1.5,1606800013.78957
CH4,p100,2032,2.5,601358062.4833
CH4,p100,2032,2.0,753157185.0519
CH4,p100,2032,1.5,992532724.487
CH4,p100,2035,2.5,135151009.7018
CH4,p100,2035,2.0,167469729.4131
CH4,p100,2035,1.5,217416841.6942
CH4,p100,2038,2.5,149253723.75764
CH4,p100,2038,2.0,183335282.72592
CH4,p100,2038,1.5,235045234.264
CH4,p100,2041,2.5,163356437.81348
CH4,p100,2041,2.0,199200836.03874
CH4,p100,2041,1.5,253261239.91946
CH4,p100,2044,2.5,177459151.86932
CH4,p100,2044,2.0,215066389.35156
CH4,p100,2044,1.5,272652471.74624
CH4,p101,2020,2.5,20315292649.834
CH4,p101,2020,2.0,25003437107.488
CH4,p101,2020,1.5,35942440842.014
CH4,p101,2023,2.5,21313191105.79672
CH4,p101,2023,2.0,26497480834.233757
CH4,p101,2023,1.5,37010068339.11997
CH4,p101,2026,2.5,20025613370.41468
CH4,p101,2026,2.0,25092334825.57984
CH4,p101,2026,1.5,34260687934.926323
CH4,p101,2029,2.5,17186944038.25432
CH4,p101,2029,2.0,21670494656.92936
CH4,p101,2029,1.5,29049671716.83203
CH4,p101,2032,2.5,15578826947.61054
CH4,p101,2032,2.0,19511346371.27922
CH4,p101,2032,1.5,25712627000.9106
CH4,p101,2035,2.5,12224120701.342
CH4,p101,2035,2.0,15147279999.488998
CH4,p101,2035,1.5,19664889823.898
CH4,p101,2038,2.5,14553245826.72166
CH4,p101,2038,2.0,17876427944.63448
CH4,p101,2038,1.5,22918497364.916
CH4,p101,2041,2.5,16285660793.4768
CH4,p101,2041,2.0,19859133125.858402
CH4,p101,2041,1.5,25248632381.2536
CH4,p101,2044,2.5,18066951736.14534
CH4,p101,2044,2.0,21895709719.964222
CH4,p101,2044,1.5,27758495382.686882
CH4,p101,2047,2.5,18043997450.832
CH4,p101,2047,2.0,21752426374.776
CH4,p101,2047,1.5,27508793659.704002
CH4,p101,2050,2.5,17639432496.108498
CH4,p101,2050,2.0,21167318995.3302
CH4,p101,2050,1.5,26711140636.9643
CH4,p102,2020,2.5,8141677047.2401
CH4,p102,2020,2.0,10020525596.603199
CH4,p102,2020,1.5,14404505545.1171
CH4,p102,2023,2.5,9027978337.811281
CH4,p102,2023,2.0,11223973068.630241
CH4,p102,2023,1.5,15676962383.902021
CH4,p102,2026,2.5,8152218978.581321
CH4,p102,2026,2.0,10214828599.668161
CH4,p102,2026,1.5,13947169818.777681
CH4,p102,2029,2.5,7461810804.387039
CH4,p102,2029,2.0,9408370144.661919
