sys_costs,i,r,t,Value
inv_h2_production,electrolyzer,p63,2032,-0.0
inv_h2_production,electrolyzer,p68,2050,0.0
inv_h2_production,electrolyzer,p127,2041,9704048719.338282
inv_investment_capacity_costs,battery_4,p5,2050,125840021.32195
inv_investment_capacity_costs,battery_4,p6,2026,3412569.2986
inv_investment_capacity_costs,battery_4,p6,2041,2668138.7675
inv_investment_capacity_costs,battery_4,p7,2026,291899.5464
inv_investment_capacity_costs,battery_4,p8,2029,24837236.799092
inv_investment_capacity_costs,battery_4,p8,2038,20735542.434124
inv_investment_capacity_costs,battery_4,p9,2015,18130771.2
inv_investment_capacity_costs,battery_4,p9,2020,2015193.056
inv_investment_capacity_costs,battery_4,p9,2023,4246538041.15187
inv_investment_capacity_costs,battery_4,p9,2026,306368537.86
inv_investment_capacity_costs,battery_4,p9,2038,842224781.73395
inv_investment_capacity_costs,battery_4,p9,2041,1179666151.812403
inv_investment_capacity_costs,battery_4,p9,2044,447186366.155047
inv_investment_capacity_costs,battery_4,p10,2015,8986063.476
inv_investment_capacity_costs,battery_4,p10,2020,284049910.4256
inv_investment_capacity_costs,battery_4,p10,2023,9661312454.478575
inv_investment_capacity_costs,battery_4,p10,2026,3122707331.205
inv_investment_capacity_costs,battery_4,p10,2038,1108792633.441682
inv_investment_capacity_costs,battery_4,p10,2041,885677663.550534
inv_investment_capacity_costs,battery_4,p11,2015,12094735.288
inv_investment_capacity_costs,battery_4,p11,2020,668454543.432
inv_investment_capacity_costs,battery_4,p11,2023,416025983.52
inv_investment_capacity_costs,battery_4,p11,2026,466068795.4692
inv_investment_capacity_costs,battery_4,p11,2041,401066563.396346
inv_investment_capacity_costs,battery_4,p11,2047,20929748.611375
inv_investment_capacity_costs,battery_4,p13,2023,94983507.6752
inv_investment_capacity_costs,battery_4,p13,2026,810351130.3888
inv_investment_capacity_costs,battery_4,p13,2029,264538100.8
inv_investment_capacity_costs,battery_4,p13,2032,246848060.4
inv_investment_capacity_costs,battery_4,p13,2038,1371770635.684693
inv_investment_capacity_costs,battery_4,p15,2023,245527826.178
inv_investment_capacity_costs,battery_4,p16,2023,3799455.152
inv_investment_capacity_costs,battery_4,p18,2026,144593002.4
inv_investment_capacity_costs,battery_4,p20,2050,14915064.006106
inv_investment_capacity_costs,battery_4,p21,2047,96017655.990765
inv_investment_capacity_costs,battery_4,p22,2041,1627598.051963
inv_investment_capacity_costs,battery_4,p22,2047,57320279.407737
inv_investment_capacity_costs,battery_4,p22,2050,24087788.167598
inv_investment_capacity_costs,battery_4,p24,2041,152526779.920801
inv_investment_capacity_costs,battery_4,p24,2044,79062166.141742
inv_investment_capacity_costs,battery_4,p25,2038,96427091.422599
inv_investment_capacity_costs,battery_4,p25,2041,1255897584.833886
inv_investment_capacity_costs,battery_4,p25,2047,785944932.83392
inv_investment_capacity_costs,battery_4,p26,2038,164877022.857093
inv_investment_capacity_costs,battery_4,p26,2041,214037553.843473
inv_investment_capacity_costs,battery_4,p26,2047,200294438.30791
inv_investment_capacity_costs,battery_4,p28,2023,1779769540.375886
inv_investment_capacity_costs,battery_4,p28,2026,358817420.5
inv_investment_capacity_costs,battery_4,p28,2038,588104803.995583
inv_investment_capacity_costs,battery_4,p28,2044,523383361.89446
inv_investment_capacity_costs,battery_4,p29,2038,210829124.739907
inv_investment_capacity_costs,battery_4,p29,2044,18920587.125842
inv_investment_capacity_costs,battery_4,p30,2029,623827441.550794
inv_investment_capacity_costs,battery_4,p30,2044,796294312.228993
inv_investment_capacity_costs,battery_4,p31,2023,139163419.056
inv_investment_capacity_costs,battery_4,p31,2026,213109927.8
inv_investment_capacity_costs,battery_4,p31,2038,738059429.353107
inv_investment_capacity_costs,battery_4,p31,2044,7005274.497178
inv_investment_capacity_costs,battery_4,p33,2023,9349100.13
inv_investment_capacity_costs,battery_4,p34,2023,421247841.75
inv_investment_capacity_costs,battery_4,p34,2038,705100868.018177
inv_investment_capacity_costs,battery_4,p34,2041,637961514.104661
inv_investment_capacity_costs,battery_4,p34,2044,43407861.894235
inv_investment_capacity_costs,battery_4,p39,2038,36906466.354307
inv_investment_capacity_costs,battery_4,p39,2041,42732176.421048
inv_investment_capacity_costs,battery_4,p39,2044,31422956.33412
inv_investment_capacity_costs,battery_4,p40,2023,1887764.556
inv_investment_capacity_costs,battery_4,p41,2041,109392443.556939
inv_investment_capacity_costs,battery_4,p41,2044,181207430.073065
inv_investment_capacity_costs,battery_4,p43,2023,1491621.824716
inv_investment_capacity_costs,battery_4,p43,2029,121302861.961658
inv_investment_capacity_costs,battery_4,p43,2038,812600425.748922
inv_investment_capacity_costs,battery_4,p44,2041,22009094.047856
inv_investment_capacity_costs,battery_4,p45,2029,129304549.6
inv_investment_capacity_costs,battery_4,p45,2038,307987667.962934
inv_investment_capacity_costs,battery_4,p45,2041,31724389.343488
inv_investment_capacity_costs,battery_4,p46,2038,35463934.727573
inv_investment_capacity_costs,battery_4,p47,2035,262252550.309406
inv_investment_capacity_costs,battery_4,p47,2038,346763584.013049
inv_investment_capacity_costs,battery_4,p47,2041,293130331.289379
inv_investment_capacity_costs,battery_4,p48,2026,282983624.0
inv_investment_capacity_costs,battery_4,p48,2035,89196854.574715
inv_investment_capacity_costs,battery_4,p48,2038,2151386523.25663
inv_investment_capacity_costs,battery_4,p48,2041,99988691.081409
inv_investment_capacity_costs,battery_4,p52,2038,56091255.900556
inv_investment_capacity_costs,battery_4,p53,2038,91094459.295735
inv_investment_capacity_costs,battery_4,p54,2038,719342923.85984
inv_investment_capacity_costs,battery_4,p56,2038,12478422.943776
inv_investment_capacity_costs,battery_4,p57,2038,466065166.231506
inv_investment_capacity_costs,battery_4,p57,2041,164754978.544318
inv_investment_capacity_costs,battery_4,p57,2044,98442333.476563
inv_investment_capacity_costs,battery_4,p58,2038,2785189503.766424
inv_investment_capacity_costs,battery_4,p58,2050,887373551.497198
inv_investment_capacity_costs,battery_4,p59,2032,16562298.637801
inv_investment_capacity_costs,battery_4,p59,2038,668913343.909934
inv_investment_capacity_costs,battery_4,p59,2044,213017976.204891
inv_investment_capacity_costs,battery_4,p60,2023,93491001.3
inv_investment_capacity_costs,battery_4,p60,2026,282402150.8
inv_investment_capacity_costs,battery_4,p60,2029,1701318481.234632
inv_investment_capacity_costs,battery_4,p60,2044,2891316236.695342
inv_investment_capacity_costs,battery_4,p61,2023,572725873.9638
inv_investment_capacity_costs,battery_4,p61,2026,727750342.6116
