ba,state_abbr,year,pollutant,tons,model,cr,md,damage_$,mortality
p1,WA,2010,SO2,62.72,AP2,ACS,3649.64,228902.6,0.033
p1,WA,2010,SO2,62.72,AP2,H6C,9375.9,588049.74,0.0848
p1,WA,2010,SO2,62.72,EASIUR,ACS,18204.36,1141764.03,0.1647
p1,WA,2010,SO2,62.72,EASIUR,H6C,46771.73,2933488.54,0.4231
p1,WA,2010,SO2,62.72,InMAP,ACS,4154.93,260594.15,0.0376
p1,WA,2010,SO2,62.72,InMAP,H6C,10674.16,669475.68,0.0966
p1,WA,2015,SO2,29.81,AP2,ACS,3649.64,108807.81,0.0157
p1,WA,2015,SO2,29.81,AP2,H6C,9375.9,279526.77,0.0403
p1,WA,2015,SO2,29.81,EASIUR,ACS,18204.36,542732.35,0.0783
p1,WA,2015,SO2,29.81,EASIUR,H6C,46771.73,1394420.46,0.2011
p1,WA,2015,SO2,29.81,InMAP,ACS,4154.93,123872.25,0.0179
p1,WA,2015,SO2,29.81,InMAP,H6C,10674.16,318232.23,0.0459
p1,WA,2020,SO2,52.54,AP2,ACS,3649.64,191752.99,0.0277
p1,WA,2020,SO2,52.54,AP2,H6C,9375.9,492612.56,0.0711
p1,WA,2020,SO2,52.54,EASIUR,ACS,18204.36,956462.13,0.138
p1,WA,2020,SO2,52.54,EASIUR,H6C,46771.73,2457399.78,0.3545
p1,WA,2020,SO2,52.54,InMAP,ACS,4154.93,218301.18,0.0315
p1,WA,2020,SO2,52.54,InMAP,H6C,10674.16,560823.53,0.0809
p1,WA,2023,SO2,26.34,AP2,ACS,3649.64,96138.62,0.0139
p1,WA,2023,SO2,26.34,AP2,H6C,9375.9,246979.69,0.0356
p1,WA,2023,SO2,26.34,EASIUR,ACS,18204.36,479538.57,0.0692
p1,WA,2023,SO2,26.34,EASIUR,H6C,46771.73,1232059.21,0.1777
p1,WA,2023,SO2,26.34,InMAP,ACS,4154.93,109449.01,0.0158
p1,WA,2023,SO2,26.34,InMAP,H6C,10674.16,281178.42,0.0406
p1,WA,2026,SO2,61.69,AP2,ACS,3649.64,225149.04,0.0325
p1,WA,2026,SO2,61.69,AP2,H6C,9375.9,578406.86,0.0834
p1,WA,2026,SO2,61.69,EASIUR,ACS,18204.36,1123041.31,0.162
p1,WA,2026,SO2,61.69,EASIUR,H6C,46771.73,2885385.0,0.4162
p1,WA,2026,SO2,61.69,InMAP,ACS,4154.93,256320.91,0.037
p1,WA,2026,SO2,61.69,InMAP,H6C,10674.16,658497.58,0.095
p1,WA,2029,SO2,66.55,AP2,ACS,3649.64,242898.77,0.035
p1,WA,2029,SO2,66.55,AP2,H6C,9375.9,624005.83,0.09
p1,WA,2029,SO2,66.55,EASIUR,ACS,18204.36,1211576.79,0.1748
p1,WA,2029,SO2,66.55,EASIUR,H6C,46771.73,3112855.66,0.449
p1,WA,2029,SO2,66.55,InMAP,ACS,4154.93,276528.09,0.0399
p1,WA,2029,SO2,66.55,InMAP,H6C,10674.16,710410.54,0.1025
p1,WA,2032,SO2,115.6,AP2,ACS,3649.64,421904.29,0.0609
p1,WA,2032,SO2,115.6,AP2,H6C,9375.9,1083870.22,0.1563
p1,WA,2032,SO2,115.6,EASIUR,ACS,18204.36,2104454.69,0.3036
p1,WA,2032,SO2,115.6,EASIUR,H6C,46771.73,5406891.05,0.7799
p1,WA,2032,SO2,115.6,InMAP,ACS,4154.93,480316.93,0.0693
p1,WA,2032,SO2,115.6,InMAP,H6C,10674.16,1233951.33,0.178
p1,WA,2035,SO2,117.33,AP2,ACS,3649.64,428217.99,0.0618
p1,WA,2035,SO2,117.33,AP2,H6C,9375.9,1100090.07,0.1587
p1,WA,2035,SO2,117.33,EASIUR,ACS,18204.36,2135947.35,0.3081
p1,WA,2035,SO2,117.33,EASIUR,H6C,46771.73,5487803.86,0.7916
p1,WA,2035,SO2,117.33,InMAP,ACS,4154.93,487504.75,0.0703
p1,WA,2035,SO2,117.33,InMAP,H6C,10674.16,1252417.11,0.1807
p1,WA,2038,SO2,245.18,AP2,ACS,3649.64,894831.81,0.1291
p1,WA,2038,SO2,245.18,AP2,H6C,9375.9,2298818.87,0.3316
p1,WA,2038,SO2,245.18,EASIUR,ACS,18204.36,4463412.78,0.6438
p1,WA,2038,SO2,245.18,EASIUR,H6C,46771.73,11467667.44,1.6541
p1,WA,2038,SO2,245.18,InMAP,ACS,4154.93,1018721.25,0.1469
p1,WA,2038,SO2,245.18,InMAP,H6C,10674.16,2617131.24,0.3775
p1,WA,2041,SO2,237.66,AP2,ACS,3649.64,867359.85,0.1251
p1,WA,2041,SO2,237.66,AP2,H6C,9375.9,2228243.53,0.3214
p1,WA,2041,SO2,237.66,EASIUR,ACS,18204.36,4326382.89,0.6241
p1,WA,2041,SO2,237.66,EASIUR,H6C,46771.73,11115602.04,1.6033
p1,WA,2041,SO2,237.66,InMAP,ACS,4154.93,987445.79,0.1424
p1,WA,2041,SO2,237.66,InMAP,H6C,10674.16,2536783.49,0.3659
p1,WA,2044,SO2,270.98,AP2,ACS,3649.64,988994.67,0.1427
p1,WA,2044,SO2,270.98,AP2,H6C,9375.9,2540722.83,0.3665
p1,WA,2044,SO2,270.98,EASIUR,ACS,18204.36,4933096.24,0.7116
p1,WA,2044,SO2,270.98,EASIUR,H6C,46771.73,12674406.33,1.8282
p1,WA,2044,SO2,270.98,InMAP,ACS,4154.93,1125920.95,0.1624
p1,WA,2044,SO2,270.98,InMAP,H6C,10674.16,2892531.11,0.4172
p1,WA,2047,SO2,284.14,AP2,ACS,3649.64,1037002.93,0.1496
p1,WA,2047,SO2,284.14,AP2,H6C,9375.9,2664055.84,0.3843
p1,WA,2047,SO2,284.14,EASIUR,ACS,18204.36,5172561.01,0.7461
p1,WA,2047,SO2,284.14,EASIUR,H6C,46771.73,13289653.54,1.9169
p1,WA,2047,SO2,284.14,InMAP,ACS,4154.93,1180575.95,0.1703
p1,WA,2047,SO2,284.14,InMAP,H6C,10674.16,3032941.76,0.4375
p1,WA,2050,SO2,359.96,AP2,ACS,3649.64,1313713.11,0.1895
p1,WA,2050,SO2,359.96,AP2,H6C,9375.9,3374923.04,0.4868
p1,WA,2050,SO2,359.96,EASIUR,ACS,18204.36,6552788.83,0.9452
p1,WA,2050,SO2,359.96,EASIUR,H6C,46771.73,16835817.53,2.4284
p1,WA,2050,SO2,359.96,InMAP,ACS,4154.93,1495596.65,0.2157
p1,WA,2050,SO2,359.96,InMAP,H6C,10674.16,3842241.18,0.5542
p10,CA,2010,SO2,10351.97,AP2,ACS,22816.59,236196580.76,34.0697
p10,CA,2010,SO2,10351.97,AP2,H6C,58622.06,606853567.72,87.5344
p10,CA,2010,SO2,10351.97,EASIUR,ACS,11194.08,115880707.47,16.715
p10,CA,2010,SO2,10351.97,EASIUR,H6C,28760.03,297722842.43,42.9444
p10,CA,2010,SO2,10351.97,InMAP,ACS,18448.86,190982010.96,27.5478
p10,CA,2010,SO2,10351.97,InMAP,H6C,47399.94,490682588.99,70.7775
p10,CA,2015,SO2,7310.82,AP2,ACS,22816.59,166807934.33,24.0609
p10,CA,2015,SO2,7310.82,AP2,H6C,58622.06,428575171.35,61.819
p10,CA,2015,SO2,7310.82,EASIUR,ACS,11194.08,81837854.64,11.8045
p10,CA,2015,SO2,7310.82,EASIUR,H6C,28760.03,210259319.54,30.3284
p10,CA,2015,SO2,7310.82,InMAP,ACS,18448.86,134876273.99,19.455
p10,CA,2015,SO2,7310.82,InMAP,H6C,47399.94,346532319.89,49.9849
p10,CA,2020,SO2,5047.02,AP2,ACS,22816.59,115155720.37,16.6104
p10,CA,2020,SO2,5047.02,AP2,H6C,58622.06,295866517.3,42.6767
p10,CA,2020,SO2,5047.02,EASIUR,ACS,11194.08,56496695.69,8.1493
p10,CA,2020,SO2,5047.02,EASIUR,H6C,28760.03,145152348.43,20.9372
p10,CA,2020,SO2,5047.02,InMAP,ACS,18448.86,93111724.89,13.4307
p10,CA,2020,SO2,5047.02,InMAP,H6C,47399.94,239228302.22,34.507
p10,CA,2023,SO2,2910.36,AP2,ACS,22816.59,66404418.93,9.5784
p10,CA,2023,SO2,2910.36,AP2,H6C,58622.06,170611100.34,24.6095
p10,CA,2023,SO2,2910.36,EASIUR,ACS,11194.08,32578757.15,4.6993
p10,CA,2023,SO2,2910.36,EASIUR,H6C,28760.03,83701941.37,12.0734
p10,CA,2023,SO2,2910.36,InMAP,ACS,18448.86,53692773.29,7.7448
p10,CA,2023,SO2,2910.36,InMAP,H6C,47399.94,137950736.19,19.8984
p10,CA,2026,SO2,1404.71,AP2,ACS,22816.59,32050611.87,4.6231
p10,CA,2026,SO2,1404.71,AP2,H6C,58622.06,82346781.23,11.8779
p10,CA,2026,SO2,1404.71,EASIUR,ACS,11194.08,15724391.81,2.2681
p10,CA,2026,SO2,1404.71,EASIUR,H6C,28760.03,40399396.29,5.8273
p10,CA,2026,SO2,1404.71,InMAP,ACS,18448.86,25915236.74,3.7381
p10,CA,2026,SO2,1404.71,InMAP,H6C,47399.94,66583001.17,9.6041
p10,CA,2029,SO2,1381.6,AP2,ACS,22816.59,31523380.09,4.547
p10,CA,2029,SO2,1381.6,AP2,H6C,58622.06,80992178.68,11.6826
p10,CA,2029,SO2,1381.6,EASIUR,ACS,11194.08,15465725.94,2.2308
p10,CA,2029,SO2,1381.6,EASIUR,H6C,28760.03,39734827.2,5.7315
p10,CA,2029,SO2,1381.6,InMAP,ACS,18448.86,25488931.73,3.6766
p10,CA,2029,SO2,1381.6,InMAP,H6C,47399.94,65487712.42,9.4461
