,,damage_$,damage_$,damage_$,damage_$,damage_$,damage_$,mortality,mortality,mortality,mortality,mortality,mortality
,,count,mean,std,min,50%,max,count,mean,std,min,50%,max
state_abbr,year,,,,,,,,,,,,
AL,2010,6.0,2485324857.0433335,1297639634.2279654,1183234008.73,2380124987.625,4419845250.559999,6.0,358.4907666666666,187.17547286969696,170.6732,343.31645000000003,637.5318
AL,2015,6.0,510376633.8883333,273648605.7589755,237628810.95,487739032.61,937688605.38,6.0,73.61831666666666,39.471896841596894,34.2763,70.35305,135.2551
AL,2020,6.0,455372836.7633333,259188434.0208955,201715046.04,432206628.275,889415536.87,6.0,65.68435,37.38611440386658,29.095999999999997,62.34275,128.292
AL,2023,6.0,1169842884.365,651163556.169773,526576281.89000005,1111563428.72,2235935277.59,6.0,168.74165000000002,93.92580786905695,75.9549,160.3352,322.5181
AL,2026,6.0,873279879.62,465042904.77900136,408354162.02,834291174.655,1591507513.66,6.0,125.9645,67.0791745013607,58.90219999999999,120.34065000000001,229.5638
AL,2029,6.0,980791697.1216666,519670086.244944,460377240.84,937137734.435,1776583969.77,6.0,141.47238333333334,74.95880401696434,66.4062,135.1756,256.2599
AL,2032,6.0,1840140320.33,953323165.5337229,884631929.44,1766827148.13,3239442744.34,6.0,265.42736666666667,137.51018695248243,127.6019,254.8525,467.2669
AL,2035,6.0,1918664112.4716666,987399317.6950179,926381701.38,1840975114.155,3344860932.25,6.0,276.7538833333333,142.4254089873491,133.6242,265.54765,482.4728
AL,2038,6.0,1046416074.7416668,555396985.052706,490581078.62,999850302.75,1899460713.19,6.0,150.93818333333334,80.11215182458693,70.7628,144.22145,273.9839
AL,2041,6.0,1695164901.4566662,878878404.2685026,814145204.95,1627193857.005,2987217219.8599997,6.0,244.5157166666667,126.77208691107704,117.4348,234.71134999999998,430.88520000000005
AL,2044,6.0,1117407731.3666668,626463237.0018317,500719121.57,1061842259.2349999,2151123521.4300003,6.0,161.17828333333333,90.36298778660245,72.2252,153.16334999999998,310.28459999999995
AL,2047,6.0,821729576.0566667,442714465.25366914,382029482.34,786236637.875,1518344005.88,6.0,118.52871666666665,63.8584969114813,55.105000000000004,113.4091,219.0105
