eall,r,t,dr,Value
CH4,p1,2020,2.5,380767520.0559998
CH4,p1,2020,2.0,468636947.7612306
CH4,p1,2020,1.5,673665612.4067689
CH4,p1,2023,2.5,138885476.8975696
CH4,p1,2023,2.0,172668430.73751897
CH4,p1,2023,1.5,241172753.80186075
CH4,p1,2026,2.5,498203120.18162733
CH4,p1,2026,2.0,624254512.0348101
CH4,p1,2026,1.5,852347506.81676
CH4,p1,2029,2.5,542170790.6908561
CH4,p1,2029,2.0,683606649.131949
CH4,p1,2029,1.5,916386499.4829144
CH4,p1,2032,2.5,1120833593.2497473
CH4,p1,2032,2.0,1403762461.4487126
CH4,p1,2032,1.5,1849919522.8393886
CH4,p1,2035,2.5,1269737351.2919204
CH4,p1,2035,2.0,1573370196.1660752
CH4,p1,2035,1.5,2042620956.426133
CH4,p1,2038,2.5,3122010758.0598583
CH4,p1,2038,2.0,3834910852.4199834
CH4,p1,2038,1.5,4916552374.897414
CH4,p1,2041,2.5,3350982014.6903276
CH4,p1,2041,2.0,4086269435.1799316
CH4,p1,2041,1.5,5195227511.983925
CH4,p1,2044,2.5,4153354804.165323
CH4,p1,2044,2.0,5033535954.716914
CH4,p1,2044,1.5,6381313341.499039
CH4,p1,2047,2.5,4703934713.832625
CH4,p1,2047,2.0,5670694302.258349
CH4,p1,2047,1.5,7171336051.456487
CH4,p1,2050,2.5,6406988008.89232
CH4,p1,2050,2.0,7688385610.670783
CH4,p1,2050,1.5,9702010413.465513
CH4,p10,2020,2.5,3358848883.833057
CH4,p10,2020,2.0,4133967857.025301
CH4,p10,2020,1.5,5942578794.47387
CH4,p10,2023,2.5,5094350946.799537
CH4,p10,2023,2.0,6333517393.318342
CH4,p10,2023,1.5,8846271576.537033
CH4,p10,2026,2.5,3929190474.008022
CH4,p10,2026,2.0,4923323003.576317
CH4,p10,2026,1.5,6722229485.65228
CH4,p10,2029,2.5,4164117997.7133503
CH4,p10,2029,2.0,5250409649.290746
CH4,p10,2029,1.5,7038264659.178543
CH4,p10,2032,2.5,3031901929.1146364
CH4,p10,2032,2.0,3797236396.6581373
CH4,p10,2032,1.5,5004109980.092118
CH4,p10,2035,2.5,2868943781.05163
CH4,p10,2035,2.0,3554995554.7813673
CH4,p10,2035,1.5,4615257386.909143
CH4,p10,2038,2.5,2974709943.941979
CH4,p10,2038,2.0,3653974419.330305
CH4,p10,2038,1.5,4684582588.885006
CH4,p10,2041,2.5,3136220559.426476
CH4,p10,2041,2.0,3824384063.473293
CH4,p10,2041,1.5,4862270004.002917
CH4,p10,2044,2.5,3233595767.8693933
CH4,p10,2044,2.0,3918861096.1595955
CH4,p10,2044,1.5,4968173630.103969
CH4,p10,2047,2.5,3230139808.5424323
CH4,p10,2047,2.0,3894002898.028147
CH4,p10,2047,1.5,4924476947.3791065
CH4,p10,2050,2.5,3394619445.765885
CH4,p10,2050,2.0,4073543334.9190617
CH4,p10,2050,1.5,5140423732.159769
CH4,p100,2020,2.5,615493167.9070215
CH4,p100,2020,2.0,757530052.8086419
CH4,p100,2020,1.5,1088949450.9124227
CH4,p100,2023,2.5,649758304.7392516
CH4,p100,2023,2.0,807807622.108259
CH4,p100,2023,1.5,1128296515.6620789
CH4,p100,2026,2.5,853665719.4482619
CH4,p100,2026,2.0,1069653431.597822
CH4,p100,2026,1.5,1460488339.2970262
CH4,p100,2029,2.5,662660049.2659262
CH4,p100,2029,2.0,835527888.2048635
CH4,p100,2029,1.5,1120039539.7918646
CH4,p100,2032,2.5,661259834.473462
CH4,p100,2032,2.0,828179792.6900641
CH4,p100,2032,1.5,1091399726.8008595
CH4,p100,2035,2.5,593129488.8300923
CH4,p100,2035,2.0,734964801.3764187
CH4,p100,2035,1.5,954164829.857105
CH4,p100,2038,2.5,502964839.4548711
CH4,p100,2038,2.0,617815078.385511
CH4,p100,2038,1.5,792070613.3147578
CH4,p100,2041,2.5,615680364.7519639
CH4,p100,2041,2.0,750775696.5860279
CH4,p100,2041,1.5,954526033.122649
CH4,p100,2044,2.5,535013640.96771914
CH4,p100,2044,2.0,648394015.2125338
CH4,p100,2044,1.5,822007713.2749063
CH4,p101,2020,2.5,14832693193.043114
CH4,p101,2020,2.0,18255622391.43768
CH4,p101,2020,1.5,26242457187.69166
CH4,p101,2023,2.5,15561283319.222143
CH4,p101,2023,2.0,19346460342.816715
CH4,p101,2023,1.5,27021958196.216824
CH4,p101,2026,2.5,14621191249.651533
CH4,p101,2026,2.0,18320528794.74409
CH4,p101,2026,1.5,25014568162.054432
CH4,p101,2029,2.5,14991137222.477034
CH4,p101,2029,2.0,18901868671.818867
CH4,p101,2029,1.5,25338280848.860634
CH4,p101,2032,2.5,16908975829.740234
CH4,p101,2032,2.0,21177260990.645535
CH4,p101,2032,1.5,27908018359.765434
CH4,p101,2035,2.5,17549086814.370365
CH4,p101,2035,2.0,21745607574.3285
CH4,p101,2035,1.5,28231139657.900154
CH4,p101,2038,2.5,19926153329.36382
CH4,p101,2038,2.0,24476219837.643745
CH4,p101,2038,1.5,31379769022.620193
CH4,p101,2041,2.5,21297357905.633926
CH4,p101,2041,2.0,25970519172.697483
CH4,p101,2041,1.5,33018565673.842525
CH4,p101,2044,2.5,24278784637.73181
CH4,p101,2044,2.0,29423957541.092197
CH4,p101,2044,1.5,37302503549.362785
CH4,p101,2047,2.5,26009736241.479565
CH4,p101,2047,2.0,31355295530.372604
CH4,p101,2047,1.5,39652880098.20657
CH4,p101,2050,2.5,28840496725.865685
CH4,p101,2050,2.0,34608596071.038826
CH4,p101,2050,1.5,43672752184.882324
CH4,p102,2020,2.5,5944438005.40281
CH4,p102,2020,2.0,7316231391.264997
CH4,p102,2020,1.5,10517082624.943432
CH4,p102,2023,2.5,6591548305.324967
CH4,p102,2023,2.0,8194897893.106716
CH4,p102,2023,1.5,11446134557.219707
CH4,p102,2026,2.5,5952134927.910482
CH4,p102,2026,2.0,7458096777.140845
CH4,p102,2026,1.5,10183170599.557692
CH4,p102,2029,2.5,6154085830.013568
CH4,p102,2029,2.0,7759499524.799717
CH4,p102,2029,1.5,10401742897.468586
CH4,p102,2032,2.5,7033548682.824265
CH4,p102,2032,2.0,8809007573.634274
CH4,p102,2032,1.5,11608769670.680826
CH4,p102,2035,2.5,8400661194.794051
CH4,p102,2035,2.0,10409514958.76654
CH4,p102,2035,1.5,13514107139.4513
CH4,p102,2038,2.5,10010148240.586403
CH4,p102,2038,2.0,12295930122.29511
CH4,p102,2038,1.5,15764012977.301422
CH4,p102,2041,2.5,11446564799.247591
CH4,p102,2041,2.0,13958221104.118467
CH4,p102,2041,1.5,17746292908.186016
CH4,p102,2044,2.5,13380186383.210247
CH4,p102,2044,2.0,16215722570.38063
CH4,p102,2044,1.5,20557637356.98528
CH4,p102,2047,2.5,15086306508.834969
CH4,p102,2047,2.0,18186866435.49737
CH4,p102,2047,1.5,22999675873.89871
CH4,p102,2050,2.5,15898973873.67504
CH4,p102,2050,2.0,19078768648.410046
CH4,p102,2050,1.5,24075589008.707916
CH4,p103,2020,2.5,4936112836.16835
CH4,p103,2020,2.0,6075215798.361046
CH4,p103,2020,1.5,8733122710.144003
CH4,p103,2023,2.5,4752593948.959061
CH4,p103,2023,2.0,5908630314.922075
CH4,p103,2023,1.5,8252815168.124855
CH4,p103,2026,2.5,4628344219.374509
CH4,p103,2026,2.0,5799371070.059625
CH4,p103,2026,1.5,7918372037.966026
CH4,p103,2029,2.5,4170979918.9128237
CH4,p103,2029,2.0,5259061636.890082
CH4,p103,2029,1.5,7049862797.727653
CH4,p103,2032,2.5,6047923002.8327875
CH4,p103,2032,2.0,7574583178.305142
CH4,p103,2032,1.5,9982008839.626932
CH4,p103,2035,2.5,7349411074.661495
CH4,p103,2035,2.0,9106878940.34142
CH4,p103,2035,1.5,11822965641.846754
CH4,p103,2038,2.5,10163216334.399385
CH4,p103,2038,2.0,12483950772.963026
CH4,p103,2038,1.5,16005065093.542341
CH4,p103,2041,2.5,12173937393.050007
CH4,p103,2041,2.0,14845197036.848751
CH4,p103,2041,1.5,18873982073.397675
CH4,p103,2044,2.5,15232501409.712748
CH4,p103,2044,2.0,18460581178.658493
