sys_costs,i,r,t,Value
inv_h2_production,electrolyzer,p99,2047,131673854.083707
inv_h2_production,electrolyzer,p127,2041,3892913466.251177
inv_h2_production,electrolyzer,p127,2047,129219277.16276
inv_h2_production,electrolyzer,p127,2050,30270930.822372
inv_investment_capacity_costs,battery_4,p6,2026,3412569.2986
inv_investment_capacity_costs,battery_4,p6,2041,2668138.7675
inv_investment_capacity_costs,battery_4,p7,2026,291899.5464
inv_investment_capacity_costs,battery_4,p8,2029,201542458.8
inv_investment_capacity_costs,battery_4,p8,2038,50756666.858101
inv_investment_capacity_costs,battery_4,p8,2041,70929847.559469
inv_investment_capacity_costs,battery_4,p8,2044,283322996.373567
inv_investment_capacity_costs,battery_4,p9,2015,18130771.2
inv_investment_capacity_costs,battery_4,p9,2020,2015193.056
inv_investment_capacity_costs,battery_4,p9,2023,4246538041.15187
inv_investment_capacity_costs,battery_4,p9,2026,306368537.86
inv_investment_capacity_costs,battery_4,p9,2038,659415521.029716
inv_investment_capacity_costs,battery_4,p9,2041,1178239839.920612
inv_investment_capacity_costs,battery_4,p9,2044,201677415.66649
inv_investment_capacity_costs,battery_4,p9,2047,228052473.87986
inv_investment_capacity_costs,battery_4,p10,2015,8986063.476
inv_investment_capacity_costs,battery_4,p10,2020,284049910.4256
inv_investment_capacity_costs,battery_4,p10,2023,9661312454.478575
inv_investment_capacity_costs,battery_4,p10,2026,3122707331.205
inv_investment_capacity_costs,battery_4,p10,2038,1733046280.335237
inv_investment_capacity_costs,battery_4,p10,2041,659034865.529833
inv_investment_capacity_costs,battery_4,p10,2044,158082762.55554
inv_investment_capacity_costs,battery_4,p11,2015,12094735.288
inv_investment_capacity_costs,battery_4,p11,2020,668454543.432
inv_investment_capacity_costs,battery_4,p11,2023,416025983.52
inv_investment_capacity_costs,battery_4,p11,2026,466068795.4692
inv_investment_capacity_costs,battery_4,p11,2041,729294050.174813
inv_investment_capacity_costs,battery_4,p11,2047,5902041.173544
inv_investment_capacity_costs,battery_4,p12,2032,1265951.646145
inv_investment_capacity_costs,battery_4,p12,2038,54731922.8448
inv_investment_capacity_costs,battery_4,p12,2044,467279737.468313
inv_investment_capacity_costs,battery_4,p13,2023,94983507.6752
inv_investment_capacity_costs,battery_4,p13,2026,810351130.3888
inv_investment_capacity_costs,battery_4,p13,2029,284691059.55594
inv_investment_capacity_costs,battery_4,p13,2032,226782621.854624
inv_investment_capacity_costs,battery_4,p13,2041,582891877.3288
inv_investment_capacity_costs,battery_4,p15,2023,245527826.178
inv_investment_capacity_costs,battery_4,p16,2023,3799455.152
inv_investment_capacity_costs,battery_4,p18,2026,144593002.4
inv_investment_capacity_costs,battery_4,p23,2044,201095191.288736
inv_investment_capacity_costs,battery_4,p23,2047,1609943.756452
inv_investment_capacity_costs,battery_4,p24,2041,255523501.13638
inv_investment_capacity_costs,battery_4,p24,2047,103755477.585597
inv_investment_capacity_costs,battery_4,p24,2050,52365633.677929
