,,damage_$,damage_$,damage_$,damage_$,damage_$,damage_$,mortality,mortality,mortality,mortality,mortality,mortality
,,count,mean,std,min,50%,max,count,mean,std,min,50%,max
state_abbr,year,,,,,,,,,,,,
AL,2010,6.0,2556913984.425,1344540620.9601688,1208937405.3799999,2445994697.75,4588672910.84,6.0,368.81703333333326,193.9406331618794,174.3807,352.8177,661.8841
AL,2015,6.0,869036228.1233335,452280668.9275166,416406966.92,834537055.855,1539594924.76,6.0,125.35243333333334,65.23831844150082,60.0639,120.3761,222.0758
AL,2020,6.0,388056917.3233333,209754776.18679792,179384523.31,370444110.65,719434827.04,6.0,55.97448333333333,30.25565580888418,25.875,53.434,103.77340000000001
AL,2023,6.0,1171733623.4283335,652231688.7797532,527422533.36,1113364627.545,2239604768.46,6.0,169.01433333333333,94.07991071421499,76.0769,160.59505000000001,323.0474
AL,2026,6.0,873964111.4016666,465406928.78766686,408675871.85,834946975.77,1592753771.83,6.0,126.06323333333334,67.13173632778067,58.948699999999995,120.43530000000001,229.7437
AL,2029,6.0,1004203550.1116667,560736831.4798822,451306324.61,954466818.245,1925537675.8000002,6.0,144.84933333333333,80.882380562856,65.0978,137.67515,277.7453
AL,2032,6.0,1198082015.595,670579969.5001024,537743474.7,1138911737.0249999,2302752144.53,6.0,172.81493333333333,96.72651336746647,77.56569999999999,164.27999999999997,332.156
AL,2035,6.0,998378996.8149999,532463984.11189544,466671203.36,954238966.145,1822914209.76,6.0,144.0092,76.80418840795076,67.314,137.64235,262.94259999999997
AL,2038,6.0,984293211.0733334,524950144.1518787,460074018.96,940756755.4649999,1797183132.54,6.0,141.97743333333335,75.72042046432828,66.3625,135.69755,259.2312
AL,2041,6.0,972650852.3716668,518899504.0838717,454486479.0,929563457.5350001,1776549399.38,6.0,140.29806666666664,74.84760682228034,65.5564,134.083,256.2548
AL,2044,6.0,960590447.35,512431939.3389222,448849703.38,918007212.8199999,1754375468.0800002,6.0,138.55848333333333,73.91470882284301,64.7435,132.41615,253.0564
AL,2047,6.0,820824678.0300001,442234077.23098475,381604906.79999995,785371249.5500001,1516699776.27,6.0,118.39823333333334,63.789187271752155,55.0439,113.28435,218.7734
