r,t,Value
p1,2010,41550609.460819
p1,2015,36243707.654876
p1,2020,31926041.652317
p1,2023,37785589.135788
p1,2026,39848737.738327
p1,2029,43284541.570141
p1,2032,40522703.216179
p1,2035,38449768.571106
p1,2038,27412209.855081
p1,2041,25742819.431129
p1,2044,26451868.717165
p1,2047,27997434.857357
p1,2050,24367723.038545
p2,2010,-8455827.935622
p2,2015,830116.345043
p2,2020,-7787603.887303
p2,2023,-4661046.215585
p2,2026,-4366490.480883
p2,2029,-10665829.437106
p2,2032,-11708580.45528
p2,2035,-10192021.089151
p2,2038,-6409860.052554
p2,2041,-8781173.395995
p2,2044,-8718491.566302
p2,2047,-9143253.742877
p2,2050,-7645657.029464
p3,2010,7958131.463475
p3,2015,4601346.366927
p3,2020,4005171.938891
p3,2023,3890340.8859
p3,2026,5086590.892415
p3,2029,6536324.661965
p3,2032,6969125.390845
p3,2035,7500316.985128
p3,2038,6615854.758782
p3,2041,5867378.557811
p3,2044,5570474.880515
p3,2047,5679874.136441
p3,2050,3852756.788175
p4,2010,-49256252.330695
p4,2015,-56691405.01254
p4,2020,-65760592.170534
p4,2023,-65579806.498721
p4,2026,-65511841.557524
p4,2029,-65391096.997707
p4,2032,-65371380.743613
p4,2035,-63925175.565544
p4,2038,-63980345.932553
p4,2041,-63122651.733781
p4,2044,-65363577.974881
p4,2047,-65013901.45435
p4,2050,-64715328.877421
p5,2010,-7769007.964389
p5,2015,-4518980.520833
p5,2020,-14151051.686214
p5,2023,-7197472.771332
p5,2026,-5470853.366191
p5,2029,1278947.712897
p5,2032,7739437.972541
p5,2035,12144051.738406
p5,2038,18548506.916425
p5,2041,21465986.482771
p5,2044,27908309.306904
p5,2047,30321919.537708
p5,2050,35081558.180401
p6,2010,5579324.171983
p6,2015,7299552.263692
p6,2020,6281152.31276
p6,2023,7734569.731263
p6,2026,9982870.44094
p6,2029,11976865.201348
p6,2032,11322953.177454
p6,2035,12365665.559064
p6,2038,13992266.892787
p6,2041,15383143.869654
p6,2044,17064001.198915
p6,2047,18153457.606868
p6,2050,17983771.282423
p7,2010,121018.8315
p7,2015,258743.164428
p7,2020,-564575.454843
p7,2023,-1452187.204982
p7,2026,-1046912.69529
p7,2029,-6741993.189039
p7,2032,-13733007.8293
p7,2035,-19877161.024295
p7,2038,-21512191.779324
p7,2041,-26094778.831231
p7,2044,-28082595.202011
p7,2047,-30461951.354925
p7,2050,-32513588.151496
p8,2010,905661.020323
p8,2015,944671.872712
p8,2020,796575.469912
p8,2023,972946.202205
p8,2026,71570.213616
p8,2029,-1024019.384301
p8,2032,-828548.562071
p8,2035,-650596.955881
p8,2038,-2566615.097504
p8,2041,-2552860.240224
p8,2044,-2599869.224678
p8,2047,-2560585.477551
p8,2050,-2870266.840667
p9,2010,5273520.115073
p9,2015,2909456.791147
p9,2020,23584966.449592
p9,2023,12930074.475237
p9,2026,12954991.743224
p9,2029,11625149.54548
p9,2032,20153145.100289
p9,2035,23517983.526779
p9,2038,24285660.930347
p9,2041,37271355.56237
p9,2044,32766724.317615
p9,2047,29613559.939079
p9,2050,33194879.843188
p10,2010,40701009.382048
p10,2015,9730043.909023
p10,2020,48266995.040175
p10,2023,30755072.91643
p10,2026,21979065.863874
p10,2029,31453848.768564
p10,2032,27921444.616142
p10,2035,35307481.845369
p10,2038,29986072.192942
p10,2041,24951957.952819
p10,2044,25178852.612303
p10,2047,29974361.666702
p10,2050,42857876.087503
p11,2010,8463951.177248
p11,2015,711909.140051
p11,2020,13096827.149088
p11,2023,10427720.347597
p11,2026,10784204.907658
p11,2029,8692983.731836
p11,2032,10007122.089716
p11,2035,10608773.214088
p11,2038,13446929.056433
p11,2041,13281718.72538
p11,2044,12211455.460488
p11,2047,11104036.548648
p11,2050,4850410.903947
p12,2010,1244207.08325
p12,2015,-667387.074093
p12,2020,-5708806.645553
p12,2023,-1469155.905988
p12,2026,-2613237.332061
p12,2029,-2363652.102895
