eall,r,t,dr,Value
CH4,p1,2020,2.5,352586800.04077595
CH4,p1,2020,2.0,433952984.66557044
CH4,p1,2020,1.5,623807415.4567574
CH4,p1,2023,2.5,138885476.8975696
CH4,p1,2023,2.0,172668430.73751897
CH4,p1,2023,1.5,241172753.80186075
CH4,p1,2026,2.5,441003252.66496104
CH4,p1,2026,2.0,552582388.881397
CH4,p1,2026,1.5,754487492.5111382
CH4,p1,2029,2.5,402891534.1094993
CH4,p1,2029,2.0,507993673.44241214
CH4,p1,2029,1.5,680974277.7611645
CH4,p1,2032,2.5,857782693.7075914
CH4,p1,2032,2.0,1074310363.9638767
CH4,p1,2032,1.5,1415757843.9834032
CH4,p1,2035,2.5,993137269.2414974
CH4,p1,2035,2.0,1230626616.2340295
CH4,p1,2035,1.5,1597655607.0406697
CH4,p1,2038,2.5,2951699400.7422113
CH4,p1,2038,2.0,3625709500.1242914
CH4,p1,2038,1.5,4648345512.97986
CH4,p1,2041,2.5,3804039390.5984454
CH4,p1,2041,2.0,4638738681.3412695
CH4,p1,2041,1.5,5897629414.920611
CH4,p1,2044,2.5,4269406510.120189
CH4,p1,2044,2.0,5174181399.682084
CH4,p1,2044,1.5,6559617949.323734
CH4,p1,2047,2.5,4969490654.067819
CH4,p1,2047,2.0,5990827690.333291
CH4,p1,2047,1.5,7576186671.999098
CH4,p1,2050,2.5,6610199423.422391
CH4,p1,2050,2.0,7932239308.106869
CH4,p1,2050,1.5,10009730555.468191
CH4,p10,2020,2.5,3375589133.8879313
CH4,p10,2020,2.0,4154571241.7082233
CH4,p10,2020,1.5,5972196159.955571
CH4,p10,2023,2.5,5155525562.301437
CH4,p10,2023,2.0,6409572320.699084
CH4,p10,2023,1.5,8952500469.67209
CH4,p10,2026,2.5,4449809682.461635
CH4,p10,2026,2.0,5575665144.289277
CH4,p10,2026,1.5,7612927408.548821
CH4,p10,2029,2.5,4925368891.252512
CH4,p10,2029,2.0,6210247732.44882
CH4,p10,2029,1.5,8324944158.584409
CH4,p10,2032,2.5,7078706079.656971
CH4,p10,2032,2.0,8865563925.007275
CH4,p10,2032,1.5,11683301296.521214
CH4,p10,2035,2.5,6983920954.394587
CH4,p10,2035,2.0,8653989008.706335
CH4,p10,2035,1.5,11235003274.460857
CH4,p10,2038,2.5,11531832047.364033
CH4,p10,2038,2.0,14165085034.557394
CH4,p10,2038,1.5,18160365428.919735
CH4,p10,2041,2.5,11640880647.207747
CH4,p10,2041,2.0,14195174602.170597
CH4,p10,2041,1.5,18047552370.31129
CH4,p10,2044,2.5,11904685447.10494
CH4,p10,2044,2.0,14427532694.173538
CH4,p10,2044,1.5,18290642541.247326
CH4,p10,2047,2.5,12550303533.587877
CH4,p10,2047,2.0,15129660394.785383
CH4,p10,2047,1.5,19133438209.18152
CH4,p10,2050,2.5,12578880253.831398
CH4,p10,2050,2.0,15094656304.597677
CH4,p10,2050,1.5,19048018670.087547
CH4,p100,2020,2.5,615814941.2336011
CH4,p100,2020,2.0,757926081.5182782
CH4,p100,2020,1.5,1089518742.182525
CH4,p100,2023,2.5,654284379.6687385
CH4,p100,2023,2.0,813434634.182756
CH4,p100,2023,1.5,1136155983.613958
CH4,p100,2026,2.5,838613300.6092383
CH4,p100,2026,2.0,1050792569.4380815
CH4,p100,2026,1.5,1434736008.271227
CH4,p100,2029,2.5,701144289.750106
CH4,p100,2029,2.0,884051495.7718729
CH4,p100,2029,1.5,1185086272.349364
CH4,p100,2032,2.5,696768182.199991
CH4,p100,2032,2.0,872651412.658241
CH4,p100,2032,1.5,1150005737.6116354
CH4,p100,2035,2.5,590811703.4728568
CH4,p100,2035,2.0,732092762.9989746
CH4,p100,2035,1.5,950436218.6302477
CH4,p100,2038,2.5,526794207.80295646
CH4,p100,2038,2.0,647085798.5611118
CH4,p100,2038,1.5,829597177.6424512
CH4,p100,2041,2.5,633078836.5030917
CH4,p100,2041,2.0,771991818.6134824
CH4,p100,2041,1.5,981499922.7799731
CH4,p100,2044,2.5,560681158.5689942
CH4,p100,2044,2.0,679501006.7425559
CH4,p100,2044,1.5,861443899.2583221
CH4,p101,2020,2.5,14823743259.395428
CH4,p101,2020,2.0,18244607088.48668
CH4,p101,2020,1.5,26226622689.699604
CH4,p101,2023,2.5,15484655385.76415
CH4,p101,2023,2.0,19251193182.301376
CH4,p101,2023,1.5,26888894825.27964
CH4,p101,2026,2.5,14621511344.04842
CH4,p101,2026,2.0,18320929876.87995
CH4,p101,2026,1.5,25015115793.43224
CH4,p101,2029,2.5,12640233900.119232
CH4,p101,2029,2.0,15937686221.88947
CH4,p101,2029,1.5,21364743168.136314
CH4,p101,2032,2.5,14444941888.636444
CH4,p101,2032,2.0,18091237899.360207
CH4,p101,2032,1.5,23841166223.963062
CH4,p101,2035,2.5,17112673317.87157
CH4,p101,2035,2.0,21204834328.666946
CH4,p101,2035,1.5,27529083163.532528
CH4,p101,2038,2.5,19942507460.894295
CH4,p101,2038,2.0,24496308377.161495
CH4,p101,2038,1.5,31405523560.463455
CH4,p101,2041,2.5,21485492696.28565
CH4,p101,2041,2.0,26199935338.276386
CH4,p101,2041,1.5,33310242273.737827
CH4,p101,2044,2.5,24441398046.935593
CH4,p101,2044,2.0,29621032070.127235
CH4,p101,2044,1.5,37552346668.13945
CH4,p101,2047,2.5,25933303343.480534
CH4,p101,2047,2.0,31263154030.637577
CH4,p101,2047,1.5,39536355097.2694
CH4,p101,2050,2.5,28821980805.46625
CH4,p101,2050,2.0,34586376966.5595
CH4,p101,2050,1.5,43644713791.134605
CH4,p102,2020,2.5,5944627169.319022
CH4,p102,2020,2.0,7316464208.392642
CH4,p102,2020,1.5,10517417299.564425
CH4,p102,2023,2.5,6591548531.615525
