sys_costs,i,r,t,Value
inv_h2_production,electrolyzer,p99,2047,272876502.315982
inv_h2_production,electrolyzer,p127,2041,3908485307.618036
inv_h2_production,electrolyzer,p127,2044,1299809.174796
inv_h2_production,electrolyzer,p127,2047,109685828.00663
inv_h2_production,electrolyzer,p127,2050,2772393.507676
inv_investment_capacity_costs,battery_4,p6,2026,3412569.2986
inv_investment_capacity_costs,battery_4,p6,2041,2668138.7675
inv_investment_capacity_costs,battery_4,p7,2026,291899.5464
inv_investment_capacity_costs,battery_4,p8,2029,201542458.8
inv_investment_capacity_costs,battery_4,p8,2044,68207054.007648
inv_investment_capacity_costs,battery_4,p8,2050,100461376.844962
inv_investment_capacity_costs,battery_4,p9,2015,18130771.2
inv_investment_capacity_costs,battery_4,p9,2020,2015193.056
inv_investment_capacity_costs,battery_4,p9,2023,4246538041.15187
inv_investment_capacity_costs,battery_4,p9,2026,306368537.86
inv_investment_capacity_costs,battery_4,p9,2041,916647968.86813
inv_investment_capacity_costs,battery_4,p9,2044,1316420022.656584
inv_investment_capacity_costs,battery_4,p10,2015,8986063.476
inv_investment_capacity_costs,battery_4,p10,2020,284049910.4256
inv_investment_capacity_costs,battery_4,p10,2023,9661312454.478575
inv_investment_capacity_costs,battery_4,p10,2026,3122707331.205
inv_investment_capacity_costs,battery_4,p10,2041,2355889904.265062
inv_investment_capacity_costs,battery_4,p10,2050,302917691.055873
inv_investment_capacity_costs,battery_4,p11,2015,12094735.288
inv_investment_capacity_costs,battery_4,p11,2020,668454543.432
inv_investment_capacity_costs,battery_4,p11,2023,416025983.52
inv_investment_capacity_costs,battery_4,p11,2026,466068795.4692
inv_investment_capacity_costs,battery_4,p11,2041,99380728.912645
inv_investment_capacity_costs,battery_4,p11,2044,173911678.900974
inv_investment_capacity_costs,battery_4,p12,2029,37103167.984827
inv_investment_capacity_costs,battery_4,p12,2038,31280191.15044
inv_investment_capacity_costs,battery_4,p12,2041,159923933.069769
inv_investment_capacity_costs,battery_4,p12,2044,422263508.50152
inv_investment_capacity_costs,battery_4,p13,2023,94983507.6752
inv_investment_capacity_costs,battery_4,p13,2026,810351130.3888
inv_investment_capacity_costs,battery_4,p13,2029,519800913.429072
inv_investment_capacity_costs,battery_4,p13,2041,423702503.006727
inv_investment_capacity_costs,battery_4,p15,2023,245527826.178
inv_investment_capacity_costs,battery_4,p16,2023,3799455.152
inv_investment_capacity_costs,battery_4,p18,2026,144593002.4
inv_investment_capacity_costs,battery_4,p23,2038,7591267.666106
inv_investment_capacity_costs,battery_4,p24,2038,794660561.317429
inv_investment_capacity_costs,battery_4,p28,2023,1779769540.375886
inv_investment_capacity_costs,battery_4,p28,2026,358817420.5
inv_investment_capacity_costs,battery_4,p29,2038,48676700.846502
inv_investment_capacity_costs,battery_4,p29,2044,41064163.705332
inv_investment_capacity_costs,battery_4,p29,2047,36687307.564939
inv_investment_capacity_costs,battery_4,p30,2029,623575149.221608
inv_investment_capacity_costs,battery_4,p31,2023,139163419.056
inv_investment_capacity_costs,battery_4,p31,2026,213109927.8
inv_investment_capacity_costs,battery_4,p31,2038,369430131.098334
inv_investment_capacity_costs,battery_4,p31,2044,232622890.360807
inv_investment_capacity_costs,battery_4,p31,2047,104066091.105759
inv_investment_capacity_costs,battery_4,p32,2038,74569344.612611
inv_investment_capacity_costs,battery_4,p33,2023,9349100.13
inv_investment_capacity_costs,battery_4,p33,2038,81890620.634963
inv_investment_capacity_costs,battery_4,p34,2023,421247841.75
inv_investment_capacity_costs,battery_4,p37,2029,386082633.6
inv_investment_capacity_costs,battery_4,p39,2038,169546023.177831
inv_investment_capacity_costs,battery_4,p40,2023,1887764.556
inv_investment_capacity_costs,battery_4,p41,2038,106879205.455267
inv_investment_capacity_costs,battery_4,p43,2023,1491621.824716
inv_investment_capacity_costs,battery_4,p43,2029,421865902.08
inv_investment_capacity_costs,battery_4,p44,2038,144436852.739957
inv_investment_capacity_costs,battery_4,p45,2038,490231392.045987
inv_investment_capacity_costs,battery_4,p47,2035,97801327.909295
inv_investment_capacity_costs,battery_4,p47,2038,224673250.073939
inv_investment_capacity_costs,battery_4,p47,2050,426185331.938841
inv_investment_capacity_costs,battery_4,p48,2026,282983624.0
inv_investment_capacity_costs,battery_4,p48,2032,952893231.8244
inv_investment_capacity_costs,battery_4,p48,2035,583427293.150555
inv_investment_capacity_costs,battery_4,p48,2038,631341892.131056
inv_investment_capacity_costs,battery_4,p48,2050,112416155.731535
inv_investment_capacity_costs,battery_4,p50,2038,358075153.163512
inv_investment_capacity_costs,battery_4,p52,2038,17854135.961225
inv_investment_capacity_costs,battery_4,p59,2038,50294615.060697
inv_investment_capacity_costs,battery_4,p59,2047,39474354.178936
inv_investment_capacity_costs,battery_4,p60,2023,93491001.3
inv_investment_capacity_costs,battery_4,p60,2026,282402150.8
inv_investment_capacity_costs,battery_4,p60,2038,2179647354.337382
inv_investment_capacity_costs,battery_4,p60,2044,20427903.422957
inv_investment_capacity_costs,battery_4,p60,2050,1569958357.218001
inv_investment_capacity_costs,battery_4,p61,2023,572725873.9638
inv_investment_capacity_costs,battery_4,p61,2026,727750342.6116
inv_investment_capacity_costs,battery_4,p61,2029,159274180.42912
inv_investment_capacity_costs,battery_4,p61,2044,25991053.472064
inv_investment_capacity_costs,battery_4,p62,2023,1137057536.054
inv_investment_capacity_costs,battery_4,p62,2044,508364228.147922
inv_investment_capacity_costs,battery_4,p62,2047,94973439.019895
inv_investment_capacity_costs,battery_4,p63,2023,1469884090.1582
inv_investment_capacity_costs,battery_4,p63,2026,269150764.2208
inv_investment_capacity_costs,battery_4,p63,2029,1444843590.719994
inv_investment_capacity_costs,battery_4,p63,2047,153011602.47772
inv_investment_capacity_costs,battery_4,p63,2050,177060671.210563
inv_investment_capacity_costs,battery_4,p64,2023,775090884.7214
inv_investment_capacity_costs,battery_4,p64,2026,251021980.44
inv_investment_capacity_costs,battery_4,p65,2023,764451333.624
inv_investment_capacity_costs,battery_4,p65,2026,223146155.232
inv_investment_capacity_costs,battery_4,p65,2029,2850957352.168778
inv_investment_capacity_costs,battery_4,p67,2023,457585515.0
inv_investment_capacity_costs,battery_4,p67,2026,448446105.55197
inv_investment_capacity_costs,battery_4,p67,2029,1958993862.713236
inv_investment_capacity_costs,battery_4,p69,2029,4062197.168116
inv_investment_capacity_costs,battery_4,p69,2032,77049788.062555
inv_investment_capacity_costs,battery_4,p70,2023,9516582.41
inv_investment_capacity_costs,battery_4,p70,2029,170476912.536057
inv_investment_capacity_costs,battery_4,p70,2032,23612020.160288
inv_investment_capacity_costs,battery_4,p72,2029,510355389.778248
inv_investment_capacity_costs,battery_4,p74,2026,1100807971.126587
inv_investment_capacity_costs,battery_4,p74,2041,631600847.53341
inv_investment_capacity_costs,battery_4,p76,2023,9588360.53
inv_investment_capacity_costs,battery_4,p77,2023,576378.3036
inv_investment_capacity_costs,battery_4,p78,2023,579967.2096
inv_investment_capacity_costs,battery_4,p79,2029,396284004.0
inv_investment_capacity_costs,battery_4,p80,2029,12994431.553301
inv_investment_capacity_costs,battery_4,p80,2038,238596045.660732
inv_investment_capacity_costs,battery_4,p81,2029,456989344.03787
inv_investment_capacity_costs,battery_4,p81,2038,5534174.094911
inv_investment_capacity_costs,battery_4,p84,2038,97992.826702
inv_investment_capacity_costs,battery_4,p87,2023,2415214.1078
inv_investment_capacity_costs,battery_4,p88,2023,162984134.246083
inv_investment_capacity_costs,battery_4,p88,2026,70164432.8
inv_investment_capacity_costs,battery_4,p94,2026,90646826.27
inv_investment_capacity_costs,battery_4,p95,2029,656753240.2608
inv_investment_capacity_costs,battery_4,p96,2023,71303442.693421
inv_investment_capacity_costs,battery_4,p96,2029,144463698.8232
inv_investment_capacity_costs,battery_4,p97,2026,23641731.19
inv_investment_capacity_costs,battery_4,p98,2023,42310569.8756
inv_investment_capacity_costs,battery_4,p98,2026,143333143.8
inv_investment_capacity_costs,battery_4,p98,2029,831764811.96
inv_investment_capacity_costs,battery_4,p99,2023,38568776.48
inv_investment_capacity_costs,battery_4,p99,2026,371430543.33
inv_investment_capacity_costs,battery_4,p99,2029,723372231.084905
inv_investment_capacity_costs,battery_4,p99,2038,22122025.74
inv_investment_capacity_costs,battery_4,p99,2041,256750462.786516
inv_investment_capacity_costs,battery_4,p99,2044,507770006.179613
inv_investment_capacity_costs,battery_4,p99,2047,5608142697.978301
inv_investment_capacity_costs,battery_4,p99,2050,1311806016.633003
inv_investment_capacity_costs,battery_4,p100,2032,229731471.53076
inv_investment_capacity_costs,battery_4,p100,2035,125443306.770939
inv_investment_capacity_costs,battery_4,p100,2050,649527921.810149
inv_investment_capacity_costs,battery_4,p101,2023,32223710.3022
inv_investment_capacity_costs,battery_4,p101,2026,32364798.312
inv_investment_capacity_costs,battery_4,p103,2026,2181317944.344456
inv_investment_capacity_costs,battery_4,p103,2041,1417450934.091417
inv_investment_capacity_costs,battery_4,p104,2029,462333596.603865
inv_investment_capacity_costs,battery_4,p104,2041,192608794.479514
inv_investment_capacity_costs,battery_4,p104,2044,349053614.705611
inv_investment_capacity_costs,battery_4,p108,2029,142443775.763604
inv_investment_capacity_costs,battery_4,p110,2029,127909490.4
