eall,r,t,dr,Value
CH4,p1,2020,2.5,610422195.5208
CH4,p1,2020,2.0,751288856.0256
CH4,p1,2020,1.5,1079977730.5368
CH4,p1,2023,2.5,333890328.20428
CH4,p1,2023,2.0,415106894.52424
CH4,p1,2023,1.5,579796042.89527
CH4,p1,2026,2.5,725752968.4390199
CH4,p1,2026,2.0,909377213.46576
CH4,p1,2026,1.5,1241649656.84748
CH4,p1,2029,2.5,669234885.7175201
CH4,p1,2029,2.0,843817899.3829601
CH4,p1,2029,1.5,1131152442.7073302
CH4,p1,2032,2.5,556671275.8923
CH4,p1,2032,2.0,697190238.7389
CH4,p1,2032,1.5,918777833.997
CH4,p1,2035,2.5,2233042621.1381
CH4,p1,2035,2.0,2767031074.01895
CH4,p1,2035,1.5,3592285955.7439
CH4,p1,2038,2.5,5134052824.94214
CH4,p1,2038,2.0,6306395595.99192
CH4,p1,2038,1.5,8085122558.964
CH4,p1,2041,2.5,5055231432.62586
CH4,p1,2041,2.0,6164472862.08693
CH4,p1,2041,1.5,7837427149.142971
CH4,p1,2044,2.5,4231861682.81538
CH4,p1,2044,2.0,5128680052.68354
CH4,p1,2044,1.5,6501933181.54416
CH4,p1,2047,2.5,2923791468.72614
CH4,p1,2047,2.0,3524693396.34777
CH4,p1,2047,1.5,4457436686.98433
CH4,p1,2050,2.5,1030651387.01
CH4,p1,2050,2.0,1236781664.412
CH4,p1,2050,1.5,1560700671.758
CH4,p10,2020,2.5,2669341842.0474
CH4,p10,2020,2.0,3285343805.5968003
CH4,p10,2020,1.5,4722681720.545401
CH4,p10,2023,2.5,5638134391.74416
CH4,p10,2023,2.0,7009572487.03328
CH4,p10,2023,1.5,9790544180.25844
CH4,p10,2026,2.5,5080347288.023279
CH4,p10,2026,2.0,6365736360.896639
CH4,p10,2026,1.5,8691678492.762718
CH4,p10,2029,2.5,6146059411.980161
CH4,p10,2029,2.0,7749379258.58368
CH4,p10,2029,1.5,10388176506.11864
CH4,p10,2032,2.5,10694331373.45126
CH4,p10,2032,2.0,13393871331.798182
CH4,p10,2032,1.5,17650838189.191402
CH4,p10,2035,2.5,10873694628.186901
CH4,p10,2035,2.0,13473925952.31855
CH4,p10,2035,1.5,17492465271.431103
CH4,p10,2038,2.5,13964524170.466541
CH4,p10,2038,2.0,17153273784.195122
