r,rr,trtype,t,Value
p1,p2,AC,2010,1170898.58194
p1,p2,AC,2015,1170898.58194
p1,p2,AC,2020,1170898.58194
p1,p2,AC,2023,1170898.58194
p1,p2,AC,2026,1170898.58194
p1,p2,AC,2029,1170898.58194
p1,p2,AC,2032,1170898.58194
p1,p2,AC,2035,1170898.58194
p1,p2,AC,2038,1170898.58194
p1,p2,AC,2041,1170898.58194
p1,p2,AC,2044,1170898.58194
p1,p2,AC,2047,1170898.58194
p1,p2,AC,2050,1170898.58194
p1,p4,AC,2010,1966197.75408
p1,p4,AC,2015,1966197.75408
p1,p4,AC,2020,1966197.75408
p1,p4,AC,2023,1966197.75408
p1,p4,AC,2026,1966197.75408
p1,p4,AC,2029,1966197.75408
p1,p4,AC,2032,1966197.75408
p1,p4,AC,2035,1966197.75408
p1,p4,AC,2038,1966197.75408
p1,p4,AC,2041,1966197.75408
p1,p4,AC,2044,1966197.75408
p1,p4,AC,2047,1966197.75408
p1,p4,AC,2050,1966197.75408
p2,p3,AC,2010,85677.090875
p2,p3,AC,2015,85677.090875
p2,p3,AC,2020,85677.090875
p2,p3,AC,2023,85677.090875
p2,p3,AC,2026,85677.090875
p2,p3,AC,2029,85677.090875
p2,p3,AC,2032,85677.090875
p2,p3,AC,2035,85677.090875
p2,p3,AC,2038,85677.090875
p2,p3,AC,2041,85677.090875
p2,p3,AC,2044,85677.090875
p2,p3,AC,2047,85677.090875
p2,p3,AC,2050,85677.090875
p2,p4,AC,2010,634051.92756
p2,p4,AC,2015,634051.92756
p2,p4,AC,2020,634051.92756
p2,p4,AC,2023,634051.92756
p2,p4,AC,2026,634051.92756
p2,p4,AC,2029,634051.92756
p2,p4,AC,2032,634051.92756
p2,p4,AC,2035,634051.92756
p2,p4,AC,2038,634051.92756
p2,p4,AC,2041,634051.92756
p2,p4,AC,2044,634051.92756
p2,p4,AC,2047,634051.92756
p2,p4,AC,2050,634051.92756
p2,p5,AC,2010,3165431.02836
p2,p5,AC,2015,3165431.02836
p2,p5,AC,2020,3165431.02836
p2,p5,AC,2023,3165431.02836
p2,p5,AC,2026,3165431.02836
p2,p5,AC,2029,3165431.02836
p2,p5,AC,2032,3165431.02836
p2,p5,AC,2035,3165431.02836
p2,p5,AC,2038,3165431.02836
p2,p5,AC,2041,3165431.02836
p2,p5,AC,2044,3165431.02836
p2,p5,AC,2047,3165431.02836
p2,p5,AC,2050,3165431.02836
p2,p14,AC,2010,542662.41017
p2,p14,AC,2015,542662.41017
p2,p14,AC,2020,542662.41017
p2,p14,AC,2023,542662.41017
p2,p14,AC,2026,542662.41017
p2,p14,AC,2029,542662.41017
p2,p14,AC,2032,542662.41017
p2,p14,AC,2035,542662.41017
p2,p14,AC,2038,542662.41017
p2,p14,AC,2041,542662.41017
p2,p14,AC,2044,542662.41017
p2,p14,AC,2047,542662.41017
p2,p14,AC,2050,542662.41017
p3,p4,AC,2010,399370.606645
p3,p4,AC,2015,399370.606645
p3,p4,AC,2020,399370.606645
p3,p4,AC,2023,399370.606645
p3,p4,AC,2026,399370.606645
