eall,i,r,t,Value
CO2,biopower,p1,2010,841.765219
CO2,biopower,p3,2010,3503.640307
CO2,biopower,p3,2015,942.97896
CO2,biopower,p3,2020,942.97896
CO2,biopower,p3,2023,942.97896
CO2,biopower,p3,2026,942.97896
CO2,biopower,p5,2010,192.412962
CO2,biopower,p5,2015,148.368996
CO2,biopower,p5,2020,148.368996
CO2,biopower,p5,2023,148.368996
CO2,biopower,p5,2026,148.528711
CO2,biopower,p5,2029,148.368996
CO2,biopower,p5,2032,120.419159
CO2,biopower,p5,2035,137.396041
CO2,biopower,p5,2038,133.918729
CO2,biopower,p5,2041,130.351668
CO2,biopower,p5,2044,126.63796
CO2,biopower,p5,2047,128.020116
CO2,biopower,p5,2050,114.65582
CO2,biopower,p6,2010,1053.249637
CO2,biopower,p6,2015,1052.906098
CO2,biopower,p6,2020,1053.0461
CO2,biopower,p6,2023,1053.249637
CO2,biopower,p6,2026,1053.109635
CO2,biopower,p6,2029,1053.007866
CO2,biopower,p6,2032,333.019109
CO2,biopower,p6,2035,2320.937903
CO2,biopower,p6,2038,1999.095463
CO2,biopower,p6,2041,1997.977796
CO2,biopower,p6,2044,1921.269353
CO2,biopower,p6,2047,1921.269353
CO2,biopower,p6,2050,1889.400641
CO2,biopower,p8,2010,5713.775739
CO2,biopower,p8,2015,7860.602917
CO2,biopower,p8,2020,7860.602917
CO2,biopower,p8,2023,5890.893921
CO2,biopower,p8,2026,5669.26107
CO2,biopower,p8,2029,3842.186782
CO2,biopower,p8,2032,2473.267481
CO2,biopower,p9,2010,16994.441695
CO2,biopower,p9,2015,111665.601165
CO2,biopower,p9,2020,96623.36754
CO2,biopower,p9,2023,37160.691636
CO2,biopower,p9,2026,44424.481136
CO2,biopower,p9,2029,40239.116003
CO2,biopower,p9,2032,21418.792505
CO2,biopower,p9,2035,11586.120759
CO2,biopower,p9,2038,9597.634966
CO2,biopower,p9,2041,10817.395349
CO2,biopower,p9,2044,10187.288011
CO2,biopower,p9,2047,10738.288694
CO2,biopower,p9,2050,11078.748849
CO2,biopower,p10,2010,15360.307873
CO2,biopower,p10,2015,40557.564107
CO2,biopower,p10,2020,46684.030334
CO2,biopower,p10,2023,30412.029256
CO2,biopower,p10,2026,35085.306669
CO2,biopower,p10,2029,34826.554902
CO2,biopower,p10,2032,23243.70837
CO2,biopower,p10,2035,18118.753523
CO2,biopower,p10,2038,8424.226193
CO2,biopower,p10,2041,8532.842142
CO2,biopower,p10,2044,8288.133276
CO2,biopower,p10,2047,8452.843668
CO2,biopower,p10,2050,8800.527884
CO2,biopower,p14,2010,157.05769
CO2,biopower,p14,2015,157.05769
CO2,biopower,p14,2020,157.05769
CO2,biopower,p14,2023,157.05769
CO2,biopower,p14,2026,157.05769
CO2,biopower,p15,2010,164.078654
CO2,biopower,p15,2015,448.598023
CO2,biopower,p15,2020,448.598023
CO2,biopower,p15,2023,448.598023
CO2,biopower,p15,2026,448.598023
CO2,biopower,p15,2029,3007.091029
CO2,biopower,p15,2032,3076.05048
CO2,biopower,p15,2035,2688.114628
CO2,biopower,p15,2038,2625.780533
CO2,biopower,p15,2041,2554.257564
CO2,biopower,p15,2044,2377.151832
CO2,biopower,p15,2047,2162.620506
CO2,biopower,p15,2050,2153.222667
CO2,biopower,p16,2015,87.27588
CO2,biopower,p16,2020,87.27588
CO2,biopower,p16,2023,87.27588
CO2,biopower,p16,2026,87.27588
CO2,biopower,p16,2029,790.480316
CO2,biopower,p16,2032,797.836433
CO2,biopower,p16,2035,676.000893
CO2,biopower,p16,2038,668.896153
CO2,biopower,p16,2041,666.302784
CO2,biopower,p16,2044,611.826714
CO2,biopower,p16,2047,544.622239
CO2,biopower,p16,2050,558.715132
CO2,biopower,p25,2015,52.365528
CO2,biopower,p25,2020,52.365528
CO2,biopower,p25,2023,52.365528
CO2,biopower,p25,2026,52.365528
CO2,biopower,p25,2029,633.860907
CO2,biopower,p25,2032,554.924425
CO2,biopower,p25,2035,474.507835
CO2,biopower,p25,2038,462.906241
CO2,biopower,p25,2041,456.141055
CO2,biopower,p25,2044,438.300626
CO2,biopower,p25,2047,445.197017
CO2,biopower,p25,2050,430.774818
CO2,biopower,p28,2010,482.403354
CO2,biopower,p28,2015,482.403354
CO2,biopower,p28,2020,482.403354
CO2,biopower,p28,2023,482.403354
CO2,biopower,p28,2026,482.403354
CO2,biopower,p28,2029,482.403354
CO2,biopower,p28,2032,1638.871777
CO2,biopower,p28,2035,4244.764031
CO2,biopower,p28,2038,3921.173809
CO2,biopower,p28,2041,3995.684751
CO2,biopower,p28,2044,3717.468529
CO2,biopower,p28,2047,3679.787651
CO2,biopower,p28,2050,3447.611763
CO2,biopower,p29,2010,64.137654
CO2,biopower,p29,2015,64.137654
CO2,biopower,p29,2020,64.137654
CO2,biopower,p29,2023,64.137654
CO2,biopower,p29,2026,64.137654
CO2,biopower,p29,2029,64.137654
CO2,biopower,p29,2032,64.137654
CO2,biopower,p29,2035,512.0557
CO2,biopower,p29,2038,487.661427
CO2,biopower,p29,2041,474.320803
CO2,biopower,p29,2044,444.51055
CO2,biopower,p29,2047,417.386034
CO2,biopower,p31,2010,47.217171
CO2,biopower,p31,2015,47.217171
CO2,biopower,p31,2020,47.217171
CO2,biopower,p31,2023,47.217171
CO2,biopower,p31,2026,47.217171
CO2,biopower,p31,2029,47.217171
CO2,biopower,p33,2010,214.539303
CO2,biopower,p33,2015,390.995942
CO2,biopower,p33,2020,390.995942
CO2,biopower,p33,2023,390.995942
CO2,biopower,p33,2026,390.995942
CO2,biopower,p33,2029,1851.560962
CO2,biopower,p33,2032,2150.603433
CO2,biopower,p33,2035,2169.703136
CO2,biopower,p33,2038,2117.298051
CO2,biopower,p33,2041,2092.351558
CO2,biopower,p33,2044,2002.386719
CO2,biopower,p33,2047,1370.479881
CO2,biopower,p33,2050,1275.415808
CO2,biopower,p43,2010,1945.013435
CO2,biopower,p43,2015,2065.631345
CO2,biopower,p43,2020,1083.357901
CO2,biopower,p43,2023,1116.260333
CO2,biopower,p43,2026,1115.113229
CO2,biopower,p43,2029,1063.020218
