r,t,Value
p1,2010,41793473.393812
p1,2015,36568277.114378
p1,2020,31114852.365407
p1,2023,36814272.715662
p1,2026,39995635.826938
p1,2029,43315879.648131
p1,2032,45036498.694085
p1,2035,47325335.982225
p1,2038,45823093.526357
p1,2041,44872658.673017
p1,2044,46435060.409109
p1,2047,51556527.004431
p1,2050,56595999.188337
p2,2010,-8870839.804399
p2,2015,624168.727284
p2,2020,-11735652.850077
p2,2023,-5618894.219773
p2,2026,-7113393.545693
p2,2029,-9260490.131812
p2,2032,-13649075.057259
p2,2035,-14604134.486776
p2,2038,-13271605.972402
p2,2041,-20849008.818705
p2,2044,-20674811.30121
p2,2047,-29787461.97681
p2,2050,-28266043.708516
p3,2010,7945884.952675
p3,2015,4569480.672375
p3,2020,3944988.738731
p3,2023,3894662.754669
p3,2026,5315156.956414
p3,2029,6412829.241331
p3,2032,7167607.022621
p3,2035,8580239.078993
p3,2038,9734127.238642
p3,2041,8632661.958221
p3,2044,8505784.648719
p3,2047,6229177.473317
p3,2050,807462.454207
p4,2010,-49236018.283286
p4,2015,-57104687.161953
p4,2020,-64958864.221785
p4,2023,-65095534.054609
p4,2026,-65116690.518712
p4,2029,-64008345.625637
p4,2032,-61005142.170623
p4,2035,-56776082.235638
p4,2038,-58674813.731859
p4,2041,-57286873.111984
p4,2044,-56894167.428766
p4,2047,-55294047.813799
p4,2050,-56761210.750985
p5,2010,-8330714.233065
p5,2015,-4592810.153558
p5,2020,-14831276.087608
p5,2023,-11010536.112251
p5,2026,-5380865.473263
p5,2029,571853.633396
p5,2032,12014947.68218
p5,2035,17170216.483351
p5,2038,22404657.289143
p5,2041,23729933.704548
p5,2044,24225034.369588
p5,2047,28762452.473746
p5,2050,32296643.27898
p6,2010,5520200.96634
p6,2015,7391632.958299
p6,2020,6198905.312812
p6,2023,7750919.740894
p6,2026,10392946.909034
p6,2029,12613264.352795
p6,2032,12337434.073095
p6,2035,14839200.138527
p6,2038,16769758.962073
p6,2041,18626830.877246
p6,2044,20916239.657407
p6,2047,21272662.454371
p6,2050,21525682.498018
p7,2010,100468.0053
p7,2015,236395.405308
p7,2020,-610056.183083
p7,2023,-1476547.93435
p7,2026,-1000675.596824
p7,2029,-8211380.192055
p7,2032,-13380248.662928
p7,2035,-20722305.321904
p7,2038,-20968849.875792
p7,2041,-20651175.236585
p7,2044,-24802902.021542
p7,2047,-25784478.51566
p7,2050,-28654695.035641
p8,2010,918360.262247
p8,2015,958965.674317
p8,2020,810415.450717
p8,2023,919897.743843
p8,2026,-70161.032571
p8,2029,-1359043.723072
p8,2032,-1609985.305469
p8,2035,-1364395.522401
p8,2038,-3589701.563774
p8,2041,-3653679.928761
p8,2044,-4244871.216054
p8,2047,-4596390.404219
p8,2050,-6906473.016028
p9,2010,6551928.17954
p9,2015,3046756.063153
p9,2020,31206226.184228
p9,2023,19460414.211097
p9,2026,18296069.591634
p9,2029,2825421.593529
p9,2032,12941478.163444
p9,2035,12512930.961301
p9,2038,9581451.292821
p9,2041,11587007.939448
p9,2044,14106513.615315
p9,2047,23776477.368875
p9,2050,27219165.017357
p10,2010,41325918.635979
p10,2015,9400441.170629
p10,2020,65041160.602409
p10,2023,42734539.953895
p10,2026,32848911.819261
p10,2029,35307815.76594
p10,2032,11190016.496525
p10,2035,12616322.255903
p10,2038,3484319.610501
p10,2041,18176223.969395
p10,2044,24180549.295052
p10,2047,31668393.843875
p10,2050,43402342.21623
p11,2010,8379234.654524
p11,2015,495810.36881
p11,2020,14028230.404055
p11,2023,11633928.069789
p11,2026,11747630.207
p11,2029,8729575.535379
p11,2032,4831672.756213
p11,2035,5634571.670723
p11,2038,9050054.868974
p11,2041,8955517.353124
p11,2044,7123540.283533
p11,2047,9362173.503837
p11,2050,8725594.005635
p12,2010,953137.930199
p12,2015,58179.396908
p12,2020,-8116690.303054
p12,2023,-4851810.534191
p12,2026,-4567903.37121
p12,2029,-2675164.742602
p12,2032,-664571.48316
p12,2035,505327.183928
p12,2038,1114923.257793
p12,2041,1230497.070192
p12,2044,1215599.291858
p12,2047,-327987.480867
p12,2050,-1072138.77503
p13,2010,-10440102.016637
p13,2015,-10399383.703039
p13,2020,-18027883.701812
p13,2023,-9325182.081354
p13,2026,-7472563.945855
p13,2029,-5710426.032245
p13,2032,158465.23841
p13,2035,1677409.619382
p13,2038,3066058.506338
p13,2041,434227.203321
p13,2044,-3308227.337725
p13,2047,-13874945.71906
p13,2050,-25004736.935635
p14,2010,2163864.82349
p14,2015,1817689.049644
p14,2020,1372271.752826
p14,2023,2768489.461106
p14,2026,2205107.500298
p14,2029,2956764.061101
p14,2032,3417570.021784
p14,2035,3830303.166218
p14,2038,4130168.686614
p14,2041,4487980.372119
p14,2044,4761678.040353
p14,2047,5188676.604008
p14,2050,4961445.912487
p15,2010,7728407.0772
p15,2015,6055054.567826
p15,2020,5091699.601562
p15,2023,6520441.355727
p15,2026,6654720.094598
p15,2029,3036169.138681
p15,2032,3232105.474922
p15,2035,-4989934.538159
p15,2038,-4595558.769569
p15,2041,-6357840.043603
p15,2044,-6955337.201651
p15,2047,-8864585.55501
p15,2050,-7960572.169779
p16,2010,2891828.448741
p16,2015,2058605.802241
p16,2020,1971758.9483
p16,2023,1212026.06772
p16,2026,1305671.326628
p16,2029,37501.467273
p16,2032,-435204.088754
p16,2035,-4128691.606704
p16,2038,-4402405.459128
p16,2041,-4173762.144746
p16,2044,-3674211.045591
p16,2047,-3546475.43704
p16,2050,-2938599.991216
p17,2010,1571209.477151
p17,2015,1279021.6644
p17,2020,872058.794685
p17,2023,1173953.860372
p17,2026,1677807.205531
p17,2029,1334189.64258
p17,2032,149805.863617
p17,2035,1798354.707834
p17,2038,2404794.41692
p17,2041,3222851.946581
p17,2044,4079946.732103
p17,2047,4743931.770182
p17,2050,5327101.479082
p18,2010,-136480.855216
p18,2015,-615110.01468
p18,2020,-1256119.316768
p18,2023,-2769753.562352
p18,2026,-3610444.811254
p18,2029,-9991028.352444
p18,2032,-8842286.778769
p18,2035,-13155496.137671
p18,2038,-13910764.591474
p18,2041,-15309229.183989
p18,2044,-16225546.047201
p18,2047,-16317201.570144
p18,2050,-21706958.404702
p20,2010,-13494972.104304
p20,2015,-535197.055887
p20,2020,60998.151705
p20,2023,-6068740.81369
p20,2026,-7510095.350817
p20,2029,-4870148.378259
p20,2032,-9562207.764031
p20,2035,-10728464.622717
p20,2038,-10669534.346836
p20,2041,-10326503.098593
p20,2044,-10060398.112363
p20,2047,-10289019.333194
p20,2050,-10404354.285397
p21,2010,-9823204.994435
p21,2015,-51620.241663
p21,2020,-1791032.170752
p21,2023,-7706906.345644
p21,2026,-6545691.99048
p21,2029,-4275311.764221
p21,2032,-8345188.801587
p21,2035,-10656456.729786
p21,2038,-11851352.392375
p21,2041,-12299283.718822
p21,2044,-13454378.739087
p21,2047,-14048032.910517
p21,2050,-14468797.62356
p22,2010,1419296.145
p22,2015,1404031.914
p22,2020,1272438.918
p22,2023,1450171.032
p22,2026,1629110.607
p22,2029,1873775.9484
p22,2032,-48393.975
p22,2035,6252.789672
p22,2038,155918.965709
p22,2041,237118.617708
p22,2044,-183114.814075
p22,2047,-72585.340705
p22,2050,-3967.906626
p23,2010,-1740582.228361
p23,2015,470999.478
p23,2020,367691.2461
p23,2023,472236.9933
p23,2026,586952.3946
p23,2029,-835996.5666
p23,2032,-647794.094484
p23,2035,-1644329.435899
p23,2038,-1599809.340441
p23,2041,-2013931.072916
p23,2044,-2278490.370662
p23,2047,-3382972.986544
p23,2050,-3706351.155243
p24,2010,-14740401.605927
p24,2015,-3953162.417442
p24,2020,-5386177.035946
p24,2023,-14701192.85597
p24,2026,-29326584.872144
p24,2029,-37725243.191901
p24,2032,-37320362.230662
p24,2035,-45218445.49323
p24,2038,-46203094.558624
p24,2041,-52801311.631109
p24,2044,-57701243.923022
p24,2047,-63950627.472038
p24,2050,-70538155.388205
p25,2010,-4509322.933566
p25,2015,-175626.723013
p25,2020,-13692317.767308
p25,2023,-9279981.121318
p25,2026,4012648.683036
p25,2029,7864621.174743
p25,2032,19384056.681439
p25,2035,31502527.011695
p25,2038,30567016.174674
p25,2041,31356794.715397
p25,2044,34480469.350894
p25,2047,33127541.337471
p25,2050,36129068.50065
p26,2010,-2551564.3116
p26,2015,-1697727.894116
p26,2020,-2634694.491167
p26,2023,-2531291.627698
p26,2026,-2260036.050555
p26,2029,-2430517.373594
p26,2032,-4194046.149685
p26,2035,-6515682.200788
p26,2038,-6699970.87623
p26,2041,-7965531.003152
p26,2044,-8162186.608579
p26,2047,-8297910.384854
p26,2050,-8566857.65433
p27,2010,648792.218085
p27,2015,-727498.835453
p27,2020,-1807668.157264
p27,2023,-254693.846117
p27,2026,1177157.658387
p27,2029,-3399887.609852
p27,2032,-3895399.64882
p27,2035,-5001411.743454
p27,2038,-6210324.165304
p27,2041,-6497989.962149
p27,2044,-6423508.000834
p27,2047,-5196649.29442
p27,2050,-6896398.534265
p28,2010,-11139996.224873
p28,2015,-6940822.200411
p28,2020,-26699737.661744
p28,2023,-5656816.819911
p28,2026,-10371695.439125
p28,2029,10214010.788392
p28,2032,24083102.564375
p28,2035,34971215.654248
p28,2038,42052127.779599
p28,2041,42318783.79199
p28,2044,52133736.825326
p28,2047,61111972.428441
p28,2050,72287177.230465
p29,2010,-16058208.139248
p29,2015,-4938364.045686
p29,2020,-13487894.269698
p29,2023,-16562432.41048
p29,2026,-16842444.741055
p29,2029,-13528706.60913
p29,2032,-11560743.610935
p29,2035,-8100476.643129
p29,2038,-8255111.952531
p29,2041,-8208761.381154
p29,2044,-8453470.862406
p29,2047,-10286686.204559
p29,2050,-10984833.728473
p30,2010,9998630.731338
p30,2015,10046641.233996
p30,2020,9986050.823381
p30,2023,9767793.123711
p30,2026,2486679.688785
p30,2029,3448582.752616
p30,2032,-1212247.079419
p30,2035,-179129.605961
p30,2038,-3365334.633157
p30,2041,-4388850.636817
p30,2044,-2774361.416799
p30,2047,-2487722.346798
p30,2050,-3063772.969502
p31,2010,-14006375.612172
p31,2015,-1495701.91864
p31,2020,249281.039927
p31,2023,-2924360.679285
p31,2026,-3529437.870228
p31,2029,-16577816.524665
p31,2032,-23043892.707143
p31,2035,-38952739.931427
p31,2038,-38141780.695496
p31,2041,-42274348.402448
p31,2044,-57599135.004361
p31,2047,-65591428.961557
p31,2050,-77977253.895561
p32,2010,1487153.325
p32,2015,1597594.227
p32,2020,1385710.7787
p32,2023,1315620.14508
p32,2026,1326134.18395
p32,2029,-185713.275666
p32,2032,-31435.260782
p32,2035,556227.473324
p32,2038,577594.052568
p32,2041,796713.796587
p32,2044,940147.436113
p32,2047,1122393.967488
p32,2050,1363707.206845
p33,2010,12812808.215409
p33,2015,6939206.421431
p33,2020,9371039.386041
p33,2023,17537070.865811
p33,2026,24254821.047962
p33,2029,35130341.238371
p33,2032,37328968.909949
p33,2035,39863059.466111
p33,2038,44293094.062424
p33,2041,48825737.092623
p33,2044,53665601.447454
p33,2047,57823934.817812
p33,2050,62146395.416334
p34,2010,135426.35214
p34,2015,-6871219.503808
p34,2020,-7479715.825562
p34,2023,-8151815.015434
p34,2026,-4503474.612719
p34,2029,-2144735.139681
p34,2032,-4630620.386327
p34,2035,-2704839.579942
p34,2038,-3633434.529365
p34,2041,-1834082.279564
p34,2044,-2542012.171386
p34,2047,-2398099.461564
p34,2050,-1059025.633532
p35,2010,94873.371112
p35,2015,429862.8144
p35,2020,337923.723569
p35,2023,-128793.393
p35,2026,-1194576.541292
p35,2029,-1564041.842976
p35,2032,-1469507.324522
p35,2035,-1504628.424173
p35,2038,-1481873.669942
p35,2041,-1705967.811807
p35,2044,-1867718.956808
p35,2047,-1891460.972213
p35,2050,-2004858.266056
p36,2010,-19699277.369938
p36,2015,-8244828.778806
p36,2020,-7780139.896482
p36,2023,-17664644.566262
p36,2026,-13848266.385736
p36,2029,-6947137.924154
p36,2032,-4226620.748991
p36,2035,-2480022.024772
p36,2038,-2051568.06077
p36,2041,-2779535.22154
p36,2044,-1629591.527259
p36,2047,-1638988.482431
p36,2050,-1924817.555442
p37,2010,-4825409.4137
p37,2015,-1936803.331387
p37,2020,-251713.341257
p37,2023,3351446.791746
p37,2026,6019921.043269
p37,2029,-2046310.252515
p37,2032,-3670387.313074
p37,2035,-3076898.967796
p37,2038,-7538225.085782
p37,2041,-4566343.879463
p37,2044,-5861104.025006
p37,2047,-3650400.367116
p37,2050,-588903.211257
p38,2010,2509736.5869
p38,2015,1203280.690804
p38,2020,-2492346.042194
p38,2023,-5025882.639257
p38,2026,-5140067.228243
p38,2029,-3494520.990304
p38,2032,-1009623.720516
p38,2035,-3609970.825562
p38,2038,-3462020.844807
p38,2041,-2675694.569663
p38,2044,-3848733.73846
p38,2047,-3466924.219098
p38,2050,-3419453.230711
p39,2010,1904251.6035
p39,2015,1868018.5038
p39,2020,1879595.19702
p39,2023,2045375.547263
p39,2026,2340456.004497
p39,2029,-2975750.535109
p39,2032,-3110065.810865
p39,2035,-3747267.858552
p39,2038,-4516925.528875
p39,2041,-5590225.464369
p39,2044,-5867826.318184
p39,2047,-8028887.228779
p39,2050,-10929554.565627
p40,2010,-10648729.682871
p40,2015,3341486.814308
p40,2020,-1837450.866491
p40,2023,-10064645.692029
p40,2026,-7925581.968425
p40,2029,-7990299.887538
p40,2032,-12074098.909734
p40,2035,-14264622.137694
p40,2038,-13689904.825453
p40,2041,-13182308.591055
p40,2044,-14008593.262289
p40,2047,-14587888.038751
p40,2050,-17322639.268378
p41,2010,-6064608.457612
p41,2015,753112.50218
p41,2020,6174838.611422
p41,2023,7305128.461859
p41,2026,9838155.288574
p41,2029,13196433.675528
p41,2032,9357947.369343
p41,2035,7949957.184157
p41,2038,7217898.300065
p41,2041,6335243.110296
p41,2044,5558617.470351
p41,2047,4381056.056197
p41,2050,5710191.413502
p42,2010,-13501.183169
p42,2015,-405685.660669
p42,2020,-1185093.370225
p42,2023,208602.692371
p42,2026,503971.896733
p42,2029,-3334829.824897
p42,2032,-6261445.910229
p42,2035,-4735398.703769
p42,2038,-5645082.458483
p42,2041,-7760142.051492
p42,2044,-8555464.847456
p42,2047,-8160378.839417
p42,2050,-7997627.482053
p43,2010,11943777.370882
p43,2015,12880716.598436
p43,2020,10612703.235915
p43,2023,17311196.562675
p43,2026,22305009.881426
p43,2029,34156322.475998
p43,2032,38968271.722495
p43,2035,50537333.501256
p43,2038,55563591.351602
p43,2041,60387838.289745
p43,2044,64300104.776655
p43,2047,66752591.787268
p43,2050,71045045.934608
p44,2010,-1364616.689484
p44,2015,-2411028.631256
p44,2020,-5587904.591559
p44,2023,-7204459.415369
p44,2026,-7892663.575432
p44,2029,-16384967.850128
p44,2032,-16031520.054177
p44,2035,-15825656.110461
p44,2038,-18288921.085545
p44,2041,-19117428.494562
p44,2044,-19935430.043603
p44,2047,-19870003.181382
p44,2050,-19379841.054179
p45,2010,-12363937.212708
p45,2015,-23981715.937868
p45,2020,-25318027.260894
p45,2023,-27182328.470995
p45,2026,-31467951.921883
p45,2029,-39174595.368581
p45,2032,-41060368.369575
p45,2035,-31378820.295611
p45,2038,-33460207.755406
p45,2041,-33725444.610627
p45,2044,-30532232.974176
p45,2047,-29900386.003568
p45,2050,-24773723.724882
p46,2010,5227878.182348
p46,2015,7287603.01067
p46,2020,7449630.637975
p46,2023,7198010.539942
p46,2026,3306299.352261
p46,2029,1899203.051975
p46,2032,4746715.210872
p46,2035,8040324.995677
p46,2038,8634048.511107
p46,2041,9752003.216061
p46,2044,10775426.699428
p46,2047,11273920.155902
p46,2050,12719855.104482
p47,2010,2259692.671858
p47,2015,-22381.774978
p47,2020,-3195965.794875
p47,2023,-1254995.495658
p47,2026,-1547790.151486
p47,2029,-3282700.150442
p47,2032,-1525686.896548
p47,2035,-958352.438909
p47,2038,-1026808.978068
p47,2041,-3081511.125108
p47,2044,-4239968.347276
p47,2047,-5087180.812623
p47,2050,-4687939.831801
p48,2010,2812462.959872
p48,2015,5876402.424008
p48,2020,-3911523.420443
p48,2023,-4036123.431899
p48,2026,-4068984.897646
p48,2029,-2367636.930338
p48,2032,-7862.116915
p48,2035,4010595.625891
p48,2038,5387747.554736
p48,2041,6538393.756733
p48,2044,7368638.905129
p48,2047,7588516.488575
p48,2050,9343629.121358
p49,2010,745335.549
p49,2015,-1257114.7476
p49,2020,-2613527.113543
p49,2023,-3086144.888824
p49,2026,-3035924.114528
p49,2029,-6398528.376346
p49,2032,-13501695.989023
p49,2035,-15706608.719083
p49,2038,-17225124.548339
p49,2041,-17107292.053268
p49,2044,-17162239.612029
p49,2047,-17657637.588402
p49,2050,-17471835.618865
p50,2010,9447007.448999
p50,2015,5540934.557907
p50,2020,-10581349.151028
p50,2023,-16524898.140439
p50,2026,-14758674.478711
p50,2029,-7762314.919181
p50,2032,-16011418.906664
p50,2035,-25092463.842899
p50,2038,-26583501.214228
p50,2041,-30095504.880034
p50,2044,-31854414.796371
p50,2047,-33287496.758857
p50,2050,-35817882.306013
p51,2010,2122358.10636
p51,2015,-3748520.287354
p51,2020,-2569120.77587
p51,2023,6250343.399201
p51,2026,8495746.577972
p51,2029,9574657.724089
p51,2032,13980281.944615
p51,2035,15019848.107975
p51,2038,16175415.194295
p51,2041,14075697.138381
p51,2044,14385154.357772
p51,2047,13839569.972015
p51,2050,13160251.140481
p52,2010,-1257565.0314
p52,2015,-2024387.503734
p52,2020,-2951925.442806
p52,2023,-3474055.312507
p52,2026,-3924551.334182
p52,2029,-3609851.65169
p52,2032,-2522873.977583
p52,2035,-2465848.179315
p52,2038,-2795126.599163
p52,2041,-2727123.651145
p52,2044,-2752558.271423
p52,2047,-2804271.336186
p52,2050,-2509365.615186
p53,2010,6118971.147163
p53,2015,-13740665.209851
p53,2020,-5008574.642786
p53,2023,-17893092.673759
p53,2026,-21581781.671401
p53,2029,-30047092.609445
p53,2032,-28985647.726598
p53,2035,-22331046.678372
p53,2038,-20404156.39171
p53,2041,-18689665.728534
p53,2044,-17244053.753816
p53,2047,-17082061.215208
p53,2050,-16987719.299657
p54,2010,2476035.505735
p54,2015,449564.889521
p54,2020,9095356.61045
p54,2023,7145042.525836
p54,2026,6574825.031436
p54,2029,8926594.684014
p54,2032,7830922.965663
p54,2035,5693472.648427
p54,2038,6221058.850053
p54,2041,6138608.980659
p54,2044,3474352.186022
p54,2047,2184363.384957
p54,2050,2973614.144435
p55,2010,1170523.992955
p55,2015,-870214.16511
p55,2020,5193322.880795
p55,2023,5320848.262256
p55,2026,5259600.052434
p55,2029,6459515.257412
p55,2032,6307461.805048
p55,2035,5295490.116448
p55,2038,5579082.757827
p55,2041,6301808.770167
p55,2044,5746630.605838
p55,2047,5241123.78435
p55,2050,2863556.830772
p56,2010,11911261.574208
p56,2015,11726558.532291
p56,2020,12766292.27624
p56,2023,12611174.866615
p56,2026,12977866.3968
p56,2029,14812396.530629
p56,2032,3946555.256402
p56,2035,4801432.424808
p56,2038,5001554.217149
p56,2041,6133624.293363
p56,2044,7001314.97732
p56,2047,7392495.959486
p56,2050,8069336.875426
p57,2010,-23215009.726964
p57,2015,-2631955.474183
p57,2020,555163.525674
p57,2023,5985296.479308
p57,2026,6287069.353937
p57,2029,5055247.284006
p57,2032,1786459.16733
p57,2035,4252373.561493
p57,2038,4759224.514647
p57,2041,4335579.042544
p57,2044,3370458.545627
p57,2047,2276478.694264
p57,2050,168371.430122
p58,2010,7223258.583519
p58,2015,5541600.809064
p58,2020,-12044423.189509
p58,2023,2897593.542681
p58,2026,-1495231.957681
p58,2029,10564228.221465
p58,2032,38750772.280296
p58,2035,41188597.418403
p58,2038,47648420.362704
p58,2041,43522128.163008
p58,2044,46365083.205226
p58,2047,46163891.479958
p58,2050,46899320.120606
p59,2010,1174095.94968
p59,2015,1174095.94968
p59,2020,923978.432533
p59,2023,1174095.94968
p59,2026,1126412.110995
p59,2029,1128314.256581
p59,2032,368493.982337
p59,2035,1142273.263622
p59,2038,1493245.126162
p59,2041,1320555.333603
p59,2044,1494419.399023
p59,2047,804112.018644
p59,2050,105692.467269
p60,2010,-10875092.654925
p60,2015,-9126141.032386
p60,2020,-19558523.893075
p60,2023,-34409511.19815
p60,2026,-45591583.473895
p60,2029,-63853796.842998
p60,2032,-61612823.490895
p60,2035,-59435552.34389
p60,2038,-61148927.87339
p60,2041,-61177747.010771
p60,2044,-59176316.681397
p60,2047,-58996567.632234
p60,2050,-58458814.676456
p61,2010,42756.55041
p61,2015,-24692.377566
p61,2020,-7071959.255293
p61,2023,-22152059.970108
p61,2026,-25123619.288761
p61,2029,-42157760.01119
p61,2032,-34776157.336119
p61,2035,-27584701.041991
p61,2038,-31236019.667555
p61,2041,-31371365.220512
p61,2044,-30967903.199497
p61,2047,-31197221.680716
p61,2050,-32437136.90371
p62,2010,-450932.895721
p62,2015,-2706795.616518
p62,2020,-5828043.053845
p62,2023,-6976223.286622
p62,2026,-9309969.391131
p62,2029,-9665182.268632
p62,2032,-7357283.059107
p62,2035,-5729764.062754
p62,2038,-6499220.573395
p62,2041,-6269823.007371
p62,2044,-5793508.727555
p62,2047,-5439720.465343
p62,2050,-6153818.721245
p63,2010,-14058621.050437
p63,2015,-20323760.804734
p63,2020,2704030.097123
p63,2023,2831646.893278
p63,2026,14612201.537316
p63,2029,60371836.433985
p63,2032,73730914.778112
p63,2035,82119216.785107
p63,2038,92888662.084617
p63,2041,93761519.568389
p63,2044,96035614.804149
p63,2047,98652514.410361
p63,2050,106660208.350544
p64,2010,-28613.355242
p64,2015,-707359.001332
p64,2020,4497193.782551
p64,2023,16329782.74223
p64,2026,27386487.490928
p64,2029,23319816.256439
p64,2032,-49340472.255725
p64,2035,-86981457.115348
p64,2038,-82420600.633878
p64,2041,-81885691.626364
p64,2044,-89625556.567459
p64,2047,-97208525.600902
p64,2050,-107497611.638701
p65,2010,-18870086.625926
p65,2015,-17216280.091163
p65,2020,-23636507.562527
p65,2023,-20353282.462731
p65,2026,-22174838.01758
p65,2029,-34190047.244339
p65,2032,-19861064.360514
p65,2035,-15201286.455188
p65,2038,-9149119.200964
p65,2041,-17492264.881588
p65,2044,-19259144.696343
p65,2047,-18423002.903723
p65,2050,-13627471.993623
p66,2010,10662685.337372
p66,2015,7073815.67612
p66,2020,11227811.592365
p66,2023,3105271.565139
p66,2026,-198995.584826
p66,2029,-10751701.46626
p66,2032,-28008795.31364
p66,2035,-16382766.046277
p66,2038,-17831710.910075
p66,2041,-16543885.435178
p66,2044,-15081753.543816
p66,2047,-12770225.121768
p66,2050,-13862144.514056
p67,2010,45463263.561597
p67,2015,48276807.457833
p67,2020,46870395.228579
p67,2023,62384937.378516
p67,2026,55918034.27052
p67,2029,59775061.415608
p67,2032,90036269.38393
p67,2035,106671136.194026
p67,2038,91303823.078723
p67,2041,99019719.143629
p67,2044,105364740.659003
p67,2047,111522116.466719
p67,2050,112097323.363182
p68,2010,158388.312609
p68,2015,-3482351.852809
p68,2020,-5848681.728257
p68,2023,-4673689.951754
p68,2026,-7285676.166877
p68,2029,-6846791.954854
p68,2032,-6636036.770302
p68,2035,-5495920.108105
p68,2038,-5781127.943133
p68,2041,-8392146.07233
p68,2044,-9706930.080582
p68,2047,-11701214.134063
p68,2050,-15458965.726524
p69,2010,1775108.951929
p69,2015,2815105.637993
p69,2020,2454741.994281
p69,2023,3167288.970014
p69,2026,3753740.297752
p69,2029,990325.694994
p69,2032,1651647.589731
p69,2035,2490840.326934
p69,2038,3086657.778333
p69,2041,4132905.33968
p69,2044,4250604.033796
p69,2047,3996588.986946
p69,2050,4369422.872368
p70,2010,11372283.828162
p70,2015,5518178.585023
p70,2020,3160484.623084
p70,2023,4477953.049108
p70,2026,4211532.76361
p70,2029,7436025.05801
p70,2032,4248168.870037
p70,2035,-15853870.806561
p70,2038,-13752367.418918
p70,2041,-17936715.436368
p70,2044,-25096610.546676
p70,2047,-25933068.97479
p70,2050,-31909976.812227
p71,2010,1822231.286655
p71,2015,1709976.517876
p71,2020,1248065.031229
p71,2023,1378278.943905
p71,2026,724128.244837
p71,2029,-4500153.656225
p71,2032,-16154383.706309
p71,2035,-16957543.813037
p71,2038,-19112714.096662
p71,2041,-19531113.216636
p71,2044,-19452020.932803
p71,2047,-19528053.446607
p71,2050,-20373956.413952
p72,2010,-12692220.407
p72,2015,-11895420.999642
p72,2020,-9690699.744328
