eall,r,t,dr,Value
CH4,p1,2020,2.5,464670411.12078494
CH4,p1,2020,2.0,571902044.4563507
CH4,p1,2020,1.5,822109188.9060042
CH4,p1,2023,2.5,255822367.8811186
CH4,p1,2023,2.0,318049430.338688
CH4,p1,2023,1.5,444232084.766537
CH4,p1,2026,2.5,543268914.4617773
CH4,p1,2026,2.0,680722495.229215
CH4,p1,2026,1.5,929448022.3321974
CH4,p1,2029,2.5,384800390.56751126
CH4,p1,2029,2.0,485183101.1503403
CH4,p1,2029,1.5,650396312.317913
CH4,p1,2032,2.5,239013153.30286807
CH4,p1,2032,2.0,299346570.6414561
CH4,p1,2032,1.5,394487728.7523066
CH4,p1,2035,2.5,193942913.37557533
CH4,p1,2035,2.0,240320566.5740825
CH4,p1,2035,1.5,311995121.51722986
CH4,p1,2038,2.5,1153315768.340465
CH4,p1,2038,2.0,1416671337.4890752
CH4,p1,2038,1.5,1816245304.4731734
CH4,p1,2041,2.5,2138114284.5817835
CH4,p1,2041,2.0,2607268857.8173547
CH4,p1,2041,1.5,3314846246.9595275
CH4,p1,2044,2.5,2916121722.442263
CH4,p1,2044,2.0,3534107782.8273787
CH4,p1,2044,1.5,4480398937.792087
CH4,p1,2047,2.5,3144299748.012734
CH4,p1,2047,2.0,3790520861.868112
CH4,p1,2047,1.5,4793610352.031684
CH4,p1,2050,2.5,3456160638.8962336
CH4,p1,2050,2.0,4147392766.67548
CH4,p1,2050,1.5,5233614681.7571535
CH4,p10,2020,2.5,1915866407.02257
CH4,p10,2020,2.0,2357989424.027778
CH4,p10,2020,1.5,3389609797.0399313
CH4,p10,2023,2.5,4091705850.098821
CH4,p10,2023,2.0,5086985651.47421
CH4,p10,2023,1.5,7105191915.374305
CH4,p10,2026,2.5,3532145504.794347
CH4,p10,2026,2.0,4425820873.477254
CH4,p10,2026,1.5,6042947731.093943
CH4,p10,2029,2.5,4966695575.084439
CH4,p10,2029,2.0,6262355290.323858
CH4,p10,2029,1.5,8394795238.322069
CH4,p10,2032,2.5,9916188468.201042
CH4,p10,2032,2.0,12419304003.863441
CH4,p10,2032,1.5,16366524656.254147
CH4,p10,2035,2.5,11289244276.81504
CH4,p10,2035,2.0,13988846169.0969
CH4,p10,2035,1.5,18160958184.44159
CH4,p10,2038,2.5,13365511914.500189
CH4,p10,2038,2.0,16417479202.063225
