i,r,t,Value
battery_4,p3,2047,0.0
battery_4,p4,2026,0.0
battery_4,p6,2026,-96.195861
battery_4,p6,2029,-206.660532
battery_4,p6,2032,-340.660704
battery_4,p6,2035,-454.396244
battery_4,p6,2038,-484.634531
battery_4,p6,2041,-579.514119
battery_4,p6,2044,-592.321208
battery_4,p6,2047,-600.636565
battery_4,p6,2050,-571.322449
battery_4,p7,2026,-11.460976
battery_4,p7,2029,-18.686122
battery_4,p7,2032,-33.649946
battery_4,p7,2035,-44.09082
battery_4,p7,2038,-47.307341
battery_4,p7,2041,-0.0
battery_4,p7,2044,-120899.107597
battery_4,p7,2047,-190740.185128
battery_4,p7,2050,-157733.699091
battery_4,p8,2029,-39354.372092
battery_4,p8,2032,-38216.016633
battery_4,p8,2035,-44862.775197
battery_4,p8,2038,-42958.54631
battery_4,p8,2041,-40906.338307
battery_4,p8,2044,-21552.919256
battery_4,p8,2047,-21832.662979
battery_4,p8,2050,-19658.09288
battery_4,p9,2020,-177.038754
battery_4,p9,2023,-194998.087912
battery_4,p9,2026,-419710.936688
battery_4,p9,2029,-475476.181474
battery_4,p9,2032,-505353.999894
battery_4,p9,2035,-511458.922823
battery_4,p9,2038,-354974.113131
battery_4,p9,2041,-642798.798106
battery_4,p9,2044,-700218.737655
battery_4,p9,2047,-728364.535021
battery_4,p9,2050,-777274.955958
battery_4,p10,2020,-3515.004264
battery_4,p10,2023,-870900.17224
battery_4,p10,2026,-1523719.871951
battery_4,p10,2029,-1574974.596032
battery_4,p10,2032,-1567279.541365
battery_4,p10,2035,-1591753.292344
battery_4,p10,2038,-507087.764402
battery_4,p10,2050,-185136.086595
battery_4,p11,2020,-7565.885956
battery_4,p11,2023,-69397.875536
battery_4,p11,2026,-151811.525213
battery_4,p11,2029,-175656.364869
battery_4,p11,2032,-184365.063406
battery_4,p11,2035,-113528.607039
battery_4,p11,2038,-74466.102924
battery_4,p11,2041,-26399.644172
battery_4,p11,2044,-129573.686995
battery_4,p11,2047,-130016.979574
battery_4,p11,2050,-129794.898158
battery_4,p12,2029,-6879.039327
battery_4,p12,2032,-6984.861005
battery_4,p12,2035,-7116.927897
battery_4,p12,2038,-7480.317874
battery_4,p12,2041,-7662.652923
battery_4,p13,2023,-9979.349925
battery_4,p13,2026,-142053.371939
battery_4,p13,2029,-239160.901955
battery_4,p13,2032,-256454.845622
battery_4,p13,2035,-278024.598983
battery_4,p13,2038,-261720.033218
battery_4,p13,2041,-109959.079185
battery_4,p15,2023,-2069.789872
battery_4,p15,2026,-8764.30698
battery_4,p15,2029,-14825.974561
battery_4,p15,2032,-14480.697955
battery_4,p15,2035,-26661.765778
battery_4,p16,2023,-72.007367
battery_4,p16,2026,-159.283375
battery_4,p16,2029,-241.952696
battery_4,p16,2032,-242.436835
battery_4,p16,2035,-459.23277
battery_4,p16,2044,-31272.154592
battery_4,p16,2047,-64559.473622
battery_4,p16,2050,-61341.587301
battery_4,p18,2026,-452.750713
battery_4,p18,2029,-4343.190273
battery_4,p18,2032,-10664.355177
battery_4,p18,2035,-18335.141797
battery_4,p18,2038,-19298.779471
battery_4,p21,2044,-19215.872941
battery_4,p21,2047,-20767.832833
battery_4,p21,2050,-20656.334052
battery_4,p22,2041,-2980.676757
battery_4,p22,2044,-2850.261051
battery_4,p22,2047,-3392.88242
battery_4,p22,2050,-3287.530622
battery_4,p24,2041,0.0
battery_4,p24,2047,-12725.276937
battery_4,p24,2050,-125215.283004
battery_4,p25,2041,-429174.412663
battery_4,p25,2044,-620494.916709
battery_4,p25,2047,-635301.703006
battery_4,p25,2050,-578655.665314
battery_4,p26,2041,-46589.245344
battery_4,p26,2044,-44702.203331
battery_4,p26,2047,-44990.154514
battery_4,p26,2050,-47709.398577
battery_4,p28,2023,-167246.623883
battery_4,p28,2026,-221063.755506
battery_4,p28,2029,-272631.718993
battery_4,p28,2032,-274719.95537
battery_4,p28,2035,-307372.958988
battery_4,p28,2038,-64998.167389
battery_4,p29,2035,-8562.266814
battery_4,p29,2038,-14944.007158
battery_4,p29,2041,-14993.114571
battery_4,p29,2044,-14881.359382
battery_4,p29,2047,-14831.159743
battery_4,p29,2050,-5492.405895
battery_4,p30,2029,-100566.399058
battery_4,p30,2032,-112599.569038
battery_4,p30,2035,-154465.846296
battery_4,p30,2038,-571700.225823
battery_4,p30,2041,-608987.908665
battery_4,p30,2044,-470381.889817
battery_4,p30,2047,-462776.631824
battery_4,p30,2050,-431848.717538
battery_4,p31,2023,-15930.534508
battery_4,p31,2026,-54404.872861
battery_4,p31,2029,-56623.303195
battery_4,p31,2032,-57696.417275
battery_4,p31,2035,-65801.658378
battery_4,p31,2038,-196342.885173
battery_4,p31,2041,-167310.443789
battery_4,p31,2044,-170390.288202
battery_4,p31,2047,-183333.688123
battery_4,p31,2050,-159191.548753
battery_4,p32,2038,-24176.873426
battery_4,p32,2041,-23834.039516
battery_4,p32,2044,-27455.00346
battery_4,p32,2047,-28969.168324
battery_4,p32,2050,-25073.017391
battery_4,p33,2023,-1066.613635
battery_4,p33,2026,-1007.77048
battery_4,p33,2029,-1301.833159
battery_4,p33,2032,-1253.064827
battery_4,p33,2035,-1372.039718
battery_4,p34,2023,-50142.919522
battery_4,p34,2026,-45248.306636
battery_4,p34,2029,-59595.965762
battery_4,p34,2032,-59288.23862
battery_4,p34,2035,-62649.813933
battery_4,p34,2038,-148427.05571
battery_4,p34,2041,-334344.581034
battery_4,p34,2044,-417929.562337
battery_4,p34,2047,-432734.281694
battery_4,p34,2050,-407945.565128
battery_4,p37,2029,-45953.588743
battery_4,p37,2032,-50000.577709
battery_4,p37,2035,-69994.715189
battery_4,p37,2038,-86710.099291
battery_4,p37,2041,-79438.967014
battery_4,p39,2032,-19032.677987
battery_4,p39,2035,-50334.50841
battery_4,p39,2038,-67180.56788
battery_4,p39,2041,-117544.805973
