,,damage_$,damage_$,damage_$,damage_$,damage_$,damage_$,mortality,mortality,mortality,mortality,mortality,mortality
,,count,mean,std,min,50%,max,count,mean,std,min,50%,max
state_abbr,year,,,,,,,,,,,,
AL,2010,6.0,2556913984.425,1344540620.9601688,1208937405.3799999,2445994697.75,4588672910.84,6.0,368.81703333333326,193.9406331618794,174.3807,352.8177,661.8841
AL,2015,6.0,869036228.1233335,452280668.9275166,416406966.92,834537055.855,1539594924.76,6.0,125.35243333333334,65.23831844150082,60.0639,120.3761,222.0758
AL,2020,6.0,388056917.3233333,209754776.18679792,179384523.31,370444110.65,719434827.04,6.0,55.97448333333333,30.25565580888418,25.875,53.434,103.77340000000001
AL,2023,6.0,1171733623.4283335,652231688.7797532,527422533.36,1113364627.545,2239604768.46,6.0,169.01433333333333,94.07991071421499,76.0769,160.59505000000001,323.0474
AL,2026,6.0,873964111.4016666,465406928.78766686,408675871.85,834946975.77,1592753771.83,6.0,126.06323333333334,67.13173632778067,58.948699999999995,120.43530000000001,229.7437
AL,2029,6.0,868667594.8716668,462356837.50997645,406550705.88,830173694.925,1582253140.93,6.0,125.2992,66.69172709438556,58.6421,119.74674999999999,228.2289
AL,2032,6.0,795370229.0266666,422997999.17435855,372384009.78,760017398.05,1447285611.52,6.0,114.72666666666667,61.01451895474278,53.7138,109.62725,208.761
AL,2035,6.0,387213061.21,205205322.09235072,181580398.35999998,369773678.91499996,701491360.69,6.0,55.85276666666667,29.59937318084061,26.1917,53.3373,101.18509999999999
AL,2038,6.0,406506446.8933334,214258809.8009258,191065728.14,387754374.20500004,731274569.21,6.0,58.63570000000001,30.905349629149967,27.5599,55.93085000000001,105.4813
AL,2041,6.0,384918399.32,202757814.75240916,180938664.44,367077195.75,691872596.09,6.0,55.521833333333326,29.2463863055022,26.0992,52.948350000000005,99.7978
AL,2044,6.0,364138219.96,191958119.3751055,171143051.04,347356226.915,655195677.65,6.0,52.52441666666667,27.68861691882906,24.6863,50.10365,94.50750000000001
AL,2047,6.0,203245774.16166666,109297632.25611375,94511184.72,194331871.495,374717255.44,6.0,29.316766666666666,15.765424964607412,13.6325,28.031,54.0503
