r,t,Value
p1,2010,41550609.460819
p1,2015,36243707.654876
p1,2020,31926041.652317
p1,2023,37785589.135788
p1,2026,39848737.738327
p1,2029,43350659.081345
p1,2032,42002546.706169
p1,2035,37484612.478279
p1,2038,31622501.376784
p1,2041,34361201.753887
p1,2044,39818419.493319
p1,2047,48230784.105778
p1,2050,53434077.915782
p2,2010,-8455827.935622
p2,2015,830116.345043
p2,2020,-7787603.887303
p2,2023,-4661046.215585
p2,2026,-4366490.480883
p2,2029,-10530839.918401
p2,2032,-14255638.823336
p2,2035,-13996285.073879
p2,2038,-12121947.660715
p2,2041,-18964462.250183
p2,2044,-26176880.516567
p2,2047,-31855949.566021
p2,2050,-38683231.557772
p3,2010,7958131.463475
p3,2015,4601346.366927
p3,2020,4005171.938891
p3,2023,3890340.8859
p3,2026,5086590.892415
p3,2029,6457295.264035
p3,2032,6148361.307621
p3,2035,7338145.230964
p3,2038,8238962.026395
p3,2041,7704244.372854
p3,2044,6659638.636333
p3,2047,4393694.98489
p3,2050,-429091.808255
p4,2010,-49256252.330695
p4,2015,-56691405.01254
p4,2020,-65760592.170534
p4,2023,-65579806.498721
p4,2026,-65511841.557525
p4,2029,-65361549.475926
p4,2032,-61498730.665153
p4,2035,-60278262.463905
p4,2038,-61099823.653255
p4,2041,-59360108.330979
p4,2044,-53881641.340537
p4,2047,-52657273.518723
p4,2050,-50628580.795071
p5,2010,-7769007.964389
p5,2015,-4518980.520833
p5,2020,-14151051.686214
p5,2023,-7197472.771332
p5,2026,-5470853.366191
p5,2029,1268520.092685
p5,2032,7575549.51809
p5,2035,13952134.780041
p5,2038,18040723.222969
p5,2041,21903080.710629
p5,2044,19257445.708356
p5,2047,22618911.520089
p5,2050,25836736.641215
p6,2010,5579324.171983
p6,2015,7299552.263692
p6,2020,6281152.31276
p6,2023,7734569.731263
p6,2026,9982870.44094
p6,2029,12165462.039383
p6,2032,11215721.005948
p6,2035,11470578.133209
p6,2038,11330261.137592
p6,2041,13052331.112007
p6,2044,16315295.044605
p6,2047,18416593.051172
p6,2050,19315346.695026
p7,2010,121018.8315
p7,2015,258743.164428
p7,2020,-564575.454843
p7,2023,-1452187.204982
p7,2026,-1046912.69529
p7,2029,-6842967.031747
p7,2032,-15235221.966874
p7,2035,-19315051.236281
p7,2038,-23277836.845102
p7,2041,-23976733.374915
p7,2044,-27191289.180601
p7,2047,-29479435.280957
p7,2050,-29632678.067246
p8,2010,905661.020323
p8,2015,944671.872712
p8,2020,796575.469912
p8,2023,972946.202205
p8,2026,71570.213616
p8,2029,-1023105.674045
p8,2032,-893240.169222
p8,2035,-1027081.232338
p8,2038,-1113140.922628
p8,2041,-1302284.01942
p8,2044,-4122798.996095
p8,2047,-8726285.042005
p8,2050,-8913723.217652
p9,2010,5273520.115073
p9,2015,2909456.791147
p9,2020,23584966.449592
p9,2023,12930080.46454
p9,2026,12954991.743224
p9,2029,11328924.276322
p9,2032,23989892.802458
p9,2035,24618092.429541
p9,2038,15064409.06798
p9,2041,32375091.905552
p9,2044,46504662.858952
p9,2047,48483523.391494
p9,2050,51913727.824019
p10,2010,40701009.382048
p10,2015,9730043.909023
p10,2020,48266995.040175
p10,2023,30755072.91643
p10,2026,21979065.863874
p10,2029,31427929.975434
p10,2032,35308784.196267
p10,2035,51800683.22108
p10,2038,69213289.94734
p10,2041,56803507.122789
p10,2044,52750831.648049
p10,2047,56394464.161164
p10,2050,58350500.580337
p11,2010,8463951.177248
p11,2015,711909.140051
p11,2020,13096827.149088
p11,2023,10427714.170737
p11,2026,10784204.907658
p11,2029,8693131.318583
p11,2032,10322564.940535
p11,2035,9206138.286677
p11,2038,5939409.61742
p11,2041,7628319.84726
p11,2044,5000734.961736
p11,2047,7633015.403497
p11,2050,8197880.008255
p12,2010,1244207.08325
p12,2015,-667387.074093
p12,2020,-5708806.645553
p12,2023,-1469155.905988
p12,2026,-2613237.332061
p12,2029,-2347043.248533
