eall,r,t,dr,Value
CH4,p1,2023,2.5,140145299.55118436
CH4,p1,2023,2.0,179376223.90551782
CH4,p1,2023,1.5,244218850.13976282
CH4,p1,2024,2.5,143014504.58911896
CH4,p1,2024,2.0,182990999.9663924
CH4,p1,2024,1.5,248680076.87740502
CH4,p1,2025,2.5,412104126.7924115
CH4,p1,2025,2.0,527422387.57769084
CH4,p1,2025,1.5,716378362.2434558
CH4,p1,2026,2.5,418994654.45315284
CH4,p1,2026,2.0,536487260.37314373
CH4,p1,2026,1.5,727968350.7393755
CH4,p1,2027,2.5,425303904.6629882
CH4,p1,2027,2.0,544743529.4920069
CH4,p1,2027,1.5,739313381.3385763
CH4,p1,2028,2.5,349871219.79878986
CH4,p1,2028,2.0,448617069.3901778
CH4,p1,2028,1.5,608675379.0739533
CH4,p1,2029,2.5,353916386.90272653
CH4,p1,2029,2.0,454468324.6573607
CH4,p1,2029,1.5,617094120.1355494
CH4,p1,2030,2.5,357742032.5995749
CH4,p1,2030,2.0,460109113.0343864
CH4,p1,2030,1.5,624933895.1438949
CH4,p1,2031,2.5,290911820.36243093
CH4,p1,2031,2.0,374422981.55730665
CH4,p1,2031,1.5,508920340.9048928
CH4,p1,2032,2.5,294874192.32175463
CH4,p1,2032,2.0,380054510.7704293
CH4,p1,2032,1.5,516885997.2553573
CH4,p1,2033,2.5,298331910.33678454
CH4,p1,2033,2.0,385321242.2283442
CH4,p1,2033,1.5,524354000.7199471
CH4,p1,2034,2.5,307383192.795784
CH4,p1,2034,2.0,397743839.78297275
CH4,p1,2034,1.5,541866461.5448833
CH4,p1,2035,2.5,310351863.34332883
CH4,p1,2035,2.0,402405055.2719071
CH4,p1,2035,1.5,548953688.3076242
CH4,p1,2036,2.5,312992863.3509007
CH4,p1,2036,2.0,406591742.52163476
CH4,p1,2036,1.5,555713097.3521259
CH4,p1,2037,2.5,1133737069.9645236
CH4,p1,2037,2.0,1476898056.738174
CH4,p1,2037,1.5,2022043989.371968
CH4,p1,2038,2.5,1141042250.1204398
CH4,p1,2038,2.0,1490172833.0870268
CH4,p1,2038,1.5,2043572186.9387767
CH4,p1,2039,2.5,1147316637.9844172
CH4,p1,2039,2.0,1502359210.649135
CH4,p1,2039,1.5,2064528979.5117152
CH4,p1,2040,2.5,925563035.8931761
CH4,p1,2040,2.0,1214992505.3926964
CH4,p1,2040,1.5,1673825973.7506
CH4,p1,2041,2.5,931060503.6913538
CH4,p1,2041,2.0,1225669448.1409464
CH4,p1,2041,1.5,1691728288.6275706
CH4,p1,2042,2.5,936065241.2227957
CH4,p1,2042,2.0,1235816602.6135728
CH4,p1,2042,1.5,1709124877.1874733
CH4,p1,2043,2.5,607358119.9897408
CH4,p1,2043,2.0,804301492.6686112
CH4,p1,2043,1.5,1114785951.8814301
CH4,p1,2044,2.5,609588934.7592133
CH4,p1,2044,2.0,809537726.859277
CH4,p1,2044,1.5,1124659043.309354
CH4,p1,2045,2.5,611153989.7906877
CH4,p1,2045,2.0,814259390.7384794
CH4,p1,2045,1.5,1133996851.2087736
CH4,p1,2046,2.5,292715037.23130286
CH4,p1,2046,2.0,391174102.4803087
CH4,p1,2046,1.5,546291853.5602844
CH4,p1,2047,2.5,293050982.4054846
CH4,p1,2047,2.0,392964650.99141496
CH4,p1,2047,1.5,550260755.6060386
CH4,p1,2048,2.5,293283230.07880056
CH4,p1,2048,2.0,394534588.17971736
CH4,p1,2048,1.5,553993040.6658487
CH4,p1,2049,2.5,206209342.9407711
CH4,p1,2049,2.0,278390329.94229203
CH4,p1,2049,1.5,392029188.2705729
CH4,p1,2050,2.5,206119271.08563083
CH4,p1,2050,2.0,279200678.40146714
CH4,p1,2050,1.5,394408762.81198704
CH4,p10,2023,2.5,5202291056.000016
CH4,p10,2023,2.0,6658570271.505373
CH4,p10,2023,1.5,9065573685.720943
CH4,p10,2024,2.5,5308797943.883372
CH4,p10,2024,2.0,6792753274.653921
CH4,p10,2024,1.5,9231177527.09379
CH4,p10,2025,2.5,4158211810.234499
CH4,p10,2025,2.0,5321795775.445789
CH4,p10,2025,1.5,7228398777.908183
CH4,p10,2026,2.5,4227738591.5376987
CH4,p10,2026,2.0,5413262127.432392
CH4,p10,2026,1.5,7345344044.676868
CH4,p10,2027,2.5,4291400168.868802
CH4,p10,2027,2.0,5496569509.053989
CH4,p10,2027,1.5,7459817638.019051
CH4,p10,2028,2.5,4349042018.084841
CH4,p10,2028,2.0,5576493219.219381
CH4,p10,2028,1.5,7566083316.280527
CH4,p10,2029,2.5,4399325095.713554
CH4,p10,2029,2.0,5649226709.64524
CH4,p10,2029,1.5,7670731702.727729
CH4,p10,2030,2.5,4446879432.682075
CH4,p10,2030,2.0,5719344010.750823
CH4,p10,2030,1.5,7768183304.900763
