i,r,t,Value
battery_4,p4,2047,-552.990553
battery_4,p4,2050,-502.954822
battery_4,p6,2026,-96.195861
battery_4,p6,2029,-220.801473
battery_4,p6,2032,-351.046589
battery_4,p6,2035,-416.795873
battery_4,p6,2038,-479.520561
battery_4,p6,2044,-0.0
battery_4,p6,2047,-14122.686254
battery_4,p6,2050,-13450.651541
battery_4,p7,2026,-11.460976
battery_4,p7,2029,-19.005601
battery_4,p7,2032,-34.605052
battery_4,p7,2035,-43.243187
battery_4,p7,2038,-45.132843
battery_4,p7,2041,-641.805365
battery_4,p7,2044,-127365.431343
battery_4,p7,2047,-204534.130432
battery_4,p7,2050,-176060.455287
battery_4,p8,2029,-39336.990779
battery_4,p8,2032,-37263.075456
battery_4,p8,2035,-40941.953747
battery_4,p8,2038,-49908.536058
battery_4,p8,2041,-50309.428324
battery_4,p8,2044,-9358.249649
battery_4,p8,2047,-9931.345252
battery_4,p8,2050,-8752.766185
battery_4,p9,2020,-177.038754
battery_4,p9,2023,-194998.087912
battery_4,p9,2026,-419459.904523
battery_4,p9,2029,-472941.872428
battery_4,p9,2032,-505371.458572
battery_4,p9,2035,-511889.021861
battery_4,p9,2038,-368199.655371
battery_4,p9,2041,-747601.682708
battery_4,p9,2044,-865795.735095
battery_4,p9,2047,-823096.406516
battery_4,p9,2050,-849825.446154
battery_4,p10,2020,-3515.004264
battery_4,p10,2023,-870900.17224
battery_4,p10,2026,-1523039.090936
battery_4,p10,2029,-1571699.442573
battery_4,p10,2032,-1567408.878828
battery_4,p10,2035,-1595897.20778
battery_4,p10,2038,-522960.875881
battery_4,p10,2044,-50314.38434
battery_4,p10,2047,-48040.816708
battery_4,p10,2050,-49093.700824
battery_4,p11,2020,-7565.885956
battery_4,p11,2023,-69397.875536
battery_4,p11,2026,-151192.839761
battery_4,p11,2029,-175656.361868
battery_4,p11,2032,-184354.274598
battery_4,p11,2035,-113444.906007
battery_4,p11,2038,-75698.133143
battery_4,p11,2041,-160751.385858
battery_4,p11,2044,-187079.624117
battery_4,p11,2047,-177770.925218
battery_4,p11,2050,-173257.501613
battery_4,p12,2029,-6865.744301
battery_4,p12,2032,-6519.318699
battery_4,p12,2035,-6843.131152
battery_4,p12,2038,-13348.83712
battery_4,p12,2041,-16131.505844
battery_4,p12,2044,-7108.782242
battery_4,p12,2047,-7995.412457
battery_4,p12,2050,-7974.483673
battery_4,p13,2023,-9979.349925
battery_4,p13,2026,-142191.227609
battery_4,p13,2029,-234770.978365
battery_4,p13,2032,-256455.609894
battery_4,p13,2035,-278948.449149
battery_4,p13,2038,-250369.362929
battery_4,p13,2041,-280739.112813
battery_4,p13,2044,-147185.954782
battery_4,p13,2047,-158591.133924
battery_4,p13,2050,-154124.57412
battery_4,p15,2023,-2069.789872
battery_4,p15,2026,-8783.294303
battery_4,p15,2029,-14756.556672
battery_4,p15,2032,-15323.091802
battery_4,p15,2035,-24627.194475
battery_4,p16,2023,-72.007367
battery_4,p16,2026,-159.283375
battery_4,p16,2029,-242.462661
battery_4,p16,2032,-256.433635
battery_4,p16,2035,-381.816969
battery_4,p16,2044,-0.0
battery_4,p18,2026,-452.750713
battery_4,p18,2029,-4924.35988
battery_4,p18,2032,-10410.269285
battery_4,p18,2035,-16621.684819
battery_4,p18,2038,-16708.809512
battery_4,p21,2038,-49076.101318
battery_4,p21,2041,-52129.369267
battery_4,p21,2044,-67096.30256
battery_4,p21,2047,-112908.472244
battery_4,p21,2050,-121167.806596
battery_4,p22,2041,-0.0
battery_4,p22,2044,-73686.375862
battery_4,p22,2047,-78062.590825
