,,damage_$,damage_$,damage_$,damage_$,damage_$,damage_$,mortality,mortality,mortality,mortality,mortality,mortality
,,count,mean,std,min,50%,max,count,mean,std,min,50%,max
state_abbr,year,,,,,,,,,,,,
AL,2010,6.0,2556913984.425,1344540620.9601688,1208937405.3799999,2445994697.75,4588672910.84,6.0,368.81703333333326,193.9406331618794,174.3807,352.8177,661.8841
AL,2015,6.0,869036228.1233335,452280668.9275166,416406966.92,834537055.855,1539594924.76,6.0,125.35243333333334,65.23831844150082,60.0639,120.3761,222.0758
AL,2020,6.0,388056917.3233333,209754776.18679792,179384523.31,370444110.65,719434827.04,6.0,55.97448333333333,30.25565580888418,25.875,53.434,103.77340000000001
AL,2023,6.0,1171733623.4283335,652231688.7797532,527422533.36,1113364627.545,2239604768.46,6.0,169.01433333333333,94.07991071421499,76.0769,160.59505000000001,323.0474
AL,2026,6.0,1007169248.3316666,528190524.0946683,476201870.51,962157921.6,1800688640.8400002,6.0,145.27711666666667,76.18781323291586,68.6888,138.7846,259.73670000000004
AL,2029,6.0,1446678041.2416668,750636497.2870272,694665813.62,1389065477.68,2552269609.9300003,6.0,208.67321666666666,108.27409938997262,100.20060000000001,200.36305000000002,368.1471
AL,2032,6.0,797288152.2966666,424030755.114794,373275995.83,761852832.23,1450829090.44,6.0,115.00323333333336,61.16345314161609,53.842499999999994,109.89195000000001,209.27190000000002
AL,2035,6.0,634850992.0666666,337227818.40800226,297451802.32,606590575.03,1153520509.56,6.0,91.57283333333334,48.642814924577166,42.905300000000004,87.4964,166.3874
AL,2038,6.0,658082345.5933332,349986000.47390693,308090911.17,628810268.38,1197469006.8,6.0,94.92379999999999,50.48306150985694,44.44,90.7015,172.7266
AL,2041,6.0,334267125.4583333,186827554.14053515,149988700.60999998,317514689.315,641502453.07,6.0,48.21568333333334,26.94857996224786,21.6348,45.79925,92.5322
AL,2044,6.0,78397172.88,42418899.02639745,36128678.29,74720992.605,145474042.39000002,6.0,11.3082,6.11865195905111,5.2113,10.7779,20.9836
AL,2047,6.0,63681183.949999996,34637174.29724571,29333298.7,60817638.89,118886478.96,6.0,9.185566666666668,4.996203213908204,4.231,8.77255,17.148600000000002
