r,t,Value
p1,2010,41550609.460819
p1,2015,36243707.654876
p1,2020,31926041.652317
p1,2023,37785589.135788
p1,2026,39848737.738327
p1,2029,43248560.376988
p1,2032,41884806.303293
p1,2035,33834571.873575
p1,2038,27018297.037983
p1,2041,30281853.421071
p1,2044,35178803.719728
p1,2047,46356844.140924
p1,2050,52654827.931569
p2,2010,-8455827.935622
p2,2015,830116.345043
p2,2020,-7787603.887303
p2,2023,-4661046.215585
p2,2026,-4364237.598264
p2,2029,-10702239.782985
p2,2032,-14253847.628574
p2,2035,-11378935.617163
p2,2038,-10343560.4394
p2,2041,-11338655.650364
p2,2044,-21902714.425284
p2,2047,-35714134.990156
p2,2050,-38430451.430461
p3,2010,7958131.463475
p3,2015,4601346.366927
p3,2020,4005171.938891
p3,2023,3890340.8859
p3,2026,5086590.892415
p3,2029,6613515.46975
p3,2032,6145732.382123
p3,2035,7322865.226138
p3,2038,6953922.639899
p3,2041,6781617.511802
p3,2044,7202622.05157
p3,2047,4491983.597433
p3,2050,-302288.023323
p4,2010,-49256252.330695
p4,2015,-56691405.01254
p4,2020,-65760592.170534
p4,2023,-65579806.498721
p4,2026,-65511596.70835
p4,2029,-65411443.772763
p4,2032,-61500653.973383
p4,2035,-60553160.596513
p4,2038,-60485860.990633
p4,2041,-62369306.648734
p4,2044,-59964156.259098
p4,2047,-52135476.026633
p4,2050,-50331060.284909
p5,2010,-7769007.964389
p5,2015,-4518980.520833
p5,2020,-14151051.686214
p5,2023,-7197472.771332
p5,2026,-5466868.085441
p5,2029,1220887.72465
p5,2032,7637940.146974
p5,2035,13585994.955507
p5,2038,20065427.701336
p5,2041,20138154.384264
p5,2044,26223573.329705
p5,2047,22587353.298146
p5,2050,25897547.542553
p6,2010,5579324.171983
p6,2015,7299552.263692
p6,2020,6281152.31276
p6,2023,7734569.731263
p6,2026,9983570.45553
p6,2029,11954440.195496
p6,2032,11195804.898056
p6,2035,11398532.030357
p6,2038,11163923.028833
p6,2041,12732483.219004
p6,2044,15226393.568127
p6,2047,18599841.029252
p6,2050,20003189.047645
p7,2010,121018.8315
p7,2015,258743.164428
p7,2020,-564575.454843
p7,2023,-1452187.204982
p7,2026,-1046912.69529
p7,2029,-6744023.799307
p7,2032,-15314247.695031
p7,2035,-19660365.3994
p7,2038,-23415037.773299
p7,2041,-24609454.957256
p7,2044,-25507728.912901
p7,2047,-28977310.811022
p7,2050,-30094657.491168
p8,2010,905661.020323
p8,2015,944671.872712
p8,2020,796575.469912
p8,2023,972946.202205
p8,2026,71570.213616
p8,2029,-1024019.384301
p8,2032,-894193.110398
p8,2035,-1006680.421846
p8,2038,-1102588.48743
p8,2041,-1180200.549016
p8,2044,-2177093.042304
p8,2047,-9472192.102284
p8,2050,-9067834.503589
p9,2010,5273520.115073
p9,2015,2909456.791147
p9,2020,23584966.449592
p9,2023,12930080.46454
p9,2026,12905833.914918
p9,2029,11559819.158384
p9,2032,23868535.709042
p9,2035,26505443.475814
p9,2038,15335484.073846
p9,2041,30198408.169899
p9,2044,41358470.265844
p9,2047,51367566.383905
p9,2050,53647488.061766
p10,2010,40701009.382048
p10,2015,9730043.909023
p10,2020,48266995.040175
p10,2023,30755072.91643
p10,2026,22084486.964228
p10,2029,31534230.177395
p10,2032,35427274.062206
p10,2035,52665488.792231
p10,2038,70904113.037286
p10,2041,58265846.570822
p10,2044,50021420.603035
p10,2047,57654680.961251
p10,2050,52925207.980635
p11,2010,8463951.177248
p11,2015,711909.140051
p11,2020,13096827.149088
p11,2023,10427714.170737
p11,2026,10677544.026342
p11,2029,8696488.864646
p11,2032,10323531.189886
p11,2035,10952109.837284
p11,2038,6238380.551786
p11,2041,4661103.903709
p11,2044,2413990.532312
p11,2047,3675424.792749
p11,2050,7268524.048608
p12,2010,1244207.08325
p12,2015,-667387.074093
p12,2020,-5708806.645553
p12,2023,-1469155.905988
p12,2026,-2603376.647899
p12,2029,-2363518.125743
