eall,r,t,dr,Value
CH4,p1,2020,2.5,352586800.04077595
CH4,p1,2020,2.0,433952984.66557044
CH4,p1,2020,1.5,623807415.4567574
CH4,p1,2023,2.5,138885476.8975696
CH4,p1,2023,2.0,172668430.73751897
CH4,p1,2023,1.5,241172753.80186075
CH4,p1,2026,2.5,441003252.66496104
CH4,p1,2026,2.0,552582388.881397
CH4,p1,2026,1.5,754487492.5111382
CH4,p1,2029,2.5,406516638.9937363
CH4,p1,2029,2.0,512564457.8616676
CH4,p1,2029,1.5,687101493.0818044
CH4,p1,2032,2.5,361798175.86207664
CH4,p1,2032,2.0,453125870.7398823
CH4,p1,2032,1.5,597142620.3548837
CH4,p1,2035,2.5,862015201.2308551
CH4,p1,2035,2.0,1068149271.0904074
CH4,p1,2035,1.5,1386720106.3278973
CH4,p1,2038,2.5,2301892334.2110367
CH4,p1,2038,2.0,2827521292.4167066
CH4,p1,2038,1.5,3625027297.9701366
CH4,p1,2041,2.5,2473378594.960036
CH4,p1,2041,2.0,3016098358.602346
CH4,p1,2041,1.5,3834626526.718617
CH4,p1,2044,2.5,2269490484.86452
CH4,p1,2044,2.0,2750442110.796074
CH4,p1,2044,1.5,3486899288.003766
CH4,p1,2047,2.5,1057731290.3946923
CH4,p1,2047,2.0,1275117782.5923746
CH4,p1,2047,1.5,1612553531.6753438
CH4,p1,2050,2.5,450941639.37310356
CH4,p1,2050,2.0,541129967.2477243
CH4,p1,2050,1.5,682854482.479271
CH4,p10,2020,2.5,3375589133.8879313
CH4,p10,2020,2.0,4154571241.7082233
CH4,p10,2020,1.5,5972196159.955571
CH4,p10,2023,2.5,5155525562.301437
CH4,p10,2023,2.0,6409572320.699084
CH4,p10,2023,1.5,8952500469.67209
CH4,p10,2026,2.5,4448581392.651923
CH4,p10,2026,2.0,5574126082.3590355
CH4,p10,2026,1.5,7610825997.067146
CH4,p10,2029,2.5,4923625372.464733
CH4,p10,2029,2.0,6208049382.672925
CH4,p10,2029,1.5,8321997232.8072405
CH4,p10,2032,2.5,6357579749.005535
CH4,p10,2032,2.0,7962405705.065185
CH4,p10,2032,1.5,10493092789.620785
CH4,p10,2035,2.5,6294127630.784313
CH4,p10,2035,2.0,7799245107.710998
CH4,p10,2035,1.5,10125335753.870419
CH4,p10,2038,2.5,6965866304.932525
CH4,p10,2038,2.0,8556497193.460423
CH4,p10,2038,1.5,10969868196.744133
CH4,p10,2041,2.5,6298465980.60032
CH4,p10,2041,2.0,7680503479.940678
CH4,p10,2041,1.5,9764887905.175316
CH4,p10,2044,2.5,5547219404.036485
CH4,p10,2044,2.0,6722789079.064085
CH4,p10,2044,1.5,8522880143.950096
CH4,p10,2047,2.5,5782586081.410613
CH4,p10,2047,2.0,6971031687.099298
CH4,p10,2047,1.5,8815783075.03397
CH4,p10,2050,2.5,5188960153.253081
CH4,p10,2050,2.0,6226752183.903698
CH4,p10,2050,1.5,7857568232.068952
CH4,p100,2020,2.5,615814941.2336011
CH4,p100,2020,2.0,757926081.5182782
CH4,p100,2020,1.5,1089518742.182525
CH4,p100,2023,2.5,654284379.6687385
CH4,p100,2023,2.0,813434634.182756
CH4,p100,2023,1.5,1136155983.613958
CH4,p100,2026,2.5,838592018.6879528
CH4,p100,2026,2.0,1050765902.9343022
CH4,p100,2026,1.5,1434699598.2372205
CH4,p100,2029,2.5,700923721.6955181
CH4,p100,2029,2.0,883773388.2247838
CH4,p100,2029,1.5,1184713464.3875332
CH4,p100,2032,2.5,633658021.9495009
CH4,p100,2032,2.0,793610532.3445206
CH4,p100,2032,1.5,1045843337.1982055
CH4,p100,2035,2.5,573683712.4526187
CH4,p100,2035,2.0,710868948.0391146
CH4,p100,2035,1.5,922882493.9455173
CH4,p100,2038,2.5,468161427.70312214
CH4,p100,2038,2.0,575064430.8794258
CH4,p100,2038,1.5,737262090.8710586
CH4,p100,2041,2.5,498276950.1855554
CH4,p100,2041,2.0,607611101.1255513
CH4,p100,2041,1.5,772508509.1006273
CH4,p100,2044,2.5,410165265.9786125
CH4,p100,2044,2.0,497087706.4509013
CH4,p100,2044,1.5,630187693.4240935
CH4,p101,2020,2.5,14823743259.395428
CH4,p101,2020,2.0,18244607088.48668
CH4,p101,2020,1.5,26226622689.699604
CH4,p101,2023,2.5,15484655385.76415
CH4,p101,2023,2.0,19251193182.301376
CH4,p101,2023,1.5,26888894825.27964
CH4,p101,2026,2.5,14621511344.04842
CH4,p101,2026,2.0,18320929876.87995
CH4,p101,2026,1.5,25015115793.43224
CH4,p101,2029,2.5,12640939289.35857
CH4,p101,2029,2.0,15938575625.712982
CH4,p101,2029,1.5,21365935429.29628
CH4,p101,2032,2.5,12834706129.2551
CH4,p101,2032,2.0,16074534860.911728
CH4,p101,2032,1.5,21183495553.13949
CH4,p101,2035,2.5,14304713045.53049
CH4,p101,2035,2.0,17725405295.548653
CH4,p101,2035,1.5,23011929681.940357
CH4,p101,2038,2.5,15433605771.542976
CH4,p101,2038,2.0,18957814963.470116
CH4,p101,2038,1.5,24304890978.80784
CH4,p101,2041,2.5,15462895109.89225
CH4,p101,2041,2.0,18855832526.09163
CH4,p101,2041,1.5,23973049612.818558
CH4,p101,2044,2.5,12502998540.07568
CH4,p101,2044,2.0,15152640614.793705
CH4,p101,2044,1.5,19209905041.70568
CH4,p101,2047,2.5,10599819398.581488
CH4,p101,2047,2.0,12778309888.474003
CH4,p101,2047,1.5,16159847365.322083
CH4,p101,2050,2.5,6545139694.599636
CH4,p101,2050,2.0,7854167633.519563
CH4,p101,2050,1.5,9911211537.536592
CH4,p102,2020,2.5,5944627169.319022
CH4,p102,2020,2.0,7316464208.392642
CH4,p102,2020,1.5,10517417299.564425
CH4,p102,2023,2.5,6591548531.615525
