eall,i,r,t,Value
CO2,biopower,p1,2010,841.765219
CO2,biopower,p3,2010,3427.716463
CO2,biopower,p3,2015,942.97896
CO2,biopower,p3,2020,942.97896
CO2,biopower,p3,2023,942.97896
CO2,biopower,p3,2026,942.97896
CO2,biopower,p5,2010,192.412962
CO2,biopower,p5,2015,148.368996
CO2,biopower,p5,2020,148.368996
CO2,biopower,p5,2023,148.368996
CO2,biopower,p5,2026,148.368996
CO2,biopower,p5,2029,148.368996
CO2,biopower,p5,2032,110.941384
CO2,biopower,p5,2035,128.997147
CO2,biopower,p5,2038,131.822256
CO2,biopower,p5,2041,126.661993
CO2,biopower,p5,2044,124.132117
CO2,biopower,p5,2047,121.682144
CO2,biopower,p5,2050,120.558933
CO2,biopower,p6,2010,1053.249637
CO2,biopower,p6,2015,1052.906098
CO2,biopower,p6,2020,1052.906098
CO2,biopower,p6,2023,1053.422813
CO2,biopower,p6,2026,1053.007866
CO2,biopower,p6,2029,1059.262427
CO2,biopower,p6,2032,333.019109
CO2,biopower,p6,2035,2168.284065
CO2,biopower,p6,2038,2066.758027
CO2,biopower,p6,2041,2191.951923
CO2,biopower,p6,2044,2152.202518
CO2,biopower,p6,2047,2039.352379
CO2,biopower,p6,2050,1634.494661
CO2,biopower,p8,2010,5621.866025
CO2,biopower,p8,2015,7861.940948
CO2,biopower,p8,2020,7861.940948
CO2,biopower,p8,2023,3507.919148
CO2,biopower,p8,2026,3423.955687
CO2,biopower,p8,2029,3000.059584
CO2,biopower,p8,2032,3118.167543
CO2,biopower,p9,2010,17641.255788
CO2,biopower,p9,2015,111683.105719
CO2,biopower,p9,2020,75341.978824
CO2,biopower,p9,2023,19590.500971
CO2,biopower,p9,2026,30090.008273
CO2,biopower,p9,2029,33549.742232
CO2,biopower,p9,2032,20627.500334
CO2,biopower,p9,2035,11181.770357
CO2,biopower,p9,2038,9525.154754
CO2,biopower,p9,2041,10647.392534
CO2,biopower,p9,2044,10234.434712
CO2,biopower,p9,2047,10274.525608
CO2,biopower,p9,2050,9974.005983
CO2,biopower,p10,2010,14881.258427
CO2,biopower,p10,2015,40564.410687
CO2,biopower,p10,2020,45640.103729
CO2,biopower,p10,2023,18418.399077
CO2,biopower,p10,2026,24789.044285
CO2,biopower,p10,2029,28158.916006
CO2,biopower,p10,2032,22946.72866
CO2,biopower,p10,2035,17477.316663
CO2,biopower,p10,2038,8409.908292
CO2,biopower,p10,2041,8344.206992
CO2,biopower,p10,2044,8048.541965
CO2,biopower,p10,2047,7919.730209
CO2,biopower,p10,2050,7750.871302
CO2,biopower,p14,2010,157.05769
CO2,biopower,p14,2015,157.05769
CO2,biopower,p14,2020,157.05769
CO2,biopower,p14,2023,157.05769
CO2,biopower,p14,2026,157.05769
CO2,biopower,p15,2010,164.078654
