,,damage_$,damage_$,damage_$,damage_$,damage_$,damage_$,mortality,mortality,mortality,mortality,mortality,mortality
,,count,mean,std,min,50%,max,count,mean,std,min,50%,max
state_abbr,year,,,,,,,,,,,,
AL,2010,6.0,2485324857.0433335,1297639634.2279654,1183234008.73,2380124987.625,4419845250.559999,6.0,358.4907666666666,187.17547286969696,170.6732,343.31645000000003,637.5318
AL,2015,6.0,510376633.8883333,273648605.7589755,237628810.95,487739032.61,937688605.38,6.0,73.61831666666666,39.471896841596894,34.2763,70.35305,135.2551
AL,2020,6.0,455372836.7633333,259188434.0208955,201715046.04,432206628.275,889415536.87,6.0,65.68435,37.38611440386658,29.095999999999997,62.34275,128.292
AL,2023,6.0,1169842884.365,651163556.169773,526576281.89000005,1111563428.72,2235935277.59,6.0,168.74165000000002,93.92580786905695,75.9549,160.3352,322.5181
AL,2026,6.0,873279879.62,465042904.77900136,408354162.02,834291174.655,1591507513.66,6.0,125.9645,67.0791745013607,58.90219999999999,120.34065000000001,229.5638
AL,2029,6.0,788815138.7616667,419936998.86558384,368950411.48,753617004.635,1437062760.1,6.0,113.78111666666668,60.572960430918904,53.2186,108.70405,207.2863
AL,2032,6.0,771570159.535,400843398.0142464,369883395.54999995,740492693.0350001,1363447520.43,6.0,111.29354999999998,57.81883810851789,53.3531,106.81075,196.6678
AL,2035,6.0,124150179.75333333,66358916.00173127,57826094.55,118502594.51,227223045.7,6.0,17.907799999999998,9.571862796342202,8.341000000000001,17.0931,32.7754
AL,2038,6.0,255624299.90333334,137060208.7052886,118882918.65,244104063.54000002,469597568.45000005,6.0,36.872049999999994,19.770002108320575,17.148,35.210300000000004,67.7362
AL,2041,6.0,165674636.89,90072274.51786275,75911301.32,157643878.245,308975932.14,6.0,23.8974,12.99233159906258,10.9497,22.738999999999997,44.5677
AL,2044,6.0,144797602.62333333,76664701.26778416,67777195.49,138040494.755,261932355.3,6.0,20.886016666666666,11.05832434275947,9.776299999999999,19.91135,37.7818
AL,2047,6.0,130951900.73,69296879.10418461,61824083.18000001,125535439.36000001,236968917.13,6.0,18.8889,9.99556045412162,8.9178,18.107549999999996,34.1811
