r,t,Value
p1,2010,41550572.049103
p1,2015,36206319.841729
p1,2020,31651333.145698
p1,2023,37785589.135788
p1,2026,39374758.066658
p1,2029,42935109.072664
p1,2032,44748217.209648
p1,2035,39923024.197718
p1,2038,43411784.27709
p1,2041,42761513.592715
p1,2044,44864799.480026
p1,2047,42556509.593974
p1,2050,41972217.460974
p2,2010,-8456452.982295
p2,2015,868940.454995
p2,2020,-7909469.543384
p2,2023,-4641326.045438
p2,2026,-5379720.325774
p2,2029,-5993999.071546
p2,2032,-11075676.140132
p2,2035,-17173645.049448
p2,2038,-15701079.704928
p2,2041,-19575109.232981
p2,2044,-18602009.731054
p2,2047,-22493385.105676
p2,2050,-20697806.551109
p3,2010,7958131.463475
p3,2015,4601346.366927
p3,2020,4005171.938891
p3,2023,3890340.8859
p3,2026,5086590.892415
p3,2029,5946295.315036
p3,2032,6962767.775985
p3,2035,7560790.391006
p3,2038,8449369.709636
p3,2041,7611942.447855
p3,2044,7616153.531503
p3,2047,7070990.581707
p3,2050,5177781.726611
p4,2010,-49256252.282367
p4,2015,-56707927.412528
p4,2020,-65791099.16611
p4,2023,-65580186.061476
p4,2026,-65537590.854042
p4,2029,-65878747.067898
p4,2032,-62961675.049517
p4,2035,-59109014.439595
p4,2038,-58975612.301656
p4,2041,-57317072.197655
p4,2044,-57600479.511375
p4,2047,-57251985.133708
p4,2050,-61606079.106161
p5,2010,-7769566.862933
p5,2015,-4344819.916473
p5,2020,-13684126.0545
p5,2023,-6760049.392643
p5,2026,-5281331.526192
p5,2029,1093551.324723
p5,2032,8799518.2054
p5,2035,16209275.755169
p5,2038,19591129.257997
p5,2041,21566726.307097
p5,2044,19574506.465548
p5,2047,21029381.808815
p5,2050,25480170.947866
p6,2010,5579303.843424
p6,2015,7299361.890205
p6,2020,6246729.744115
p6,2023,7727334.174776
p6,2026,9835446.488817
p6,2029,13142529.996636
p6,2032,11459002.523742
p6,2035,12980110.606327
p6,2038,14279865.404277
p6,2041,14942235.10985
p6,2044,15042380.101546
p6,2047,16384686.273587
p6,2050,17940791.510362
p7,2010,121018.8315
p7,2015,258743.164428
p7,2020,-564575.454843
p7,2023,-1452187.204982
p7,2026,-1046916.520634
p7,2029,-9130053.066883
p7,2032,-13014125.821119
p7,2035,-14473775.440247
p7,2038,-19442169.532842
p7,2041,-22129547.306903
p7,2044,-24148157.407289
p7,2047,-26588579.704798
p7,2050,-29322460.351171
p8,2010,905661.020323
p8,2015,944671.872712
p8,2020,796575.469912
p8,2023,969338.822205
p8,2026,42521.195791
p8,2029,-871052.934146
p8,2032,-641563.724357
p8,2035,-415605.521592
p8,2038,-1009826.345641
p8,2041,-1186867.673386
p8,2044,-1147600.836844
p8,2047,-1422577.825733
p8,2050,-1765433.027963
p9,2010,5273364.300261
p9,2015,2909456.791147
p9,2020,23810852.096961
p9,2023,12798062.682539
p9,2026,14161204.271423
p9,2029,-278143.277036
p9,2032,14846725.356441
p9,2035,13069319.692776
p9,2038,9545771.009248
p9,2041,15866944.638243
p9,2044,12534854.844483
p9,2047,20691034.500864
p9,2050,22803576.176681
p10,2010,40699823.258776
p10,2015,9728529.659136
p10,2020,48434521.035466
p10,2023,31323239.331298
p10,2026,33156516.977214
p10,2029,33220721.816167
p10,2032,12958595.427891
p10,2035,18990071.536758
p10,2038,11845154.284592
p10,2041,20811180.045245
p10,2044,33551139.933856
p10,2047,42884875.427189
p10,2050,49405722.388468
p11,2010,8463874.796275
p11,2015,711909.140051
p11,2020,13166147.188904
p11,2023,10417593.431036
p11,2026,10377920.769622
p11,2029,7950022.363595
p11,2032,4848111.4965
p11,2035,5259760.635587
p11,2038,7223829.99156
p11,2041,9428565.258208
p11,2044,7252356.255112
p11,2047,8948428.855354
p11,2050,10230450.088785
p12,2010,1245797.598216
p12,2015,-685227.411967
p12,2020,-5762052.136648
p12,2023,-1514346.581184
p12,2026,-3633150.890125
p12,2029,-73511.025092
p12,2032,-777906.235392
p12,2035,-1691985.955881
p12,2038,-752949.51014
p12,2041,-1156550.335568
p12,2044,-1199874.124214
p12,2047,-858594.958863
p12,2050,-2297864.587096
p13,2010,-9403384.761012
p13,2015,-10228660.111148
p13,2020,-14927728.297974
p13,2023,-5140771.782595
p13,2026,-7298155.774182
p13,2029,-6170693.875156
p13,2032,-2157270.80654
p13,2035,836472.362365
p13,2038,1349736.834819
p13,2041,-2189501.18599
p13,2044,-5820606.625041
p13,2047,-8184275.098983
p13,2050,-14741349.097576
p14,2010,2218172.719349
p14,2015,1703249.05548
p14,2020,1327695.259999
p14,2023,2758978.271863
p14,2026,2107555.4669
p14,2029,2807287.582355
p14,2032,3420598.813589
p14,2035,3722862.253003
p14,2038,4065645.10652
p14,2041,4412628.935605
p14,2044,4711857.133507
p14,2047,5109597.247221
p14,2050,5412430.533236
p15,2010,7790123.2017
p15,2015,6135591.285692
p15,2020,5113012.877527
p15,2023,6600715.732778
p15,2026,6660129.642843
p15,2029,7689157.343924
p15,2032,7200738.600404
p15,2035,5197365.941013
p15,2038,5592786.031926
p15,2041,2300576.183689
p15,2044,1015494.633466
p15,2047,-2297554.982361
p15,2050,-5005693.849171
p16,2010,2853773.166727
p16,2015,2006114.275135
p16,2020,1920304.865535
p16,2023,1226063.473795
p16,2026,1302931.557095
p16,2029,-3933789.970177
p16,2032,-3499010.741789
p16,2035,-3959364.263153
p16,2038,-3723065.627096
p16,2041,-5163279.491274
p16,2044,-5614003.972709
p16,2047,-5388043.052864
p16,2050,-4740403.785744
p17,2010,1568578.807435
p17,2015,1275284.0637
p17,2020,843003.969957
p17,2023,1172385.523953
p17,2026,1565576.545122
p17,2029,1247756.79537
p17,2032,1865359.340848
p17,2035,2452588.570449
p17,2038,3146850.954798
p17,2041,4288770.300411
p17,2044,4743109.110981
p17,2047,4900341.662376
p17,2050,5182253.048192
p18,2010,-92482.029389
p18,2015,-396640.33464
p18,2020,-952330.975572
p18,2023,-2258868.550864
p18,2026,-2969181.203274
p18,2029,-7353913.453769
p18,2032,-7392440.35812
p18,2035,-10933079.608068
p18,2038,-10906340.555017
p18,2041,-11568032.133305
p18,2044,-11516504.414751
p18,2047,-11536294.770782
p18,2050,-11874752.386745
p20,2010,-13651419.769374
p20,2015,-536447.041336
p20,2020,232236.937979
p20,2023,-4748398.183085
p20,2026,-5887686.492304
p20,2029,-6365343.748956
p20,2032,-10819469.540616
p20,2035,-12596439.483052
p20,2038,-13071199.296895
p20,2041,-13779851.324645
p20,2044,-14143662.822992
p20,2047,-14152250.880969
p20,2050,-14027824.731242
p21,2010,-9893257.759531
p21,2015,-177443.737573
p21,2020,-364802.441823
p21,2023,-7880709.285598
p21,2026,-6659268.534144
p21,2029,-3832034.991354
p21,2032,-7256509.196204
p21,2035,-13059781.534662
p21,2038,-14691280.513375
p21,2041,-13892473.188489
p21,2044,-13009296.628428
p21,2047,-12901233.355623
p21,2050,-14157925.09605
p22,2010,1508273.499
p22,2015,1492247.472
p22,2020,1352162.886
p22,2023,1464885.966
p22,2026,1600357.581
p22,2029,1759725.3198
p22,2032,725271.935781
p22,2035,676430.201831
p22,2038,701370.882579
p22,2041,732015.8145
p22,2044,768137.867916
p22,2047,888440.32673
p22,2050,1002325.415051
p23,2010,-1928335.547116
p23,2015,492006.765
p23,2020,386671.5066
p23,2023,481100.8308
p23,2026,565686.9066
p23,2029,-1039692.939406
p23,2032,-2010032.929741
p23,2035,-3576945.371233
p23,2038,-3778532.11961
p23,2041,-4063219.788171
p23,2044,-4611735.526746
p23,2047,-5869659.754854
