eall,r,t,dr,Value
CH4,p1,2023,2.5,140145299.55118436
CH4,p1,2023,2.0,179376223.90551782
CH4,p1,2023,1.5,244218850.13976282
CH4,p1,2024,2.5,143014504.58911896
CH4,p1,2024,2.0,182990999.9663924
CH4,p1,2024,1.5,248680076.87740502
CH4,p1,2025,2.5,465555663.29050106
CH4,p1,2025,2.0,595831158.9698768
CH4,p1,2025,1.5,809295471.5040145
CH4,p1,2026,2.5,473339919.66397303
CH4,p1,2026,2.0,606071781.6488556
CH4,p1,2026,1.5,822388727.3851069
CH4,p1,2027,2.5,480467504.600256
CH4,p1,2027,2.0,615398921.553653
CH4,p1,2027,1.5,835205253.3606465
CH4,p1,2028,2.5,248966560.94150358
CH4,p1,2028,2.0,319233599.75124985
CH4,p1,2028,1.5,433130269.88889915
CH4,p1,2029,2.5,251845081.0520746
CH4,p1,2029,2.0,323397322.9117292
CH4,p1,2029,1.5,439121002.7384546
CH4,p1,2030,2.5,254567390.85815915
CH4,p1,2030,2.0,327411278.9154112
CH4,p1,2030,1.5,444699746.3216089
CH4,p1,2031,2.5,149307132.51597685
CH4,p1,2031,2.0,192168271.65962595
CH4,p1,2031,1.5,261197488.24539647
CH4,p1,2032,2.5,151340774.1688711
CH4,p1,2032,2.0,195058588.99854934
CH4,p1,2032,1.5,265285769.38438153
CH4,p1,2033,2.5,153115408.0123147
CH4,p1,2033,2.0,197761678.10209033
CH4,p1,2033,1.5,269118635.9263052
CH4,p1,2034,2.5,95939540.27190696
CH4,p1,2034,2.0,124142640.29104982
CH4,p1,2034,1.5,169125770.1390305
CH4,p1,2035,2.5,96866113.01311544
CH4,p1,2035,2.0,125597485.19343115
CH4,p1,2035,1.5,171337814.56226563
CH4,p1,2036,2.5,97690414.18677422
CH4,p1,2036,2.0,126904221.73405908
CH4,p1,2036,1.5,173447541.48110244
CH4,p1,2037,2.5,119757312.26897879
CH4,p1,2037,2.0,156005608.75704277
CH4,p1,2037,1.5,213589693.6530512
CH4,p1,2038,2.5,120528962.73740758
CH4,p1,2038,2.0,157407831.17582646
CH4,p1,2038,1.5,215863729.80031875
CH4,p1,2039,2.5,121191730.01090476
CH4,p1,2039,2.0,158695085.3918139
CH4,p1,2039,1.5,218077408.10263634
CH4,p1,2040,2.5,335215324.6745337
CH4,p1,2040,2.0,440039296.4908169
CH4,p1,2040,1.5,606217075.963947
CH4,p1,2041,2.5,337206367.2954997
CH4,p1,2041,2.0,443906212.83372396
CH4,p1,2041,1.5,612700837.8053199
CH4,p1,2042,2.5,339018955.581174
CH4,p1,2042,2.0,447581253.3757025
CH4,p1,2042,1.5,619001438.4734414
CH4,p1,2043,2.5,609827435.3061485
CH4,p1,2043,2.0,807571513.9780977
CH4,p1,2043,1.5,1119318299.329989
CH4,p1,2044,2.5,612067319.823595
CH4,p1,2044,2.0,812829036.9485818
CH4,p1,2044,1.5,1129231531.4509914
CH4,p1,2045,2.5,613638737.8462487
CH4,p1,2045,2.0,817569897.5365332
CH4,p1,2045,1.5,1138607303.7593958
CH4,p1,2046,2.5,1295214399.4136055
CH4,p1,2046,2.0,1730879065.8739955
CH4,p1,2046,1.5,2417248808.6237698
CH4,p1,2047,2.5,1296700899.8378048
CH4,p1,2047,2.0,1738801939.38391
CH4,p1,2047,1.5,2434810527.1065164
CH4,p1,2048,2.5,1297728556.4063034
CH4,p1,2048,2.0,1745748645.2029805
CH4,p1,2048,1.5,2451325255.553359
CH4,p1,2049,2.5,1790134350.2381914
CH4,p1,2049,2.0,2416748365.019435
CH4,p1,2049,1.5,3403264402.140688
CH4,p1,2050,2.5,1789352422.9036834
CH4,p1,2050,2.0,2423783121.9889517
CH4,p1,2050,1.5,3423921846.972183
CH4,p10,2023,2.5,5140561528.867633
CH4,p10,2023,2.0,6579560775.532688
CH4,p10,2023,1.5,8958003084.464811
CH4,p10,2024,2.5,5245804623.596279
CH4,p10,2024,2.0,6712151585.310201
CH4,p10,2024,1.5,9121641897.985657
CH4,p10,2025,2.5,3671708994.2243648
CH4,p10,2025,2.0,4699155864.556016
CH4,p10,2025,1.5,6382689968.164257
CH4,p10,2026,2.5,3733101275.3058877
CH4,p10,2026,2.0,4779920828.580095
CH4,p10,2026,1.5,6485952862.750271
CH4,p10,2027,2.5,3789314570.044219
CH4,p10,2027,2.0,4853481406.141934
CH4,p10,2027,1.5,6587033264.965751
CH4,p10,2028,2.5,4645114554.665622
CH4,p10,2028,2.0,5956127742.356702
CH4,p10,2028,1.5,8081164446.818595
CH4,p10,2029,2.5,4698820785.779335
CH4,p10,2029,2.0,6033812757.489658
CH4,p10,2029,1.5,8192937048.919651
CH4,p10,2030,2.5,4749612509.9961605
CH4,p10,2030,2.0,6108703479.295755
CH4,p10,2030,1.5,8297022926.624917
