i,r,t,Value
battery_4,p6,2026,2.3
battery_4,p6,2029,2.3
battery_4,p6,2032,2.3
battery_4,p6,2035,2.3
battery_4,p6,2038,2.3
battery_4,p7,2026,0.2
battery_4,p7,2029,0.2
battery_4,p7,2032,0.2
battery_4,p7,2035,0.2
battery_4,p7,2038,0.2
battery_4,p7,2041,2.5
battery_4,p7,2044,782.561601
battery_4,p7,2047,1123.580312
battery_4,p7,2050,1123.580312
battery_4,p8,2029,150.0
battery_4,p8,2032,150.0
battery_4,p8,2035,150.0
battery_4,p8,2038,150.0
battery_4,p8,2041,195.501333
battery_4,p8,2044,115.940648
battery_4,p8,2047,115.940648
battery_4,p8,2050,115.940648
battery_4,p9,2015,6.0
battery_4,p9,2020,7.0
battery_4,p9,2023,2121.187467
battery_4,p9,2026,2323.187467
battery_4,p9,2029,2323.187467
battery_4,p9,2032,2317.187467
battery_4,p9,2035,2316.187467
battery_4,p9,2038,1352.97
battery_4,p9,2041,1756.587076
battery_4,p9,2044,3817.80911
battery_4,p9,2047,3817.80911
battery_4,p9,2050,3817.80911
battery_4,p10,2015,3.0
battery_4,p10,2020,145.2
battery_4,p10,2023,4998.554083
battery_4,p10,2026,7076.054083
battery_4,p10,2029,7076.054083
battery_4,p10,2032,7073.054083
battery_4,p10,2035,6930.854083
battery_4,p10,2038,2077.5
battery_4,p11,2015,4.0
battery_4,p11,2020,335.5
battery_4,p11,2023,542.5
battery_4,p11,2026,849.6
battery_4,p11,2029,849.6
battery_4,p11,2032,845.6
battery_4,p11,2035,514.1
battery_4,p11,2038,307.1
battery_4,p11,2044,1710.960065
battery_4,p11,2047,1710.960065
battery_4,p11,2050,1710.960065
battery_4,p13,2023,48.8
battery_4,p13,2026,600.0
battery_4,p13,2029,2358.0
battery_4,p13,2032,2358.0
battery_4,p13,2035,2358.0
battery_4,p13,2038,2309.2
battery_4,p13,2041,1758.0
battery_4,p14,2050,82.363718
battery_4,p15,2023,129.0
battery_4,p15,2026,129.0
battery_4,p15,2029,129.0
battery_4,p15,2032,129.0
battery_4,p15,2035,129.0
battery_4,p16,2023,2.0
battery_4,p16,2026,2.0
battery_4,p16,2029,2.0
battery_4,p16,2032,2.0
battery_4,p16,2035,2.0
battery_4,p18,2026,100.0
battery_4,p18,2029,100.0
battery_4,p18,2032,100.0
battery_4,p18,2035,100.0
battery_4,p18,2038,100.0
battery_4,p21,2044,33.412217
battery_4,p21,2047,33.412217
battery_4,p21,2050,33.412217
battery_4,p25,2026,62.409295
battery_4,p25,2029,362.409295
battery_4,p25,2032,362.409295
battery_4,p25,2035,362.409295
battery_4,p25,2038,362.409295
battery_4,p25,2041,1638.629969
battery_4,p25,2044,1338.629969
battery_4,p25,2047,1338.629969
battery_4,p25,2050,1338.629969
battery_4,p26,2041,769.758699
battery_4,p26,2044,769.758699
battery_4,p26,2047,769.758699
battery_4,p26,2050,769.758699
battery_4,p27,2044,256.368384
battery_4,p27,2047,256.368384
battery_4,p27,2050,256.368384
battery_4,p28,2023,936.855138
battery_4,p28,2026,1186.855138
battery_4,p28,2029,1751.571334
battery_4,p28,2032,1751.571334
battery_4,p28,2035,1751.571334
battery_4,p28,2038,814.716196
battery_4,p28,2041,564.716196
battery_4,p28,2044,272.417115
battery_4,p28,2047,272.417115
battery_4,p28,2050,272.417115
battery_4,p30,2029,1493.283804
battery_4,p30,2032,1493.283804
battery_4,p30,2035,1493.283804
battery_4,p30,2038,1531.268838
battery_4,p30,2041,1531.268838
battery_4,p30,2044,287.052885
battery_4,p30,2047,287.052885
battery_4,p30,2050,287.052885
battery_4,p31,2023,74.0
battery_4,p31,2026,224.0
battery_4,p31,2029,370.403813
battery_4,p31,2032,370.403813
battery_4,p31,2035,370.403813
battery_4,p31,2038,296.403813
battery_4,p31,2041,146.403813
battery_4,p31,2047,121.692934
battery_4,p31,2050,121.692934
battery_4,p33,2023,5.0
battery_4,p33,2026,5.0
battery_4,p33,2029,5.0
battery_4,p33,2032,5.0
battery_4,p33,2035,5.0
battery_4,p34,2023,225.0
battery_4,p34,2026,225.0
battery_4,p34,2029,225.0
battery_4,p34,2032,225.0
battery_4,p34,2035,225.0
battery_4,p34,2041,1703.32
battery_4,p34,2044,1703.32
battery_4,p34,2047,1703.32
battery_4,p34,2050,1703.32
battery_4,p39,2032,91.221604
battery_4,p39,2035,91.221604
battery_4,p39,2038,463.074989
battery_4,p39,2041,463.074989
battery_4,p39,2044,463.074989
battery_4,p39,2047,371.853385
battery_4,p39,2050,371.853385
battery_4,p40,2023,1.0
battery_4,p40,2026,1.0
battery_4,p40,2029,1.0
battery_4,p40,2032,1.0
battery_4,p40,2035,1.0
battery_4,p40,2038,13.540293
battery_4,p40,2041,13.540293
battery_4,p40,2044,13.540293
battery_4,p40,2047,13.540293
battery_4,p40,2050,13.540293
battery_4,p41,2038,573.932289
battery_4,p41,2041,573.932289
battery_4,p41,2044,573.932289
battery_4,p41,2047,573.932289
battery_4,p41,2050,573.932289
battery_4,p42,2032,3.240643
battery_4,p42,2035,3.240643
battery_4,p42,2038,3.240643
battery_4,p42,2041,3.240643
battery_4,p42,2044,3.240643
battery_4,p43,2023,0.768718
battery_4,p43,2026,0.768718
battery_4,p43,2029,0.768718
battery_4,p43,2032,15.483014
battery_4,p43,2035,15.483014
battery_4,p43,2038,14.714296
battery_4,p43,2041,14.714296
battery_4,p43,2044,14.714296
battery_4,p44,2032,1280.177423
battery_4,p44,2035,1280.177423
battery_4,p44,2038,1903.157806
battery_4,p44,2041,1903.157806
battery_4,p44,2044,1903.157806
battery_4,p44,2047,622.980383
battery_4,p44,2050,622.980383
battery_4,p45,2032,568.185477
battery_4,p45,2035,568.185477
battery_4,p45,2038,908.364906
battery_4,p45,2041,908.364906
battery_4,p45,2044,908.364906
battery_4,p45,2047,340.179429
battery_4,p45,2050,340.179429
battery_4,p46,2032,60.577462
battery_4,p46,2035,60.577462
battery_4,p46,2038,60.577462
battery_4,p46,2041,60.577462
battery_4,p46,2044,60.577462
battery_4,p47,2032,297.548903
battery_4,p47,2035,325.136724
battery_4,p47,2038,1864.753156
battery_4,p47,2041,1864.753156
battery_4,p47,2044,1864.753156
battery_4,p47,2047,1567.204253
battery_4,p47,2050,1539.616432
battery_4,p48,2026,200.0
battery_4,p48,2029,200.0
battery_4,p48,2032,724.488498
battery_4,p48,2035,724.488498
battery_4,p48,2038,1154.96454
battery_4,p48,2041,954.96454
battery_4,p48,2044,954.96454
battery_4,p48,2047,430.476042
battery_4,p48,2050,693.540836
battery_4,p49,2038,242.304083
battery_4,p49,2041,242.304083
battery_4,p49,2044,242.304083
battery_4,p49,2047,242.304083
battery_4,p49,2050,242.304083
battery_4,p52,2032,189.580994
battery_4,p52,2035,189.580994
battery_4,p52,2038,584.372615
battery_4,p52,2041,584.372615
battery_4,p52,2044,584.372615
battery_4,p52,2047,394.791621
battery_4,p52,2050,394.791621
battery_4,p54,2038,1080.469216
battery_4,p54,2041,1080.469216
battery_4,p54,2044,1080.469216
battery_4,p54,2047,1080.469216
battery_4,p54,2050,1080.469216
battery_4,p57,2035,291.443999
battery_4,p57,2038,1570.591241
battery_4,p57,2041,1570.591241
battery_4,p57,2044,1570.591241
battery_4,p57,2047,1570.591241
battery_4,p57,2050,1279.147242
battery_4,p58,2029,88.037685
battery_4,p58,2032,88.037685
battery_4,p58,2035,88.037685
battery_4,p58,2038,2641.820667
battery_4,p58,2041,2641.820667
battery_4,p58,2044,3212.947001
battery_4,p58,2047,3212.947001
battery_4,p58,2050,3212.947001
battery_4,p59,2032,376.563181
battery_4,p59,2035,447.222292
battery_4,p59,2038,464.801153
battery_4,p59,2041,464.801153
battery_4,p59,2044,464.801153
battery_4,p59,2047,88.237971
battery_4,p59,2050,17.57886
battery_4,p60,2023,50.0
battery_4,p60,2026,250.0
battery_4,p60,2029,250.0
battery_4,p60,2032,250.0
battery_4,p60,2035,250.0
battery_4,p60,2038,200.0
battery_4,p60,2047,544.58838
battery_4,p60,2050,988.466801
battery_4,p61,2023,306.3
battery_4,p61,2026,821.7
battery_4,p61,2029,821.7
battery_4,p61,2032,821.7
battery_4,p61,2035,821.7
battery_4,p61,2038,515.4
battery_4,p62,2023,608.5
battery_4,p62,2026,608.5
battery_4,p62,2029,608.5
battery_4,p62,2032,608.5
battery_4,p62,2035,608.5
battery_4,p62,2050,412.212906
battery_4,p63,2023,791.17181
battery_4,p63,2026,982.97181
battery_4,p63,2029,982.97181
battery_4,p63,2032,982.97181
battery_4,p63,2035,982.97181
battery_4,p63,2038,191.8
battery_4,p63,2044,5946.45394
battery_4,p63,2047,6372.628567
battery_4,p63,2050,7960.835915
battery_4,p64,2023,419.9
battery_4,p64,2026,599.9
battery_4,p64,2029,2120.565593
battery_4,p64,2032,2120.565593
battery_4,p64,2035,2120.565593
battery_4,p64,2038,1700.665593
battery_4,p64,2041,1520.665593
battery_4,p64,2044,999.609238
battery_4,p64,2047,999.609238
battery_4,p64,2050,999.609238
battery_4,p65,2023,413.6
battery_4,p65,2026,573.5
battery_4,p65,2029,573.5
battery_4,p65,2032,573.5
battery_4,p65,2035,573.5
battery_4,p65,2038,159.9
battery_4,p65,2044,2512.264484
battery_4,p65,2047,2682.47646
battery_4,p65,2050,3487.175463
battery_4,p66,2032,743.802088
battery_4,p66,2035,743.802088
battery_4,p66,2038,743.802088
battery_4,p66,2041,743.802088
battery_4,p66,2044,2717.009533
battery_4,p66,2047,1973.207446
battery_4,p66,2050,1973.207446
battery_4,p67,2023,250.0
battery_4,p67,2026,400.0
battery_4,p67,2029,4785.974336
battery_4,p67,2032,4785.974336
battery_4,p67,2035,4785.974336
battery_4,p67,2038,4753.857671
battery_4,p67,2041,5776.315036
battery_4,p67,2044,5790.031637
battery_4,p67,2047,5790.031637
battery_4,p67,2050,5790.031637
battery_4,p68,2029,210.0
battery_4,p68,2032,210.0
battery_4,p68,2035,210.0
battery_4,p68,2038,210.0
battery_4,p68,2041,210.0
battery_4,p69,2029,65.0
battery_4,p69,2032,761.062388
battery_4,p69,2035,761.062388
battery_4,p69,2038,761.062388
battery_4,p69,2041,761.062388
battery_4,p69,2044,696.062388
battery_4,p69,2047,258.297432
battery_4,p69,2050,258.297432
battery_4,p70,2023,5.0
battery_4,p70,2026,5.0
battery_4,p70,2029,150.0
battery_4,p70,2032,301.752135
battery_4,p70,2035,301.752135
battery_4,p70,2038,307.542286
battery_4,p70,2041,307.542286
battery_4,p70,2044,162.542286
battery_4,p70,2047,297.806198
battery_4,p70,2050,297.806198
battery_4,p71,2032,193.034156
battery_4,p71,2035,193.034156
battery_4,p71,2038,1391.912602
battery_4,p71,2041,1391.912602
battery_4,p71,2044,1391.912602
battery_4,p71,2047,1198.878445
battery_4,p71,2050,1198.878445
battery_4,p72,2029,95.643171
battery_4,p72,2032,95.643171
battery_4,p72,2035,95.643171
battery_4,p72,2038,1243.931037
battery_4,p72,2041,1243.931037
battery_4,p72,2044,1148.287866
battery_4,p72,2047,1148.287866
battery_4,p72,2050,1148.287866
battery_4,p74,2026,986.75575
battery_4,p74,2029,986.75575
battery_4,p74,2032,986.75575
battery_4,p74,2035,986.75575
battery_4,p74,2038,986.75575
battery_4,p74,2044,204.026911
battery_4,p74,2047,204.026911
