eall,i,r,t,Value
CO2,biopower,p1,2010,841.765219
CO2,biopower,p3,2010,3389.606507
CO2,biopower,p3,2015,942.97896
CO2,biopower,p3,2020,942.97896
CO2,biopower,p3,2023,942.97896
CO2,biopower,p3,2026,942.97896
CO2,biopower,p5,2010,192.412962
CO2,biopower,p5,2015,148.368996
CO2,biopower,p5,2020,148.368996
CO2,biopower,p5,2023,148.368996
CO2,biopower,p5,2026,148.368996
CO2,biopower,p5,2029,148.368996
CO2,biopower,p5,2032,19.163041
CO2,biopower,p5,2035,127.58727
CO2,biopower,p5,2038,117.410053
CO2,biopower,p5,2041,117.700781
CO2,biopower,p5,2044,111.148314
CO2,biopower,p5,2047,103.721628
CO2,biopower,p5,2050,94.744696
CO2,biopower,p6,2010,1053.249637
CO2,biopower,p6,2015,1052.906098
CO2,biopower,p6,2020,1052.926852
CO2,biopower,p6,2023,1053.186102
CO2,biopower,p6,2026,1053.0461
CO2,biopower,p6,2029,1061.178163
CO2,biopower,p6,2032,333.019109
CO2,biopower,p6,2035,384.055428
CO2,biopower,p6,2038,333.019109
CO2,biopower,p6,2041,1006.137784
CO2,biopower,p6,2044,1083.393655
CO2,biopower,p6,2047,1360.52752
CO2,biopower,p6,2050,1395.665598
CO2,biopower,p8,2010,5998.084822
CO2,biopower,p8,2015,7861.998567
CO2,biopower,p8,2020,7861.998567
CO2,biopower,p8,2023,3758.047632
CO2,biopower,p8,2026,3351.084646
CO2,biopower,p8,2029,817.339613
CO2,biopower,p8,2032,921.122234
CO2,biopower,p9,2010,16456.667655
CO2,biopower,p9,2015,111685.087488
CO2,biopower,p9,2020,77958.886233
CO2,biopower,p9,2023,21461.473012
CO2,biopower,p9,2026,31057.711082
CO2,biopower,p9,2029,22445.07863
CO2,biopower,p9,2032,12150.57589
CO2,biopower,p9,2035,6883.432609
CO2,biopower,p9,2038,6238.503458
CO2,biopower,p9,2041,8099.941394
CO2,biopower,p9,2044,8045.615235
CO2,biopower,p9,2047,8372.775871
CO2,biopower,p9,2050,8199.144241
CO2,biopower,p10,2010,15727.75436
CO2,biopower,p10,2015,40564.703864
CO2,biopower,p10,2020,45928.513877
CO2,biopower,p10,2023,18635.878108
CO2,biopower,p10,2026,25074.169175
CO2,biopower,p10,2029,19189.685659
CO2,biopower,p10,2032,13034.547745
CO2,biopower,p10,2035,16819.102186
CO2,biopower,p10,2038,5642.937434
CO2,biopower,p10,2041,7553.401318
CO2,biopower,p10,2044,7147.208458
CO2,biopower,p10,2047,6648.663444
CO2,biopower,p10,2050,6635.108966
CO2,biopower,p14,2010,157.05769
CO2,biopower,p14,2015,157.05769
CO2,biopower,p14,2020,157.05769
CO2,biopower,p14,2023,157.05769
CO2,biopower,p14,2026,157.05769
CO2,biopower,p15,2010,164.078654
CO2,biopower,p15,2015,879.439999
CO2,biopower,p15,2020,493.762727
CO2,biopower,p15,2023,1856.637771
CO2,biopower,p15,2026,897.162939
CO2,biopower,p15,2029,347.358002
CO2,biopower,p15,2032,347.358002
CO2,biopower,p15,2035,2076.201158
CO2,biopower,p15,2038,1869.243063
CO2,biopower,p15,2041,2178.520658
CO2,biopower,p15,2044,1934.636426
CO2,biopower,p15,2047,1705.83938
CO2,biopower,p15,2050,1712.600962
CO2,biopower,p16,2015,254.423993
CO2,biopower,p16,2020,89.849432
CO2,biopower,p16,2023,525.925732
CO2,biopower,p16,2026,283.715951
CO2,biopower,p16,2029,87.27588
CO2,biopower,p16,2032,87.27588
CO2,biopower,p16,2035,534.086495
CO2,biopower,p16,2038,496.804588
CO2,biopower,p16,2041,563.446059
CO2,biopower,p16,2044,508.218593
CO2,biopower,p16,2047,427.943296
CO2,biopower,p16,2050,424.27184
CO2,biopower,p25,2015,52.365528
CO2,biopower,p25,2020,52.365528
CO2,biopower,p25,2023,450.624349
CO2,biopower,p25,2026,373.314364
CO2,biopower,p25,2029,52.365528
CO2,biopower,p25,2032,107.892412
CO2,biopower,p25,2035,455.990465
CO2,biopower,p25,2038,405.938457
CO2,biopower,p25,2041,422.281658
CO2,biopower,p25,2044,391.039534
CO2,biopower,p25,2047,343.645728
CO2,biopower,p25,2050,331.13067
CO2,biopower,p28,2010,482.403354
CO2,biopower,p28,2015,482.403354
CO2,biopower,p28,2020,482.403354
CO2,biopower,p28,2023,482.403354
CO2,biopower,p28,2026,482.403354
CO2,biopower,p28,2029,482.403354
CO2,biopower,p28,2032,482.403354
CO2,biopower,p28,2035,628.980181
CO2,biopower,p28,2038,482.403354
CO2,biopower,p28,2041,2352.446012
CO2,biopower,p28,2044,2537.876685
CO2,biopower,p28,2047,2432.403267
CO2,biopower,p28,2050,2365.230252
CO2,biopower,p29,2010,64.137654
CO2,biopower,p29,2015,64.137654
CO2,biopower,p29,2020,64.137654
CO2,biopower,p29,2023,64.137654
CO2,biopower,p29,2026,64.137654
CO2,biopower,p29,2029,64.137654
CO2,biopower,p29,2032,64.137654
CO2,biopower,p29,2035,64.137654
CO2,biopower,p29,2038,64.137654
CO2,biopower,p29,2041,148.516742
CO2,biopower,p29,2044,230.73585
CO2,biopower,p29,2047,243.259625
CO2,biopower,p31,2010,47.217171
CO2,biopower,p31,2015,47.217171
CO2,biopower,p31,2020,47.217171
CO2,biopower,p31,2023,47.217171
CO2,biopower,p31,2026,47.217171
CO2,biopower,p31,2029,47.217171
CO2,biopower,p33,2010,214.539303
CO2,biopower,p33,2015,390.995942
CO2,biopower,p33,2020,390.995942
CO2,biopower,p33,2023,398.18
CO2,biopower,p33,2026,390.995942
CO2,biopower,p33,2029,390.995942
CO2,biopower,p33,2032,408.375265
CO2,biopower,p33,2035,1533.067334
CO2,biopower,p33,2038,1207.465193
CO2,biopower,p33,2041,1436.205257
CO2,biopower,p33,2044,1361.471588
CO2,biopower,p33,2047,928.995709
CO2,biopower,p33,2050,938.300146
CO2,biopower,p43,2010,1945.327264
CO2,biopower,p43,2015,2036.902099
CO2,biopower,p43,2020,1063.37702
CO2,biopower,p43,2023,1093.408723
CO2,biopower,p43,2026,1063.37702
CO2,biopower,p43,2029,1063.020218
CO2,biopower,p43,2032,1063.733821
CO2,biopower,p43,2035,1147.29675
CO2,biopower,p43,2038,1130.744729
CO2,biopower,p43,2041,1134.039462
CO2,biopower,p43,2044,1151.019095
CO2,biopower,p43,2047,3161.425921
CO2,biopower,p43,2050,647.076388
CO2,biopower,p46,2010,986.433656
CO2,biopower,p46,2015,950.45704
CO2,biopower,p46,2020,664.267253
CO2,biopower,p46,2023,413.398044
CO2,biopower,p46,2026,383.443914
CO2,biopower,p46,2029,394.368091
CO2,biopower,p46,2032,83.300028
CO2,biopower,p46,2035,308.260567
CO2,biopower,p46,2038,290.880133
CO2,biopower,p46,2041,318.333663
CO2,biopower,p46,2044,301.821027
CO2,biopower,p46,2047,289.875838
CO2,biopower,p46,2050,289.090536
CO2,biopower,p58,2010,238.873847
CO2,biopower,p58,2015,238.873847
CO2,biopower,p58,2020,238.873847
CO2,biopower,p58,2023,238.873847
CO2,biopower,p58,2026,238.873847
CO2,biopower,p63,2015,1820.290274
CO2,biopower,p63,2020,872.7588
CO2,biopower,p63,2023,2240.18869
CO2,biopower,p63,2026,872.7588
CO2,biopower,p63,2029,872.7588
CO2,biopower,p63,2032,872.7588
CO2,biopower,p63,2035,3452.379238
CO2,biopower,p63,2038,3989.288696
CO2,biopower,p63,2041,3639.356902
CO2,biopower,p63,2044,3322.43712
CO2,biopower,p63,2047,3763.873489
CO2,biopower,p63,2050,3887.59761
CO2,biopower,p66,2015,13427.100949
CO2,biopower,p66,2020,2557.183284
CO2,biopower,p66,2023,13082.840428
CO2,biopower,p66,2026,2557.183284
CO2,biopower,p66,2029,2557.183284
CO2,biopower,p66,2032,2557.183284
CO2,biopower,p66,2035,11870.649879
CO2,biopower,p66,2038,11333.740422
CO2,biopower,p66,2041,11683.672216
CO2,biopower,p66,2044,12000.591998
CO2,biopower,p66,2047,11559.155628
CO2,biopower,p66,2050,11435.431508
CO2,biopower,p70,2015,55.140426
CO2,biopower,p70,2020,17.455176
CO2,biopower,p70,2023,78.115443
CO2,biopower,p70,2026,55.197715
CO2,biopower,p70,2029,17.455176
CO2,biopower,p70,2032,17.455176
CO2,biopower,p70,2035,90.720341
CO2,biopower,p70,2038,78.446472
CO2,biopower,p70,2041,86.62061
CO2,biopower,p70,2044,82.621664
CO2,biopower,p70,2047,75.819466
CO2,biopower,p70,2050,78.488262
CO2,biopower,p74,2010,337.172978
CO2,biopower,p74,2015,337.172978
CO2,biopower,p74,2020,337.172978
CO2,biopower,p74,2023,337.172978
CO2,biopower,p74,2026,337.172978
CO2,biopower,p74,2029,337.172978
CO2,biopower,p75,2010,768.027744
CO2,biopower,p75,2015,2690.860236
CO2,biopower,p75,2020,1590.166534
CO2,biopower,p75,2023,3799.134763
CO2,biopower,p75,2026,2858.310272
CO2,biopower,p75,2029,1590.166534
CO2,biopower,p75,2032,1320.877176
CO2,biopower,p75,2035,4419.35155
CO2,biopower,p75,2038,4153.161903
CO2,biopower,p75,2041,4602.058025
CO2,biopower,p75,2044,4313.054747
CO2,biopower,p75,2047,4089.36001
CO2,biopower,p75,2050,4075.653436
CO2,biopower,p76,2015,83.521456
CO2,biopower,p76,2020,24.437246
CO2,biopower,p76,2023,111.347893
CO2,biopower,p76,2026,86.153588
CO2,biopower,p76,2029,24.437246
CO2,biopower,p76,2032,42.077367
CO2,biopower,p76,2035,133.112383
CO2,biopower,p76,2038,123.448549
CO2,biopower,p76,2041,139.573096
CO2,biopower,p76,2044,129.342942
CO2,biopower,p76,2047,123.381294
CO2,biopower,p76,2050,122.97388
CO2,biopower,p77,2010,1169.11836
CO2,biopower,p77,2015,98.885231
CO2,biopower,p77,2020,27.928282
CO2,biopower,p77,2023,128.883924
CO2,biopower,p77,2026,103.726765
CO2,biopower,p77,2029,27.928282
CO2,biopower,p77,2032,33.25983
CO2,biopower,p77,2035,151.771424
CO2,biopower,p77,2038,137.565823
CO2,biopower,p77,2041,153.719283
CO2,biopower,p77,2044,146.549809
CO2,biopower,p77,2047,140.287092
CO2,biopower,p77,2050,140.184563
CO2,biopower,p78,2015,238.632731
CO2,biopower,p78,2020,69.820704
CO2,biopower,p78,2023,317.809218
CO2,biopower,p78,2026,250.830104
CO2,biopower,p78,2029,69.820704
CO2,biopower,p78,2032,114.323902
CO2,biopower,p78,2035,380.321094
CO2,biopower,p78,2038,358.595552
CO2,biopower,p78,2041,398.780273
CO2,biopower,p78,2044,369.551262
CO2,biopower,p78,2047,352.517982
CO2,biopower,p78,2050,357.22175
CO2,biopower,p79,2015,111.348597
CO2,biopower,p79,2020,34.910352
CO2,biopower,p79,2023,168.37293
CO2,biopower,p79,2026,131.460362
CO2,biopower,p79,2029,34.910352
CO2,biopower,p79,2032,61.929948
CO2,biopower,p79,2035,195.386971
CO2,biopower,p79,2038,181.590296
CO2,biopower,p79,2041,204.22697
