i,r,t,Value
battery_4,p6,2026,-97.596918
battery_4,p6,2029,-297.682248
battery_4,p6,2032,-425.530212
battery_4,p6,2035,-599.436165
battery_4,p6,2038,-643.184987
battery_4,p7,2026,-10.468083
battery_4,p7,2029,-22.439272
battery_4,p7,2032,-42.04286
battery_4,p7,2035,-65.263797
battery_4,p7,2038,-69.573587
battery_4,p7,2041,-921.414477
battery_4,p7,2044,-288563.583408
battery_4,p7,2047,-443330.969523
battery_4,p7,2050,-447614.02979
battery_4,p8,2029,-49242.709714
battery_4,p8,2032,-45852.325978
battery_4,p8,2035,-52685.740005
battery_4,p8,2038,-54645.654217
battery_4,p8,2041,-70796.286856
battery_4,p8,2044,-42038.550227
battery_4,p8,2047,-41305.597849
battery_4,p8,2050,-40026.779308
battery_4,p9,2020,-127.724948
battery_4,p9,2023,-165244.15174
battery_4,p9,2026,-393398.674769
battery_4,p9,2029,-515103.29803
battery_4,p9,2032,-574962.776383
battery_4,p9,2035,-674939.032111
battery_4,p9,2038,-406685.833497
battery_4,p9,2041,-515086.412532
battery_4,p9,2044,-997170.801942
battery_4,p9,2047,-935906.859212
battery_4,p9,2050,-937569.517909
battery_4,p10,2020,-3215.947338
battery_4,p10,2023,-745242.846896
battery_4,p10,2026,-1376363.186392
battery_4,p10,2029,-1630652.339805
battery_4,p10,2032,-1916280.003946
battery_4,p10,2035,-2218503.548955
battery_4,p10,2038,-644388.156651
battery_4,p11,2020,-6522.555665
battery_4,p11,2023,-53800.844299
battery_4,p11,2026,-148378.358754
battery_4,p11,2029,-171045.84244
battery_4,p11,2032,-200262.992332
battery_4,p11,2035,-161992.415326
battery_4,p11,2038,-94328.358237
battery_4,p11,2044,-481931.494643
battery_4,p11,2047,-451666.3122
battery_4,p11,2050,-451965.959655
battery_4,p12,2050,-0.0
battery_4,p13,2023,-11863.78489
battery_4,p13,2026,-154165.16592
battery_4,p13,2029,-661507.080615
battery_4,p13,2032,-677519.991569
battery_4,p13,2035,-785185.843585
battery_4,p13,2038,-760877.655141
battery_4,p13,2041,-597361.301662
battery_4,p13,2050,-0.0
battery_4,p14,2050,-32938.513496
battery_4,p15,2023,-2556.618091
battery_4,p15,2026,-9441.265405
battery_4,p15,2029,-14160.031188
battery_4,p15,2032,-27502.721663
battery_4,p15,2035,-44571.525409
battery_4,p16,2023,-74.375307
battery_4,p16,2026,-195.949092
battery_4,p16,2029,-244.777865
battery_4,p16,2032,-467.040054
battery_4,p16,2035,-706.962683
battery_4,p18,2026,-939.227183
battery_4,p18,2029,-15291.540314
battery_4,p18,2032,-28088.305089
battery_4,p18,2035,-39208.819646
battery_4,p18,2038,-40228.667634
battery_4,p21,2044,-12867.430649
battery_4,p21,2047,-14507.833672
battery_4,p21,2050,-14450.677479
battery_4,p25,2026,-15622.538686
battery_4,p25,2029,-87414.064004
battery_4,p25,2032,-75034.421422
battery_4,p25,2035,-115293.117284
battery_4,p25,2038,-113183.47983
battery_4,p25,2041,-510148.980483
battery_4,p25,2044,-407298.743935
battery_4,p25,2047,-381003.282153
battery_4,p25,2050,-389936.752095
battery_4,p26,2041,-271850.442642
battery_4,p26,2044,-280033.526313
battery_4,p26,2047,-274315.319315
battery_4,p26,2050,-286838.442233
battery_4,p27,2044,-94852.149039
battery_4,p27,2047,-104624.013217
battery_4,p27,2050,-109657.217173
battery_4,p28,2023,-143470.999014
battery_4,p28,2026,-185969.250471
battery_4,p28,2029,-350772.155261
battery_4,p28,2032,-444087.250904
battery_4,p28,2035,-564241.941055
battery_4,p28,2038,-261822.254724
battery_4,p28,2041,-181643.085631
battery_4,p28,2044,-95234.023886
battery_4,p28,2047,-105192.405368
battery_4,p28,2050,-109908.805394
battery_4,p30,2029,-283867.503798
battery_4,p30,2032,-388762.644346
battery_4,p30,2035,-459524.536079
battery_4,p30,2038,-475177.880204
battery_4,p30,2041,-481262.690383
battery_4,p30,2044,-97688.689378
battery_4,p30,2047,-109545.846859
battery_4,p30,2050,-115229.529468
battery_4,p31,2023,-14175.398472
battery_4,p31,2026,-53336.781254
battery_4,p31,2029,-94172.465397
battery_4,p31,2032,-125526.479906
battery_4,p31,2035,-163978.029304
battery_4,p31,2038,-125844.934683
battery_4,p31,2041,-64486.879656
battery_4,p31,2047,-59428.168226
battery_4,p31,2050,-57149.800875
battery_4,p33,2023,-1031.146612
battery_4,p33,2026,-1022.016377
battery_4,p33,2029,-1470.895826
battery_4,p33,2032,-1539.134308
battery_4,p33,2035,-1918.876464
battery_4,p34,2023,-48293.351335
battery_4,p34,2026,-44985.021771
battery_4,p34,2029,-65181.088345
battery_4,p34,2032,-69324.602755
battery_4,p34,2035,-88169.573876
battery_4,p34,2041,-605943.191971
battery_4,p34,2044,-715077.94957
battery_4,p34,2047,-754097.965888
battery_4,p34,2050,-802181.00406
battery_4,p39,2032,-35249.674131
battery_4,p39,2035,-43899.633104
battery_4,p39,2038,-213016.273764
battery_4,p39,2041,-220265.532708
