,,damage_$,damage_$,damage_$,damage_$,damage_$,damage_$,mortality,mortality,mortality,mortality,mortality,mortality
,,count,mean,std,min,50%,max,count,mean,std,min,50%,max
state_abbr,year,,,,,,,,,,,,
AL,2010,6.0,2552849192.75,1333242697.500682,1215237681.6200001,2444923615.215,4541559286.36,6.0,368.2307,192.3109502956293,175.2895,352.66319999999996,655.0882
AL,2015,6.0,533199350.5516667,285786287.2469679,248359734.9,509611071.59000003,979244270.92,6.0,76.91029999999999,41.22265209323631,35.8242,73.50789999999999,141.2491
AL,2020,6.0,412170955.40166664,222575583.84249312,190728939.76,393563247.62,763349026.77,6.0,59.452816666666656,32.10495039388266,27.5114,56.76875,110.1078
AL,2023,6.0,1046098725.3116666,555650347.3752774,489984039.78000003,999295945.9649999,1900554492.42,6.0,150.89245,80.1486802218165,70.6768,144.14145,274.1418
AL,2026,6.0,902210011.5733333,480639001.56039643,421791311.15,861966933.275,1645022340.96,6.0,130.1374833333333,69.32876792208027,60.840399999999995,124.33269999999999,237.28289999999998
AL,2029,6.0,859867428.3816665,458068207.8061263,402034742.49,821555128.415,1567777038.06,6.0,124.02986666666665,66.07314773242354,57.9908,118.50355,226.1409
AL,2032,6.0,725295537.57,385838645.1327478,339416873.58,692931833.135,1320179219.98,6.0,104.61883333333333,55.65451303413468,48.958499999999994,99.9506,190.4266
AL,2035,6.0,372626695.1466667,196075672.05110902,175754738.15,355991093.36,669121735.1800001,6.0,53.74888333333333,28.28249832142957,25.3515,51.34935,96.5161
AL,2038,6.0,405019706.66833335,213102408.2715665,190969056.4,386831706.08500004,727168414.3,6.0,58.42124999999999,30.738590621090612,27.5459,55.79774999999999,104.8891
AL,2041,6.0,338002849.30333334,178232454.94749776,159046296.27,322732206.05,608512500.46,6.0,48.75451666666667,25.708788088544093,22.9413,46.55185,87.7736
AL,2044,6.0,258156378.21333334,145601881.2443707,114958077.03,244938770.66000003,499803295.83,6.0,37.237316666666665,21.00198146741556,16.582,35.33085,72.093
AL,2047,6.0,110434874.51666667,60666392.758917265,50441478.47,105341009.375,208338457.15,6.0,15.929466666666668,8.75072288526306,7.2758,15.194700000000001,30.0514
