trtype,t,Value
AC,2010,133131452.978545
AC,2015,133131452.978545
AC,2020,133131452.978545
AC,2023,133131452.978545
AC,2026,133131452.978545
AC,2029,133131452.978545
AC,2032,139277157.181127
AC,2035,150739474.021255
AC,2038,152154816.895305
AC,2041,163694637.977614
AC,2044,169156995.711688
AC,2047,175369543.886979
AC,2050,182090435.051106
LCC,2010,4506323.0
LCC,2015,4506323.0
LCC,2020,4506323.0
LCC,2023,4506323.0
LCC,2026,4506323.0
LCC,2029,4506323.0
LCC,2032,4506323.0
LCC,2035,4506323.0
LCC,2038,4506323.0
LCC,2041,4506323.0
LCC,2044,4506323.0
LCC,2047,4506323.0
LCC,2050,4506323.0
B2B,2010,434770.3
B2B,2015,434770.3
B2B,2020,434770.3
B2B,2023,434770.3
B2B,2026,434770.3
B2B,2029,434770.3
B2B,2032,487125.059309
B2B,2035,767372.212508
B2B,2038,776883.663655
B2B,2041,1371031.963817
B2B,2044,1659319.838573
B2B,2047,1801554.084505
B2B,2050,1936589.431165
