eall,i,r,t,Value
CO2,biopower,p1,2010,841.765219
CO2,biopower,p3,2010,3389.606507
CO2,biopower,p3,2015,942.97896
CO2,biopower,p3,2020,942.97896
CO2,biopower,p3,2023,942.97896
CO2,biopower,p3,2026,942.97896
CO2,biopower,p5,2010,192.412962
CO2,biopower,p5,2015,148.368996
CO2,biopower,p5,2020,148.368996
CO2,biopower,p5,2023,148.368996
CO2,biopower,p5,2026,148.368996
CO2,biopower,p5,2029,148.368996
CO2,biopower,p5,2032,127.665307
CO2,biopower,p5,2035,138.127252
CO2,biopower,p5,2038,136.772994
CO2,biopower,p5,2041,129.370632
CO2,biopower,p5,2044,134.41108
CO2,biopower,p5,2047,135.27267
CO2,biopower,p5,2050,126.240174
CO2,biopower,p6,2010,1053.249637
CO2,biopower,p6,2015,1052.906098
CO2,biopower,p6,2020,1052.906098
CO2,biopower,p6,2023,1053.186102
CO2,biopower,p6,2026,1053.0461
CO2,biopower,p6,2029,1057.577712
CO2,biopower,p6,2032,333.019109
CO2,biopower,p6,2035,2412.111388
CO2,biopower,p6,2038,2232.419827
CO2,biopower,p6,2041,2229.068552
CO2,biopower,p6,2044,2037.985708
CO2,biopower,p6,2047,1881.81077
CO2,biopower,p6,2050,1808.732844
CO2,biopower,p8,2010,5998.084822
CO2,biopower,p8,2015,7861.998567
CO2,biopower,p8,2020,7861.998567
CO2,biopower,p8,2023,4111.991809
CO2,biopower,p8,2026,4816.402951
CO2,biopower,p8,2029,3286.135775
CO2,biopower,p8,2032,2389.911405
CO2,biopower,p9,2010,16456.609381
CO2,biopower,p9,2015,111685.087488
CO2,biopower,p9,2020,81062.965465
CO2,biopower,p9,2023,23659.707785
CO2,biopower,p9,2026,36152.579225
CO2,biopower,p9,2029,40069.163924
CO2,biopower,p9,2032,20536.983043
CO2,biopower,p9,2035,11289.473671
CO2,biopower,p9,2038,10513.501416
CO2,biopower,p9,2041,10718.638466
CO2,biopower,p9,2044,10911.21718
CO2,biopower,p9,2047,11166.364301
CO2,biopower,p9,2050,11124.63709
CO2,biopower,p10,2010,15727.812628
CO2,biopower,p10,2015,40564.703864
CO2,biopower,p10,2020,46030.915833
CO2,biopower,p10,2023,19579.70718
CO2,biopower,p10,2026,28643.865558
CO2,biopower,p10,2029,32028.085397
CO2,biopower,p10,2032,23486.2834
CO2,biopower,p10,2035,18047.217955
CO2,biopower,p10,2038,8680.543449
CO2,biopower,p10,2041,8317.292465
CO2,biopower,p10,2044,8553.642052
CO2,biopower,p10,2047,8620.076791
CO2,biopower,p10,2050,8558.233573
CO2,biopower,p14,2010,157.05769
CO2,biopower,p14,2015,157.05769
CO2,biopower,p14,2020,157.05769
CO2,biopower,p14,2023,157.05769
CO2,biopower,p14,2026,157.05769
CO2,biopower,p15,2010,164.078654
CO2,biopower,p15,2015,448.598023
CO2,biopower,p15,2020,448.598023
CO2,biopower,p15,2023,448.598023
CO2,biopower,p15,2026,448.598023
CO2,biopower,p15,2029,2848.37051
CO2,biopower,p15,2032,2894.674546
CO2,biopower,p15,2035,2655.872572
CO2,biopower,p15,2038,2699.742915
CO2,biopower,p15,2041,2552.182194
CO2,biopower,p15,2044,2503.378496
CO2,biopower,p15,2047,2362.620853
CO2,biopower,p15,2050,2285.346867
CO2,biopower,p16,2015,87.27588
CO2,biopower,p16,2020,87.27588
CO2,biopower,p16,2023,87.27588
CO2,biopower,p16,2026,87.27588
CO2,biopower,p16,2029,771.878988
CO2,biopower,p16,2032,753.069687
CO2,biopower,p16,2035,687.477101
CO2,biopower,p16,2038,705.874914
CO2,biopower,p16,2041,668.866048
CO2,biopower,p16,2044,648.91521
CO2,biopower,p16,2047,623.124769
CO2,biopower,p16,2050,585.985858
CO2,biopower,p25,2015,52.365528
CO2,biopower,p25,2020,52.365528
CO2,biopower,p25,2023,52.365528
CO2,biopower,p25,2026,52.365528
CO2,biopower,p25,2029,606.366582
CO2,biopower,p25,2032,570.844009
CO2,biopower,p25,2035,491.617938
CO2,biopower,p25,2038,503.077594
CO2,biopower,p25,2041,482.356641
CO2,biopower,p25,2044,470.762356
CO2,biopower,p25,2047,462.123706
CO2,biopower,p25,2050,427.437624
CO2,biopower,p28,2010,482.403354
CO2,biopower,p28,2015,482.403354
CO2,biopower,p28,2020,482.403354
CO2,biopower,p28,2023,482.403354
CO2,biopower,p28,2026,482.403354
CO2,biopower,p28,2029,482.403354
CO2,biopower,p28,2032,1328.60547
CO2,biopower,p28,2035,4340.78763
CO2,biopower,p28,2038,3880.67065
CO2,biopower,p28,2041,3816.476862
CO2,biopower,p28,2044,3354.046989
CO2,biopower,p28,2047,3338.28077
CO2,biopower,p28,2050,3290.633472
CO2,biopower,p29,2010,64.137654
CO2,biopower,p29,2015,64.137654
CO2,biopower,p29,2020,64.137654
CO2,biopower,p29,2023,64.137654
CO2,biopower,p29,2026,64.137654
CO2,biopower,p29,2029,64.137654
CO2,biopower,p29,2032,64.137654
CO2,biopower,p29,2035,506.601803
CO2,biopower,p29,2038,447.6962
CO2,biopower,p29,2041,460.426353
CO2,biopower,p29,2044,412.98499
CO2,biopower,p29,2047,414.213197
CO2,biopower,p31,2010,47.217171
CO2,biopower,p31,2015,47.217171
CO2,biopower,p31,2020,47.217171
CO2,biopower,p31,2023,47.217171
CO2,biopower,p31,2026,47.217171
CO2,biopower,p31,2029,47.217171
CO2,biopower,p33,2010,214.539303
CO2,biopower,p33,2015,390.995942
CO2,biopower,p33,2020,390.995942
CO2,biopower,p33,2023,390.995942
CO2,biopower,p33,2026,390.995942
CO2,biopower,p33,2029,1879.157548
CO2,biopower,p33,2032,2145.339693
CO2,biopower,p33,2035,2316.279439
CO2,biopower,p33,2038,2354.947853
CO2,biopower,p33,2041,2247.981468
CO2,biopower,p33,2044,2115.710567
CO2,biopower,p33,2047,1396.758065
CO2,biopower,p33,2050,1363.648525
CO2,biopower,p43,2010,1945.327264
CO2,biopower,p43,2015,2065.399933
CO2,biopower,p43,2020,1078.214471
CO2,biopower,p43,2023,1114.151505
CO2,biopower,p43,2026,1108.246174
CO2,biopower,p43,2029,1063.020218
CO2,biopower,p43,2032,1063.733821
CO2,biopower,p43,2035,3638.762519
CO2,biopower,p43,2038,3463.46225
CO2,biopower,p43,2041,5797.78229
CO2,biopower,p43,2044,5353.377459
CO2,biopower,p43,2047,7005.996591
CO2,biopower,p43,2050,3285.218737
CO2,biopower,p46,2010,986.433656
CO2,biopower,p46,2015,1001.882479
CO2,biopower,p46,2020,692.788046
CO2,biopower,p46,2023,401.290303
CO2,biopower,p46,2026,392.347228
CO2,biopower,p46,2029,638.907443
CO2,biopower,p46,2032,403.850166
CO2,biopower,p46,2035,380.021001
CO2,biopower,p46,2038,390.070105
CO2,biopower,p46,2041,385.807857
CO2,biopower,p46,2044,382.404085
CO2,biopower,p46,2047,361.041706
CO2,biopower,p46,2050,341.428785
CO2,biopower,p58,2010,238.873847
CO2,biopower,p58,2015,238.873847
CO2,biopower,p58,2020,238.873847
CO2,biopower,p58,2023,238.873847
CO2,biopower,p58,2026,238.873847
CO2,biopower,p63,2015,872.7588
CO2,biopower,p63,2020,872.7588
CO2,biopower,p63,2023,872.7588
CO2,biopower,p63,2026,872.7588
CO2,biopower,p63,2029,1861.521618
CO2,biopower,p63,2032,11490.943496
CO2,biopower,p63,2035,12325.233295
CO2,biopower,p63,2038,12303.390068
CO2,biopower,p63,2041,11894.100539
CO2,biopower,p63,2044,11797.729589
CO2,biopower,p63,2047,11166.43238
CO2,biopower,p63,2050,10891.745926
CO2,biopower,p66,2015,2557.183284
CO2,biopower,p66,2020,2557.183284
CO2,biopower,p66,2023,3140.489635
CO2,biopower,p66,2026,2557.183284
CO2,biopower,p66,2029,13461.5075
CO2,biopower,p66,2032,19155.114739
CO2,biopower,p66,2035,18320.82494
CO2,biopower,p66,2038,18342.668167
CO2,biopower,p66,2041,18229.305903
CO2,biopower,p66,2044,17458.342774
CO2,biopower,p66,2047,17282.985338
CO2,biopower,p66,2050,16940.225539
CO2,biopower,p70,2015,17.455176
CO2,biopower,p70,2020,17.455176
CO2,biopower,p70,2023,17.455176
CO2,biopower,p70,2026,17.455176
CO2,biopower,p70,2029,137.433957
CO2,biopower,p70,2032,132.174479
CO2,biopower,p70,2035,121.104437
CO2,biopower,p70,2038,122.490224
CO2,biopower,p70,2041,114.567203
CO2,biopower,p70,2044,111.119725
CO2,biopower,p70,2047,104.873286
CO2,biopower,p70,2050,100.246144
CO2,biopower,p74,2010,337.172978
CO2,biopower,p74,2015,337.172978
CO2,biopower,p74,2020,337.172978
CO2,biopower,p74,2023,337.172978
CO2,biopower,p74,2026,337.172978
CO2,biopower,p74,2029,337.172978
CO2,biopower,p75,2010,768.027744
CO2,biopower,p75,2015,1590.166534
CO2,biopower,p75,2020,1590.166534
CO2,biopower,p75,2023,1590.166534
CO2,biopower,p75,2026,1590.166534
CO2,biopower,p75,2029,3936.685064
CO2,biopower,p75,2032,6424.321688
CO2,biopower,p75,2035,5431.557425
CO2,biopower,p75,2038,5496.663816
CO2,biopower,p75,2041,5640.059405
CO2,biopower,p75,2044,5518.703517
CO2,biopower,p75,2047,5223.093614
CO2,biopower,p75,2050,5001.39732
CO2,biopower,p76,2015,24.437246
CO2,biopower,p76,2020,24.437246
CO2,biopower,p76,2023,25.173572
CO2,biopower,p76,2026,24.437246
CO2,biopower,p76,2029,118.522811
CO2,biopower,p76,2032,191.869254
CO2,biopower,p76,2035,165.52356
CO2,biopower,p76,2038,166.164351
CO2,biopower,p76,2041,171.148308
CO2,biopower,p76,2044,165.067844
CO2,biopower,p76,2047,155.25119
CO2,biopower,p76,2050,149.691439
CO2,biopower,p77,2010,1169.11836
CO2,biopower,p77,2015,27.928282
CO2,biopower,p77,2020,27.928282
CO2,biopower,p77,2023,28.769796
CO2,biopower,p77,2026,27.928282
CO2,biopower,p77,2029,121.863563
CO2,biopower,p77,2032,196.389325
CO2,biopower,p77,2035,186.201029
CO2,biopower,p77,2038,184.875085
CO2,biopower,p77,2041,190.745428
CO2,biopower,p77,2044,188.843184
CO2,biopower,p77,2047,178.519007
CO2,biopower,p77,2050,169.534963
CO2,biopower,p78,2015,69.820704
CO2,biopower,p78,2020,69.820704
CO2,biopower,p78,2023,71.924491
CO2,biopower,p78,2026,69.820704
CO2,biopower,p78,2029,323.827493
CO2,biopower,p78,2032,560.884353
CO2,biopower,p78,2035,475.026252
CO2,biopower,p78,2038,474.755287
CO2,biopower,p78,2041,492.915839
CO2,biopower,p78,2044,476.570104
CO2,biopower,p78,2047,451.593195
CO2,biopower,p78,2050,432.764977
CO2,biopower,p79,2015,34.910352
CO2,biopower,p79,2020,34.910352
CO2,biopower,p79,2023,35.962246
CO2,biopower,p79,2026,34.910352
CO2,biopower,p79,2029,198.89724
CO2,biopower,p79,2032,289.757308
CO2,biopower,p79,2035,238.987413
CO2,biopower,p79,2038,244.724992
