ba,state_abbr,year,pollutant,tons,model,cr,md,damage_$,mortality
p1,WA,2010,SO2,62.67,AP2,ACS,3649.64,228733.62,0.033
p1,WA,2010,SO2,62.67,AP2,H6C,9375.9,587615.64,0.0848
p1,WA,2010,SO2,62.67,EASIUR,ACS,18204.36,1140921.19,0.1646
p1,WA,2010,SO2,62.67,EASIUR,H6C,46771.73,2931323.06,0.4228
p1,WA,2010,SO2,62.67,InMAP,ACS,4154.93,260401.79,0.0376
p1,WA,2010,SO2,62.67,InMAP,H6C,10674.16,668981.48,0.0965
p1,WA,2015,SO2,27.59,AP2,ACS,3649.64,100687.73,0.0145
p1,WA,2015,SO2,27.59,AP2,H6C,9375.9,258666.31,0.0373
p1,WA,2015,SO2,27.59,EASIUR,ACS,18204.36,502229.45,0.0724
p1,WA,2015,SO2,27.59,EASIUR,H6C,46771.73,1290357.98,0.1861
p1,WA,2015,SO2,27.59,InMAP,ACS,4154.93,114627.94,0.0165
p1,WA,2015,SO2,27.59,InMAP,H6C,10674.16,294483.27,0.0425
p1,WA,2020,SO2,57.35,AP2,ACS,3649.64,209313.61,0.0302
p1,WA,2020,SO2,57.35,AP2,H6C,9375.9,537725.71,0.0776
p1,WA,2020,SO2,57.35,EASIUR,ACS,18204.36,1044054.33,0.1506
p1,WA,2020,SO2,57.35,EASIUR,H6C,46771.73,2682446.92,0.3869
p1,WA,2020,SO2,57.35,InMAP,ACS,4154.93,238293.07,0.0344
p1,WA,2020,SO2,57.35,InMAP,H6C,10674.16,612183.4,0.0883
p1,WA,2023,SO2,30.2,AP2,ACS,3649.64,110211.07,0.0159
p1,WA,2023,SO2,30.2,AP2,H6C,9375.9,283131.74,0.0408
p1,WA,2023,SO2,30.2,EASIUR,ACS,18204.36,549731.8,0.0793
p1,WA,2023,SO2,30.2,EASIUR,H6C,46771.73,1412403.88,0.2037
p1,WA,2023,SO2,30.2,InMAP,ACS,4154.93,125469.79,0.0181
p1,WA,2023,SO2,30.2,InMAP,H6C,10674.16,322336.37,0.0465
p1,WA,2026,SO2,67.01,AP2,ACS,3649.64,244562.07,0.0353
p1,WA,2026,SO2,67.01,AP2,H6C,9375.9,628278.85,0.0906
p1,WA,2026,SO2,67.01,EASIUR,ACS,18204.36,1219873.33,0.176
p1,WA,2026,SO2,67.01,EASIUR,H6C,46771.73,3134171.61,0.4521
p1,WA,2026,SO2,67.01,InMAP,ACS,4154.93,278421.68,0.0402
p1,WA,2026,SO2,67.01,InMAP,H6C,10674.16,715275.23,0.1032
p1,WA,2029,SO2,50.5,AP2,ACS,3649.64,184312.68,0.0266
p1,WA,2029,SO2,50.5,AP2,H6C,9375.9,473498.43,0.0683
p1,WA,2029,SO2,50.5,EASIUR,ACS,18204.36,919349.93,0.1326
p1,WA,2029,SO2,50.5,EASIUR,H6C,46771.73,2362048.89,0.3407
