,,damage_$,damage_$,damage_$,damage_$,damage_$,damage_$,mortality,mortality,mortality,mortality,mortality,mortality
,,count,mean,std,min,50%,max,count,mean,std,min,50%,max
state_abbr,year,,,,,,,,,,,,
AL,2010,6.0,2552955243.8233333,1333298235.058107,1215288279.9,2445025486.575,4541748756.54,6.0,368.24600000000004,192.31895570546342,175.2968,352.6779,655.1156
AL,2015,6.0,956534594.0666666,495651655.1787402,459749083.60999995,918390019.9650002,1684373286.9299998,6.0,137.97341666666668,71.49430778159662,66.3156,132.4714,242.9591
AL,2020,6.0,483140452.7466666,274746825.83966464,214209159.60999998,458659364.49,942871351.81,6.0,69.68963333333333,39.63028996112275,30.8982,66.1584,136.0026
AL,2023,6.0,1390280452.0883334,756177551.2126712,636124682.6800001,1321917422.43,2593714076.87,6.0,200.53830000000002,109.07333576488803,91.75659999999999,190.6774,374.1252
AL,2026,6.0,900907235.8416667,479948252.06489474,421176191.04,860716740.58,1642658589.12,6.0,129.94956666666667,69.22920178539304,60.7517,124.1524,236.942
AL,2029,6.0,855655762.3433332,455660975.6847088,400136422.45,817488994.835,1559413855.48,6.0,123.42236666666668,65.7258930009678,57.7168,117.91709999999999,224.9345
AL,2032,6.0,683036450.5500001,362901952.43457204,319854490.23,652459335.5799999,1241340356.8799999,6.0,98.52326666666666,52.34609688497001,46.1368,94.11269999999999,179.0548
AL,2035,6.0,307163313.75166667,160550712.60231,145488787.95000002,293286717.905,546697406.24,6.0,44.30618333333334,23.15834917090739,20.9857,42.3046,78.85730000000001
AL,2038,6.0,268328312.59833333,143607482.2732865,124775332.14,255994478.74,491802303.49,6.0,38.7045,20.714399614084883,17.997999999999998,36.925399999999996,70.9391
AL,2041,6.0,278672537.0233334,149270932.63182673,129490920.38000001,265839395.85000002,511263569.22,6.0,40.19658333333333,21.531341620012128,18.6782,38.3455,73.74629999999999
AL,2044,6.0,242530899.77833334,130522102.3369077,112283520.74000001,231296793.79000002,447350919.71999997,6.0,34.98343333333333,18.826915189872892,16.1961,33.36305,64.5273
AL,2047,6.0,169445384.475,92832590.66205525,77567408.61,161676990.09,318766526.13,6.0,24.44135,13.390456981111585,11.188600000000001,23.3208,45.9799
