sys_costs,r,t,Value
inv_converter_costs,p20,2035,36517767.354182
inv_converter_costs,p20,2038,4333044.188403
inv_converter_costs,p20,2041,150946782.596287
inv_converter_costs,p20,2047,76242392.878938
inv_converter_costs,p20,2050,12006608.218275
inv_converter_costs,p24,2032,2335357.822525
inv_converter_costs,p24,2035,62260807.895943
inv_converter_costs,p24,2038,2512829.489313
inv_converter_costs,p24,2041,93368241.520313
inv_converter_costs,p24,2044,61555499.127697
inv_converter_costs,p24,2047,164136585.845214
inv_converter_costs,p24,2050,133713566.715617
inv_converter_costs,p31,2032,51887303.853516
inv_converter_costs,p31,2035,153678365.103219
inv_converter_costs,p31,2041,341386096.254712
inv_converter_costs,p31,2047,16563844.349837
inv_converter_costs,p31,2050,57913925.859632
inv_converter_costs,p32,2035,42086726.763465
inv_converter_costs,p32,2041,14849480.10267
inv_converter_costs,p32,2044,10269960.993689
inv_converter_costs,p32,2047,16057366.506866
inv_converter_costs,p32,2050,577987.163847
inv_converter_costs,p34,2032,117842607.351232
inv_converter_costs,p34,2035,271081677.481747
inv_converter_costs,p34,2047,10364822.723137
inv_converter_costs,p50,2035,239147733.359796
inv_converter_costs,p57,2032,222410360.12936
inv_converter_costs,p57,2035,527406557.936955
inv_converter_costs,p57,2041,193951461.337558
inv_converter_costs,p57,2047,141477741.978694
inv_converter_costs,p57,2050,167870884.331516
inv_h2_production,p13,2050,-0.0
inv_h2_production,p33,2038,-0.0
inv_h2_production,p53,2044,-0.0
inv_h2_production,p60,2050,0.0
inv_h2_production,p65,2032,-0.0
inv_h2_production,p89,2047,0.0
inv_h2_production,p99,2047,2e-06
inv_h2_production,p127,2041,3598804072.256746
inv_h2_production,p127,2047,24744395.931204
inv_h2_storage,p1,2047,-0.0
inv_h2_storage,p1,2050,0.0
inv_h2_storage,p2,2047,-0.0
inv_h2_storage,p2,2050,0.0
inv_h2_storage,p9,2038,0.0
inv_h2_storage,p9,2041,-0.0
inv_h2_storage,p10,2041,-0.0
inv_h2_storage,p10,2044,0.0
inv_h2_storage,p11,2032,-0.0
inv_h2_storage,p11,2035,0.0
inv_h2_storage,p11,2038,-0.0
inv_h2_storage,p11,2041,0.0
inv_h2_storage,p11,2050,-0.0
inv_h2_storage,p13,2032,0.0
inv_h2_storage,p13,2035,-0.0
inv_h2_storage,p13,2050,0.0
inv_h2_storage,p16,2041,-0.0
inv_h2_storage,p16,2044,0.0
inv_h2_storage,p20,2041,0.0
inv_h2_storage,p20,2044,-0.0
inv_h2_storage,p22,2029,-0.0
inv_h2_storage,p22,2032,0.0
inv_h2_storage,p27,2044,-0.0
inv_h2_storage,p27,2047,0.0
inv_h2_storage,p27,2050,0.0
inv_h2_storage,p28,2044,-0.0
inv_h2_storage,p28,2047,0.0
inv_h2_storage,p33,2035,0.0
inv_h2_storage,p33,2038,-0.0
inv_h2_storage,p33,2041,-0.0
inv_h2_storage,p35,2038,0.0
inv_h2_storage,p35,2041,-0.0
inv_h2_storage,p44,2038,-0.0
inv_h2_storage,p44,2041,0.0
inv_h2_storage,p47,2047,-0.0
inv_h2_storage,p47,2050,0.0
inv_h2_storage,p50,2035,0.0
inv_h2_storage,p50,2038,-0.0
inv_h2_storage,p52,2032,0.0
inv_h2_storage,p52,2035,-0.0
inv_h2_storage,p53,2032,-0.0
inv_h2_storage,p53,2035,0.0
inv_h2_storage,p53,2044,0.0
inv_h2_storage,p53,2047,-0.0
inv_h2_storage,p58,2038,-0.0
inv_h2_storage,p58,2041,0.0
inv_h2_storage,p58,2044,-0.0
inv_h2_storage,p58,2047,0.0
inv_h2_storage,p60,2050,-0.0
inv_h2_storage,p61,2044,-0.0
inv_h2_storage,p61,2047,0.0
inv_h2_storage,p65,2032,-0.0
inv_h2_storage,p65,2035,0.0
inv_h2_storage,p73,2047,-0.0
inv_h2_storage,p73,2050,0.0
inv_h2_storage,p76,2050,0.0
inv_h2_storage,p85,2044,-0.0
inv_h2_storage,p85,2047,0.0
inv_h2_storage,p86,2038,-0.0
inv_h2_storage,p86,2041,0.0
inv_h2_storage,p86,2044,-0.0
inv_h2_storage,p86,2047,0.0
inv_h2_storage,p87,2035,0.0
inv_h2_storage,p87,2038,-0.0
inv_h2_storage,p89,2047,-0.0
inv_h2_storage,p89,2050,-0.0
inv_h2_storage,p90,2035,0.0
inv_h2_storage,p90,2038,0.0
inv_h2_storage,p90,2041,-0.0
inv_h2_storage,p91,2050,0.0
inv_h2_storage,p94,2044,-0.0
inv_h2_storage,p94,2047,0.0
inv_h2_storage,p94,2050,-0.0
inv_h2_storage,p97,2050,0.0
inv_h2_storage,p99,2032,0.0
inv_h2_storage,p99,2035,-0.0
inv_h2_storage,p99,2041,-0.0
inv_h2_storage,p99,2044,-0.0
inv_h2_storage,p99,2047,-0.0
inv_h2_storage,p99,2050,0.0
inv_h2_storage,p101,2041,0.0
inv_h2_storage,p101,2044,-0.0
inv_h2_storage,p101,2050,0.0
inv_h2_storage,p112,2038,0.0
inv_h2_storage,p112,2041,-0.0
inv_h2_storage,p112,2050,-0.0
inv_h2_storage,p115,2029,-0.0
inv_h2_storage,p115,2032,0.0
inv_h2_storage,p118,2044,-0.0
inv_h2_storage,p118,2047,0.0
inv_h2_storage,p118,2050,0.0
inv_h2_storage,p121,2044,-0.0
inv_h2_storage,p121,2047,0.0
inv_h2_storage,p121,2050,-0.0
inv_h2_storage,p123,2032,-0.0
inv_h2_storage,p123,2035,0.0
inv_h2_storage,p123,2038,0.0
inv_h2_storage,p123,2041,-0.0
inv_h2_storage,p126,2047,0.0
inv_h2_storage,p126,2050,-0.0
inv_h2_storage,p127,2041,609554853.996607
inv_h2_storage,p127,2044,11783538.271366
inv_h2_storage,p129,2044,-0.0
inv_h2_storage,p129,2047,0.0
inv_h2_storage,p130,2044,-0.0
inv_h2_storage,p130,2047,0.0
inv_h2_storage,p132,2029,-0.0
inv_h2_storage,p132,2032,0.0
inv_h2_storage,p132,2044,-0.0
inv_h2_storage,p132,2047,0.0
inv_h2_storage,p132,2050,0.0
inv_h2_storage,p133,2029,-0.0
inv_h2_storage,p133,2032,0.0
inv_h2_storage,p133,2050,-0.0
inv_h2_storage,p134,2032,0.0
inv_h2_storage,p134,2035,-0.0
inv_h2_storage,p134,2044,0.0
inv_h2_storage,p134,2047,-0.0
inv_investment_capacity_costs,p1,2010,381394271.0115
inv_investment_capacity_costs,p1,2015,107220104.123593
inv_investment_capacity_costs,p1,2020,215022761.477033
inv_investment_capacity_costs,p1,2023,13169559.195
inv_investment_capacity_costs,p1,2029,1152135812.535059
inv_investment_capacity_costs,p1,2032,1352607157.433046
inv_investment_capacity_costs,p1,2035,2541943733.550064
inv_investment_capacity_costs,p1,2038,5772259214.342479
inv_investment_capacity_costs,p1,2041,2998181051.363717
inv_investment_capacity_costs,p1,2044,1824270176.012339
inv_investment_capacity_costs,p1,2047,145636318.812
inv_investment_capacity_costs,p1,2050,509873842.019996
inv_investment_capacity_costs,p2,2010,117393137.96
inv_investment_capacity_costs,p2,2015,1206584203.69311
