sys_costs,i,r,t,Value
inv_h2_production,electrolyzer,p13,2050,-0.0
inv_h2_production,electrolyzer,p33,2038,-0.0
inv_h2_production,electrolyzer,p53,2044,-0.0
inv_h2_production,electrolyzer,p60,2050,0.0
inv_h2_production,electrolyzer,p65,2032,-0.0
inv_h2_production,electrolyzer,p89,2047,0.0
inv_h2_production,electrolyzer,p99,2047,2e-06
inv_h2_production,electrolyzer,p127,2041,3598804072.256746
inv_h2_production,electrolyzer,p127,2047,24744395.931204
inv_investment_capacity_costs,battery_4,p6,2026,3412569.2986
inv_investment_capacity_costs,battery_4,p6,2041,2668138.7675
inv_investment_capacity_costs,battery_4,p7,2026,291899.5464
inv_investment_capacity_costs,battery_4,p7,2050,349463540.677508
inv_investment_capacity_costs,battery_4,p8,2029,201542458.8
inv_investment_capacity_costs,battery_4,p8,2044,193570681.295173
inv_investment_capacity_costs,battery_4,p9,2015,18130771.2
inv_investment_capacity_costs,battery_4,p9,2020,2015193.056
inv_investment_capacity_costs,battery_4,p9,2023,4246538041.15187
inv_investment_capacity_costs,battery_4,p9,2026,306368537.86
inv_investment_capacity_costs,battery_4,p9,2038,1048580046.0594
inv_investment_capacity_costs,battery_4,p9,2044,290850269.142661
inv_investment_capacity_costs,battery_4,p9,2047,666163395.051947
inv_investment_capacity_costs,battery_4,p9,2050,790187127.300451
inv_investment_capacity_costs,battery_4,p10,2015,8986063.476
inv_investment_capacity_costs,battery_4,p10,2020,284049910.4256
inv_investment_capacity_costs,battery_4,p10,2023,9661312454.478575
inv_investment_capacity_costs,battery_4,p10,2026,3122707331.205
inv_investment_capacity_costs,battery_4,p10,2038,2162136191.196066
inv_investment_capacity_costs,battery_4,p10,2041,2024130594.251289
inv_investment_capacity_costs,battery_4,p11,2015,12094735.288
inv_investment_capacity_costs,battery_4,p11,2020,668454543.432
inv_investment_capacity_costs,battery_4,p11,2023,416025983.52
inv_investment_capacity_costs,battery_4,p11,2026,466068795.4692
inv_investment_capacity_costs,battery_4,p11,2041,283318329.311217
inv_investment_capacity_costs,battery_4,p11,2044,299006510.118693
inv_investment_capacity_costs,battery_4,p11,2047,204001563.275078
inv_investment_capacity_costs,battery_4,p12,2044,347282652.333882
inv_investment_capacity_costs,battery_4,p13,2023,94983507.6752
inv_investment_capacity_costs,battery_4,p13,2026,810351130.3888
inv_investment_capacity_costs,battery_4,p13,2029,2325289906.032
inv_investment_capacity_costs,battery_4,p13,2044,95240285.357241
inv_investment_capacity_costs,battery_4,p15,2023,245527826.178
inv_investment_capacity_costs,battery_4,p16,2023,3799455.152
inv_investment_capacity_costs,battery_4,p18,2026,144593002.4
inv_investment_capacity_costs,battery_4,p21,2044,185586591.528646
inv_investment_capacity_costs,battery_4,p24,2044,105343805.485999
inv_investment_capacity_costs,battery_4,p25,2029,388959943.2
inv_investment_capacity_costs,battery_4,p25,2041,1202152722.907854
inv_investment_capacity_costs,battery_4,p25,2044,502273025.649218
inv_investment_capacity_costs,battery_4,p25,2047,232647716.836965
inv_investment_capacity_costs,battery_4,p26,2041,255834758.143625
inv_investment_capacity_costs,battery_4,p26,2044,48204694.217148
inv_investment_capacity_costs,battery_4,p26,2047,269926784.832265
inv_investment_capacity_costs,battery_4,p28,2023,1779769540.375886
inv_investment_capacity_costs,battery_4,p28,2026,358817420.5
inv_investment_capacity_costs,battery_4,p28,2029,940535771.140002
inv_investment_capacity_costs,battery_4,p28,2038,1539952114.758621
inv_investment_capacity_costs,battery_4,p28,2044,277398479.273916
inv_investment_capacity_costs,battery_4,p29,2038,175053579.450431
inv_investment_capacity_costs,battery_4,p30,2029,1711166435.569164
inv_investment_capacity_costs,battery_4,p30,2044,542830073.906713
inv_investment_capacity_costs,battery_4,p31,2023,139163419.056
inv_investment_capacity_costs,battery_4,p31,2026,213109927.8
inv_investment_capacity_costs,battery_4,p31,2029,43823104.558338
inv_investment_capacity_costs,battery_4,p33,2023,9349100.13
inv_investment_capacity_costs,battery_4,p33,2041,188909241.080307
inv_investment_capacity_costs,battery_4,p33,2044,52288009.344442
inv_investment_capacity_costs,battery_4,p34,2023,421247841.75
inv_investment_capacity_costs,battery_4,p34,2041,929753484.902024
inv_investment_capacity_costs,battery_4,p37,2029,173737185.12
inv_investment_capacity_costs,battery_4,p39,2038,22195534.236623
inv_investment_capacity_costs,battery_4,p39,2044,42325456.626508
inv_investment_capacity_costs,battery_4,p40,2023,1887764.556
inv_investment_capacity_costs,battery_4,p41,2044,263773984.091698
inv_investment_capacity_costs,battery_4,p43,2023,1491621.824716
inv_investment_capacity_costs,battery_4,p44,2038,746911003.174416
inv_investment_capacity_costs,battery_4,p45,2029,136576698.677676
inv_investment_capacity_costs,battery_4,p45,2038,1587363532.94902
inv_investment_capacity_costs,battery_4,p47,2032,392532350.76
inv_investment_capacity_costs,battery_4,p47,2038,854497397.124091
inv_investment_capacity_costs,battery_4,p47,2044,181149790.79784
inv_investment_capacity_costs,battery_4,p48,2026,282983624.0
inv_investment_capacity_costs,battery_4,p48,2032,679755608.91
inv_investment_capacity_costs,battery_4,p48,2038,247790434.469051
inv_investment_capacity_costs,battery_4,p48,2041,942742279.829641
inv_investment_capacity_costs,battery_4,p48,2044,247064521.614031
inv_investment_capacity_costs,battery_4,p48,2047,356025718.163779
inv_investment_capacity_costs,battery_4,p48,2050,42177560.924975
inv_investment_capacity_costs,battery_4,p51,2041,181134778.809145
inv_investment_capacity_costs,battery_4,p51,2044,100678399.352787
inv_investment_capacity_costs,battery_4,p54,2041,257883578.568065
inv_investment_capacity_costs,battery_4,p54,2044,120768950.296059
inv_investment_capacity_costs,battery_4,p55,2041,159589910.102699
inv_investment_capacity_costs,battery_4,p55,2044,163790901.062524
inv_investment_capacity_costs,battery_4,p56,2047,141769144.593454
inv_investment_capacity_costs,battery_4,p57,2038,327089802.608706
inv_investment_capacity_costs,battery_4,p57,2041,628690133.862452
inv_investment_capacity_costs,battery_4,p57,2044,1795087275.514533
inv_investment_capacity_costs,battery_4,p57,2047,48884921.030038
inv_investment_capacity_costs,battery_4,p57,2050,490919409.145159
inv_investment_capacity_costs,battery_4,p58,2029,169028860.32
inv_investment_capacity_costs,battery_4,p58,2038,3523308203.581777
inv_investment_capacity_costs,battery_4,p58,2044,424199413.124219
inv_investment_capacity_costs,battery_4,p59,2035,71702251.260154
inv_investment_capacity_costs,battery_4,p59,2038,438861948.019139
inv_investment_capacity_costs,battery_4,p59,2044,38651121.171105
inv_investment_capacity_costs,battery_4,p60,2023,93491001.3
inv_investment_capacity_costs,battery_4,p60,2026,282402150.8
inv_investment_capacity_costs,battery_4,p60,2044,428404528.046394
inv_investment_capacity_costs,battery_4,p61,2023,572725873.9638
inv_investment_capacity_costs,battery_4,p61,2026,727750342.6116
inv_investment_capacity_costs,battery_4,p62,2023,1137057536.054
inv_investment_capacity_costs,battery_4,p63,2023,1469884090.1582
inv_investment_capacity_costs,battery_4,p63,2026,269150764.2208
inv_investment_capacity_costs,battery_4,p63,2044,4611763132.496089
inv_investment_capacity_costs,battery_4,p64,2023,775090884.7214
inv_investment_capacity_costs,battery_4,p64,2026,251021980.44
inv_investment_capacity_costs,battery_4,p64,2029,1038351368.650798
inv_investment_capacity_costs,battery_4,p64,2044,1411012586.771384
inv_investment_capacity_costs,battery_4,p65,2023,764451333.624
inv_investment_capacity_costs,battery_4,p65,2026,223146155.232
inv_investment_capacity_costs,battery_4,p65,2029,5041355348.292746
inv_investment_capacity_costs,battery_4,p65,2044,2215229230.630717
inv_investment_capacity_costs,battery_4,p66,2038,1033499742.313617
inv_investment_capacity_costs,battery_4,p66,2044,1700537936.616532
inv_investment_capacity_costs,battery_4,p67,2023,457585515.0
inv_investment_capacity_costs,battery_4,p67,2026,207295195.8
inv_investment_capacity_costs,battery_4,p67,2029,1190448284.066922
inv_investment_capacity_costs,battery_4,p67,2041,2747062665.496784
inv_investment_capacity_costs,battery_4,p67,2044,4121941954.556958
inv_investment_capacity_costs,battery_4,p68,2029,176797596.24
inv_investment_capacity_costs,battery_4,p69,2029,102080239.056096
inv_investment_capacity_costs,battery_4,p70,2023,9516582.41
inv_investment_capacity_costs,battery_4,p70,2029,122192848.859323
inv_investment_capacity_costs,battery_4,p70,2038,296534110.341951
inv_investment_capacity_costs,battery_4,p71,2038,1660917132.997563
inv_investment_capacity_costs,battery_4,p71,2041,26217971.733954
inv_investment_capacity_costs,battery_4,p72,2029,176562180.0
inv_investment_capacity_costs,battery_4,p72,2038,723569887.902994
inv_investment_capacity_costs,battery_4,p72,2041,59602712.85461
inv_investment_capacity_costs,battery_4,p72,2044,499781016.725273
inv_investment_capacity_costs,battery_4,p73,2044,192383754.389332
inv_investment_capacity_costs,battery_4,p74,2026,1386474993.164599
inv_investment_capacity_costs,battery_4,p75,2038,848745123.663429
inv_investment_capacity_costs,battery_4,p75,2041,22599199.874106
inv_investment_capacity_costs,battery_4,p75,2044,231765486.381458
inv_investment_capacity_costs,battery_4,p76,2023,9588360.53
inv_investment_capacity_costs,battery_4,p76,2038,179628166.579378
inv_investment_capacity_costs,battery_4,p77,2023,576378.3036
inv_investment_capacity_costs,battery_4,p77,2038,775575006.505456
inv_investment_capacity_costs,battery_4,p77,2044,15054062.400666
inv_investment_capacity_costs,battery_4,p78,2023,579967.2096
inv_investment_capacity_costs,battery_4,p79,2029,178327801.8
inv_investment_capacity_costs,battery_4,p79,2041,169813519.58765
inv_investment_capacity_costs,battery_4,p79,2044,970220858.163051
inv_investment_capacity_costs,battery_4,p80,2029,459937939.56
inv_investment_capacity_costs,battery_4,p80,2038,3234846808.083198
inv_investment_capacity_costs,battery_4,p81,2038,61126746.137729
inv_investment_capacity_costs,battery_4,p82,2044,780891872.207256
inv_investment_capacity_costs,battery_4,p83,2044,158640943.710452
inv_investment_capacity_costs,battery_4,p85,2038,1732178516.323089
inv_investment_capacity_costs,battery_4,p85,2041,61826178.801855
inv_investment_capacity_costs,battery_4,p86,2038,1801010365.087137
inv_investment_capacity_costs,battery_4,p87,2023,2415214.1078
inv_investment_capacity_costs,battery_4,p87,2038,357897322.555718
inv_investment_capacity_costs,battery_4,p87,2044,193648433.134764
inv_investment_capacity_costs,battery_4,p88,2023,162984134.246083
inv_investment_capacity_costs,battery_4,p88,2026,70164432.8
inv_investment_capacity_costs,battery_4,p90,2044,215342906.439021
inv_investment_capacity_costs,battery_4,p91,2044,949323082.157857
inv_investment_capacity_costs,battery_4,p92,2044,92260734.906467
inv_investment_capacity_costs,battery_4,p94,2026,90646826.27
inv_investment_capacity_costs,battery_4,p94,2044,164812375.420258
inv_investment_capacity_costs,battery_4,p95,2029,656753240.2608
inv_investment_capacity_costs,battery_4,p95,2044,1518359656.763318
inv_investment_capacity_costs,battery_4,p96,2023,71303442.693421
inv_investment_capacity_costs,battery_4,p96,2029,144463698.8232
inv_investment_capacity_costs,battery_4,p96,2038,2041931748.36705
inv_investment_capacity_costs,battery_4,p96,2044,1576769153.634574
inv_investment_capacity_costs,battery_4,p97,2026,23641731.19
inv_investment_capacity_costs,battery_4,p97,2044,237734223.282898
inv_investment_capacity_costs,battery_4,p98,2023,42310569.8756
inv_investment_capacity_costs,battery_4,p98,2026,143333143.8
inv_investment_capacity_costs,battery_4,p98,2029,831764811.96
inv_investment_capacity_costs,battery_4,p98,2041,4269367036.402218
inv_investment_capacity_costs,battery_4,p98,2044,1757489515.064127
inv_investment_capacity_costs,battery_4,p99,2023,38568776.48
inv_investment_capacity_costs,battery_4,p99,2026,371430543.33
inv_investment_capacity_costs,battery_4,p99,2029,330241901.472
inv_investment_capacity_costs,battery_4,p99,2044,1109478229.080311
inv_investment_capacity_costs,battery_4,p99,2047,2726526838.763742
inv_investment_capacity_costs,battery_4,p99,2050,1968117187.301098
inv_investment_capacity_costs,battery_4,p101,2023,32223710.3022
inv_investment_capacity_costs,battery_4,p101,2026,32364798.312
inv_investment_capacity_costs,battery_4,p101,2035,726760175.632055
inv_investment_capacity_costs,battery_4,p101,2038,4533574334.40868
inv_investment_capacity_costs,battery_4,p101,2041,162967825.307913
inv_investment_capacity_costs,battery_4,p101,2044,2202842795.454666
inv_investment_capacity_costs,battery_4,p101,2047,631562043.970905
inv_investment_capacity_costs,battery_4,p102,2047,798508142.656066
inv_investment_capacity_costs,battery_4,p102,2050,1262828627.767848
inv_investment_capacity_costs,battery_4,p103,2026,1895841748.640471
inv_investment_capacity_costs,battery_4,p103,2029,2772983.611869
inv_investment_capacity_costs,battery_4,p103,2044,1953047682.170128
inv_investment_capacity_costs,battery_4,p104,2044,512313856.264564
inv_investment_capacity_costs,battery_4,p105,2029,176797596.24
inv_investment_capacity_costs,battery_4,p106,2041,230109598.393456
inv_investment_capacity_costs,battery_4,p106,2044,398263893.749477
inv_investment_capacity_costs,battery_4,p109,2038,3509928591.317995
inv_investment_capacity_costs,battery_4,p109,2044,2160873135.810378
inv_investment_capacity_costs,battery_4,p110,2029,127909490.4
inv_investment_capacity_costs,battery_4,p110,2044,85683881.133722
inv_investment_capacity_costs,battery_4,p111,2023,23126910.264
inv_investment_capacity_costs,battery_4,p111,2044,172697353.169893
inv_investment_capacity_costs,battery_4,p114,2029,171618438.96
inv_investment_capacity_costs,battery_4,p114,2038,702536391.791411
inv_investment_capacity_costs,battery_4,p114,2044,1059910915.549848
inv_investment_capacity_costs,battery_4,p115,2029,178327801.8
inv_investment_capacity_costs,battery_4,p116,2029,45836413.84
