trtype,t,Value
AC,2010,133131452.978545
AC,2015,133131452.978545
AC,2020,133131452.978545
AC,2023,133131452.978545
AC,2026,133131452.978545
AC,2029,133131452.978545
AC,2032,142352494.83902
AC,2035,156934787.856313
AC,2038,158804357.590654
AC,2041,169903920.786253
AC,2044,172823116.073583
AC,2047,180177530.400688
AC,2050,184393172.676638
LCC,2010,4506323.0
LCC,2015,4506323.0
LCC,2020,4506323.0
LCC,2023,4506323.0
LCC,2026,4506323.0
LCC,2029,4506323.0
LCC,2032,4506323.0
LCC,2035,4506323.0
LCC,2038,4506323.0
LCC,2041,4506323.0
LCC,2044,4506323.0
LCC,2047,4506323.0
LCC,2050,4506323.0
B2B,2010,434770.3
B2B,2015,434770.3
B2B,2020,434770.3
B2B,2023,434770.3
B2B,2026,434770.3
B2B,2029,434770.3
B2B,2032,737132.654807
B2B,2035,2076595.450658
B2B,2038,2080355.545074
B2B,2041,2798924.377952
B2B,2044,2837692.164425
B2B,2047,3083302.627702
B2B,2050,3323184.317438
