eall,i,r,t,Value
CO2,biopower,p1,2010,841.765219
CO2,biopower,p3,2010,3217.786938
CO2,biopower,p3,2015,942.97896
CO2,biopower,p3,2020,942.97896
CO2,biopower,p3,2023,942.97896
CO2,biopower,p3,2026,942.97896
CO2,biopower,p5,2010,192.412962
CO2,biopower,p5,2015,148.368996
CO2,biopower,p5,2020,148.368996
CO2,biopower,p5,2023,148.368996
CO2,biopower,p5,2026,148.368996
CO2,biopower,p5,2029,148.368996
CO2,biopower,p5,2032,125.449814
CO2,biopower,p5,2035,135.500174
CO2,biopower,p5,2038,140.721465
CO2,biopower,p5,2041,132.522171
CO2,biopower,p5,2044,129.909731
CO2,biopower,p5,2047,127.778237
CO2,biopower,p5,2050,125.910519
CO2,biopower,p6,2010,1053.313172
CO2,biopower,p6,2015,1052.906098
CO2,biopower,p6,2020,1052.906098
CO2,biopower,p6,2023,1053.147868
CO2,biopower,p6,2026,1053.007866
CO2,biopower,p6,2029,1057.601081
CO2,biopower,p6,2032,333.019109
CO2,biopower,p6,2035,2476.482053
CO2,biopower,p6,2038,2292.150377
CO2,biopower,p6,2041,2317.784485
CO2,biopower,p6,2044,2199.136924
CO2,biopower,p6,2047,1931.904295
CO2,biopower,p6,2050,1902.837354
CO2,biopower,p8,2010,5899.187134
CO2,biopower,p8,2015,7861.82251
CO2,biopower,p8,2020,7861.82251
CO2,biopower,p8,2023,3935.538665
CO2,biopower,p8,2026,4325.433007
CO2,biopower,p8,2029,2668.436173
CO2,biopower,p8,2032,2735.028601
CO2,biopower,p9,2010,16775.509394
CO2,biopower,p9,2015,111681.87119
CO2,biopower,p9,2020,83395.807829
CO2,biopower,p9,2023,23083.198437
CO2,biopower,p9,2026,33137.020069
CO2,biopower,p9,2029,36027.270799
CO2,biopower,p9,2032,20308.318372
CO2,biopower,p9,2035,11471.084366
CO2,biopower,p9,2038,10652.915985
CO2,biopower,p9,2041,10644.614306
CO2,biopower,p9,2044,10574.490236
CO2,biopower,p9,2047,10728.931548
CO2,biopower,p9,2050,10720.110059
CO2,biopower,p10,2010,15679.59406
CO2,biopower,p10,2015,40563.783997
CO2,biopower,p10,2020,46126.971288
CO2,biopower,p10,2023,18552.157006
CO2,biopower,p10,2026,26741.199682
CO2,biopower,p10,2029,29867.953931
CO2,biopower,p10,2032,23218.238835
CO2,biopower,p10,2035,18127.13384
CO2,biopower,p10,2038,8473.703815
CO2,biopower,p10,2041,8322.080015
CO2,biopower,p10,2044,8390.487219
CO2,biopower,p10,2047,8541.073963
CO2,biopower,p10,2050,8386.415287
CO2,biopower,p14,2010,157.05769
CO2,biopower,p14,2015,157.05769
