r,t,Value
p1,2010,41753440.134737
p1,2015,36622212.968017
p1,2020,31706658.277483
p1,2023,37852515.056029
p1,2026,39715086.595717
p1,2029,43766524.860696
p1,2032,49187354.268066
p1,2035,43101011.01776
p1,2038,45157201.216514
p1,2041,41033628.266451
p1,2044,42746171.669146
p1,2047,46855500.677169
p1,2050,48428596.892476
p2,2010,-8639562.608988
p2,2015,947940.095998
p2,2020,-8698541.615714
p2,2023,-4676752.540027
p2,2026,-5035415.752527
p2,2029,-3785643.182783
p2,2032,-2097395.533203
p2,2035,-4038735.069251
p2,2038,-2409595.3152
p2,2041,-13208137.663768
p2,2044,-16580358.409858
p2,2047,-25334735.593959
p2,2050,-28527735.323362
p3,2010,8111844.968118
p3,2015,4770428.449056
p3,2020,4201041.696364
p3,2023,4051503.503778
p3,2026,5269033.923566
p3,2029,7059154.131757
p3,2032,8039225.251512
p3,2035,9641084.135301
p3,2038,10082574.618192
p3,2041,10707713.222705
p3,2044,9676862.374427
p3,2047,10572787.351812
p3,2050,10346413.148298
p4,2010,-49179392.069307
p4,2015,-57161730.86226
p4,2020,-65836576.421322
p4,2023,-65533811.99955
p4,2026,-65449438.650724
p4,2029,-65942495.515734
p4,2032,-64463845.634185
p4,2035,-58843680.487103
p4,2038,-58692009.613308
p4,2041,-57056779.745402
p4,2044,-56439465.741595
p4,2047,-55783386.639405
p4,2050,-59479080.52442
p5,2010,-8105156.129616
p5,2015,-3499785.219539
p5,2020,-14006353.007597
p5,2023,-7460793.307566
p5,2026,-5249411.419348
p5,2029,1832585.429487
p5,2032,9542673.089859
p5,2035,15198176.169462
p5,2038,15965175.47854
p5,2041,19590666.252073
p5,2044,23557371.925097
p5,2047,27862032.54952
p5,2050,32717213.688096
p6,2010,5696619.278187
p6,2015,7217641.719645
p6,2020,6238744.716645
p6,2023,7647235.169795
p6,2026,10003957.39062
p6,2029,13338245.309245
p6,2032,11802802.570725
p6,2035,14026223.219646
p6,2038,14473173.190798
p6,2041,15727985.407276
p6,2044,15267046.140041
p6,2047,15080711.134509
p6,2050,14736110.056473
p7,2010,120250.1562
p7,2015,257079.971496
p7,2020,-571726.151715
p7,2023,-1401464.874215
p7,2026,-991454.907507
p7,2029,-11003048.516088
p7,2032,-21368467.670996
p7,2035,-24118297.61772
p7,2038,-24380068.991374
p7,2041,-25819690.594889
p7,2044,-28407890.665402
p7,2047,-29291238.338504
p7,2050,-30300228.642953
p8,2010,900195.208468
p8,2015,947500.46709
p8,2020,800571.45249
p8,2023,966243.205975
p8,2026,-41146.204806
p8,2029,-1192828.887986
p8,2032,-906812.151864
p8,2035,-667693.804169
p8,2038,-1822848.311612
p8,2041,-2200315.987057
p8,2044,-2282891.68116
p8,2047,-2212652.119655
p8,2050,-3479628.46131
p9,2010,5432116.454779
p9,2015,2927712.292582
p9,2020,26347758.842212
p9,2023,16561148.050405
