eall,r,t,Value_emit,Value_scc,product
CH4,p1,2010,407762.235006,800,326209788.00479996
CH4,p1,2015,176480.244202,1200,211776293.0424
CH4,p1,2020,447434.94696800003,1600,715895915.1488
CH4,p1,2023,173895.674126,1840,319968040.39184
CH4,p1,2026,437407.127058,2080,909806824.28064
CH4,p1,2029,254189.723899,2320,589720159.44568
CH4,p1,2032,163826.193336,2580,422671578.80688
CH4,p1,2035,82563.42900999999,2850,235305772.67849997
CH4,p1,2038,244417.908562,3120,762583874.71344
CH4,p1,2041,885440.8304340001,3390,3001644415.1712604
CH4,p1,2044,1079099.8432049998,3660,3949505426.130299
CH4,p1,2047,1010821.454209,3930,3972528315.04137
CH4,p1,2050,1168322.377396,4200,4906953985.0632
CH4,p10,2010,7069506.765733999,800,5655605412.587199
CH4,p10,2015,7753237.526119,1200,9303885031.3428
CH4,p10,2020,2651110.388549,1600,4241776621.6784
CH4,p10,2023,4293109.306542,1840,7899321124.03728
CH4,p10,2026,3161985.4096250003,2080,6576929652.02
CH4,p10,2029,3974280.300686,2320,9220330297.59152
CH4,p10,2032,7629363.177138,2580,19683756997.01604
CH4,p10,2035,8123611.056832001,2850,23152291511.971203
CH4,p10,2038,7411853.405142,3120,23124982624.04304
CH4,p10,2041,7135753.028030001,3390,24190202765.0217
CH4,p10,2044,6573725.466598,3660,24059835207.74868
CH4,p10,2047,6223710.0975790005,3930,24459180683.485474
CH4,p10,2050,6163336.138104,4200,25886011780.0368
CH4,p100,2015,459596.720291,1200,551516064.3492
CH4,p100,2020,619784.070738,1600,991654513.1808
CH4,p100,2023,642119.745901,1840,1181500332.45784
CH4,p100,2026,730725.134846,2080,1519908280.47968
CH4,p100,2029,489781.324566,2320,1136292672.99312
CH4,p100,2032,305906.164064,2580,789237903.28512
CH4,p100,2035,64008.522067,2850,182424287.89095
CH4,p100,2038,58761.308566,3120,183335282.72592
CH4,p100,2041,58761.308566,3390,199200836.03874
CH4,p100,2044,65839.996547,3660,240974387.36202002
CH4,p101,2010,13085297.381439999,800,10468237905.151999
CH4,p101,2015,14487236.821388,1200,17384684185.6656
CH4,p101,2020,15705012.316585,1600,25128019706.536
CH4,p101,2023,14537545.307068001,1840,26749083365.005123
CH4,p101,2026,12312698.537116999,2080,25610412957.203358
CH4,p101,2029,9659243.748673,2320,22409445496.92136
CH4,p101,2032,7882149.665477,2580,20335946136.93066
CH4,p101,2035,6290134.511113,2850,17926883356.67205
CH4,p101,2038,6875996.901688,3120,21453110333.26656
CH4,p101,2041,6696685.6701919995,3390,22701764421.95088
