i,r,t,Value
battery_4,p6,2026,-173.882242
battery_4,p6,2029,-204.2636
battery_4,p6,2032,-319.732411
battery_4,p6,2035,-439.404568
battery_4,p6,2038,-434.850936
battery_4,p6,2041,-563.219903
battery_4,p6,2044,-577.91032
battery_4,p6,2047,-589.856268
battery_4,p6,2050,-558.664933
battery_4,p7,2026,-19.311432
battery_4,p7,2029,-20.03255
battery_4,p7,2032,-27.154053
battery_4,p7,2035,-40.134011
battery_4,p7,2038,-40.94604
battery_4,p8,2029,-47400.445349
battery_4,p8,2032,-45791.518688
battery_4,p8,2035,-48169.827128
battery_4,p8,2038,-76660.101026
battery_4,p8,2041,-70157.658462
battery_4,p8,2044,-74571.384215
battery_4,p8,2047,-76404.235962
battery_4,p8,2050,-64566.562898
battery_4,p9,2020,-166.642771
battery_4,p9,2023,-169210.489001
battery_4,p9,2026,-380053.047721
battery_4,p9,2029,-427487.64983
battery_4,p9,2032,-424051.546834
battery_4,p9,2035,-435039.594257
battery_4,p9,2038,-46989.177388
battery_4,p9,2041,-328259.191485
battery_4,p9,2044,-509914.741982
battery_4,p9,2047,-527864.467967
battery_4,p9,2050,-511466.353639
battery_4,p10,2020,-4278.73608
battery_4,p10,2023,-741619.852658
battery_4,p10,2026,-1249175.128007
battery_4,p10,2029,-1278965.249382
battery_4,p10,2032,-1401179.791925
battery_4,p10,2035,-1491578.584612
battery_4,p10,2038,-511155.638951
battery_4,p10,2041,-276700.923215
battery_4,p10,2044,-275084.567842
battery_4,p10,2047,-273492.255672
battery_4,p10,2050,-274211.399418
battery_4,p11,2020,-11481.008975
battery_4,p11,2023,-50321.765735
battery_4,p11,2026,-138561.914809
battery_4,p11,2029,-148042.601454
battery_4,p11,2032,-152321.654637
battery_4,p11,2035,-110046.142934
battery_4,p11,2038,-74658.980753
battery_4,p11,2041,-247562.543975
battery_4,p11,2044,-264860.271813
battery_4,p11,2047,-261276.4787
battery_4,p11,2050,-258786.436637
battery_4,p12,2044,-185595.530051
battery_4,p12,2047,-215682.989079
battery_4,p12,2050,-213286.525002
battery_4,p13,2023,-12287.302866
battery_4,p13,2026,-137253.428108
battery_4,p13,2029,-453637.253789
battery_4,p13,2032,-480885.430778
battery_4,p13,2035,-519656.298203
battery_4,p13,2038,-511987.696656
battery_4,p13,2041,-376169.099956
battery_4,p13,2044,-567600.861464
battery_4,p13,2047,-632978.547484
battery_4,p13,2050,-627504.39687
battery_4,p15,2023,-1792.933567
battery_4,p15,2026,-12440.436559
battery_4,p15,2029,-13623.015114
battery_4,p15,2032,-15144.517582
battery_4,p15,2035,-24438.562269
battery_4,p16,2023,-71.119967
battery_4,p16,2026,-233.230442
battery_4,p16,2029,-253.917302
battery_4,p16,2032,-234.807772
battery_4,p16,2035,-380.974187
battery_4,p18,2026,-1362.756595
battery_4,p18,2029,-11991.782692
battery_4,p18,2032,-14986.735063
battery_4,p18,2035,-18785.620193
battery_4,p18,2038,-25408.56652
battery_4,p21,2038,-4712.289877
battery_4,p21,2041,-4267.616102
battery_4,p21,2044,-65579.71756
battery_4,p21,2047,-139254.870779
battery_4,p21,2050,-153820.872745
battery_4,p22,2047,-16982.387674
battery_4,p22,2050,-17453.528471
battery_4,p23,2041,-3600.162878
battery_4,p23,2044,-3609.142304
battery_4,p23,2047,-3795.032139
battery_4,p23,2050,-3723.167485
battery_4,p24,2041,-15786.59724
battery_4,p24,2044,-16208.82788
battery_4,p24,2047,-16166.07845
battery_4,p24,2050,-44501.868113
battery_4,p25,2047,-81852.566986
battery_4,p25,2050,-99594.706543
battery_4,p26,2038,-2203.064914
battery_4,p26,2041,-2260.85224
battery_4,p26,2044,-73967.89037
battery_4,p26,2047,-103092.701944
battery_4,p26,2050,-202748.23126
battery_4,p27,2044,-77161.912685
battery_4,p27,2047,-76414.381198
battery_4,p27,2050,-71239.351133
battery_4,p28,2023,-110008.13637
battery_4,p28,2026,-185431.185751
battery_4,p28,2029,-264603.66224
battery_4,p28,2032,-287356.572333
battery_4,p28,2035,-331283.415445
battery_4,p28,2038,-69754.504087
battery_4,p28,2044,-424090.918591
battery_4,p28,2047,-411700.543451
battery_4,p28,2050,-396993.336995
battery_4,p29,2035,0.0
battery_4,p30,2029,-161779.21058
battery_4,p30,2032,-176833.735437
battery_4,p30,2035,-198498.943562
battery_4,p30,2038,-702257.94336
battery_4,p30,2041,-703515.052966
battery_4,p30,2044,-710847.207848
battery_4,p30,2047,-689131.480167
battery_4,p30,2050,-658734.437319
battery_4,p31,2023,-14985.507451
battery_4,p31,2026,-49045.797706
battery_4,p31,2029,-57237.304995
battery_4,p31,2032,-59362.481762
battery_4,p31,2035,-61635.763886
battery_4,p31,2038,-47087.67889
battery_4,p32,2050,-11639.503196
battery_4,p33,2023,-891.87783
battery_4,p33,2026,-834.848086
battery_4,p33,2029,-1242.334321
battery_4,p33,2032,-1424.385769
battery_4,p33,2035,-1440.180336
battery_4,p34,2023,-43023.340665
battery_4,p34,2026,-39093.135987
battery_4,p34,2029,-56132.547703
battery_4,p34,2032,-63707.488819
battery_4,p34,2035,-65280.301756
battery_4,p34,2041,-45123.220132
battery_4,p34,2044,-47288.880594
battery_4,p34,2047,-186434.505572
battery_4,p34,2050,-213469.092062
battery_4,p37,2029,-23292.020661
battery_4,p37,2032,-22895.793575
battery_4,p37,2035,-29537.015091
battery_4,p37,2038,-37412.466652
battery_4,p37,2041,-26652.675602
battery_4,p39,2032,-10573.163613
battery_4,p39,2035,-81249.92536
battery_4,p39,2038,-79118.069426
battery_4,p39,2041,-70722.114448
battery_4,p39,2044,-69120.90006
battery_4,p39,2047,-55587.732711
battery_4,p39,2050,-40864.003529
battery_4,p40,2023,-261.319188
battery_4,p40,2026,-267.429998
battery_4,p40,2029,-295.816818
battery_4,p40,2032,-289.513223
battery_4,p40,2035,-319.375752
battery_4,p43,2023,-160.008577
battery_4,p43,2026,-179.721026
battery_4,p43,2029,-134.748642
battery_4,p43,2032,-25148.238035
battery_4,p43,2035,-222698.604899
battery_4,p43,2038,-244452.924464
battery_4,p43,2041,-201301.983647
battery_4,p43,2044,-209768.00176
battery_4,p43,2047,-177429.623237
battery_4,p44,2032,-68643.901173
battery_4,p44,2035,-82657.078863
battery_4,p44,2038,-377819.497956
battery_4,p44,2041,-378861.996665
battery_4,p44,2044,-407945.068582
battery_4,p44,2047,-330591.278969
battery_4,p44,2050,-191000.618046
battery_4,p45,2038,-504068.219754
battery_4,p45,2041,-434253.120356
battery_4,p45,2044,-409691.047118
battery_4,p45,2047,-391110.287756
battery_4,p45,2050,-438696.163232
battery_4,p46,2032,-12274.783159
battery_4,p46,2035,-16716.187496
battery_4,p46,2038,-17299.181452
battery_4,p46,2041,-14306.220554
battery_4,p46,2044,-13861.362171
battery_4,p47,2032,-59529.251624
battery_4,p47,2035,-161882.254574
battery_4,p47,2038,-157481.345943
battery_4,p47,2041,-159142.490769
battery_4,p47,2044,-218474.356337
battery_4,p47,2047,-256379.533898
battery_4,p47,2050,-221996.356057
battery_4,p48,2026,-65144.539798
battery_4,p48,2029,-61887.766998
battery_4,p48,2032,-236580.121987
battery_4,p48,2035,-367635.076317
battery_4,p48,2038,-394566.731244
battery_4,p48,2041,-329045.832992
battery_4,p48,2044,-356163.276238
