,,damage_$,damage_$,damage_$,damage_$,damage_$,damage_$,mortality,mortality,mortality,mortality,mortality,mortality
,,count,mean,std,min,50%,max,count,mean,std,min,50%,max
state_abbr,year,,,,,,,,,,,,
AL,2010,6.0,2528602617.5049996,1320298040.5702965,1203879490.57,2421687876.42,4497136771.44,6.0,364.7332666666666,190.44378632189253,173.6512,349.3115,648.6806
AL,2015,6.0,521428702.18,279522952.3422057,242826034.82,498328884.54,957798194.15,6.0,75.21246666666666,40.319245700417895,35.0259,71.8805,138.1557
AL,2020,6.0,678850678.7333335,354809803.90613145,323950209.96,651510885.71,1209418353.71,6.0,97.91946666666668,51.17883884382945,46.727599999999995,93.9759,174.4502
AL,2023,6.0,1198114899.2483332,625793583.6470788,568135835.95,1144458930.97,2130593717.3999999,6.0,172.8197,90.26628341751973,81.9496,165.0802,307.3232
AL,2026,6.0,911283507.83,485488571.69288254,426042151.27,870661380.445,1661639364.47,6.0,131.44628333333333,70.02832167748751,61.4536,125.58680000000001,239.6799
AL,2029,6.0,920503509.96,490605815.7776675,430391523.21,879698124.1550001,1679364325.29,6.0,132.77621666666667,70.76641990388991,62.0811,126.89025000000001,242.2366
AL,2032,6.0,991667674.6500001,554436812.0884123,445193441.27,942394920.1500001,1903857105.2,6.0,143.04116666666667,79.97371760346437,64.21600000000001,135.9339,274.6182
AL,2035,6.0,751165227.3383332,403809828.2260214,348250343.61,716677118.125,1383894107.04,6.0,108.35036666666666,58.246772807243715,50.2327,103.37565000000001,199.6172
AL,2038,6.0,702881043.105,374604116.31125116,328574209.48,671620723.19,1282243072.72,6.0,101.38568333333332,54.03403418229724,47.3945,96.8766,184.9546
AL,2041,6.0,806248145.7633333,451650420.8058248,361345392.55,765982506.4100001,1550828444.53,6.0,116.29563333333333,65.14739704745438,52.1216,110.48755,223.6961
AL,2044,6.0,1068018532.4033333,554819523.1500167,512108222.09999996,1025120218.385,1887189200.1699998,6.0,154.0542833333333,80.0288482646206,73.8682,147.86645000000001,272.214
AL,2047,6.0,525264890.6700001,283461947.32852244,243842914.22,502466071.16499996,972343382.1099999,6.0,75.76583333333333,40.8874277973397,35.172599999999996,72.47725,140.2538
